ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
0,1996MM01,50.01,55.12,51.98,,,
1,1996MM02,50.26,55.37,52.21,,,
2,1996MM03,50.87,55.57,52.43,,,
3,1996MM04,51.02,55.66,52.57,,,
4,1996MM05,50.82,55.79,52.71,,,
5,1996MM06,50.57,55.8,52.72,,,
6,1996MM07,50.42,55.79,52.64,,,
7,1996MM08,50.31,55.76,52.67,,,
8,1996MM09,50.87,55.87,52.83,,,
9,1996MM10,51.02,55.92,52.87,,,
10,1996MM11,50.92,55.93,52.89,,,
11,1996MM12,50.87,56.07,53.03,,1.1,1.4
12,1996JJ00,,,,,,
13,1997MM01,50.87,56.25,53.12,1.7,2.1,2.2
14,1997MM02,50.97,56.38,53.23,1.4,1.8,2.0
15,1997MM03,51.48,56.42,53.32,1.2,1.5,1.7
16,1997MM04,51.53,56.39,53.35,1.0,1.3,1.5
17,1997MM05,51.63,56.55,53.5,1.6,1.4,1.5
18,1997MM06,51.33,56.56,53.54,1.5,1.4,1.6
19,1997MM07,51.38,56.62,53.52,1.9,1.5,1.7
20,1997MM08,51.58,56.72,53.64,2.5,1.7,1.8
21,1997MM09,52.14,56.75,53.74,2.5,1.6,1.7
22,1997MM10,52.19,56.77,53.77,2.3,1.5,1.7
23,1997MM11,52.19,56.84,53.83,2.5,1.6,1.8
24,1997MM12,51.99,56.9,53.9,2.2,1.5,1.6
25,1997JJ00,51.61,56.6,53.54,,,
26,1998MM01,51.68,56.86,53.8,1.6,1.1,1.3
27,1998MM02,52.04,57.01,53.93,2.1,1.1,1.3
28,1998MM03,52.59,57.06,54.03,2.2,1.1,1.3
29,1998MM04,52.8,57.17,54.19,2.5,1.4,1.6
30,1998MM05,52.7,57.29,54.33,2.1,1.3,1.6
31,1998MM06,52.44,57.32,54.34,2.2,1.3,1.5
32,1998MM07,52.29,57.34,54.29,1.8,1.3,1.4
33,1998MM08,52.29,57.36,54.33,1.4,1.1,1.3
34,1998MM09,52.8,57.32,54.37,1.3,1.0,1.2
35,1998MM10,52.95,57.3,54.36,1.5,0.9,1.1
36,1998MM11,52.95,57.3,54.37,1.5,0.8,1.0
37,1998MM12,52.75,57.33,54.42,1.5,0.8,1.0
38,1998JJ00,52.52,57.22,54.23,1.8,1.1,1.3
39,1999MM01,52.75,57.29,54.32,2.1,0.8,1.0
40,1999MM02,53.1,57.43,54.43,2.0,0.7,0.9
41,1999MM03,53.66,57.59,54.65,2.0,0.9,1.1
42,1999MM04,53.81,57.78,54.84,1.9,1.1,1.2
43,1999MM05,53.81,57.83,54.9,2.1,0.9,1.0
44,1999MM06,53.56,57.82,54.89,2.1,0.9,1.0
45,1999MM07,53.25,57.92,54.88,1.8,1.0,1.1
46,1999MM08,53.61,57.99,54.96,2.5,1.1,1.2
47,1999MM09,53.86,58.02,55.05,2.0,1.2,1.3
48,1999MM10,53.91,58.05,55.07,1.8,1.3,1.3
49,1999MM11,54.01,58.13,55.14,2.0,1.4,1.4
50,1999MM12,53.76,58.32,55.33,1.9,1.7,1.7
51,1999JJ00,53.59,57.85,54.87,2.0,1.1,1.2
52,2000MM01,53.61,58.35,55.24,1.6,1.9,1.7
53,2000MM02,53.91,58.54,55.41,1.5,1.9,1.8
54,2000MM03,54.52,58.72,55.61,1.6,2.0,1.8
55,2000MM04,54.72,58.77,55.68,1.7,1.7,1.5
56,2000MM05,54.87,58.84,55.77,2.0,1.7,1.6
57,2000MM06,54.87,59.06,55.94,2.4,2.1,1.9
58,2000MM07,54.72,59.14,55.92,2.8,2.1,1.9
59,2000MM08,54.92,59.19,55.96,2.4,2.1,1.8
60,2000MM09,55.43,59.42,56.25,2.9,2.4,2.2
61,2000MM10,55.63,59.44,56.27,3.2,2.4,2.2
62,2000MM11,55.58,59.55,56.38,2.9,2.4,2.2
63,2000MM12,55.33,59.78,56.55,2.9,2.5,2.2
64,2000JJ00,54.84,59.07,55.92,2.3,2.1,1.9
65,2001MM01,56.09,59.52,56.27,4.6,2.0,1.9
66,2001MM02,56.59,59.69,56.43,5.0,2.0,1.8
67,2001MM03,57.25,60.01,56.72,5.0,2.2,2.0
68,2001MM04,57.69,60.37,57.06,5.4,2.7,2.5
69,2001MM05,57.88,60.66,57.36,5.5,3.1,2.9
70,2001MM06,57.66,60.75,57.45,5.1,2.9,2.7
71,2001MM07,57.63,60.61,57.25,5.3,2.5,2.4
72,2001MM08,57.79,60.56,57.26,5.2,2.3,2.3
73,2001MM09,58.39,60.72,57.43,5.3,2.2,2.1
74,2001MM10,58.41,60.77,57.45,5.0,2.2,2.1
75,2001MM11,58.25,60.73,57.4,4.8,2.0,1.8
76,2001MM12,58.18,61.0,57.63,5.2,2.0,1.9
77,2001JJ00,57.65,60.45,57.14,5.1,2.3,2.2
78,2002MM01,58.82,61.08,57.65,4.9,2.6,2.5
79,2002MM02,59.12,61.17,57.74,4.5,2.5,2.3
80,2002MM03,59.74,61.52,58.05,4.3,2.5,2.3
81,2002MM04,60.12,61.8,58.31,4.2,2.4,2.2
82,2002MM05,60.06,61.91,58.42,3.8,2.1,1.8
83,2002MM06,59.85,61.88,58.4,3.8,1.9,1.7
84,2002MM07,59.78,61.82,58.31,3.7,2.0,1.9
85,2002MM08,59.9,61.86,58.37,3.7,2.1,1.9
86,2002MM09,60.48,62.01,58.53,3.6,2.1,1.9
87,2002MM10,60.42,62.16,58.67,3.4,2.3,2.1
88,2002MM11,60.15,62.11,58.62,3.3,2.3,2.1
89,2002MM12,60.05,62.41,58.89,3.2,2.3,2.2
90,2002JJ00,59.87,61.81,58.33,3.9,2.3,2.1
91,2003MM01,60.4,62.37,58.8,2.7,2.1,2.0
92,2003MM02,60.84,62.62,59.04,2.9,2.4,2.3
93,2003MM03,61.39,62.98,59.36,2.8,2.4,2.3
94,2003MM04,61.44,63.07,59.46,2.2,2.1,2.0
95,2003MM05,61.41,63.03,59.43,2.2,1.8,1.7
96,2003MM06,61.12,63.11,59.47,2.1,2.0,1.8
97,2003MM07,61.05,63.01,59.38,2.1,1.9,1.8
98,2003MM08,61.21,63.11,59.49,2.2,2.0,1.9
99,2003MM09,61.72,63.33,59.7,2.1,2.1,2.0
