ID,SBI,Grootteklasse,TotalePersoneelskosten_1,LonenEnSalarissen_2,SocialeLasten_3,Pensioenlasten_4,KostenUitzendkrachten_5,OverigePersoneelskosten_6,OntvangenLoonsubsidiesED_7
0,10000,1,7835,78.0,11.6,3.3,3.3,5.1,-1.3
1,10000,2,2023,80.5,10.7,3.3,2.0,5.0,-1.5
2,10000,3,5812,77.1,11.9,3.3,3.8,5.2,-1.3
3,10001,1,2659,77.4,12.3,2.6,4.3,4.7,-1.3
4,10001,2,366,82.0,12.2,1.8,1.2,4.2,-1.4
5,10001,3,2292,76.7,12.3,2.8,4.8,4.6,-1.2
6,10002,1,2179,76.6,12.3,2.7,4.9,4.7,-1.2
7,10002,2,58,80.0,11.6,1.1,4.3,4.0,-1.0
8,10002,3,2121,76.6,12.3,2.7,4.9,4.7,-1.2
9,10003,1,5177,78.2,11.3,3.7,2.8,5.4,-1.4
10,10003,2,1657,80.2,10.4,3.7,2.1,5.1,-1.5
11,10003,3,3520,77.3,11.7,3.7,3.1,5.5,-1.3
12,10007,1,1075,78.4,10.9,3.9,1.7,6.8,-1.7
13,10007,2,297,79.6,10.6,4.0,0.6,7.2,-2.0
14,10007,3,778,77.9,11.1,3.9,2.2,6.5,-1.6
15,10008,1,968,78.1,10.7,4.0,1.8,6.8,-1.4
16,10008,2,279,79.7,10.6,4.0,0.6,6.8,-1.7
17,10008,3,689,77.5,10.8,4.0,2.3,6.6,-1.2
18,10009,1,205,81.7,12.2,3.2,1.1,4.7,-2.9
19,10009,2,57,83.0,10.4,4.1,0.3,4.8,-2.6
20,10009,3,148,81.2,13.0,2.9,1.4,4.5,-3.0
21,10010,1,721,77.3,10.2,5.6,3.1,4.4,-0.6
22,10010,2,275,77.9,9.2,6.2,2.8,4.7,-0.8
23,10010,3,447,76.9,10.8,5.2,3.2,4.4,-0.5
24,10011,1,182,79.2,12.1,2.6,3.7,5.2,-2.8
25,10011,2,27,80.8,11.4,2.8,3.4,4.6,-3.0
26,10011,3,155,79.0,12.3,2.6,3.7,5.2,-2.8
27,10012,1,312,78.7,10.7,2.9,2.0,6.2,-0.5
28,10012,2,86,80.1,10.4,2.4,0.7,7.0,-0.6
29,10012,3,226,78.2,10.9,3.0,2.5,5.8,-0.4
30,10013,1,557,77.3,11.1,2.9,4.3,5.2,-0.8
31,10013,2,197,78.8,11.3,3.0,3.8,3.7,-0.6
32,10013,3,360,76.5,11.0,2.8,4.6,6.0,-0.9
33,10004,1,233,80.6,10.2,2.9,2.6,5.3,-1.6
34,10004,2,66,81.5,12.5,1.5,1.3,4.7,-1.5
35,10004,3,167,80.3,9.3,3.5,3.0,5.5,-1.6
36,10005,1,165,79.7,9.7,5.0,1.3,5.1,-0.8
37,10005,2,74,80.6,8.7,5.3,1.1,5.0,-0.7
38,10005,3,91,79.0,10.5,4.7,1.4,5.2,-0.8
39,10015,1,98,80.0,11.1,2.9,2.3,4.8,-1.1
40,10015,2,20,84.6,12.0,1.2,1.7,2.0,-1.5
41,10015,3,78,78.8,10.9,3.4,2.4,5.5,-1.0
42,10006,1,101,81.2,11.0,3.4,1.8,4.2,-1.6
43,10006,2,58,81.0,10.9,3.6,2.8,3.2,-1.5
44,10006,3,44,81.4,11.1,3.2,0.5,5.6,-1.8
45,10016,1,64,79.8,10.4,4.3,2.9,4.7,-2.1
46,10016,2,42,79.7,10.4,4.2,2.8,5.2,-2.3
47,10016,3,22,80.0,10.5,4.4,3.2,3.6,-1.7
48,10017,1,56,80.6,9.8,3.5,1.0,6.1,-1.0
49,10017,2,29,81.0,9.7,4.3,0.1,6.2,-1.3
50,10017,3,27,80.1,10.0,2.7,1.8,6.0,-0.6
51,10018,1,122,84.1,11.4,1.8,1.5,4.0,-2.8
52,10018,2,100,85.0,11.2,1.5,1.2,3.7,-2.6
53,10018,3,22,80.5,12.3,3.1,2.7,4.6,-3.2
