ID,Classifications,Periods,OutputBasicPrices_1,IntermediateConsumption_2,ValueAddedBasicPrices_3,ValueAddedBasicPrVolumeChanges_4,ValueAddedBasicPrVolumeIndices_5,ValueAddedBasicPrPricesOf2000_6,ValueAddedMarketPrices_7,TotalTaxesOnProductionAndImports_8,OnProducts_9,OtherOnProduction_10,TotalSubsidies_11,OnProducts_12,OtherOnProduction_13,TotalCompensationOfEmployees_14,WagesAndSalaries_15,EmployersSocialContributions_16,GrossOperatingSurplusMixedIncome_17,ConsumptionOfFixedCapital_18,NetOperatingSurplusMixedIncome_19
0,TotTrans,1969JJ00,99728.0,52296.0,47432.0,,41.5,154866.0,51790.0,5332.0,4937.0,395.0,993.0,886.0,107.0,27744.0,22398.0,5346.0,19707.0,5767.0,13940.0
1,TotTrans,1970JJ00,113546.0,60196.0,53350.0,6.0,44.0,164174.0,58073.0,6248.0,5810.0,438.0,1261.0,1122.0,139.0,31770.0,25610.0,6160.0,21316.0,6656.0,14660.0
2,TotTrans,1971JJ00,127241.0,67123.0,60118.0,4.6,46.0,171701.0,65905.0,7123.0,6646.0,477.0,1172.0,1021.0,151.0,36510.0,29194.0,7316.0,23444.0,7764.0,15680.0
3,TotTrans,1972JJ00,138219.0,70712.0,67507.0,3.6,47.6,177879.0,73803.0,8072.0,7493.0,579.0,1422.0,1244.0,178.0,40890.0,32535.0,8355.0,26263.0,8751.0,17512.0
4,TotTrans,1973JJ00,158720.0,81601.0,77119.0,5.6,50.3,187818.0,84421.0,9108.0,8427.0,681.0,1875.0,1682.0,193.0,47392.0,37026.0,10366.0,29796.0,9696.0,20100.0
5,TotTrans,1974JJ00,188141.0,97292.0,90849.0,4.3,52.5,195891.0,98585.0,9673.0,8893.0,780.0,2074.0,1843.0,231.0,55074.0,42796.0,12278.0,35912.0,11291.0,24621.0
6,TotTrans,1975JJ00,202776.0,104831.0,97945.0,0.1,52.5,196023.0,106568.0,10885.0,10089.0,796.0,2361.0,2063.0,298.0,62325.0,48391.0,13934.0,35719.0,13035.0,22684.0
7,TotTrans,1976JJ00,230746.0,119649.0,111097.0,4.4,54.8,204725.0,121328.0,13054.0,12038.0,1016.0,3346.0,2894.0,452.0,69266.0,53595.0,15671.0,42354.0,14630.0,27724.0
8,TotTrans,1977JJ00,248651.0,129066.0,119585.0,2.3,56.1,209487.0,131034.0,15412.0,14204.0,1208.0,3773.0,3411.0,362.0,75741.0,58833.0,16908.0,43654.0,16035.0,27619.0
9,TotTrans,1978JJ00,265481.0,135823.0,129658.0,2.6,57.6,214966.0,141746.0,16530.0,15216.0,1314.0,4257.0,3803.0,454.0,82188.0,63838.0,18350.0,47285.0,17512.0,29773.0
10,TotTrans,1979JJ00,291064.0,152081.0,138983.0,2.2,58.8,219733.0,151500.0,17579.0,16100.0,1479.0,4722.0,4212.0,510.0,88494.0,68370.0,20124.0,50149.0,19283.0,30866.0
11,TotTrans,1980JJ00,318412.0,168558.0,149854.0,1.5,59.7,223042.0,163091.0,18123.0,16534.0,1589.0,4863.0,4307.0,556.0,94001.0,72414.0,21587.0,55830.0,21361.0,34469.0
12,TotTrans,1981JJ00,339656.0,180984.0,158672.0,-0.2,59.6,222551.0,172153.0,18278.0,16534.0,1744.0,4766.0,4194.0,572.0,96120.0,74133.0,21987.0,62521.0,23460.0,39061.0
13,TotTrans,1982JJ00,351912.0,187624.0,164288.0,-1.3,58.8,219643.0,177878.0,19225.0,17355.0,1870.0,5400.0,4699.0,701.0,99040.0,76717.0,22323.0,65013.0,24879.0,40134.0
14,TotTrans,1983JJ00,364407.0,194159.0,170248.0,2.1,60.0,224166.0,184082.0,20131.0,18152.0,1979.0,6000.0,5205.0,795.0,100344.0,76829.0,23515.0,69607.0,25681.0,43926.0
15,TotTrans,1984JJ00,389163.0,209900.0,179263.0,3.3,62.0,231667.0,194095.0,21685.0,19652.0,2033.0,6675.0,5850.0,825.0,100809.0,77456.0,23353.0,78276.0,26736.0,51540.0
16,TotTrans,1985JJ00,405490.0,219672.0,185818.0,2.6,63.7,237679.0,200827.0,22749.0,20653.0,2096.0,7178.0,6390.0,788.0,104641.0,80723.0,23918.0,80615.0,27874.0,52741.0
17,TotTrans,1986JJ00,397861.0,206779.0,191082.0,2.1,65.0,242584.0,206861.0,24251.0,22099.0,2152.0,7474.0,6667.0,807.0,109164.0,84351.0,24813.0,80920.0,28923.0,51997.0
18,TotTrans,1987JJ00,398163.0,205251.0,192912.0,2.2,66.4,248031.0,208647.0,25669.0,23364.0,2305.0,8850.0,7982.0,868.0,112894.0,87380.0,25514.0,78934.0,30517.0,48417.0
19,TotTrans,1988JJ00,417495.0,216632.0,200863.0,3.1,68.5,255827.0,217596.0,26536.0,24167.0,2369.0,8715.0,7820.0,895.0,116037.0,90554.0,25483.0,83738.0,32355.0,51383.0
20,TotTrans,1989JJ00,448007.0,235515.0,212492.0,4.2,71.4,266470.0,230277.0,26437.0,24015.0,2422.0,7775.0,6801.0,974.0,119628.0,94712.0,24916.0,91987.0,34382.0,57605.0
21,TotTrans,1990JJ00,470618.0,246786.0,223832.0,3.9,74.1,276842.0,243652.0,27976.0,25444.0,2532.0,7396.0,6437.0,959.0,127116.0,109225.0,17891.0,95956.0,36596.0,59360.0
22,TotTrans,1991JJ00,497936.0,261007.0,236929.0,2.5,76.0,283672.0,257375.0,30002.0,27366.0,2636.0,7941.0,7273.0,668.0,135023.0,115946.0,19077.0,100291.0,38773.0,61518.0
23,TotTrans,1992JJ00,513027.0,266812.0,246215.0,1.5,77.1,287794.0,268299.0,31030.0,28112.0,2918.0,8115.0,7519.0,596.0,142980.0,122527.0,20453.0,102404.0,40900.0,61504.0
24,TotTrans,1993JJ00,519935.0,267134.0,252801.0,1.2,78.0,291191.0,276013.0,33656.0,30543.0,3113.0,7874.0,7283.0,591.0,147027.0,126702.0,20325.0,103204.0,42437.0,60767.0
