ID,Instellingen,Perioden,AantalInstellingen_1,TotaalOpbrengsten_2,WettelijkBudgetAanvaardbareKosten_3,OntvangenRente_4,OverigeOpbrengsten_5,TotaalKosten_6,PersoneleKosten_7,Afschrijvingen_8,BetaaldeRente_9,OverigeKosten_10,Exploitatiesaldo_11
0,  1,1998JJ00,178,2268,1984.0,4,280,2263,1630,104,84,444,5
1,  1,1999JJ00,156,2463,2133.0,4,330,2453,1753,117,72,510,9
2,  2,1998JJ00,39,1165,1090.0,2,73,1163,826,59,45,232,2
3,  2,1999JJ00,40,1565,1459.0,2,104,1560,1103,78,47,332,5
4,  3,1998JJ00,44,712,591.0,1,120,709,511,34,33,131,3
5,  3,1999JJ00,38,534,394.0,1,139,530,380,29,23,99,4
6,  6,1998JJ00,33,96,88.0,0,8,97,62,4,4,28,-1
7,  6,1999JJ00,30,116,106.0,0,10,116,74,5,5,31,0
8,  4,1998JJ00,46,238,216.0,0,22,238,190,5,2,41,0
9,  4,1999JJ00,33,193,173.0,0,20,192,153,4,1,35,1
10,  5,1998JJ00,16,56,,0,56,56,42,1,0,12,0
11,  5,1999JJ00,15,59,,0,59,59,44,1,0,13,0
