ID,RegioS,TotaalArchiefbewaarplaatsen_1,Rijksarchieven_2,Gemeentearchieven_3,Streekarchieven_4,Streekarchivariaten_5,Gemeentesecretarieen_6,Waterschapssecretarieen_7,Waterschapsarchiefdiensten_8,TotaalVloeroppervlak_9,TotalePlanklengte_10,NietInGebruik_11,VerhuurdAanDerden_12,TotaalInEigenGebruik_13,NietBeperktOpenbaar_14,WelOpenbaar_15,Overheid_16,PersonenBedrijven_17,OverigEigenGebruikPlanklengte_18,Charters_19,KaartenTekeningen_20,FotoS_21,AudiovisueleCollecties_22,MicrofichesFilms_23,TotaalArchiefbewaarplaatsen_24,k_0Tot500Meter_25,k_500Tot1000Meter_26,k_1000Tot1500Meter_27,k_1500Tot2500Meter_28,k_2500MeterEnMeer_29,Charters_30,KaartenTekeningen_31,FotoS_32,AudiovisueleCollecties_33,MicrofichesFilms_34,DigitaleBestanden_35,TotaalPlanklengteInEigenGebruik_36,RuimVoldoende_37,RestaurerenNodig_38,ConserverenNodig_39,AantalBezoeken_40,TotaalAantalBezoekers_41,GenealogischOnderzoek_42,OverigOnderzoek_43,AmbtelijkeInformatie_44,TotaleInformatiePerBriefFax_45,GenealogischOnderzoek_46,OverigOnderzoek_47,AmbtelijkeInformatie_48,TotaleInformatiePerEMail_49,GenealogischOnderzoek_50,OverigOnderzoek_51,AmbtelijkeInformatie_52,HeeftEigenWebsite_53,AantalHitsAlgemenePaginaS_54,AantalHitsThemaPaginaS_55,RestauratieConserveringsatelier_56,Expositieruimte_57,HistorischeBibliotheek_58,Studiezaal_59,AantalPlaatsenStudiezaal_60,OppervlakteStudiezaal_61,VasteOpeningstijden_62,OokOpAfspraakToegankelijk_63,AlleenOpAfspraakToegankelijk_64,GemiddeldAantalUrenOpenPerWeek_65,ViaInventarislijst_66,ViaPlaatsingslijst_67,NietToegankelijk_68,TotaalPersoneel_69,TotaalBetaaldPersoneel_70,ArchivistiekA_71,ArchivistiekB_72,ArchiefassistentLBONiveau_73,VVAOokHMDI_74,SODII_75,SODI_76,ArchiefrestaurateurHBONiveau_77,ArchiefrestaurateurMBONiveau_78,ArchiefrestaurateurLBONiveau_79,OverigeOplHBOUniversitairNiveau_80,OverigeOplMBOEnLagerNiveau_81,Uitzendkrachten_82,Vrijwilligers_83,TotaalMensjaren_84,ArchivistiekA_85,ArchivistiekB_86,ArchiefassistentLBONiveau_87,VVAOokHMDI_88,SODII_89,SODI_90,ArchiefrestaurateurHBONiveau_91,ArchiefrestaurateurMBONiveau_92,ArchiefrestaurateurLBONiveau_93,OverigeOplHBOUniversitairNiveau_94,OverigeOplMBOEnLagerNiveau_95,Uitzendkrachten_96,TotaalPersoneel_97,TotaalBetaaldPersoneel_98,ArchivistiekA_99,ArchivistiekB_100,ArchiefassistentLBONiveau_101,VVAOokHMDI_102,SODII_103,SOD1_104,ArchiefrestaurateurHBONiveau_105,ArchiefrestaurateurMBONiveau_106,ArchiefrestaurateurLBONiveau_107,OverigeOplHBOUniversitairNiveau_108,OverigeOplMBOEnLagerNiveau_109,Uitzendkrachten_110,Vrijwilligers_111,TotaalBaten_112,Rijk_113,Provincies_114,Gemeenten_115,Waterschappen_116,Verkoop_117,Leges_118,OverigeBaten_119,TotaleLasten_120,Personeelskosten_121,MaterieleKosten_122,Kapitaalslasten_123,Huisvestingskosten_124,OverigeLasten_125
0,NL  ,329,12,59,17.0,13,203,13,12.0,141.2,845,160,40,645,182,462,422,54,169,389.4,1574.7,7075.4,55.7,3245.8,329,49,112,51,54,64,97.0,94.0,100.0,19.0,89.0,32.0,100.0,82.0,6.0,12.0,471.0,188.0,99.0,67.0,22.0,35.0,23.0,9.0,2.0,13.0,6.0,5.0,2.0,15.0,2400,170,9.0,14.0,42.0,60.0,4.0,17.0,79.0,70.0,21.0,23.0,68.0,16.0,16.0,2419,1529,164,342,103,23.0,43,51,12,46,22,146,245,332,890,1191,124,335,84,21.0,36,28,11,36,10,103,175,226,940,879,12,35,15,61,256,345,7.0,9,5.0,14.0,67,55,61,73480,20829,19.0,45860,2219,1595,430,2528,73480,38236,10604,5896,10278,8466
1,LD01,73,3,4,,1,60,2,3.0,16.9,122,25,2,95,26,70,67,5,23,54.3,156.7,440.5,4.7,397.8,73,13,24,18,11,6,,,,,,,,,,,,,,,,,,,,,,,,,389,33,,,,,,,,,,,,,,187,132,15,26,11,,8,7,1,6,1,5,25,26,55,111,15,24,11,,7,5,1,6,1,4,19,19,312,297,2,14,4,23,73,123,6.0,2,2.0,6.0,18,20,16,6136,3239,,2528,28,201,5,137,6136,3531,556,1128,550,373
2,LD02,66,3,13,1.0,6,36,6,1.0,23.1,136,20,7,110,36,75,66,8,36,81.8,423.6,2029.2,10.3,312.9,66,6,21,10,13,15,,,,,,,,,,,,,,,,,,,,,,,,,611,28,,,,,,,,,,,,,,522,257,24,56,22,4.0,9,10,2,9,5,20,32,64,265,186,17,53,11,4.0,5,6,2,4,2,13,23,47,192,189,2,6,2,13,54,77,0.0,2,0.0,4.0,22,7,3,9310,3493,,4816,311,273,94,325,9310,5752,1189,774,778,817
3,LD03,119,4,25,11.0,4,66,1,8.0,68.7,407,74,16,318,89,227,200,33,84,155.1,810.4,2839.3,29.8,1632.1,119,12,44,15,19,29,,,,,,,,,,,,,,,,,,,,,,,,,1128,65,,,,,,,,,,,,,,1086,745,89,164,50,10.0,16,28,8,25,13,87,130,126,340,581,63,171,47,9.0,14,14,7,21,5,60,94,80,276,241,5,13,5,15,74,89,,2,2.0,3.0,17,13,35,39861,11335,19.0,24885,1773,878,64,906,39861,19628,5615,2109,6811,5696
4,LD04,71,2,17,5.0,2,41,4,,32.5,180,41,15,123,32,91,85,16,23,98.2,183.9,1766.3,10.8,903.0,71,18,22,7,11,15,,,,,,,,,,,,,,,,,,,,,,,,,272,44,,,,,,,,,,,,,,625,396,36,96,20,9.0,11,5,1,7,3,34,58,116,229,312,30,87,17,9.0,9,4,1,6,2,26,40,82,160,153,3,2,4,9,54,56,,3,,,9,14,8,18174,2763,,13632,108,245,267,1159,18174,9325,3244,1886,2141,1579
5,PV20,28,1,2,0.0,0,23,1,1.0,5.7,49,11,1,37,11,27,25,2,10,27.5,37.6,120.2,2.4,151.8,28,6,11,4,6,1,96.0,100.0,100.0,11.0,80.0,37.0,100.0,86.0,4.0,10.0,24.0,7.0,5.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6,1,4.0,4.0,39.0,63.0,0.0,1.0,88.0,84.0,12.0,28.0,72.0,16.0,12.0,64,49,6,8,6,0.0,6,2,0,3,0,2,8,8,15,42,6,6,6,0.0,6,2,0,3,0,2,6,6,96,90,0,9,2,9,20,34,0.0,1,0.0,2.0,4,7,7,2786,1252,0.0,1413,14,50,0,57,2786,1488,70,659,333,236
6,PV21,30,1,1,0.0,1,26,0,1.0,7.2,45,8,1,36,8,28,24,2,10,14.3,89.6,243.6,1.5,215.8,30,6,11,5,4,3,93.0,89.0,100.0,3.0,90.0,39.0,100.0,78.0,7.0,15.0,28.0,12.0,7.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,364,30,7.0,7.0,24.0,78.0,0.0,0.0,93.0,75.0,7.0,24.0,77.0,15.0,8.0,80,53,7,11,3,0.0,2,1,1,2,1,2,9,13,27,43,7,11,3,0.0,1,0,1,2,1,1,7,9,131,122,2,3,2,11,29,44,6.0,1,2.0,1.0,8,12,9,2073,1010,0.0,908,14,137,5,0,2073,1327,220,421,99,7
7,PV22,15,1,1,0.0,0,11,1,1.0,4.0,28,6,0,22,7,15,18,1,3,12.5,29.5,76.7,0.8,30.2,15,1,2,9,1,2,100.0,93.0,100.0,7.0,79.0,32.0,100.0,89.0,3.0,9.0,13.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19,2,7.0,7.0,28.0,43.0,0.0,0.0,65.0,79.0,35.0,17.0,76.0,4.0,19.0,43,30,2,7,2,0.0,0,4,0,1,0,1,8,5,13,26,2,7,2,0.0,0,3,0,1,0,1,6,4,85,85,0,2,0,3,24,45,0.0,0,0.0,3.0,6,1,0,1277,977,0.0,207,0,14,0,80,1277,716,266,48,118,130
8,PV23,28,1,3,0.0,0,22,2,0.0,9.9,52,8,2,43,16,27,26,2,15,20.3,89.8,483.2,2.0,56.1,28,2,10,3,7,5,100.0,96.0,100.0,16.0,85.0,35.0,100.0,89.0,3.0,9.0,35.0,16.0,8.0,4.0,4.0,5.0,2.0,2.0,0.0,4.0,1.0,3.0,1.0,14.0,205,11,4.0,18.0,31.0,47.0,0.0,1.0,76.0,77.0,24.0,26.0,70.0,12.0,18.0,182,74,7,16,13,0.0,3,1,1,5,1,8,11,7,108,49,5,16,5,0.0,1,1,1,2,0,6,8,5,125,122,2,3,1,5,34,48,0.0,1,0.0,3.0,21,4,3,2636,1627,0.0,777,0,103,46,84,2636,1625,338,237,285,151
9,PV24,6,1,0,0.0,0,4,1,0.0,1.9,12,2,1,9,4,5,6,1,2,13.4,18.4,35.3,0.6,9.0,6,1,1,2,1,1,83.0,67.0,100.0,17.0,83.0,29.0,100.0,95.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,213,6,0.0,0.0,17.0,17.0,0.0,0.0,67.0,83.0,33.0,21.0,83.0,8.0,8.0,6,4,1,2,0,0.0,0,0,0,0,0,0,0,1,2,4,1,2,0,0.0,0,0,0,0,0,0,0,1,34,34,0,0,1,4,10,15,0.0,1,0.0,1.0,0,2,0,243,239,0.0,0,0,1,0,4,243,143,85,0,0,16
10,PV25,32,1,10,1.0,6,10,3,1.0,11.3,72,10,4,58,16,43,34,5,19,48.1,315.4,1510.7,7.7,247.8,32,3,10,5,5,9,100.0,91.0,100.0,33.0,80.0,37.0,100.0,72.0,10.0,17.0,45.0,19.0,9.0,8.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,193,11,16.0,15.0,52.0,67.0,0.0,2.0,74.0,57.0,26.0,24.0,65.0,16.0,19.0,334,179,16,38,9,4.0,6,9,1,4,4,12,21,56,155,133,11,35,6,4.0,4,5,1,2,2,7,15,41,33,33,0,3,0,4,10,14,0.0,0,0.0,0.0,1,1,0,6431,1627,0.0,4039,311,169,48,237,6431,3984,766,537,493,650
11,PV26,11,1,2,1.0,3,4,0,0.0,6.3,42,7,0,35,10,25,22,5,8,42.3,77.9,793.5,0.7,246.6,11,0,1,1,3,5,100.0,100.0,100.0,9.0,100.0,29.0,100.0,90.0,5.0,6.0,29.0,9.0,8.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24,1,9.0,21.0,79.0,76.0,0.0,0.0,67.0,55.0,33.0,23.0,71.0,16.0,13.0,230,109,11,22,7,0.0,4,4,1,2,0,18,18,22,120,83,10,20,7,0.0,3,3,1,2,0,12,10,17,23,11,0,5,0,1,3,1,0.0,0,0.0,0.0,0,0,12,5308,1641,0.0,2982,41,313,5,326,5308,2929,1185,195,783,215
12,PV27,17,1,3,6.0,1,5,0,1.0,12.7,78,16,6,56,11,45,34,8,14,30.5,81.4,557.2,2.2,381.9,17,0,3,1,3,10,94.0,100.0,100.0,35.0,100.0,17.0,100.0,77.0,6.0,17.0,53.0,20.0,10.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,15,5,20.0,20.0,82.0,75.0,0.0,1.0,94.0,48.0,6.0,29.0,53.0,29.0,17.0,192,150,16,49,7,2.0,4,2,2,5,0,8,37,18,42,120,13,41,7,2.0,4,2,1,4,0,6,31,9,21,21,0,0,0,4,7,7,0.0,0,0.0,0.0,1,1,0,6968,2465,0.0,4061,148,19,7,267,6968,3945,1002,301,1289,430
13,PV28,73,1,13,4.0,0,49,0,6.0,41.8,238,39,9,190,60,129,120,15,54,66.2,512.8,1100.5,23.9,906.8,73,10,35,10,7,12,98.0,97.0,98.0,17.0,95.0,25.0,100.0,85.0,6.0,10.0,111.0,40.0,21.0,14.0,6.0,11.0,8.0,3.0,0.0,3.0,1.0,1.0,1.0,10.0,1055,44,9.0,16.0,39.0,51.0,0.0,2.0,64.0,74.0,36.0,18.0,65.0,20.0,15.0,539,414,59,69,32,7.0,6,17,5,16,11,59,64,70,125,325,37,90,29,6.0,6,7,5,14,3,40,46,43,200,180,4,5,5,8,55,77,0.0,2,2.0,2.0,13,6,20,24374,6456,19.0,15654,1481,410,51,303,24374,11269,2942,1252,4118,4793
14,PV29,18,1,7,0.0,0,8,1,1.0,7.9,49,12,1,37,8,28,24,5,8,16.1,138.3,388.1,3.0,96.8,18,2,5,3,6,2,100.0,100.0,100.0,28.0,94.0,38.0,100.0,69.0,13.0,18.0,22.0,8.0,5.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,34,15,6.0,17.0,54.0,94.0,0.0,1.0,94.0,80.0,6.0,24.0,47.0,15.0,39.0,125,72,3,24,4,1.0,2,5,0,2,2,2,11,16,53,53,3,20,4,1.0,1,2,0,1,2,2,7,11,32,29,1,3,0,2,9,4,0.0,0,0.0,1.0,3,6,3,3211,773,0.0,2188,103,136,1,10,3211,1485,486,361,621,258
15,PV30,19,1,8,5.0,2,2,1,0.0,17.4,93,13,15,65,10,55,44,13,9,34.9,101.3,1265.8,6.5,561.5,19,2,2,2,5,9,95.0,89.0,100.0,46.0,95.0,21.0,100.0,67.0,9.0,24.0,81.0,31.0,16.0,13.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,46.0,205,38,25.0,37.0,100.0,95.0,0.0,3.0,95.0,26.0,5.0,33.0,60.0,24.0,16.0,414,276,21,66,10,7.0,10,3,1,3,3,26,44,82,138,223,19,61,9,7.0,9,3,1,3,2,21,31,58,10,5,0,1,1,0,2,0,0.0,0,0.0,0.0,0,1,5,13651,1374,0.0,10782,108,232,243,913,13651,6614,2891,1544,1449,1154
16,PV31,52,1,9,0.0,0,39,3,0.0,15.1,87,28,0,58,22,36,41,3,14,63.3,82.6,500.5,4.3,341.5,52,16,20,5,6,6,97.0,93.0,100.0,18.0,89.0,39.0,100.0,90.0,4.0,5.0,28.0,17.0,9.0,7.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,67,6,5.0,10.0,16.0,39.0,0.0,1.0,83.0,75.0,17.0,19.0,77.0,10.0,13.0,211,120,15,30,10,2.0,1,2,0,4,0,8,14,34,91,89,11,26,8,2.0,0,1,0,3,0,5,9,24,150,148,3,1,3,9,52,56,0.0,3,0.0,0.0,9,13,3,4523,1389,0.0,2850,0,13,24,246,4523,2711,353,342,692,425
