ID,Perioden,TotaalWerkzamePersonen_1,AlgemeneEnAdministratieveFuncties_2,Hotelfuncties_3,PatientEnBewonergebondenfuncties_4,LeerlingverplVerzOpvPersoneel_5,TerreinEnGebouwgebondenFuncties_6,Stagiaires_7,PersoneelNietInLoondienst_8,TotaalFulltimers_9,AlgemeneEnAdministratieveFuncties_10,Hotelfuncties_11,PatientEnBewonergebondenfuncties_12,LeerlingverplVerzOpvPersoneel_13,TerreinEnGebouwgebondenFuncties_14,Stagiaires_15,FulltimersNietInLoondienst_16,TotaalParttimers_17,AlgemeneEnAdministratieveFuncties_18,Hotelfuncties_19,PatientEnBewonergebondenfuncties_20,LeerlingverplVerzOpvPersoneel_21,TerreinEnGebouwgebondenFuncties_22,Stagiaires_23,ParttimersNietInLoondienst_24,TotaalFTES_25,AlgemeneEnAdministratieveFuncties_26,Hotelfuncties_27,PatientEnBewonergebondenfuncties_28,LeerlingverplVerzOpvPersoneel_29,TerreinEnGebouwgebondenFuncties_30,Stagiaires_31,PersoneelNietInLoondienst_32,TotaalOmgerekendeParttimers_33,AlgemeneEnAdministratieveFuncties_34,Hotelfuncties_35,PatientEnBewonergebondenfuncties_36,LeerlingverplVerzOpvPersoneel_37,TerreinEnGebouwgebondenFuncties_38,Stagiaires_39,PersoneelNietInLoondienst_40,BoekwaardePer1Januari_41,TotaalInvesteringenInVasteActiva_42,GebouwenEnTerreinen_43,Installaties_44,Inventarissen_45,InUitvoering_46,BuitenDienstverlening_47,Correcties_48,Afschrijvingen_49,BoekwaardePer31December_50,AantalInstellingen_51,GemiddeldToegelatenBedden_52,GemiddeldFeitelijkeBedden_53,PatientenPer1Januari_54,AantalOpnamen_55,TotaalOntslagenInclOverledenen_56,AantalOntslagen_57,AantalOverledenen_58,PatientenPer31December_59,Verpleegdagen_60,GemiddeldToegelatenBedden_61,PatientenPer1Januari_62,AantalOpnamen_63,OntslagenInclOverledenen_64,PatientenPer31December_65,Dagbehandelingsdagen_66,TotaalBedrijfsopbrengsten_67,TotaalWettBudgetAanvaardbareKosten_68,VergoedingenTerDekkingWettBudget_69,NogInTarievenTeVerrekenen_70,OverigeOpbrengsten_71,TotaalBedrijfslasten_72,PersoneleKosten_73,KostenVanVoeding_74,AndereHotelmatigeKosten_75,AlgemeneKosten_76,PatientBewonergebondenKosten_77,TerreinGebouwgebondenKosten_78,Afschrijvingen_79,Interest_80,OverigeKosten_81,Exploitatiesaldo_82
0,1985JJ00,67900,,,,,,,,37820,,,,,,,,30080,,,,,,,,53530,12900.0,,28430.0,11010.0,,290.0,890.0,,,,,,,,,1332.5,92.3,,,,,,0.1,72.4,1352.5,328,49.3,,47.7,41.0,41.2,23.0,18.2,48.2,17608,,,,,,569.0,1640,,,,1640,1618,1080,,,,,,83.0,119.0,336.0,22
1,1986JJ00,68980,,,,,,,,37000,,,,,,,,31980,,,,,,,,53880,12930.0,,28930.0,10380.0,,250.0,1390.0,,,,,,,,,1352.5,126.9,,,,,,-0.8,76.6,1402.0,327,49.7,,48.2,42.0,40.7,22.0,18.7,48.6,17776,,,,,,609.0,1697,,,,1697,1680,1142,,,,,,87.0,120.0,331.0,17
2,1987JJ00,72850,,,,,,,,35340,,,,,,,,37510,,,,,,,,56040,12970.0,,30150.0,10860.0,,410.0,1650.0,,,,,,,,,1402.0,101.0,,,,,,-2.0,81.4,1419.7,327,50.1,,48.6,40.0,39.7,22.0,17.7,48.8,17907,,,,,,647.0,1723,,,,1723,1713,1174,,,,,,92.0,119.0,328.0,10
3,1988JJ00,75070,,,,,,,,32190,,,,,,,,42880,,,,,,,,56610,13130.0,,31230.0,10210.0,,220.0,1820.0,,,,,,,,,1419.7,118.7,,,,,,7.5,83.9,1462.0,326,50.5,,48.8,41.0,40.3,22.0,18.3,49.3,18146,,,,,,705.0,1760,,,,1760,1749,1199,,,,,,95.0,120.0,335.0,11
4,1989JJ00,77890,,,,,,,,31840,,,,,,,,46050,,,,,,,,57650,13510.0,,32670.0,9130.0,,220.0,2120.0,,,,,,,,,1462.0,110.3,,,,,,-0.9,87.9,1483.5,326,51.1,,49.3,41.0,40.9,21.0,19.9,49.2,18277,,,,,,725.0,1804,,,,1804,1801,1239,,,,,,97.0,119.0,346.0,3
5,1990JJ00,79970,,,,,,,,30860,,,,,,,,49110,,,,,,,,58340,14140.0,,33570.0,8350.0,,170.0,2110.0,,,,,,,,,1483.5,136.9,,,,,,1.4,89.9,1532.0,326,51.7,,49.2,43.0,42.0,22.0,20.0,49.8,18347,,,,,,752.0,1927,,,,1927,1925,1323,,,,,,99.0,120.0,383.0,2
6,1991JJ00,85080,,,,,,,,29460,,,,,,,,55620,,,,,,,,59690,14720.0,,34380.0,8270.0,,210.0,2110.0,,,,,,,,,1532.0,202.4,,,,,,-0.5,94.3,1639.6,326,52.1,,49.8,43.0,41.8,22.0,19.8,50.6,18519,,,,,,795.0,2061,,,,2061,2056,1422,,,,,,103.0,123.0,408.0,5
7,1992JJ00,89550,,,,,,,,29420,,,,,,,,60140,,,,,,,,61270,14860.0,,35960.0,8380.0,,100.0,1970.0,,,,,,,,,1639.6,168.4,,,,,,0.2,100.0,1708.2,324,52.7,,50.6,45.0,44.6,24.0,20.6,51.6,18860,,,,,,845.0,2207,,,,2207,2192,1513,,,,,,109.0,130.0,440.0,16
8,1993JJ00,92130,,,,,,,,30570,,,,,,,,61560,,,,,,,,62420,15000.0,,37830.0,8040.0,,150.0,1410.0,,,,,,,,,1708.2,184.4,,,,,,0.5,105.6,1787.5,325,53.7,,51.6,49.0,48.8,26.0,22.8,52.5,19173,,,,,,905.0,2374,,,,2374,2350,1614,,,,,,115.0,137.0,484.0,24
9,1994JJ00,93670,,,,,,,,29200,,,,,,,,64470,,,,,,,,62790,15140.0,,39100.0,7430.0,,150.0,980.0,,,,,,,,,1787.5,193.0,,,,,,-0.1,113.6,1866.8,330,54.4,,52.5,52.0,50.9,28.0,22.9,53.5,19464,,,,,,984.0,2485,,,,2485,2448,1668,,,,,,122.0,141.0,517.0,37
10,1995JJ00,97260,,,,,,,,27870,,,,,,,,69390,,,,,,,,64530,15680.0,,40910.0,6700.0,,220.0,1020.0,,,,,,,,,1866.8,296.7,,,,,,0.2,123.1,2040.6,329,55.2,55.5,53.5,54.0,53.4,30.0,23.4,54.0,19841,,,,,,1031.0,2584,,,,2584,2561,1736,,,,,,132.0,143.0,550.0,23
11,1996JJ00,101810,,,,,,,,26940,,,,,,,,74870,,,,,,,,66180,16240.0,,42430.0,6220.0,,300.0,980.0,,,,,,,,,2040.6,307.9,187.5,67.4,45.6,9.2,-1.9,0.0,130.5,2218.0,330,56.4,56.5,54.0,54.0,55.7,32.0,23.7,55.1,20234,,,,,,1084.0,2716,,,,2716,2715,1853,,,,,,142.0,158.0,562.0,1
12,1997JJ00,108020,5630.0,21520.0,68600.0,6020.0,1270.0,360.0,4630.0,27680,1780.0,4270.0,14290.0,5990.0,910.0,130.0,310.0,80340,3850.0,17250.0,54310.0,30.0,360.0,220.0,4320.0,70070,3940.0,11950.0,44740.0,6010.0,1100.0,240.0,2090.0,42390.0,2160.0,7680.0,30450.0,20.0,190.0,100.0,1780.0,2248.6,286.3,182.3,61.2,46.4,-7.5,3.9,0.0,142.8,2392.1,332,57.0,56.9,55.1,57.0,56.0,32.0,24.0,55.6,20340,,,,,,1141.0,2805,,,,2805,2811,1920,,,,,,148.0,163.0,580.0,-7
13,1998JJ00,105490,5720.0,20180.0,65840.0,5460.0,1270.0,430.0,6580.0,26440,1830.0,3780.0,14100.0,5450.0,860.0,60.0,370.0,79050,3890.0,16410.0,51740.0,10.0,420.0,370.0,6220.0,71280,4060.0,11540.0,44760.0,5460.0,1080.0,180.0,4190.0,44840.0,2230.0,7770.0,30660.0,10.0,230.0,120.0,3830.0,2810.7,313.3,163.1,41.1,52.4,35.9,9.3,0.0,174.7,2949.3,336,57.5,57.5,55.6,54.0,53.6,30.0,23.6,56.0,20473,,,,,,1189.0,2992,,,,2992,3004,2080,,,,,,165.0,156.0,603.0,-12
