ID,Kenmerken,Perioden,TotaalNIS_1,Medicatie_2,KunstmatigeToedieningVochtVoeding_3,KunstmatigeBeademing_4,OperatieEnIngrepen_5,Oncotherapie_6,OverigeBehandelingen_7,BehandelingNietGespecificeerd_8,TotaalNIS_9,Medicatie_10,KunstmatigeToedieningVochtVoeding_11,KunstmatigeBeademing_12,OperatieEnIngrepen_13,Oncotherapie_14,OverigeBehandelingen_15,BehandelingNietGespecificeerd_16,TotaalToedienenMiddelen_17,Opioiden_18,Benzodiazepinen_19,Barbituraten_20,Spierrelaxantia_21,PsychofarmacaAntipsychotica_22,OverigeMiddelen_23,MiddelNietGespecificeerd_24,TotaalToedienenMiddelen_25,Opioiden_26,Benzodiazepinen_27,Barbituraten_28,Spierrelaxantia_29,PsychofarmacaAntipsychotica_30,OverigeMiddelen_31,MiddelNietGespecificeerd_32
0,01,1995JJ00,15949.0,7146.0,3800.0,1253.0,1147.0,608.0,1995.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,
1,01,2001JJ00,23866.0,9175.0,5656.0,1874.0,1067.0,841.0,5253.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,
2,02,1995JJ00,8066.0,3674.0,1666.0,712.0,717.0,386.0,911.0,,51.0,51.0,44.0,57.0,63.0,63.0,46.0,,,,,,,,,,,,,,,,,
3,02,2001JJ00,6151.0,1929.0,1653.0,749.0,436.0,261.0,1123.0,,26.0,21.0,29.0,40.0,41.0,31.0,21.0,,,,,,,,,,,,,,,,,
4,03,1995JJ00,7882.0,3472.0,2134.0,541.0,430.0,221.0,1084.0,,49.0,49.0,56.0,43.0,37.0,36.0,54.0,,,,,,,,,,,,,,,,,
5,03,2001JJ00,17715.0,7246.0,4003.0,1125.0,631.0,580.0,4130.0,,74.0,79.0,71.0,60.0,59.0,69.0,79.0,,,,,,,,,,,,,,,,,
6,04,1995JJ00,12584.0,5909.0,3270.0,1253.0,1147.0,548.0,1890.0,1775.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12573.0,10326.0,1225.0,564.0,578.0,378.0,203.0,1420.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,04,2001JJ00,13718.0,6692.0,4743.0,1861.0,1044.0,713.0,3496.0,1501.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14080.0,10539.0,2248.0,901.0,798.0,482.0,421.0,2182.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,05,1995JJ00,6165.0,2668.0,1478.0,361.0,616.0,335.0,990.0,1288.0,49.0,45.0,45.0,29.0,54.0,61.0,52.0,73.0,8580.0,7605.0,703.0,7.0,2.0,229.0,156.0,1310.0,68.0,74.0,57.0,1.0,0.0,61.0,77.0,92.0
9,05,2001JJ00,7076.0,3036.0,2348.0,585.0,481.0,312.0,1715.0,1024.0,52.0,45.0,50.0,31.0,46.0,44.0,49.0,68.0,8337.0,6181.0,1081.0,21.0,0.0,315.0,208.0,1889.0,59.0,59.0,48.0,2.0,0.0,65.0,49.0,87.0
