ID,Bedrijfstakken,Perioden,Wegingscoefficient_1,Prijsindexcijfer_2,Wegingscoefficient_3,Prijsindexcijfer_4,Wegingscoefficient_5,Prijsindexcijfer_6,Wegingscoefficient_7,Prijsindexcijfer_8,Wegingscoefficient_9,Prijsindexcijfer_10,Wegingscoefficient_11,Prijsindexcijfer_12,Wegingscoefficient_13,Prijsindexcijfer_14,Wegingscoefficient_15,Prijsindexcijfer_16,Wegingscoefficient_17,Prijsindexcijfer_18,Wegingscoefficient_19,Prijsindexcijfer_20,Wegingscoefficient_21,Prijsindexcijfer_22,Wegingscoefficient_23,Prijsindexcijfer_24,Wegingscoefficient_25,Prijsindexcijfer_26
0,C  0,1990JJ00,100000.0,100.0,60854.0,100,,,,,,,39146.0,100.0,100000.0,100.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,100.0,72540.0,100.0
1,C  0,1990MM01,100000.0,100.0,60854.0,102,,,,,,,39146.0,96.0,100000.0,97.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,101.0,72540.0,96.0
2,C  0,1990MM02,100000.0,101.0,60854.0,102,,,,,,,39146.0,99.0,100000.0,100.0,27460.0,100.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,100.0
3,C  0,1990MM03,100000.0,100.0,60854.0,101,,,,,,,39146.0,99.0,100000.0,95.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,93.0
4,C  0,1990MM04,100000.0,102.0,60854.0,101,,,,,,,39146.0,103.0,100000.0,101.0,27460.0,100.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,101.0
5,C  0,1990MM05,100000.0,103.0,60854.0,101,,,,,,,39146.0,105.0,100000.0,101.0,27460.0,100.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,101.0
6,C  0,1990MM06,100000.0,104.0,60854.0,101,,,,,,,39146.0,110.0,100000.0,103.0,27460.0,100.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,105.0
7,C  0,1990MM07,100000.0,100.0,60854.0,96,,,,,,,39146.0,106.0,100000.0,103.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,100.0,72540.0,105.0
8,C  0,1990MM08,100000.0,101.0,60854.0,98,,,,,,,39146.0,107.0,100000.0,103.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,100.0,72540.0,104.0
9,C  0,1990MM09,100000.0,97.0,60854.0,100,,,,,,,39146.0,94.0,100000.0,102.0,27460.0,101.0,,,,,21513.0,101.0,5947.0,100.0,72540.0,102.0
10,C  0,1990MM10,100000.0,97.0,60854.0,101,,,,,,,39146.0,92.0,100000.0,98.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,97.0
11,C  0,1990MM11,100000.0,97.0,60854.0,99,,,,,,,39146.0,93.0,100000.0,98.0,27460.0,100.0,,,,,21513.0,101.0,5947.0,98.0,72540.0,97.0
12,C  0,1990MM12,100000.0,98.0,60854.0,99,,,,,,,39146.0,96.0,100000.0,99.0,27460.0,100.0,,,,,21513.0,101.0,5947.0,98.0,72540.0,98.0
13,C  0,1991JJ00,100000.0,108.0,60854.0,105,,,,,,,39146.0,114.0,100000.0,105.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,106.0
14,C  0,1991MM01,100000.0,108.0,60854.0,111,,,,,,,39146.0,104.0,100000.0,102.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,103.0
15,C  0,1991MM02,100000.0,110.0,60854.0,109,,,,,,,39146.0,111.0,100000.0,103.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,103.0
16,C  0,1991MM03,100000.0,111.0,60854.0,108,,,,,,,39146.0,115.0,100000.0,104.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,105.0
17,C  0,1991MM04,100000.0,113.0,60854.0,107,,,,,,,39146.0,122.0,100000.0,108.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,101.0,72540.0,110.0
18,C  0,1991MM05,100000.0,114.0,60854.0,107,,,,,,,39146.0,126.0,100000.0,108.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,101.0,72540.0,110.0
19,C  0,1991MM06,100000.0,115.0,60854.0,107,,,,,,,39146.0,127.0,100000.0,109.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,101.0,72540.0,112.0
20,C  0,1991MM07,100000.0,109.0,60854.0,102,,,,,,,39146.0,119.0,100000.0,107.0,27460.0,103.0,,,,,21513.0,103.0,5947.0,101.0,72540.0,109.0
21,C  0,1991MM08,100000.0,110.0,60854.0,102,,,,,,,39146.0,121.0,100000.0,107.0,27460.0,103.0,,,,,21513.0,103.0,5947.0,101.0,72540.0,108.0
22,C  0,1991MM09,100000.0,110.0,60854.0,103,,,,,,,39146.0,122.0,100000.0,106.0,27460.0,103.0,,,,,21513.0,103.0,5947.0,101.0,72540.0,107.0
23,C  0,1991MM10,100000.0,103.0,60854.0,101,,,,,,,39146.0,105.0,100000.0,103.0,27460.0,102.0,,,,,21513.0,103.0,5947.0,99.0,72540.0,104.0
24,C  0,1991MM11,100000.0,99.0,60854.0,101,,,,,,,39146.0,97.0,100000.0,101.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,99.0,72540.0,101.0
25,C  0,1991MM12,100000.0,98.0,60854.0,100,,,,,,,39146.0,94.0,100000.0,103.0,27460.0,102.0,,,,,21513.0,102.0,5947.0,99.0,72540.0,103.0
