ID,Perioden,Instellingen_1,Werknemers_2,Arbeidsjaren_3,TotaalBedrijfsopbrengsten_4,TotaalBijdragenGemeenten_5,SomBijdragenPerInwoner_6,OverigeBijdragen_7,BijdragenRijkEnProvincies_8,BijdragenZorgverzekeraars_9,BijdragenOverigeInstellingenClienten_10,OntvangstenCentralePostAmbulancedi_11,OntvangenRitopbrengstenAmbulancedienst_12,OverigeOpbrengsten_13,TotaalBedrijfslasten_14,TotaalArbeidskosten_15,LonenEnSalarissen_16,Pensioenlasten_17,SocialeLasten_18,AfschrijvingenOpVasteActiva_19,TotaalOverigeBedrijfslasten_20,TotaalAnderePersoneelskosten_21,KostenUitzendkrachtenEnOverigeInleen_22,OverigePersoneelskosten_23,TotaalOverigeBedrijfslastenNEG_24,KostenVervoermiddelen_25,DoorberekendeKosten_26,OverigeKosten_27,Bedrijfsresultaat_28,FinancieleBaten_29,FinancieleLasten_30,FinancieelResultaat_31,OnttrekkingVoorzieningen_32,ToevoegingVoorzieningen_33,SaldoVoorzieningen_34,BuitengewoneBaten_35,BuitengewoneLasten_36,BuitengewoonResultaat_37,ResultaatVoorBelastingen_38
0,2001JJ00,46,8220,5940,520.4,254.2,,,33.4,18.7,97.1,7.0,86.2,23.8,511.1,277.3,233.1,25.7,18.4,14.6,219.2,53.4,33.6,19.8,165.8,,,,9.3,1.8,5.1,-3.3,1.1,4.7,-3.5,,,-0.5,2.0
1,2002JJ00,40,8450,6230,608.9,281.2,236.7,44.4,40.4,9.5,137.1,8.3,96.4,36.0,598.7,314.9,262.9,30.2,21.8,15.4,268.4,54.8,35.3,19.5,213.6,,,,10.2,1.9,5.1,-3.2,3.9,6.6,-2.7,3.1,2.1,1.1,5.3
2,2003JJ00,40,8860,6510,680.6,330.0,274.1,55.9,71.1,23.9,80.3,11.0,81.7,82.7,674.9,332.6,275.1,34.4,23.0,16.6,325.7,52.7,32.0,20.7,273.0,3.0,39.0,231.0,5.7,1.5,3.7,-2.2,7.5,12.9,-5.4,3.0,0.7,2.2,0.2
3,2004JJ00,40,8480,6380,677.3,347.5,284.6,62.8,61.1,20.3,89.3,12.6,81.7,64.8,672.8,340.0,276.9,40.6,22.6,17.0,315.8,48.9,28.8,20.1,266.9,5.1,26.4,235.4,4.5,2.4,5.4,-3.0,14.4,18.2,-3.8,6.7,4.3,2.4,-0.1
4,2005JJ00,39,8570,6430,687.9,349.2,288.9,60.3,60.7,16.8,97.1,13.0,85.7,65.5,674.5,351.1,283.4,44.4,23.3,20.8,302.6,48.7,29.7,19.0,253.9,5.6,15.4,232.9,13.4,2.2,5.0,-2.8,11.3,22.8,-11.5,5.2,3.4,1.8,0.9
5,2006JJ00,36,8808,6343,692.7,374.7,311.3,63.4,64.1,14.3,113.2,14.3,70.6,41.5,679.1,355.9,288.3,44.9,22.7,20.9,302.3,57.7,38.5,19.2,244.6,7.4,15.3,221.9,13.6,4.1,4.2,-0.1,10.0,25.2,-15.2,4.6,1.8,2.8,1.1
6,2007JJ00,33,8725,6475,707.7,373.9,332.9,41.0,72.5,17.4,120.9,12.6,87.5,22.9,677.7,370.6,303.7,44.9,22.0,21.2,286.0,69.1,47.9,21.2,216.9,3.3,16.6,197.0,30.0,2.2,4.7,-2.5,12.7,47.7,-35.0,5.8,0.4,5.4,-2.1
7,2008JJ00,31,8834,6572,685.8,380.3,304.5,75.8,75.5,6.9,99.5,12.7,76.5,34.4,678.7,378.6,310.0,37.0,31.6,18.7,281.3,63.6,45.1,18.6,217.7,7.7,21.8,188.1,7.2,3.2,5.9,-2.8,16.5,5.7,10.9,4.9,2.0,2.9,18.1
8,2009JJ00,29,9353,7001,722.4,415.9,331.3,84.6,73.5,6.7,88.7,12.0,76.2,49.5,711.8,424.5,343.6,43.8,37.1,18.5,268.8,67.8,48.8,19.0,201.0,2.7,19.5,178.9,10.6,1.2,5.4,-4.2,11.9,15.6,-3.7,9.4,6.4,3.0,5.7
9,2010JJ00,28,10103,7553,779.9,452.9,338.5,114.4,72.4,7.6,97.2,13.4,84.3,52.1,768.4,462.5,373.3,45.2,44.0,20.5,285.4,74.4,51.2,23.2,211.0,5.0,17.6,188.5,11.5,4.7,4.5,0.2,27.4,6.4,21.0,3.5,3.4,0.1,32.9
10,2011JJ00,28,10453,7696,791.7,469.4,353.8,115.6,73.7,8.0,98.2,13.7,81.7,47.0,783.6,476.0,384.9,46.8,44.3,21.2,286.5,74.3,49.8,24.5,212.2,5.2,18.2,188.8,8.1,5.9,4.6,1.3,25.0,7.6,17.4,3.7,2.1,1.6,28.5
11,2012JJ00,28,10938,7716,796.6,493.7,377.3,116.4,72.5,5.9,113.6,11.4,70.1,29.5,797.7,496.7,397.3,52.6,46.8,22.2,278.8,70.3,46.9,23.4,208.5,4.2,19.1,185.2,-1.1,0.4,4.4,-4.0,20.1,8.9,11.2,1.5,4.5,-3.0,3.1
