ID,Instellingen,Perioden,AantalInstellingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,OpbrengstenTerDekkingWettelijkBudget_4,OverigeNettoOmzet_5,TotaalOverigeBedrijfsopbrengsten_6,SubsidiesEnBijdragen_7,OverigeBedrijfsopbrengstenNEG_8,TotaalBedrijfslasten_9,InkoopwaardeOmzet_10,TotaalArbeidskosten_11,LonenEnSalarissen_12,Pensioenlasten_13,SocialeLasten_14,AfschrijvOpVasteActiva_15,TotaalOverigeBedrijfslasten_16,TotaalAnderePersoneelskosten_17,KostenUitzendkrachtenEnOverigeInleen_18,OverigePersoneelskosten_19,TotaalOverigeBedrijfslastenNEG_20,VoedingEnHotelmatigeKosten_21,AlgemeneKosten_22,ClientBewonerGebondenKosten_23,OnderhoudEnEnergiekosten_24,HuurEnOperationeleLeasingKapGoed_25,AndereBedrijfslasten_26,Bedrijfsresultaat_27,FinancieleBaten_28,FinancieleLasten_29,FinancieelResultaat_30,OnttrekkingAanVoorzieningen_31,ToevoegingenAanVoorzieningen_32,SaldoVoorzieningen_33,BuitengewoneBaten_34,BuitengewoneLasten_35,BuitengewoonResultaat_36,ResultaatVoorBelastingen_37,WettelijkBudgetAanvaardbareKosten_38,OpbrengstenTerDekkingWettelijkBudget_39,FinancieringsverschilBoekjaar_40
0, 100,2000JJ00,130,2580.1,2331.8,2219.9,111.8,248.3,244.5,3.9,2516.3,,1673.5,1375.0,51.9,246.6,124.7,718.1,196.2,96.6,99.6,521.9,126.3,171.0,57.4,82.3,65.7,19.2,63.8,6.5,74.5,-68.0,,,,,,-2.7,-6.9,2234.8,2219.9,14.9
1, 100,2001JJ00,121,2851.4,2561.9,2423.4,138.5,289.5,286.1,3.4,2780.8,,1852.1,1508.4,59.0,284.7,137.6,791.1,203.4,114.6,88.8,587.7,141.2,201.4,63.5,92.4,70.8,18.4,70.6,6.4,78.9,-72.5,,,,,,-4.3,-6.2,2470.2,2423.4,46.8
2, 100,2002JJ00,117,3186.6,2852.0,2716.7,135.3,334.6,321.5,13.1,3102.2,,2066.9,1673.4,71.1,322.4,143.3,891.9,223.7,118.5,105.2,668.2,161.0,226.4,74.1,97.0,80.5,29.2,84.5,6.0,75.7,-69.7,,,,,,0.9,15.7,2725.4,2716.7,8.7
3, 100,2003JJ00,114,3542.1,3191.0,3039.6,151.4,351.1,339.3,11.8,3424.3,,2284.8,1816.6,105.2,363.0,155.0,984.5,242.6,124.7,117.9,741.9,171.1,255.4,86.2,109.5,92.5,27.2,117.9,5.5,61.3,-55.8,,,,,,2.7,64.7,3051.3,3039.6,11.7
4, 100,2004JJ00,102,3752.5,3420.4,3274.0,146.4,332.0,321.7,10.4,3652.2,,2477.9,2054.5,151.1,272.3,161.1,1013.1,239.3,116.5,122.8,773.8,177.2,264.7,91.8,122.9,98.2,18.9,100.2,6.6,67.4,-60.8,,,,,,-2.2,37.1,3303.6,3274.0,29.6
5, 100,2005JJ00,103,4070.3,3699.3,3546.3,153.0,371.0,356.9,14.1,3902.9,,2646.4,2197.7,171.7,277.0,171.7,1084.7,246.9,115.5,131.4,837.8,191.1,277.0,104.6,130.2,118.6,16.3,167.4,5.8,67.7,-61.9,,,,,,2.6,108.1,3538.1,3546.3,-8.2
6, 110,2000JJ00,43,1850.7,1796.2,1722.2,74.0,54.5,51.8,2.7,1804.5,,1202.9,984.7,36.9,181.3,95.1,506.6,128.0,61.8,66.2,378.6,95.2,121.9,41.4,57.3,47.4,15.4,46.3,4.5,54.9,-50.4,,,,,,-3.3,-7.4,1735.3,1722.2,13.1
7, 110,2001JJ00,44,2088.3,1990.5,1888.1,102.3,97.8,94.8,3.0,2037.2,,1355.4,1101.7,42.8,210.9,106.5,575.2,143.3,80.8,62.5,431.9,109.6,143.7,48.3,61.6,53.2,15.5,51.1,3.8,57.6,-53.8,,,,,,-1.2,-3.9,1917.2,1888.1,29.1
8, 110,2002JJ00,46,2413.4,2296.4,2195.0,101.4,116.9,103.2,13.8,2350.6,,1568.6,1267.3,53.4,247.9,114.1,667.9,160.4,84.4,76.0,507.5,128.9,170.7,60.4,70.2,58.4,18.9,62.8,4.0,56.4,-52.4,,,,,,3.6,13.9,2191.9,2195.0,-3.2
9, 110,2003JJ00,47,2691.4,2555.7,2440.8,114.9,135.7,126.1,9.6,2608.7,,1745.3,1390.0,78.9,276.4,122.8,740.5,175.0,88.7,86.3,565.5,138.0,190.9,69.5,79.5,68.2,19.4,82.7,3.7,46.6,-42.9,,,,,,1.6,41.4,2452.0,2440.8,11.2
