ID,Ziekenhuizen,Perioden,TotaalWerkzPersExclVrijeBeroepers_1,TotaalPersoneelInLoondienst_2,AlgemeneEnAdministratieveFuncties_3,Hotelfuncties_4,PatientEnBewonergebondenfuncties_5,LeerlingverplVerzOpvPersoneel_6,TerreinEnGebouwgebondenFuncties_7,Stagiaires_8,PersoneelNietInLoondienst_9,TotaalFulltimers_10,TotaalFulltimersInLoondienst_11,AlgemeneEnAdministratieveFuncties_12,Hotelfuncties_13,PatientEnBewonergebondenfuncties_14,LeerlingverplVerzOpvPersoneel_15,TerreinEnGebouwgebondenFuncties_16,Stagiaires_17,FulltimersNietInLoondienst_18,TotaalParttimers_19,TotaalParttimersInLoondienst_20,AlgemeneEnAdministratieveFuncties_21,Hotelfuncties_22,PatientEnBewonergebondenfuncties_23,LeerlingverplVerzOpvPersoneel_24,TerreinEnGebouwgebondenFuncties_25,Stagiaires_26,ParttimersNietInLoondienst_27,InclusiefMediciInVrijeBeroepen_28,ExclusiefMediciInVrijeBeroepen_29,TotaalPersoneelInLoondienst_30,AlgemeneEnAdministratieveFuncties_31,Hotelfuncties_32,PatientEnBewonergebondenfuncties_33,LeerlingverplVerzOpvPersoneel_34,TerreinEnGebouwgebondenFuncties_35,Stagiaires_36,PersoneelNietInLoondienst_37,MediciInVrijeBeroepen_38,TotaalOmgerekendeParttimers_39,TotaalPersoneelInLoondienst_40,AlgemeneEnAdministratieveFuncties_41,Hotelfuncties_42,PatientEnBewonergebondenFuncties_43,LeerlingverplVerzOpvPersoneel_44,TerreinEnGebouwgebondenFuncties_45,Stagiaires_46,PersoneelNietInLoondienst_47,AantalInstellingen_48,ToegelBeddenKlinischeEnDagbeh_49,FeitelBeddenKlinischeEnDagbeh_50,AantalOpnamen_51,AantalOntslagen_52,AantalOverledenen_53,TotaalOntslagenEnOverledenPatienten_54,PatientenPupillenPer31December_55,Verpleegdagen_56,KlinischeRBU_57,Dagbehandeling_58,PoliklinischeRBU_59,AantalEerstePolikliniekbezoeken_60,TotaalBedrijfsopbrengsten_61,TotaalWettBudgetAanvaardbareKosten_62,VergoedingenTerDekkingWettBudget_63,NogInTarievenTeVerrekenen_64,OverigeOpbrengsten_65,TotaalBedrijfslasten_66,PersoneleKosten_67,KostenVanVoeding_68,AndereHotelmatigeKosten_69,AlgemeneKosten_70,PatientBewonergebondenKosten_71,TerreinGebouwgebondenKosten_72,Afschrijvingen_73,Interest_74,OverigeKosten_75,Exploitatiesaldo_76
0,2,1985JJ00,157910.0,,,,,,,,,101250.0,,,,,,,,,56660.0,,,,,,,,,,132190.0,129700.0,42570.0,,70810.0,15400.0,,920.0,2490.0,,,,,,,,,,,207.0,68461.0,,1576.0,1527.0,50.0,1577.0,35.0,19754.0,,204.0,,,5025.0,,,,,5040.0,3077.0,,,,,,288.0,318.0,1357.0,-15.0
1,2,1986JJ00,160580.0,,,,,,,,,100380.0,,,,,,,,,60200.0,,,,,,,,,,133340.0,130400.0,42920.0,,71830.0,15010.0,,640.0,2940.0,,,,,,,,,,,198.0,67970.0,,1556.0,1507.0,49.0,1556.0,34.0,19167.0,,265.0,,,5155.0,,,,,5175.0,3194.0,,,,,,295.0,320.0,1366.0,-20.0
2,2,1987JJ00,164730.0,,,,,,,,,96580.0,,,,,,,,,68150.0,,,,,,,,,,134070.0,131040.0,42760.0,,72570.0,15050.0,,660.0,3030.0,,,,,,,,,,,198.0,67411.0,,1528.0,1480.0,48.0,1528.0,33.0,18455.0,,319.0,,,5205.0,,,,,5226.0,3212.0,,,,,,310.0,327.0,1377.0,-21.0
3,2,1988JJ00,167850.0,,,,,,,,,92070.0,,,,,,,,,75780.0,,,,,,,,,,134040.0,130890.0,42000.0,,74290.0,14070.0,,530.0,3150.0,,,,,,,,,,,183.0,66961.0,,1528.0,1480.0,48.0,1528.0,34.0,18136.0,,356.0,,,5338.0,,,,,5354.0,3250.0,,,,,,333.0,333.0,1438.0,-17.0
4,2,1989JJ00,171090.0,,,,,,,,,89020.0,,,,,,,,,82070.0,,,,,,,,,,135660.0,131720.0,42450.0,,76030.0,12660.0,,580.0,3940.0,,,,,,,,,,,179.0,65808.0,,1546.0,1497.0,49.0,1546.0,34.0,17852.0,,387.0,,,5527.0,,,,,5551.0,3322.0,,,,,,353.0,360.0,1516.0,-25.0
5,2,1990JJ00,174880.0,,,,,,,,,87040.0,,,,,,,,,87840.0,,,,,,,,,,137270.0,133160.0,41640.0,,78340.0,12630.0,,550.0,4110.0,,,,,,,,,,,169.0,64580.0,,1538.0,1490.0,50.0,1540.0,32.0,17284.0,,410.0,,,6029.0,,,,,6052.0,3519.0,,,,,,377.0,409.0,1747.0,-24.0
6,2,1991JJ00,181090.0,,,,,,,,,84670.0,,,,,,,,,96430.0,,,,,,,,,,139240.0,135660.0,42240.0,,81110.0,11850.0,,460.0,3580.0,,,,,,,,,,,163.0,63720.0,,1550.0,1501.0,48.0,1549.0,32.0,16969.0,,464.0,,,6671.0,,,,,6665.0,3847.0,,,,,,409.0,501.0,1908.0,7.0
7,2,1992JJ00,186360.0,,,,,,,,,84930.0,,,,,,,,,101430.0,,,,,,,,,,141170.0,137930.0,42770.0,,82750.0,11890.0,,520.0,3240.0,,,,,,,,,,,157.0,63384.0,,1564.0,1518.0,47.0,1565.0,32.0,16667.0,,523.0,,,7083.0,,,,,7092.0,4068.0,,,,,,439.0,544.0,2041.0,-9.0
8,2,1993JJ00,187910.0,,,,,,,,,83020.0,,,,,,,,,104890.0,,,,,,,,,,139870.0,137530.0,42550.0,,83450.0,11290.0,,240.0,2340.0,,,,,,,,,,,154.0,62383.0,,1574.0,1524.0,50.0,1574.0,32.0,16392.0,,544.0,,,7343.0,,,,,7350.0,4256.0,,,,,,470.0,519.0,2105.0,-7.0
9,2,1994JJ00,187350.0,,,,,,,,,77830.0,,,,,,,,,109520.0,,,,,,,,,,136860.0,135060.0,41320.0,,83830.0,9530.0,,380.0,1800.0,,,,,,,,,,,152.0,61605.0,59912.0,1604.0,1557.0,47.0,1604.0,31.0,16127.0,,592.0,,,7568.0,,,,,7528.0,4316.0,,,,,,504.0,483.0,2225.0,40.0
10,2,1995JJ00,191160.0,,,,,,,,,75410.0,,,,,,,,,115750.0,,,,,,,,,,138100.0,136780.0,41870.0,,86050.0,8370.0,,490.0,1320.0,,,,,,,,,,,148.0,60489.0,58938.0,1593.0,1544.0,48.0,1592.0,31.0,15779.0,,644.0,,,7883.0,,,,,7821.0,4465.0,,,,,,528.0,481.0,2347.0,62.0
11,2,1996JJ00,194710.0,,,,,,,,,74200.0,,,,,,,,,120510.0,,,,,,,,,,139140.0,137870.0,42390.0,,87750.0,7220.0,,510.0,1270.0,,,,,,,,,,,146.0,59441.0,58135.0,1589.0,1542.0,48.0,1590.0,30.0,15531.0,,669.0,,,8144.0,,,,,8146.0,4654.0,,,,,,586.0,481.0,2425.0,-2.0
12,2,1997JJ00,195010.0,,,,,,,,,72010.0,,,,,,,,,123000.0,,,,,,,,,,140130.0,137910.0,43440.0,,87490.0,6640.0,,340.0,2220.0,,,,,,,,,,,143.0,,58161.0,1580.0,1533.0,48.0,1581.0,29.0,15159.0,,718.0,,,8481.0,,,,,8472.0,4825.0,,,,,,607.0,470.0,2570.0,9.0
13,2,1998JJ00,,205720.0,36270.0,30260.0,129470.0,6150.0,2850.0,720.0,,,,,,,,,,,,,,,,,,,,,149220.0,146510.0,25550.0,18000.0,94020.0,5770.0,2700.0,470.0,2710.0,,,,,,,,,,,143.0,,57825.0,1551.0,1503.0,49.0,1552.0,29.0,14790.0,,752.0,,7043.0,8923.0,7933.0,7683.0,251.0,990.0,8913.0,5163.0,134.0,254.0,471.0,1357.0,285.0,629.0,459.0,160.0,10.0
14,2,1999JJ00,,209270.0,37490.0,29790.0,131690.0,6460.0,2790.0,1050.0,,,,,,,,,,,,,,,,,,,,,153180.0,150540.0,26710.0,18090.0,96740.0,5610.0,2660.0,730.0,2640.0,,,,,,,,,,,136.0,,57224.0,1522.0,1478.0,48.0,1526.0,25.0,13940.0,,790.0,,8283.0,9430.0,8375.0,8137.0,237.0,1055.0,9527.0,5576.0,133.0,264.0,492.0,1429.0,279.0,653.0,446.0,154.0,4.0
15,2,2000JJ00,,214100.0,40400.0,29650.0,133880.0,6340.0,2780.0,1050.0,,,,,,,,,,,,,,,,,,,,,155740.0,152620.0,27990.0,17920.0,97660.0,5580.0,2630.0,840.0,3120.0,,,,,,,,,,,131.0,,55438.0,1485.0,1436.0,48.0,1484.0,26.0,13332.0,,839.0,,8318.0,9969.0,8850.0,8676.0,174.0,1119.0,9972.0,5956.0,141.0,269.0,544.0,1512.0,289.0,671.0,453.0,137.0,-3.0
16,2,2001JJ00,,219980.0,42470.0,29700.0,137260.0,6050.0,2840.0,1660.0,,,,,,,,,,,,,,,,,,,,,160140.0,156910.0,29640.0,17730.0,100440.0,5360.0,2640.0,1100.0,3230.0,,,,,,,,,,,129.0,,53247.0,1479.0,1433.0,47.0,1479.0,26.0,12778.0,,938.0,,8683.0,11247.0,9808.0,9837.0,-29.0,1439.0,11191.0,6736.0,158.0,295.0,641.0,1688.0,341.0,717.0,457.0,159.0,56.0
17,2,2002JJ00,,233430.0,44170.0,30580.0,146190.0,6770.0,2920.0,2800.0,,,,,,,,,,,,,,,,,,,,,167260.0,164350.0,31220.0,18220.0,104680.0,5870.0,2720.0,1640.0,2910.0,,,,,,,,,,,130.0,,52861.0,1544.0,,,,,13051.0,,,,9104.0,12531.0,10890.0,,,1641.0,12487.0,7609.0,167.0,329.0,737.0,1952.0,326.0,764.0,440.0,163.0,43.0
18,2,2003JJ00,242800.0,239400.0,46130.0,30250.0,150790.0,6320.0,2890.0,3020.0,3400.0,,,,,,,,,,,,,,,,,,,,173150.0,170770.0,32690.0,18190.0,109610.0,5740.0,2700.0,1840.0,2380.0,,,,,,,,,,,129.0,,52292.0,1602.0,,,,,12757.0,,,,9333.0,13488.0,11581.0,,,1908.0,13422.0,8223.0,167.0,341.0,813.0,2142.0,344.0,808.0,398.0,188.0,65.0
19,2,2004JJ00,244240.0,241280.0,47160.0,29460.0,152620.0,6010.0,2810.0,3220.0,2960.0,,,,,,,,,,,,,,,,,,,,175140.0,173300.0,33780.0,17570.0,112130.0,5430.0,2660.0,1730.0,1840.0,,,,,,,,,,,129.0,,52463.0,1681.0,,,,,12741.0,,,,9684.0,14154.0,12176.0,12290.0,-114.0,1978.0,13978.0,8545.0,161.0,345.0,879.0,2309.0,316.0,845.0,378.0,200.0,176.0
20,3,1985JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,1986JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,1987JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,1988JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,1990JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,1991JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,1992JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,1993JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,1994JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,1995JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,1996JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,1997JJ00,148620.0,145670.0,23410.0,24380.0,89650.0,5800.0,1980.0,450.0,2950.0,52220.0,51940.0,7490.0,6260.0,30470.0,5670.0,1820.0,230.0,280.0,96400.0,93730.0,15920.0,18120.0,59180.0,130.0,160.0,220.0,2670.0,109700.0,103820.0,102100.0,16190.0,13790.0,64110.0,5760.0,1910.0,340.0,1720.0,5880.0,51600.0,50150.0,8700.0,7530.0,33640.0,90.0,90.0,100.0,1450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,1998JJ00,152130.0,149640.0,24590.0,24340.0,92930.0,5230.0,1970.0,580.0,2490.0,52190.0,51880.0,7700.0,6150.0,31290.0,4730.0,1780.0,230.0,310.0,99940.0,97760.0,16890.0,18190.0,61640.0,500.0,190.0,350.0,2180.0,112710.0,106830.0,105060.0,16980.0,14080.0,66670.0,5050.0,1900.0,380.0,1770.0,5880.0,54630.0,53160.0,9270.0,7920.0,35380.0,320.0,120.0,150.0,1470.0,107.0,,46635.0,1323.0,1281.0,43.0,1324.0,23.0,11768.0,,669.0,,6279.0,6172.0,5869.0,5743.0,126.0,303.0,6175.0,3485.0,99.0,184.0,335.0,984.0,153.0,478.0,346.0,111.0,-3.0
