ID,Bedrijfsactiviteiten,Perioden,Bedrijven_1,WerknemersUltimoSeptember_2,TotaalProductiewaarde_3,TotaalIndustrieleVerkopen_4,BinnenlandseVerkopen_5,BuitenlandseVerkopen_6,Exportrestituties_7,VoorraadmutatiesProducten_8,TotaalMargeHandelOvOpbrengsten_9,GeactiveerdeKosten_10,Schadeuitkeringen_11,MargeHandel_12,OpbrengstOverigeActiviteiten_13,TotaalVerbruikswaarde_14,TotaalIndustrieleInkopen_15,GrondEnHulpstoffen_16,Verpakkingsmaterialen_17,LoondienstenInNederland_18,LoondienstenInBuitenland_19,BetalingenAanUitzendbureaus_20,KostenIngehuurdPersoneel_21,Vrachtkosten_22,OntvangenKortingen_23,TerugontvangenHeffingenED_24,VoorraadmutatiesGrondEnHulpstoffen_25,KostenEnergieverbruik_26,OverigeBedrijfskosten_27,TotaalToegevoegdeWaarde_28,TotaalArbeidskosten_29,BrutoLonenEnSalarissen_30,PremiesSocialeVerzekeringen_31,PremiesPensioenEnVUT_32,OverigeUitgavenSocialeVoorzieningen_33,HeffingenEnBelastingen_34,TotaalBrutoBedrijfsresultaat_35,SaldoInterest_36,SaldoBuitengewoneBastenLasten_37,SaldoVoorzieningen_38,AfschrijvingenOpVasteActiva_39,ResultaatVoorBelastingen_40,TotaalOverigeBedrijfskosten_41,TotaalHuurInclLease_42,GebouwenEnTerreinen_43,MachinesInstallatiesED_44,Vervoermiddelen_45,TotaalOnderhoudsEnReparatiekosten_46,GebouwenEnTerreinen_47,MachinesInstallatiesED_48,Vervoermiddelen_49,SchoonhoudenGebouwenEnTerreinen_50,KostenHulpmaterialen_51,KostenHandEnMachinegereedschappen_52,PremiesSchadeverzekeringen_53,BrandstofkostenVervoermiddelen_54,ReisEnVerblijfkosten_55,ReclameBeursEnRepresentatiekosten_56,BankEnIncassokosten_57,Communicatiekosten_58,AccountantAdmAdvRechtshulp_59,Automatiseringskosten_60,ResearchEnOntwikkelingskosten_61,DoorbelasteKostenAlgemeenBeheer_62,KantoorbehContributiesAbonnVaklit_63,Opleidingskosten_64,OverigePersoneelskosten_65,VuilafvoerVuilverwerking_66,Commissarissenbeloning_67,OctrooiEnLicentierechten_68,OverigeAlgemeneKosten_69,CodeBedrijfsactiviteit_70
0,Dx    ,1993JJ00,6671.0,721351.0,120522.0,115749.0,58154.0,56785.0,810.0,-1494.0,6266.0,506.0,36.0,3383.0,2341.0,83289.0,62799.0,53527.0,3199.0,3785.0,690.0,875.0,436.0,388.0,81.0,20.0,-458.0,4470.0,15562.0,37232.0,24038.0,19782.0,1732.0,1866.0,657.0,1463.0,11732.0,-1425.0,187.0,-622.0,5877.0,3995.0,15562.0,1475.0,705.0,426.0,344.0,2894.0,454.0,2086.0,112.0,242.0,561.0,239.0,420.0,137.0,656.0,2088.0,105.0,375.0,499.0,405.0,1042.0,1420.0,390.0,138.0,599.0,159.0,38.0,287.0,1635.0,Dx    
1,Dx    ,1994JJ00,6716.0,693866.0,126171.0,119502.0,58636.0,60208.0,658.0,-169.0,6838.0,445.0,30.0,3914.0,2449.0,86037.0,67518.0,57607.0,3279.0,3957.0,737.0,1018.0,555.0,478.0,92.0,22.0,294.0,2772.0,16041.0,40134.0,23527.0,19878.0,1373.0,1636.0,640.0,1558.0,15049.0,-1267.0,53.0,-179.0,5921.0,7735.0,16041.0,1512.0,728.0,429.0,355.0,3080.0,466.0,2264.0,116.0,234.0,571.0,252.0,466.0,148.0,686.0,2207.0,110.0,381.0,491.0,417.0,975.0,1343.0,423.0,154.0,618.0,191.0,33.0,212.0,1771.0,Dx    
2,Dx    ,1995JJ00,6404.0,681091.0,134709.0,126968.0,60130.0,66333.0,505.0,504.0,7239.0,628.0,19.0,3785.0,2807.0,93290.0,73605.0,62803.0,3370.0,4375.0,783.0,1311.0,642.0,441.0,104.0,15.0,478.0,2997.0,17167.0,41419.0,23638.0,20098.0,1297.0,1625.0,618.0,1591.0,16190.0,-1209.0,393.0,-540.0,5803.0,9030.0,17167.0,1604.0,777.0,456.0,371.0,3165.0,502.0,2320.0,113.0,230.0,638.0,299.0,482.0,154.0,727.0,2369.0,106.0,400.0,519.0,454.0,1064.0,1485.0,439.0,183.0,661.0,207.0,21.0,314.0,1876.0,Dx    
3,Dx    ,1996JJ00,6212.0,666793.0,138900.0,131456.0,63285.0,67710.0,461.0,246.0,7197.0,493.0,29.0,3797.0,2878.0,97348.0,76940.0,65390.0,3348.0,4516.0,1049.0,1531.0,742.0,484.0,111.0,9.0,113.0,3091.0,17430.0,41552.0,23808.0,20108.0,1361.0,1696.0,643.0,1652.0,16092.0,-1057.0,515.0,-368.0,6027.0,9155.0,17430.0,1562.0,794.0,390.0,378.0,3237.0,491.0,2386.0,124.0,236.0,714.0,310.0,463.0,162.0,742.0,2348.0,106.0,395.0,548.0,475.0,1199.0,1593.0,462.0,185.0,667.0,216.0,24.0,349.0,1673.0,Dx    
4,Dx    ,1997JJ00,6350.0,660650.0,150094.0,141413.0,66839.0,74124.0,450.0,800.0,7880.0,374.0,30.0,3901.0,3575.0,105729.0,83030.0,70656.0,3459.0,4737.0,1117.0,1762.0,814.0,631.0,138.0,8.0,262.0,3434.0,19527.0,44365.0,24262.0,20561.0,1307.0,1656.0,737.0,1668.0,18435.0,-983.0,292.0,-432.0,6128.0,11185.0,19527.0,1602.0,839.0,374.0,389.0,3366.0,469.0,2515.0,126.0,256.0,715.0,323.0,473.0,170.0,789.0,2463.0,107.0,407.0,556.0,772.0,1385.0,1845.0,474.0,202.0,694.0,233.0,25.0,449.0,2477.0,Dx    
5,Dx    ,1998JJ00,6433.0,667523.0,154707.0,144343.0,68153.0,75785.0,405.0,1268.0,9096.0,463.0,55.0,4796.0,3782.0,109668.0,85678.0,72204.0,3467.0,5570.0,1107.0,2081.0,818.0,587.0,149.0,6.0,-18.0,3309.0,20664.0,45039.0,25223.0,20423.0,2401.0,1610.0,788.0,1628.0,18187.0,-1036.0,811.0,-344.0,6457.0,11161.0,20664.0,1737.0,933.0,411.0,393.0,3387.0,478.0,2533.0,123.0,253.0,788.0,343.0,463.0,173.0,810.0,2453.0,104.0,417.0,665.0,920.0,1630.0,2130.0,486.0,231.0,769.0,255.0,23.0,404.0,2476.0,Dx    
6,Dx    ,1999JJ00,6591.0,666751.0,157546.0,148615.0,71201.0,76908.0,506.0,-10.0,8941.0,493.0,61.0,4453.0,3934.0,112231.0,87889.0,74328.0,3564.0,5513.0,1157.0,2152.0,811.0,520.0,150.0,6.0,338.0,3125.0,21555.0,45315.0,25708.0,20886.0,2507.0,1621.0,694.0,1746.0,17861.0,-1063.0,959.0,-103.0,6692.0,10962.0,21555.0,1777.0,961.0,428.0,388.0,3428.0,458.0,2571.0,124.0,275.0,793.0,329.0,448.0,180.0,830.0,2464.0,106.0,425.0,811.0,1058.0,1937.0,2113.0,509.0,241.0,799.0,282.0,30.0,535.0,2460.0,Dx    
7,DA    ,1993JJ00,908.0,124425.0,34853.0,33960.0,18890.0,14270.0,800.0,-60.0,953.0,20.0,7.0,763.0,163.0,26140.0,22382.0,19476.0,2188.0,176.0,106.0,236.0,65.0,163.0,19.0,9.0,-63.0,445.0,3251.0,8713.0,4122.0,3371.0,289.0,362.0,101.0,1417.0,3173.0,-211.0,180.0,-197.0,1079.0,1866.0,3251.0,233.0,103.0,65.0,65.0,628.0,100.0,414.0,39.0,75.0,100.0,23.0,74.0,38.0,88.0,1091.0,25.0,56.0,96.0,72.0,46.0,150.0,63.0,23.0,112.0,19.0,4.0,26.0,284.0,DA    
8,DA    ,1994JJ00,934.0,119722.0,35468.0,34304.0,19156.0,14496.0,652.0,-49.0,1215.0,19.0,7.0,909.0,280.0,26438.0,22694.0,19747.0,2174.0,172.0,115.0,250.0,61.0,200.0,17.0,9.0,101.0,441.0,3403.0,9030.0,4090.0,3347.0,241.0,383.0,119.0,1547.0,3392.0,-182.0,130.0,-51.0,1123.0,2166.0,3403.0,252.0,114.0,67.0,71.0,654.0,92.0,450.0,37.0,75.0,88.0,22.0,81.0,40.0,92.0,1118.0,27.0,58.0,100.0,64.0,59.0,163.0,79.0,26.0,127.0,22.0,3.0,31.0,297.0,DA    
9,DA    ,1995JJ00,899.0,114422.0,35894.0,34683.0,19038.0,15147.0,498.0,-5.0,1216.0,19.0,5.0,794.0,398.0,26882.0,22939.0,19985.0,2199.0,201.0,53.0,282.0,71.0,172.0,15.0,10.0,22.0,455.0,3510.0,9011.0,3988.0,3294.0,226.0,363.0,104.0,1579.0,3445.0,-184.0,284.0,-110.0,1109.0,2326.0,3510.0,262.0,116.0,72.0,74.0,643.0,95.0,434.0,37.0,77.0,88.0,28.0,82.0,42.0,92.0,1158.0,24.0,59.0,111.0,71.0,64.0,172.0,67.0,27.0,123.0,26.0,5.0,35.0,331.0,DA    
