ID,Ziekenhuizen,Perioden,AantalInstellingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,OpbrengstenTerDekkingWettelijkBudget_4,OverigeNettoOmzet_5,TotaalOverigeBedrijfsopbrengsten_6,SubsidiesEnBijdragen_7,NietEerderGenoemdeBedrijfsopbrengsten_8,TotaalBedrijfslasten_9,TotaalPersoneelskosten_10,TotaalArbeidskosten_11,LonenEnSalarissen_12,Pensioenlasten_13,SocialeLasten_14,TotaalAnderePersoneelskosten_15,KostenUitzendkrachtenEnOverigeInleen_16,OverigePersoneelskosten_17,AfschrijvingenOpVasteActiva_18,TotaalOverigeBedrijfslasten_19,VoedingEnHotelmatigeKosten_20,AlgemeneKosten_21,ClientBewonergebondenKosten_22,OnderhoudEnEnergiekosten_23,HuurOperationeleLeasingKapGoederen_24,AndereBedrijfslasten_25,Bedrijfsresultaat_26,FinancieleBaten_27,FinancieleLasten_28,FinancieelResultaat_29,BuitengewoonResultaat_30,ResultaatVoorBelastingen_31,WettelijkBudgetAanvaardbareKosten_32,OpbrengstenTerDekkingWettelijkBudget_33,FinancieringsverschilBoekjaar_34,TotaalExclusiefVrijgevestigdeMedici_35,TotaalWerknemers_36,TotaalOverheadEnFacilitaireFuncties_37,AlgemeneEnAdministratieveFuncties_38,Hotelfuncties_39,TerreinEnGebouwgebondenFuncties_40,PatientEnBewonergebondenFuncties_41,LeerlingverplVerzOpvPersoneel_42,Stagiaires_43,OverigeWerkzamePersonen_44,TotaalInclusiefVrijgevestigdeMedici_45,VrijgevestigdeMedici_46,TotaalExclusiefVrijgevestigdeMedici_47,TotaalWerknemers_48,TotaalOverheadEnFacilitaireFuncties_49,AlgemeneEnAdministratieveFuncties_50,Hotelfuncties_51,TerreinEnGebouwgebondenFuncties_52,PatientEnBewonergebondenFuncties_53,LeerlingverplVerzOpvPersoneel_54,Stagiaires_55,OverigeWerkzamePersonen_56,AantalBedden_57,AantalOpnamen_58,AantalOntslagen_59,AantalOverleden_60,TotaalOntslagenEnOverledenPatienten_61,PatientenPupillenPer31December_62,AantalVerpleegdagen_63,AantalRevalidatiebehandelurenRBU_64,AantalDagbehandelingen_65,AantalRevalidatiebehandelurenRBU_66,AantalEerstePolikliniekbezoeken_67
0,100,1972JJ00,261.0,1558.0,,,,,,,1475.0,1053.0,,,,,,,,99.0,323.0,55.0,,152.0,,,,80.0,,,-103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75496.0,1362.0,1316.0,47.0,1363.0,48.0,24115.0,,,,
1,100,1973JJ00,255.0,1807.0,,,,,,,1709.0,1233.0,,,,,,,,112.0,364.0,58.0,,170.0,,,,94.0,,,-124.0,,,,,,,,,,,,,,,,,,,,39880.0,,,,48190.0,25700.0,,,75545.0,1393.0,1350.0,47.0,1397.0,45.0,23762.0,,,,
2,100,1974JJ00,254.0,2179.0,,,,,,,2049.0,1489.0,,,,,,,,131.0,428.0,61.0,,199.0,,,,125.0,,,-152.0,,,,,,,,,,,,,,,,,,,113480.0,37310.0,,,,48080.0,24960.0,3140.0,,75058.0,1422.0,1376.0,46.0,1422.0,45.0,23549.0,,,,
3,100,1975JJ00,256.0,2599.0,,,,,,,2448.0,1778.0,,,,,,,,139.0,531.0,,,,,,,146.0,,,-165.0,,,,,,,,,,,,,,,,,,,118120.0,38900.0,,,,51350.0,25100.0,2770.0,,74645.0,1443.0,1396.0,48.0,1444.0,43.0,23182.0,,,,
4,100,1976JJ00,244.0,2983.0,,,,,,,2837.0,2057.0,,,,,,,,151.0,629.0,75.0,,285.0,,,,140.0,,,-180.0,,,,,,,,,,,,,,,,,,124100.0,121690.0,40090.0,,,,55220.0,24840.0,1540.0,2410.0,74196.0,1488.0,1440.0,48.0,1488.0,43.0,22969.0,,,,
5,100,1977JJ00,242.0,3323.0,,,,,,,3184.0,2302.0,,,,,,,,164.0,718.0,83.0,,335.0,,,,134.0,,,-191.0,,,,,,,,,,,,,,,,,,125670.0,123130.0,41210.0,,,,56860.0,23790.0,1280.0,2530.0,74288.0,1503.0,1456.0,47.0,1502.0,44.0,22875.0,,,,
6,100,1978JJ00,239.0,3656.0,,,,,,,3487.0,2533.0,,,,,,,,175.0,779.0,82.0,,373.0,,,,163.0,,,-203.0,,,,,,145190.0,141660.0,49230.0,,,,67080.0,23490.0,1870.0,3530.0,,,128700.0,125820.0,41830.0,,,,59150.0,23490.0,1350.0,2880.0,74043.0,1542.0,1495.0,48.0,1543.0,42.0,22853.0,,,,
7,100,1979JJ00,233.0,3984.0,,,,,,,3817.0,2747.0,,,,,,,,194.0,876.0,86.0,,419.0,,,,160.0,,,-225.0,,,,,,147710.0,143600.0,49520.0,,,,69630.0,22780.0,1670.0,4110.0,,,129710.0,126570.0,41700.0,,,,60880.0,22740.0,1250.0,3150.0,73709.0,1561.0,1517.0,46.0,1564.0,40.0,22548.0,,,,
8,100,1980JJ00,230.0,4343.0,,,,,,,4158.0,2923.0,,,,,,,,215.0,1020.0,,,,,,,177.0,,,-256.0,,,,,,149610.0,145870.0,50830.0,,,,71890.0,21970.0,1180.0,3740.0,,,131690.0,128770.0,42660.0,,,,63130.0,21940.0,1030.0,2920.0,73149.0,1588.0,1542.0,47.0,1589.0,40.0,22295.0,,,,
9,100,1981JJ00,231.0,4672.0,,,,,,,4427.0,3027.0,,,,,,,,237.0,1163.0,99.0,,570.0,,,,236.0,,,-298.0,,,,,,152510.0,149330.0,52470.0,,,,74390.0,20290.0,1170.0,3180.0,,,133020.0,130620.0,43370.0,,,,64970.0,21280.0,1010.0,2400.0,72733.0,1605.0,1557.0,47.0,1605.0,41.0,21919.0,,,,
10,100,1982JJ00,227.0,4990.0,,,,,,,4719.0,3186.0,,,,,,,,257.0,1276.0,104.0,,544.0,,,,262.0,,,-310.0,,,,,,155310.0,152320.0,53980.0,,,,76890.0,18370.0,1270.0,2990.0,,,133940.0,131630.0,43760.0,,,,66630.0,20170.0,1070.0,2320.0,69793.0,1622.0,1575.0,48.0,1623.0,40.0,21624.0,,,,
11,100,1983JJ00,226.0,5089.0,,,,,,,4790.0,3209.0,,,,,,,,269.0,1311.0,102.0,210.0,519.0,,,,290.0,,,-313.0,,,,,,154990.0,152060.0,53680.0,,,,79270.0,16710.0,1040.0,2940.0,,,132040.0,130160.0,43050.0,,,,68200.0,18030.0,890.0,1880.0,69602.0,1620.0,1575.0,47.0,1623.0,38.0,21071.0,,,,
12,100,1984JJ00,217.0,5047.0,,,,,,,4738.0,3108.0,,,,,,,,282.0,1347.0,102.0,209.0,521.0,,,,300.0,,,-315.0,,,,,,156200.0,153030.0,53590.0,,,,81660.0,15160.0,1280.0,3170.0,,,131480.0,129400.0,42430.0,,,,69550.0,16480.0,940.0,2080.0,68990.0,1584.0,1539.0,48.0,1586.0,36.0,20226.0,,157.0,,
13,100,1985JJ00,207.0,5168.0,,,,,,,4857.0,3165.0,,,,,,,,296.0,1396.0,,,,,,,302.0,,,-318.0,,,,,,157910.0,154100.0,54250.0,,,,83310.0,15410.0,1140.0,3800.0,,,132180.0,129690.0,42570.0,,,,70800.0,15400.0,920.0,2490.0,68461.0,1576.0,1527.0,50.0,1577.0,35.0,19755.0,,204.0,,
14,100,1986JJ00,198.0,5306.0,,,,,,,4994.0,3287.0,,,,,,,,312.0,1395.0,102.0,231.0,584.0,,,,303.0,,,-323.0,,,,,,160580.0,156520.0,55210.0,,,,85440.0,15030.0,840.0,4060.0,,,133330.0,130390.0,42920.0,,,,71830.0,15010.0,640.0,2940.0,67970.0,1556.0,1507.0,49.0,1557.0,34.0,19168.0,,265.0,,
15,100,1987JJ00,198.0,5359.0,,,,,,,5043.0,3306.0,,,,,,,,327.0,1409.0,97.0,248.0,588.0,,,,307.0,,,-328.0,,,,,,164730.0,160600.0,56820.0,,,,87510.0,15410.0,870.0,4130.0,,,134080.0,131050.0,42760.0,,,,72570.0,15050.0,660.0,3030.0,67411.0,1527.0,1480.0,48.0,1528.0,33.0,18456.0,,319.0,,
16,100,1988JJ00,183.0,5490.0,,,,,,,5244.0,3394.0,,,,,,,,348.0,1502.0,,,,,,,235.0,,,-333.0,,,,,,167850.0,163380.0,56330.0,,,,92020.0,14370.0,660.0,4470.0,,,134040.0,130890.0,42000.0,,,,74290.0,14070.0,530.0,3150.0,66961.0,1529.0,1480.0,48.0,1528.0,34.0,18136.0,,355.0,,
17,100,1989JJ00,179.0,5691.0,,,,,,,5346.0,3420.0,,,,,,,,363.0,1562.0,,,,,,,335.0,,,-360.0,,,,,,171090.0,165890.0,57040.0,,,,95160.0,13010.0,680.0,5200.0,,,135650.0,131710.0,42450.0,,,,76030.0,12660.0,580.0,3940.0,65809.0,1546.0,1497.0,49.0,1546.0,34.0,17853.0,,387.0,,
18,100,1990JJ00,169.0,6052.0,,,,,,,5666.0,3532.0,,,,,,,,378.0,1755.0,,,,,,,385.0,,,-409.0,,,,,,174880.0,169340.0,57120.0,,,,98510.0,13020.0,690.0,5550.0,,,137270.0,133160.0,41640.0,,,,78340.0,12630.0,550.0,4120.0,64581.0,1538.0,1490.0,50.0,1540.0,32.0,17284.0,,410.0,,
19,100,1991JJ00,163.0,6665.0,,,,,,,6157.0,3843.0,,,,,,,,408.0,1906.0,,,,,,,508.0,,,-501.0,,,,,,181090.0,176410.0,59170.0,,,,104120.0,12300.0,830.0,4680.0,,,139240.0,135660.0,42240.0,,,,81110.0,11850.0,460.0,3580.0,63720.0,1550.0,1501.0,48.0,1549.0,32.0,16969.0,,464.0,,
20,100,1992JJ00,157.0,7092.0,,,,,,,6556.0,4073.0,,,,,,,,439.0,2044.0,,,,,,,535.0,,,-544.0,,,,,,186360.0,181900.0,61100.0,,,,108020.0,12170.0,620.0,4450.0,,,141150.0,137920.0,42770.0,,,,82750.0,11890.0,510.0,3230.0,63384.0,1565.0,1518.0,47.0,1566.0,32.0,16667.0,,523.0,,5515.0
21,100,1993JJ00,154.0,7350.0,,,,,,,6838.0,4260.0,,,,,,,,470.0,2108.0,,,,,,,512.0,,,-519.0,,,,,,187910.0,184530.0,61930.0,,,,110540.0,11310.0,750.0,3380.0,,,139860.0,137520.0,42550.0,,,,83450.0,11290.0,240.0,2340.0,62383.0,1574.0,1524.0,50.0,1574.0,32.0,16393.0,,544.0,,5630.0
22,100,1994JJ00,152.0,7528.0,,,,,,,7008.0,4293.0,,,,,,,,501.0,2214.0,,,,,,,523.0,,,-483.0,,,,,,187350.0,184600.0,61430.0,,,,113180.0,9560.0,430.0,2750.0,,,136860.0,135050.0,41320.0,,,,83830.0,9530.0,380.0,1800.0,59911.0,1603.0,1557.0,47.0,1604.0,31.0,16126.0,,592.0,,6028.0
23,100,1995JJ00,148.0,7821.0,,,,,,,7283.0,4430.0,,,,,,,,524.0,2329.0,,,,,,,543.0,,,-481.0,,,,,,191160.0,189070.0,63200.0,,,,116820.0,8460.0,600.0,2090.0,,,138100.0,136780.0,41870.0,,,,86050.0,8370.0,490.0,1320.0,58938.0,1593.0,1544.0,48.0,1593.0,31.0,15778.0,,644.0,,6226.0
24,100,1996JJ00,146.0,8146.0,,,,,,,7667.0,4655.0,,,,,,,,586.0,2426.0,,,,,,,479.0,,,-481.0,,,,,,194710.0,192540.0,64310.0,,,,120170.0,7230.0,820.0,2170.0,,,139140.0,137870.0,42390.0,,,,87750.0,7220.0,510.0,1270.0,58134.0,1589.0,1542.0,48.0,1590.0,30.0,15531.0,,669.0,,6556.0
25,100,1997JJ00,143.0,8472.0,,,,,,,8002.0,4825.0,,,,,,,,607.0,2570.0,,,,,,,479.0,,,-470.0,,,,,,195010.0,,,,,,,,,,,,140130.0,137910.0,43440.0,,,,87490.0,6640.0,340.0,2220.0,58161.0,1581.0,1533.0,48.0,1581.0,29.0,15159.0,,718.0,,
26,100,1998JJ00,143.0,8656.0,8594.0,7682.0,911.0,62.0,39.0,23.0,8453.0,5163.0,4379.0,3760.0,198.0,421.0,784.0,292.0,492.0,629.0,2661.0,388.0,471.0,1357.0,285.0,84.0,76.0,203.0,8.0,468.0,-460.0,16.0,-241.0,7933.0,7682.0,251.0,,205720.0,69380.0,36270.0,30260.0,2850.0,129470.0,6150.0,720.0,,,,149220.0,146510.0,46250.0,25550.0,18000.0,2700.0,94020.0,5770.0,470.0,2710.0,57825.0,1551.0,1503.0,49.0,1552.0,29.0,14790.0,,752.0,,7043.0
27,100,1999JJ00,136.0,9184.0,9120.0,8137.0,983.0,64.0,41.0,23.0,8981.0,5575.0,4707.0,4037.0,218.0,453.0,868.0,337.0,532.0,653.0,2752.0,398.0,492.0,1429.0,279.0,89.0,65.0,203.0,8.0,454.0,-446.0,9.0,-234.0,8374.0,8137.0,237.0,,209270.0,70070.0,37490.0,29790.0,2790.0,131690.0,6460.0,1050.0,,,,153180.0,150540.0,47460.0,26710.0,18090.0,2660.0,96740.0,5610.0,730.0,2640.0,57224.0,1522.0,1478.0,48.0,1526.0,25.0,13940.0,,790.0,,8283.0
28,100,2000JJ00,131.0,9807.0,9729.0,8677.0,1052.0,78.0,59.0,19.0,9519.0,5955.0,5103.0,4325.0,283.0,495.0,852.0,297.0,555.0,671.0,2892.0,411.0,544.0,1511.0,288.0,93.0,44.0,288.0,8.0,461.0,-453.0,-11.0,-176.0,8850.0,8677.0,174.0,,214100.0,72830.0,40400.0,29650.0,2780.0,133880.0,6340.0,1050.0,,,,155740.0,152620.0,48540.0,27990.0,17920.0,2630.0,97660.0,5580.0,840.0,3120.0,55438.0,1485.0,1436.0,48.0,1484.0,26.0,13332.0,,839.0,,8318.0
29,100,2001JJ00,129.0,11290.0,11167.0,9837.0,1329.0,124.0,97.0,27.0,10736.0,6736.0,5835.0,4980.0,305.0,549.0,901.0,347.0,554.0,717.0,3282.0,453.0,641.0,1688.0,341.0,98.0,62.0,555.0,8.0,465.0,-457.0,-14.0,84.0,9808.0,9837.0,-29.0,,219980.0,75010.0,42470.0,29700.0,2840.0,137260.0,6050.0,1660.0,,,,160140.0,156910.0,50010.0,29640.0,17730.0,2640.0,100440.0,5360.0,1100.0,3230.0,53247.0,1479.0,1433.0,47.0,1479.0,26.0,12778.0,,938.0,,8683.0
30,100,2002JJ00,130.0,12823.0,12706.0,11182.0,1524.0,117.0,105.0,12.0,12047.0,7609.0,6575.0,5432.0,411.0,731.0,1034.0,350.0,684.0,769.0,3669.0,497.0,737.0,1952.0,326.0,95.0,62.0,776.0,11.0,451.0,-440.0,1.0,336.0,10890.0,11182.0,-292.0,,233430.0,77670.0,44170.0,30580.0,2920.0,146190.0,6770.0,2800.0,,,,167260.0,164350.0,52160.0,31220.0,18220.0,2720.0,104680.0,5870.0,1640.0,2910.0,52861.0,1544.0,,,,,12946.0,,,,9104.0
31,100,2003JJ00,129.0,13484.0,13365.0,11612.0,1753.0,119.0,93.0,26.0,12995.0,8204.0,7112.0,5750.0,527.0,835.0,1092.0,390.0,702.0,807.0,3984.0,506.0,810.0,2137.0,343.0,105.0,83.0,489.0,7.0,404.0,-397.0,-4.0,88.0,11587.0,11612.0,-25.0,242800.0,239400.0,79270.0,46130.0,30250.0,2890.0,150790.0,6320.0,3020.0,3400.0,,,173150.0,170770.0,53580.0,32690.0,18190.0,2700.0,109610.0,5740.0,1840.0,3370.0,52292.0,1602.0,,,,,12651.0,,,,9333.0
32,100,2004JJ00,129.0,14254.0,14170.0,12289.0,1881.0,84.0,56.0,28.0,13566.0,8525.0,7818.0,6143.0,672.0,1001.0,707.0,369.0,338.0,844.0,4197.0,504.0,875.0,2301.0,316.0,113.0,88.0,687.0,10.0,387.0,-378.0,-25.0,285.0,12176.0,12289.0,-113.0,245610.0,240510.0,79220.0,47050.0,29370.0,2800.0,152120.0,6010.0,3160.0,5090.0,,,176190.0,173030.0,53860.0,33710.0,17510.0,2640.0,111850.0,5440.0,1870.0,3160.0,52165.0,1681.0,,,,,12557.0,,,,9682.0
33,100,2005JJ00,128.0,15307.0,15238.0,12627.0,2611.0,69.0,42.0,26.0,14071.0,8716.0,8012.0,6308.0,758.0,946.0,704.0,348.0,356.0,918.0,4436.0,519.0,879.0,2493.0,339.0,120.0,86.0,1236.0,15.0,384.0,-371.0,,,12001.0,12627.0,-626.0,247820.0,240670.0,79530.0,47720.0,29030.0,2780.0,151680.0,5870.0,3590.0,7160.0,,,178720.0,174980.0,54750.0,34280.0,17860.0,2610.0,113060.0,5130.0,2040.0,3730.0,51296.0,1711.0,,,,,12396.0,,,,9892.0
34,100,2006JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,200,1972JJ00,199.0,1173.0,,,,,,,1094.0,764.0,,,,,,,,91.0,240.0,45.0,,113.0,,,,75.0,,,-97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61312.0,1193.0,1152.0,42.0,1194.0,39.0,19789.0,,,,
36,200,1973JJ00,197.0,1368.0,,,,,,,1276.0,901.0,,,,,,,,104.0,270.0,47.0,,126.0,,,,88.0,,,-117.0,,,,,,,,,,,,,,,,,,,,29460.0,,,,34880.0,21890.0,,,61790.0,1222.0,1183.0,42.0,1225.0,36.0,19621.0,,,,
37,200,1974JJ00,195.0,1626.0,,,,,,,1494.0,1064.0,,,,,,,,121.0,310.0,49.0,,145.0,,,,128.0,,,-141.0,,,,,,,,,,,,,,,,,,,85660.0,26940.0,,,,35110.0,21090.0,2520.0,,61458.0,1245.0,1204.0,41.0,1245.0,36.0,19438.0,,,,
