ID,Perioden,GemiddeldeLengte_1,GemiddeldGewicht_2,Bedrijfsongevallen_3,Mannen_4,Vrouwen_5,SalmonellainfectiesExclParaTyfus_6,Gonorroe_7,Syfilis_8,Crematies_9,AlleenMetHulpGeneeskundigeGeboren_10,AlleenMetHulpVerloskundigeGeboren_11,ThuisGeboren_12,InZiekenhuisOfKraamkliniekGeboren_13,Ziekenhuizen_14,KostenVanZiekenhuizen_15,TotaleKosten_16,InVanBrutoBinnenlandsProductBBP_17,Ziekenfondsen_18,AlgemeneWetBijzondereZiektekosten_19,Overheid_20,OverigeFinancieringsvormen_21
0,1900JJ00,169.0,,,,,,,,,,,,,,,,,,,,
1,1901JJ00,169.0,,,,,,,,,,,,,,,,,,,,
2,1902JJ00,169.0,,,,,,,,,,,,,,,,,,,,
3,1903JJ00,169.0,,,,,,,,,,,,,,,,,,,,
4,1904JJ00,169.0,,,,,,,,,,,,,,,,,,,,
5,1905JJ00,170.0,,,,,,,,,,,,,,,,,,,,
6,1906JJ00,170.0,,,,,,,,,,,,,,,,,,,,
7,1907JJ00,170.0,,,,,,,,,,,,,,,,,,,,
8,1908JJ00,170.0,,,,,,,,,,,,,,,,,,,,
9,1909JJ00,170.0,,,,,,,,,,,,,,,,,,,,
10,1910JJ00,170.0,,,,,,,,,38.0,57.7,,,,,,,,,,
11,1911JJ00,170.0,,,,,,,,,,,,,,,,,,,,
12,1912JJ00,170.0,,,,,,,,,,,,,,,,,,,,
13,1913JJ00,170.0,,,,,,,,,,,,,,,,,,,,
14,1914JJ00,170.0,,,,,,,,,,,,,,,,,,,,
15,1915JJ00,170.0,,,,,,,,0.1,38.4,58.6,,,,,,,,,,
16,1916JJ00,170.0,,,,,,,,0.1,,,,,,,,,,,,
17,1917JJ00,170.0,,,,,,,,0.1,,,,,,,,,,,,
18,1918JJ00,170.0,,,,,,,,0.1,,,,,,,,,,,,
19,1919JJ00,170.0,,,,,,,,0.2,,,,,,,,,,,,
20,1920JJ00,170.0,,,,,,,,0.2,,,,,,,,,,,,
21,1921JJ00,171.0,,,,,,,,0.2,40.7,57.4,,,,,,,,,,
22,1922JJ00,171.0,,,,,,,,0.2,40.8,57.3,,,261.0,,,,,,,
23,1923JJ00,171.0,,,,,,,,0.3,,,,,258.0,,,,,,,
24,1924JJ00,171.0,,,,,,,,0.4,44.1,54.6,,,261.0,,,,,,,
25,1925JJ00,171.0,,,,,,,,0.4,,,,,257.0,,,,,,,
26,1926JJ00,171.0,,,,,,,,0.4,,,,,261.0,,,,,,,
27,1927JJ00,171.0,,,,,,,,0.5,,,,,263.0,,,,,,,
28,1928JJ00,171.0,,,,,,,,0.6,,,,,269.0,,,,,,,
29,1929JJ00,172.0,,,,,,,,0.5,,,,,268.0,,,,,,,
30,1930JJ00,172.0,,,,,,,,0.7,,,,,279.0,,,,,,,
31,1931JJ00,172.0,,,,,,,,0.7,,,,,282.0,,,,,,,
32,1932JJ00,172.0,,,,,69.0,,,0.9,,,,,269.0,,,,,,,
33,1933JJ00,172.0,,,,,250.0,,,0.9,,,,,264.0,,,,,,,
34,1934JJ00,172.0,,,,,164.0,,,1.0,49.1,50.7,,,264.0,,,,,,,
35,1935JJ00,172.0,,,,,88.0,,,1.0,49.7,50.1,,,264.0,,,,,,,
36,1936JJ00,172.0,,,,,183.0,,,1.1,50.1,48.8,,,263.0,,,,,,,
37,1937JJ00,173.0,,,,,405.0,,,1.2,50.7,48.0,,,261.0,,,,,,,
38,1938JJ00,173.0,,,,,149.0,,,1.2,51.8,47.0,,,264.0,,,,,,,
39,1939JJ00,173.0,,,,,136.0,,,1.3,52.0,46.8,,,262.0,,,,,,,
40,1940JJ00,173.0,,,,,165.0,,,1.2,51.3,47.7,,,267.0,,,,,,,
41,1941JJ00,,,,,,187.0,,,1.2,52.6,46.3,,,262.0,,,,,,,
