ID,EconomicActivityAndOtherItems,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,TotalCompensationOfEmployees_13,WagesAndSalaries_14,EmployersSocialContributions_15,NetOperatingSurplusMixedIncome_16,ConsumptionOfFixedCapital_17,OtherTaxesLessSubsidies_18,OtherTaxesOnProduction_19,OtherSubsidiesOnProd_20,GrossValueAddedBasicPrices_21
0,300025,1969JJ00,99570.0,52138.0,47432.0,353603.0,177531.0,176603.0,,,,28.2,29.4,26.9,27744.0,22398.0,5346.0,13633.0,5767.0,288.0,395.0,107.0,47432.0
1,300025,1970JJ00,113369.0,60019.0,53350.0,378405.0,191604.0,187218.0,7.0,7.9,6.0,30.0,31.3,28.5,31770.0,25610.0,6160.0,14625.0,6656.0,299.0,438.0,139.0,53350.0
2,300025,1971JJ00,127045.0,66927.0,60118.0,397581.0,202135.0,195802.0,5.1,5.5,4.6,32.0,33.1,30.7,36510.0,29194.0,7316.0,15518.0,7764.0,326.0,477.0,151.0,60118.0
3,300025,1972JJ00,137993.0,70486.0,67507.0,406884.0,204582.0,202847.0,2.3,1.2,3.6,33.9,34.5,33.3,40890.0,32535.0,8355.0,17465.0,8751.0,401.0,579.0,178.0,67507.0
4,300025,1973JJ00,158471.0,81352.0,77119.0,429589.0,215983.0,214181.0,5.6,5.6,5.6,36.9,37.7,36.0,47392.0,37026.0,10366.0,19543.0,9696.0,488.0,681.0,193.0,77119.0
5,300025,1974JJ00,187853.0,97004.0,90849.0,445217.0,222487.0,223387.0,3.6,3.0,4.3,42.2,43.6,40.7,55074.0,42796.0,12278.0,23935.0,11291.0,549.0,780.0,231.0,90849.0
6,300025,1975JJ00,202491.0,104546.0,97945.0,439934.0,217235.0,223537.0,-1.2,-2.4,0.1,46.0,48.1,43.8,62325.0,48391.0,13934.0,22087.0,13035.0,498.0,796.0,298.0,97945.0
7,300025,1976JJ00,230421.0,119324.0,111097.0,460285.0,227664.0,233461.0,4.6,4.8,4.4,50.1,52.4,47.6,69266.0,53595.0,15671.0,26637.0,14630.0,564.0,1016.0,452.0,111097.0
8,300025,1977JJ00,248262.0,128677.0,119585.0,470394.0,232390.0,238891.0,2.2,2.1,2.3,52.8,55.4,50.1,75741.0,58833.0,16908.0,26963.0,16035.0,846.0,1208.0,362.0,119585.0
9,300025,1978JJ00,265058.0,135400.0,129658.0,484245.0,239942.0,245139.0,2.9,3.2,2.6,54.7,56.4,52.9,82188.0,63838.0,18350.0,29098.0,17512.0,860.0,1314.0,454.0,129658.0
10,300025,1979JJ00,290669.0,151686.0,138983.0,503537.0,253561.0,250575.0,4.0,5.7,2.2,57.7,59.8,55.5,88494.0,68370.0,20124.0,30237.0,19283.0,969.0,1479.0,510.0,138983.0
11,300025,1980JJ00,317970.0,168116.0,149854.0,511456.0,257703.0,254349.0,1.6,1.6,1.5,62.2,65.2,58.9,94001.0,72414.0,21587.0,33454.0,21366.0,1033.0,1589.0,556.0,149854.0
12,300025,1981JJ00,339153.0,180481.0,158672.0,505968.0,252979.0,253788.0,-1.1,-1.8,-0.2,67.0,71.3,62.5,96120.0,74133.0,21987.0,37922.0,23458.0,1172.0,1744.0,572.0,158672.0
13,300025,1982JJ00,351312.0,187024.0,164288.0,500898.0,251122.0,250473.0,-1.0,-0.7,-1.3,70.1,74.5,65.6,99040.0,76717.0,22323.0,39201.0,24878.0,1169.0,1870.0,701.0,164288.0
14,300025,1983JJ00,363793.0,193545.0,170248.0,510696.0,255806.0,255631.0,2.0,1.9,2.1,71.2,75.7,66.6,100344.0,76829.0,23515.0,43037.0,25683.0,1184.0,1979.0,795.0,170248.0
15,300025,1984JJ00,388464.0,209201.0,179263.0,529530.0,266009.0,264185.0,3.7,4.0,3.3,73.4,78.6,67.9,100809.0,77456.0,23353.0,50508.0,26738.0,1208.0,2033.0,825.0,179263.0
16,300025,1985JJ00,404748.0,218930.0,185818.0,542896.0,272561.0,271040.0,2.5,2.5,2.6,74.6,80.3,68.6,104641.0,80723.0,23918.0,51999.0,27870.0,1308.0,2096.0,788.0,185818.0
17,300025,1986JJ00,397043.0,205961.0,191082.0,559262.0,282977.0,276634.0,3.0,3.8,2.1,71.0,72.8,69.1,109164.0,84351.0,24813.0,51651.0,28922.0,1345.0,2152.0,807.0,191082.0
18,300025,1987JJ00,397337.0,204425.0,192912.0,571138.0,288667.0,282845.0,2.1,2.0,2.2,69.6,70.8,68.2,112894.0,87380.0,25514.0,48064.0,30517.0,1437.0,2305.0,868.0,192912.0
19,300025,1988JJ00,416649.0,215786.0,200863.0,593507.0,302079.0,291736.0,3.9,4.6,3.1,70.2,71.4,68.9,116037.0,90554.0,25483.0,50997.0,32355.0,1474.0,2369.0,895.0,200863.0
