ID,EconomicSectors,Periods,OutputBasicPrices_1,IntermediateConsumption_2,ValueAtCurrentPrices_3,ValueAtPricesOf2005_4,VolumeChangesOnPreviousYear_5,PriceIndices_6,TotalCompensationOfEmployees_7,WagesAndSalaries_8,EmployersSocialContributions_9,ConsumptionOfFixedCapital_10,NetOperatingSurplusMixedIncome_11,OtherTaxesLessSubsidies_12,OtherTaxesOnProduction_13,OtherSubsidiesOnProd_14,DifferenceImputedAndPaidVAT_15,ValueAtCurrentPrices_16,ValueAtPricesOf2005_17,VolumeChangesOnPreviousYear_18,PriceIndices_19
0,S10,1988JJ00,417495.0,216632.0,200863.0,291736.0,3.1,68.9,116037.0,90554.0,25483.0,32355.0,51383.0,1474.0,2369.0,895.0,386.0,200863.0,291736.0,3.1,68.9
1,S10,1989JJ00,448007.0,235515.0,212492.0,303873.0,4.2,69.9,119628.0,94712.0,24916.0,34382.0,57605.0,1448.0,2422.0,974.0,571.0,212492.0,303873.0,4.2,69.9
2,S10,1990JJ00,470618.0,246786.0,223832.0,315701.0,3.9,70.9,127116.0,109225.0,17891.0,36596.0,59360.0,1573.0,2532.0,959.0,813.0,223832.0,315701.0,3.9,70.9
3,S10,1991JJ00,497936.0,261007.0,236929.0,323489.0,2.5,73.2,135023.0,115946.0,19077.0,38773.0,61518.0,1968.0,2636.0,668.0,353.0,236929.0,323489.0,2.5,73.2
4,S10,1992JJ00,513027.0,266812.0,246215.0,328190.0,1.5,75.0,142980.0,122527.0,20453.0,40900.0,61504.0,2322.0,2918.0,596.0,1491.0,246215.0,328190.0,1.5,75.0
5,S10,1993JJ00,519935.0,267134.0,252801.0,332063.0,1.2,76.1,147027.0,126702.0,20325.0,42437.0,60767.0,2522.0,3113.0,591.0,-48.0,252801.0,332063.0,1.2,76.1
6,S10,1994JJ00,545755.0,281274.0,264481.0,341340.0,2.8,77.5,150603.0,130352.0,20251.0,43636.0,69085.0,2638.0,3278.0,640.0,1481.0,264481.0,341340.0,2.8,77.5
7,S10,1995JJ00,573963.0,298277.0,275686.0,351455.0,3.0,78.4,155837.0,133469.0,22368.0,45226.0,73163.0,2477.0,3307.0,830.0,1017.0,275686.0,351455.0,3.0,78.4
8,S10,1996JJ00,607125.0,320046.0,287079.0,362089.0,3.0,79.3,161820.0,138394.0,23426.0,47150.0,77403.0,1858.0,3425.0,1567.0,1152.0,287079.0,362089.0,3.0,79.3
9,S10,1997JJ00,650820.0,344281.0,306539.0,377338.0,4.2,81.2,171222.0,146979.0,24243.0,49309.0,85575.0,1408.0,3439.0,2031.0,975.0,306539.0,377338.0,4.2,81.2
10,S10,1998JJ00,685191.0,361164.0,324027.0,391624.0,3.8,82.7,184054.0,148291.0,35763.0,52383.0,87794.0,896.0,3608.0,2712.0,1100.0,324027.0,391624.0,3.8,82.7
11,S10,1999JJ00,729542.0,385207.0,344335.0,409455.0,4.6,84.1,197344.0,159361.0,37983.0,56326.0,90488.0,843.0,4018.0,3175.0,666.0,344335.0,409455.0,4.6,84.1
12,S10,2000JJ00,806161.0,432746.0,373415.0,425829.0,4.0,87.7,211803.0,170718.0,41085.0,61308.0,99874.0,1142.0,4321.0,3179.0,712.0,373415.0,425829.0,4.0,87.7
13,S10,2001JJ00,853164.0,455608.0,397556.0,433798.0,1.9,91.6,227390.0,182607.0,44783.0,65865.0,104331.0,978.0,4788.0,3810.0,1008.0,397556.0,433798.0,1.9,91.6
14,S10,2002JJ00,870427.0,456053.0,414374.0,434620.0,0.2,95.3,238825.0,189544.0,49281.0,69427.0,106231.0,1025.0,5004.0,3979.0,1134.0,414374.0,434620.0,0.2,95.3
15,S10,2003JJ00,883492.0,458236.0,425256.0,436743.0,0.5,97.4,245752.0,193799.0,51953.0,71461.0,107387.0,1367.0,5050.0,3683.0,711.0,425256.0,436743.0,0.5,97.4
16,S10,2004JJ00,913856.0,476982.0,436874.0,446904.0,2.3,97.8,251030.0,195648.0,55382.0,73498.0,111614.0,1166.0,5261.0,4095.0,434.0,436874.0,446904.0,2.3,97.8
17,S10,2005JJ00,962007.0,505825.0,456182.0,456182.0,2.1,100.0,254563.0,199011.0,55552.0,75709.0,124334.0,2214.0,5599.0,3385.0,638.0,456182.0,456182.0,2.1,100.0
18,S10,2006JJ00,1021783.0,542771.0,479012.0,471376.0,3.3,101.6,264925.0,207545.0,57380.0,78594.0,133509.0,2140.0,5642.0,3502.0,156.0,479012.0,471376.0,3.3,101.6
