ID,SpendingCategory,CaribbeanNetherlands,Periods,ConsumerPriceIndexCPI_1,QuarterOnQuarterChangeCPI_2,YearOnYearChangeCPI_3,Weights_4
0,000000,GM9001,2010KW01,99.46,,,100000
1,000000,GM9001,2010KW02,99.81,0.4,,100000
2,000000,GM9001,2010KW03,100.24,0.4,,100000
3,000000,GM9001,2010KW04,100.5,0.3,,100000
4,000000,GM9001,2010JJ00,100.0,,,100000
5,000000,GM9001,2011KW01,103.61,3.1,4.2,100000
6,000000,GM9001,2011KW02,104.81,1.2,5.0,100000
7,000000,GM9001,2011KW03,106.02,1.2,5.8,100000
8,000000,GM9001,2011KW04,106.87,0.8,6.3,100000
9,000000,GM9001,2011JJ00,105.33,,5.3,100000
10,000000,GM9001,2012KW01,107.37,0.5,3.6,100000
11,000000,GM9001,2012KW02,107.92,0.5,3.0,100000
12,000000,GM9001,2012KW03,108.49,0.5,2.3,100000
13,000000,GM9001,2012KW04,109.77,1.2,2.7,100000
14,000000,GM9001,2012JJ00,108.39,,2.9,100000
15,000000,GM9001,2013KW01,110.02,0.2,2.5,100000
16,000000,GM9001,2013KW02,109.54,-0.4,1.5,100000
17,000000,GM9001,2013KW03,110.39,0.8,1.8,100000
18,000000,GM9001,2013KW04,111.09,0.6,1.2,100000
19,000000,GM9001,2013JJ00,110.26,,1.7,100000
20,000000,GM9001,2014KW01,111.46,0.3,1.3,100000
21,000000,GM9001,2014KW02,111.92,0.4,2.2,100000
22,000000,GM9001,2014KW03,112.08,0.1,1.5,100000
23,000000,GM9001,2014KW04,112.05,0.0,0.9,100000
24,000000,GM9001,2014JJ00,111.88,,1.5,100000
25,000000,GM9001,2015KW01,110.75,-1.2,-0.6,100000
26,000000,GM9001,2015KW02,110.86,0.1,-0.9,100000
27,000000,GM9001,2015KW03,111.04,0.2,-0.9,100000
28,000000,GM9001,2015KW04,110.7,-0.3,-1.2,100000
29,000000,GM9001,2015JJ00,110.84,,-0.9,100000
30,000000,GM9001,2016KW01,111.34,0.6,0.5,100000
31,000000,GM9001,2016KW02,111.32,0.0,0.4,100000
32,000000,GM9001,2016KW03,111.75,0.4,0.6,100000
33,000000,GM9001,2016KW04,111.3,-0.4,0.5,100000
34,000000,GM9001,2016JJ00,111.43,,0.5,100000
35,000000,GM9001,2017KW01,111.46,0.1,0.1,100000
36,000000,GM9001,2017KW02,111.72,0.2,0.4,100000
37,000000,GM9001,2017KW03,112.39,0.6,0.6,100000
38,000000,GM9001,2017KW04,112.6,0.2,1.2,100000
39,000000,GM9001,2017JJ00,112.04,,0.5,100000
40,000000,GM9002,2010KW01,99.48,,,100000
41,000000,GM9002,2010KW02,100.07,0.6,,100000
42,000000,GM9002,2010KW03,99.81,-0.3,,100000
43,000000,GM9002,2010KW04,100.64,0.8,,100000
44,000000,GM9002,2010JJ00,100.0,,,100000
45,000000,GM9002,2011KW01,106.47,5.8,7.0,100000
46,000000,GM9002,2011KW02,110.59,3.9,10.5,100000
47,000000,GM9002,2011KW03,111.0,0.4,11.2,100000
48,000000,GM9002,2011KW04,111.57,0.5,10.9,100000
49,000000,GM9002,2011JJ00,109.9,,9.9,100000
50,000000,GM9002,2012KW01,113.51,1.7,6.6,100000
51,000000,GM9002,2012KW02,116.34,2.5,5.2,100000
52,000000,GM9002,2012KW03,116.12,-0.2,4.6,100000
53,000000,GM9002,2012KW04,117.07,0.8,4.9,100000
54,000000,GM9002,2012JJ00,115.76,,5.3,100000
55,000000,GM9002,2013KW01,117.93,0.7,3.9,100000
56,000000,GM9002,2013KW02,118.38,0.4,1.8,100000
57,000000,GM9002,2013KW03,118.04,-0.3,1.7,100000
58,000000,GM9002,2013KW04,119.52,1.3,2.1,100000
59,000000,GM9002,2013JJ00,118.47,,2.3,100000
60,000000,GM9002,2014KW01,120.84,1.1,2.5,100000
61,000000,GM9002,2014KW02,121.76,0.8,2.9,100000
62,000000,GM9002,2014KW03,122.09,0.3,3.4,100000
63,000000,GM9002,2014KW04,121.39,-0.6,1.6,100000
64,000000,GM9002,2014JJ00,121.52,,2.6,100000
65,000000,GM9002,2015KW01,119.56,-1.5,-1.1,100000
66,000000,GM9002,2015KW02,119.65,0.1,-1.7,100000
67,000000,GM9002,2015KW03,121.51,1.6,-0.5,100000
68,000000,GM9002,2015KW04,120.6,-0.7,-0.7,100000
69,000000,GM9002,2015JJ00,120.33,,-1.0,100000
70,000000,GM9002,2016KW01,120.04,-0.5,0.4,100000
