ID,Bestemming,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4
0,300025,1969JJ00,13519.0,44815.0,,30.2
1,300025,1970JJ00,16358.0,49996.0,11.6,32.7
2,300025,1971JJ00,18642.0,51393.0,2.8,36.3
3,300025,1972JJ00,19316.0,49446.0,-3.8,39.1
4,300025,1973JJ00,21072.0,50304.0,1.7,41.9
5,300025,1974JJ00,22106.0,47544.0,-5.5,46.5
6,300025,1975JJ00,23909.0,46510.0,-2.2,51.4
7,300025,1976JJ00,25969.0,46409.0,-0.2,56.0
8,300025,1977JJ00,29624.0,49942.0,7.6,59.3
9,300025,1978JJ00,32100.0,50990.0,2.1,63.0
10,300025,1979JJ00,33265.0,49680.0,-2.6,67.0
11,300025,1980JJ00,36736.0,51217.0,3.1,71.7
12,300025,1981JJ00,35567.0,46409.0,-9.4,76.6
13,300025,1982JJ00,35682.0,45174.0,-2.7,79.0
14,300025,1983JJ00,36706.0,46112.0,2.1,79.6
15,300025,1984JJ00,39852.0,49644.0,7.7,80.3
16,300025,1985JJ00,42814.0,53507.0,7.8,80.0
17,300025,1986JJ00,45176.0,56991.0,6.5,79.3
18,300025,1987JJ00,46361.0,58019.0,1.8,79.9
19,300025,1988JJ00,51491.0,63648.0,9.7,80.9
20,300025,1989JJ00,53761.0,65833.0,3.4,81.7
21,300025,1990JJ00,56198.0,67929.0,3.2,82.7
22,300025,1991JJ00,57627.0,68558.0,0.9,84.1
23,300025,1992JJ00,59623.0,69958.0,2.0,85.2
24,300025,1993JJ00,59171.0,68886.0,-1.5,85.9
25,300025,1994JJ00,60600.0,70355.0,2.1,86.1
26,300025,1995JJ00,64210.0,74139.0,5.4,86.6
27,300025,1996JJ00,69948.0,80506.0,8.6,86.9
28,300025,1997JJ00,75888.0,87261.0,8.4,87.0
29,300025,1998JJ00,81292.0,93189.0,6.8,87.2
30,300025,1999JJ00,89418.0,101391.0,8.8,88.2
31,300025,2000JJ00,92742.0,102067.0,0.7,90.9
32,300025,2001JJ00,96197.0,102696.0,0.6,93.7
33,300025,2002JJ00,94507.0,98234.0,-4.3,96.2
34,300025,2003JJ00,94759.0,96986.0,-1.3,97.7
35,300025,2004JJ00,94336.0,95475.0,-1.6,98.8
36,300025,2005JJ00,99170.0,99170.0,3.9,100.0
37,300025,2006JJ00,108568.0,106444.0,7.3,102.0
38,300025,2007JJ00,116712.0,112371.0,5.6,103.9
39,300025,2008JJ00,124191.0,117233.0,4.3,105.9
40,300025,2009JJ00,111123.0,103460.0,-11.7,107.4
41,300025,2010JJ00,104492.0,96101.0,-7.1,108.7
42,300025,2011JJ00,109531.0,101815.0,5.9,107.6
43,300025,2012JJ00,104493.0,97650.0,-4.1,107.0
44,301000,1969JJ00,810.0,2815.0,,28.8
45,301000,1970JJ00,805.0,2621.0,-6.9,30.7
46,301000,1971JJ00,694.0,1914.0,-27.0,36.3
47,301000,1972JJ00,892.0,2300.0,20.2,38.8
48,301000,1973JJ00,1291.0,3164.0,37.6,40.8
49,301000,1974JJ00,1216.0,2745.0,-13.2,44.3
50,301000,1975JJ00,1274.0,2598.0,-5.3,49.0
51,301000,1976JJ00,1391.0,2649.0,2.0,52.5
52,301000,1977JJ00,1474.0,2647.0,-0.1,55.7
53,301000,1978JJ00,1937.0,3296.0,24.5,58.8
54,301000,1979JJ00,2095.0,3384.0,2.7,61.9
55,301000,1980JJ00,1661.0,2533.0,-25.2,65.6
56,301000,1981JJ00,1676.0,2333.0,-7.9,71.8
57,301000,1982JJ00,1769.0,2323.0,-0.4,76.1
58,301000,1983JJ00,2064.0,2703.0,16.3,76.4
59,301000,1984JJ00,1789.0,2359.0,-12.7,75.9
60,301000,1985JJ00,2023.0,2643.0,12.1,76.5
61,301000,1986JJ00,2239.0,2970.0,12.4,75.4
62,301000,1987JJ00,1945.0,2549.0,-14.2,76.3
63,301000,1988JJ00,2260.0,2903.0,13.7,77.8
64,301000,1989JJ00,2431.0,3028.0,4.3,80.3
65,301000,1990JJ00,2503.0,3125.0,3.2,80.1
66,301000,1991JJ00,2561.0,3173.0,1.5,80.7
67,301000,1992JJ00,2415.0,2928.0,-7.7,82.5
68,301000,1993JJ00,2253.0,2719.0,-7.2,82.9
69,301000,1994JJ00,2304.0,2779.0,2.2,82.9
70,301000,1995JJ00,2308.0,2775.0,-0.1,83.2
71,301000,1996JJ00,2345.0,2870.0,3.4,81.7
72,301000,1997JJ00,2977.0,3553.0,23.8,83.8
73,301000,1998JJ00,2615.0,3096.0,-12.9,84.5
74,301000,1999JJ00,3280.0,3840.0,24.0,85.4
75,301000,2000JJ00,3240.0,3660.0,-4.7,88.5
76,301000,2001JJ00,3422.0,3751.0,2.5,91.2
77,301000,2002JJ00,3459.0,3627.0,-3.3,95.4
78,301000,2003JJ00,3553.0,3651.0,0.7,97.3
79,301000,2004JJ00,3221.0,3279.0,-10.2,98.2
80,301000,2005JJ00,3262.0,3262.0,-0.5,100.0
81,301000,2006JJ00,3446.0,3364.0,3.1,102.4
82,301000,2007JJ00,4201.0,4013.0,19.3,104.7
83,301000,2008JJ00,4519.0,4202.0,4.7,107.5
84,301000,2009JJ00,4168.0,3811.0,-9.3,109.4
85,301000,2010JJ00,4667.0,4124.0,8.2,113.2
86,301000,2011JJ00,5084.0,4476.0,8.5,113.6
87,301000,2012JJ00,4207.0,3691.0,-17.5,114.0
88,301100,1969JJ00,,,,
89,301100,1970JJ00,,,,
90,301100,1971JJ00,,,,
91,301100,1972JJ00,,,,
92,301100,1973JJ00,,,,
93,301100,1974JJ00,,,,
94,301100,1975JJ00,,,,
95,301100,1976JJ00,,,,
96,301100,1977JJ00,,,,
97,301100,1978JJ00,,,,
98,301100,1979JJ00,,,,
99,301100,1980JJ00,,,,
100,301100,1981JJ00,,,,
101,301100,1982JJ00,,,,
102,301100,1983JJ00,,,,
103,301100,1984JJ00,,,,
104,301100,1985JJ00,,,,
105,301100,1986JJ00,,,,
106,301100,1987JJ00,,,,
107,301100,1988JJ00,2123.0,2729.0,,77.8
108,301100,1989JJ00,2330.0,2903.0,6.4,80.3
109,301100,1990JJ00,2432.0,3040.0,4.7,80.0
110,301100,1991JJ00,2533.0,3141.0,3.3,80.6
111,301100,1992JJ00,2369.0,2876.0,-8.4,82.4
112,301100,1993JJ00,2196.0,2652.0,-7.8,82.8
113,301100,1994JJ00,2197.0,2654.0,0.0,82.8
114,301100,1995JJ00,2261.0,2722.0,2.6,83.0
115,301100,1996JJ00,2298.0,2818.0,3.5,81.6
116,301100,1997JJ00,2939.0,3510.0,24.6,83.7
