ID,ProductgroepenEnOverigePosten,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12,WaardeInWerkelijkePrijzen_13,WaardePrijsniveau2005_14,VolumemutatieTOVVoorafgaandJaar_15,Prijsindexcijfers_16,WaardeInWerkelijkePrijzen_17,WaardePrijsniveau2005_18,VolumemutatieTOVVoorafgaandJaar_19,Prijsindexcijfers_20,WaardeInWerkelijkePrijzen_21,WaardePrijsniveau2005_22,VolumemutatieTOVVoorafgaandJaar_23,Prijsindexcijfers_24,WaardeInWerkelijkePrijzen_25,WaardePrijsniveau2005_26,VolumemutatieTOVVoorafgaandJaar_27,Prijsindexcijfers_28,WaardeInWerkelijkePrijzen_29,WaardeInWerkelijkePrijzen_30,WaardePrijsniveau2005_31,VolumemutatieTOVVoorafgaandJaar_32,Prijsindexcijfers_33
0,totprod,1988JJ00,466014.0,615552.0,,75.7,365404.0,528015.0,,69.2,100610.0,100117.0,,100.5,505432.0,674866.0,,74.9,202265.0,283429.0,,71.4,149747.0,232351.0,,64.4,45415.0,55334.0,,82.1,-425.0,108430.0,114923.0,,94.4
1,totprod,1989JJ00,504226.0,648223.0,5.3,77.8,391491.0,552145.0,4.6,70.9,112735.0,108113.0,8.0,104.3,548088.0,711685.0,5.5,77.0,219941.0,298127.0,5.2,73.8,156458.0,238663.0,2.7,65.6,47719.0,57305.0,3.6,83.3,2075.0,121895.0,124518.0,8.3,97.9
2,totprod,1990JJ00,526229.0,674883.0,4.1,78.0,409964.0,574083.0,4.0,71.4,116265.0,113084.0,4.6,102.8,574749.0,743028.0,4.4,77.4,230293.0,311142.0,4.4,74.0,164870.0,247041.0,3.5,66.7,49959.0,59237.0,3.4,84.3,1821.0,127806.0,132333.0,6.3,96.6
3,totprod,1991JJ00,556736.0,701927.0,4.0,79.3,433074.0,592450.0,3.2,73.1,123662.0,120836.0,6.9,102.3,608044.0,772423.0,4.0,78.7,243530.0,323948.0,4.1,75.2,175919.0,254567.0,3.0,69.1,51087.0,59630.0,0.7,85.7,1176.0,136332.0,140983.0,6.5,96.7
4,totprod,1992JJ00,571312.0,716890.0,2.1,79.7,446412.0,603549.0,1.9,74.0,124900.0,124506.0,3.0,100.3,625608.0,788996.0,2.1,79.3,249100.0,330352.0,2.0,75.4,184620.0,258337.0,1.5,71.5,52767.0,60713.0,1.8,86.9,1773.0,137348.0,145333.0,3.1,94.5
5,totprod,1993JJ00,574512.0,723338.0,0.9,79.4,452260.0,609213.0,0.9,74.2,122252.0,125452.0,0.8,97.4,631208.0,796231.0,0.9,79.3,249468.0,332057.0,0.5,75.1,191032.0,261620.0,1.3,73.0,52222.0,59546.0,-1.9,87.7,-1504.0,139990.0,152324.0,4.8,91.9
6,totprod,1994JJ00,609535.0,755758.0,4.5,80.7,474955.0,627448.0,3.0,75.7,134580.0,137983.0,10.0,97.5,670148.0,832162.0,4.5,80.5,262837.0,343371.0,3.4,76.5,199690.0,267038.0,2.1,74.8,53358.0,60729.0,2.0,87.9,729.0,153534.0,166316.0,9.2,92.3
7,totprod,1995JJ00,649487.0,793708.0,5.0,81.8,500312.0,648723.0,3.4,77.1,149175.0,152854.0,10.8,97.6,716092.0,874719.0,5.1,81.9,278928.0,357125.0,4.0,78.1,209385.0,274085.0,2.6,76.4,56831.0,64363.0,6.0,88.3,673.0,170275.0,183026.0,10.0,93.0
8,totprod,1996JJ00,687048.0,828074.0,4.3,83.0,528772.0,674413.0,4.0,78.4,158276.0,161367.0,5.6,98.1,758573.0,913880.0,4.5,83.0,299329.0,375357.0,5.1,79.7,217871.0,281402.0,2.7,77.4,62335.0,70472.0,9.5,88.5,233.0,178805.0,190642.0,4.2,93.8
9,totprod,1997JJ00,745387.0,880354.0,6.3,84.7,564793.0,704549.0,4.5,80.2,180594.0,181502.0,12.5,99.5,824363.0,972528.0,6.4,84.8,322268.0,396509.0,5.6,81.3,230663.0,290728.0,3.3,79.3,67525.0,76374.0,8.4,88.4,1061.0,202846.0,211008.0,10.7,96.1
10,totprod,1998JJ00,783860.0,929401.0,5.6,84.3,592032.0,735662.0,4.4,80.5,191828.0,198171.0,9.2,96.8,869224.0,1027407.0,5.6,84.6,337641.0,418734.0,5.6,80.6,245750.0,302681.0,4.1,81.2,72004.0,81326.0,6.5,88.5,2010.0,211819.0,225326.0,6.8,94.0
11,totprod,1999JJ00,837248.0,984396.0,5.9,85.1,628754.0,769556.0,4.6,81.7,208494.0,217909.0,10.0,95.7,930657.0,1088992.0,6.0,85.5,360636.0,440514.0,5.2,81.9,262693.0,315521.0,4.2,83.3,79351.0,88755.0,9.1,89.4,-92.0,228069.0,246175.0,9.3,92.6
12,totprod,2000JJ00,946343.0,1049679.0,6.6,90.2,697040.0,804431.0,4.5,86.7,249303.0,246160.0,13.0,101.3,1047312.0,1159692.0,6.5,90.3,406386.0,464457.0,5.4,87.5,282428.0,325253.0,3.1,86.8,81556.0,88621.0,-0.2,92.0,430.0,276512.0,280941.0,14.1,98.4
13,totprod,2001JJ00,993165.0,1072979.0,2.2,92.6,739011.0,821265.0,2.1,90.0,254154.0,252498.0,2.6,100.7,1100389.0,1184291.0,2.1,92.9,427878.0,473791.0,2.0,90.3,302847.0,333449.0,2.5,90.8,83917.0,89082.0,0.5,94.2,1518.0,284229.0,286734.0,2.1,99.1
14,totprod,2002JJ00,997843.0,1066676.0,-0.6,93.5,751429.0,814119.0,-0.9,92.3,246414.0,253091.0,0.2,97.4,1109021.0,1177671.0,-0.6,94.2,428202.0,466345.0,-1.6,91.8,319585.0,339036.0,1.7,94.3,82232.0,85064.0,-4.5,96.7,-1275.0,280277.0,288859.0,0.7,97.0
15,totprod,2003JJ00,1016669.0,1068227.0,0.1,95.2,767208.0,809222.0,-0.6,94.8,249461.0,259224.0,2.4,96.2,1125671.0,1178900.0,0.1,95.5,430824.0,459369.0,-1.5,93.8,331032.0,342152.0,0.9,96.7,82249.0,84187.0,-1.0,97.7,-759.0,282325.0,293929.0,1.8,96.1
16,totprod,2004JJ00,1063732.0,1099483.0,2.9,96.7,794439.0,823265.0,1.7,96.5,269293.0,276300.0,6.6,97.5,1177277.0,1213920.0,3.0,97.0,448845.0,466598.0,1.6,96.2,338197.0,345180.0,0.9,98.0,81409.0,82383.0,-2.1,98.8,817.0,308009.0,318795.0,8.5,96.6
17,totprod,2005JJ00,1131994.0,1131994.0,3.0,100.0,839069.0,839069.0,1.9,100.0,292925.0,292925.0,6.0,100.0,1249371.0,1249371.0,2.9,100.0,476815.0,476815.0,2.2,100.0,348256.0,348256.0,0.9,100.0,85659.0,85659.0,4.0,100.0,598.0,338043.0,338043.0,6.0,100.0
18,totprod,2006JJ00,1222437.0,1186784.0,4.8,103.0,892741.0,866699.0,3.3,103.0,329696.0,320085.0,9.3,103.0,1346547.0,1311356.0,5.0,102.7,511622.0,494897.0,3.8,103.4,365596.0,358618.0,3.0,101.9,94113.0,92301.0,7.8,102.0,1719.0,373497.0,363812.0,7.6,102.7
19,totprod,2007JJ00,1302887.0,1240244.0,4.5,105.1,948283.0,901115.0,4.0,105.2,354604.0,339129.0,5.9,104.6,1434907.0,1371112.0,4.6,104.7,544879.0,515623.0,4.2,105.7,382729.0,367495.0,2.5,104.1,101281.0,97545.0,5.7,103.8,2467.0,403551.0,388006.0,6.7,104.0
20,totprod,2008JJ00,1389027.0,1266703.0,2.1,109.7,1008442.0,919692.0,2.1,109.6,380585.0,347014.0,2.3,109.7,1524126.0,1398246.0,2.0,109.0,586852.0,525709.0,2.0,111.6,396925.0,373576.0,1.7,106.3,108279.0,102299.0,4.9,105.8,7.0,432063.0,396171.0,2.1,109.1
21,totprod,2009JJ00,1295327.0,1210371.0,-4.4,107.0,965546.0,889116.0,-3.3,108.6,329781.0,321261.0,-7.4,102.7,1418956.0,1331940.0,-4.7,106.5,552185.0,503937.0,-4.1,109.6,401837.0,375634.0,0.6,107.0,95858.0,89498.0,-12.5,107.1,-3283.0,372359.0,365028.0,-7.9,102.0
22,totprod,2010JJ00,1392407.0,1248443.0,3.1,111.5,1001693.0,893436.0,0.5,112.1,390714.0,356383.0,10.9,109.6,1520374.0,1374577.0,3.2,110.6,578806.0,503838.0,0.0,114.9,409939.0,378020.0,0.6,108.4,89649.0,82722.0,-7.6,108.4,2452.0,439528.0,408364.0,11.9,107.6
23,totprod,2011JJ00,1470119.0,1269450.0,1.7,115.8,1043231.0,898772.0,0.6,116.1,426888.0,372296.0,4.5,114.7,1601203.0,1397770.0,1.7,114.6,611341.0,505703.0,0.4,120.9,414563.0,377037.0,-0.3,110.0,94808.0,88540.0,7.0,107.1,1664.0,478827.0,424796.0,4.0,112.7
24,totprod,2012JJ00,1509275.0,1270846.0,0.1,118.8,1057182.0,887670.0,-1.2,119.1,452093.0,384946.0,3.4,117.4,1638053.0,1397847.0,0.0,117.2,622133.0,498593.0,-1.4,124.8,419862.0,373277.0,-1.0,112.5,90192.0,84935.0,-4.1,106.2,3074.0,502792.0,438391.0,3.2,114.7
25,0100000,1988JJ00,11592.0,10797.0,,107.4,6340.0,6088.0,,104.1,5252.0,4754.0,,110.5,14719.0,15308.0,,96.1,6585.0,5809.0,,113.4,2393.0,3112.0,,76.9,4.0,5.0,,75.0,-217.0,5954.0,6572.0,,90.6
26,0100000,1989JJ00,12226.0,11448.0,6.0,106.8,6856.0,6655.0,9.3,103.0,5370.0,4851.0,2.1,110.7,15531.0,16256.0,6.2,95.5,6816.0,5955.0,2.5,114.5,2513.0,3278.0,5.3,76.7,5.0,7.0,25.0,75.0,-120.0,6317.0,7136.0,8.6,88.5
27,0100000,1990JJ00,12716.0,12372.0,8.1,102.8,7378.0,7212.0,8.4,102.3,5338.0,5226.0,7.7,102.2,16260.0,17519.0,7.8,92.8,6672.0,6295.0,5.7,106.0,2659.0,3362.0,2.6,79.1,5.0,7.0,0.0,75.0,82.0,6842.0,7754.0,8.7,88.2
28,0100000,1991JJ00,13635.0,12980.0,4.9,105.0,7937.0,7552.0,4.7,105.1,5698.0,5497.0,5.2,103.7,17471.0,18518.0,5.7,94.3,6911.0,6429.0,2.1,107.5,2816.0,3384.0,0.6,83.2,4.0,5.0,-20.0,75.0,-26.0,7766.0,8746.0,12.8,88.8
29,0100000,1992JJ00,12857.0,13374.0,3.0,96.1,7518.0,7986.0,5.7,94.1,5339.0,5456.0,-0.7,97.9,17023.0,19123.0,3.3,89.0,6749.0,6588.0,2.5,102.4,2683.0,3443.0,1.7,77.9,4.0,5.0,0.0,75.0,-36.0,7623.0,9140.0,4.5,83.4
30,0100000,1993JJ00,12607.0,13501.0,0.9,93.4,7324.0,8010.0,0.3,91.4,5283.0,5557.0,1.9,95.1,16758.0,19240.0,0.6,87.1,6536.0,6566.0,-0.3,99.5,2628.0,3502.0,1.7,75.0,4.0,5.0,0.0,75.0,-92.0,7682.0,9315.0,1.9,82.5
31,0100000,1994JJ00,13760.0,14124.0,4.6,97.4,7862.0,8283.0,3.4,94.9,5898.0,5907.0,6.3,99.9,18288.0,20203.0,5.0,90.5,6941.0,6623.0,0.9,104.8,2833.0,3611.0,3.1,78.5,4.0,5.0,0.0,75.0,-32.0,8542.0,10076.0,8.2,84.8
