ID,SectorBranchesSIC2008,Periods,Employee_1,EmployedPerson_2,Employee_3,EmployedPerson_4,Total_5,NetTurnover_6,OtherRevenues_7,Total_8,Total_9,Total_10,InitialStockOfRawAndAuxiliaryMater_11,PurchasedRawAndAuxiliaryMaterials_12,ClosingStockRawAndAuxiliaryMat_13,Total_14,InitialStockOfCommodities_15,PurchasedCommodities_16,ClosingStockOfCommodities_17,PaymentsToSubcontractors_18,PurchaseValueNotElsewhereClassified_19,Total_20,GrossWagesAndSalaries_21,Total_22,EmployerPaidSocialInsurancePremiums_23,PensionAndEarlyRetirementPremiums_24,OtherSocialInsuranceCosts_25,OtherPersonnelCosts_26,Total_27,CostsOfEnergyUse_28,HousingCosts_29,EquipmentAndInventoryCosts_30,TransportCosts_31,SalesCosts_32,CommunicationCosts_33,CostsOfOtherServices_34,OtherLiabilities_35,DepreciationFixedAssets_36,OperatingResults_37,NetFinancialIncome_38,BalanceOfProvisions_39,NetExtraordinaryIncome_40,PreTaxResults_41
0,305700,2009JJ00,7.9,13.3,7.5,12.1,38394.0,37939.0,455.0,30829.0,21319.0,625.0,83.0,621.0,79.0,19249.0,156.0,19119.0,27.0,681.0,765.0,1023.0,537.0,144.0,48.0,96.0,8.0,333.0,7071.0,98.0,99.0,647.0,165.0,53.0,14.0,198.0,5799.0,1417.0,7565.0,10.0,-266.0,-114.0,7195.0
1,305700,2010JJ00,7.8,11.7,7.2,10.8,38625.0,38194.0,431.0,30973.0,20817.0,457.0,97.0,463.0,103.0,18986.0,132.0,18993.0,139.0,566.0,809.0,996.0,521.0,136.0,52.0,84.0,9.0,331.0,7748.0,78.0,78.0,485.0,123.0,52.0,13.0,260.0,6660.0,1411.0,7652.0,-204.0,-97.0,-86.0,7265.0
2,305700,2011JJ00,8.8,14.5,8.3,13.7,43038.0,42274.0,764.0,35355.0,23637.0,704.0,66.0,691.0,53.0,21435.0,21.0,21439.0,24.0,797.0,701.0,1127.0,610.0,179.0,61.0,118.0,7.0,332.0,8980.0,94.0,84.0,603.0,171.0,58.0,16.0,232.0,7723.0,1612.0,7683.0,53.0,-52.0,12.0,7696.0
3,305700,2012JJ00,9.2,15.4,8.6,14.6,49043.0,48173.0,870.0,40470.0,26170.0,1000.0,190.0,891.0,81.0,23513.0,16.0,23515.0,17.0,794.0,864.0,1275.0,661.0,192.0,69.0,123.0,8.0,415.0,11133.0,125.0,83.0,660.0,174.0,49.0,17.0,249.0,9775.0,1892.0,8573.0,-55.0,-57.0,-136.0,8325.0
4,305700,2013JJ00,10.6,15.5,10.1,14.9,51053.0,50244.0,809.0,42697.0,27463.0,1035.0,245.0,857.0,67.0,24369.0,17.0,24367.0,16.0,981.0,1078.0,1450.0,773.0,240.0,92.0,148.0,12.0,426.0,12116.0,151.0,103.0,747.0,184.0,38.0,16.0,230.0,10649.0,1668.0,8356.0,-22.0,-128.0,-463.0,7744.0
5,305800,2009JJ00,2.9,4.0,2.7,3.8,35027.0,34602.0,425.0,27959.0,20014.0,100.0,0.0,100.0,0.0,18821.0,0.0,18821.0,0.0,389.0,704.0,479.0,231.0,84.0,13.0,71.0,3.0,161.0,6260.0,37.0,63.0,365.0,63.0,12.0,6.0,107.0,5606.0,1206.0,7068.0,17.0,-265.0,-71.0,6749.0
6,305800,2010JJ00,2.9,4.1,2.8,3.9,35240.0,34829.0,410.0,28154.0,19670.0,81.0,0.0,81.0,0.0,18705.0,0.0,18705.0,0.0,274.0,610.0,468.0,246.0,74.0,15.0,59.0,4.0,144.0,6823.0,41.0,56.0,132.0,41.0,8.0,4.0,107.0,6435.0,1193.0,7086.0,-143.0,-72.0,-36.0,6835.0
7,305800,2011JJ00,3.1,4.3,3.0,4.1,39326.0,38608.0,719.0,32139.0,22354.0,174.0,0.0,174.0,0.0,21114.0,0.0,21114.0,0.0,428.0,638.0,532.0,298.0,107.0,20.0,88.0,4.0,122.0,7884.0,42.0,57.0,197.0,56.0,7.0,5.0,67.0,7454.0,1369.0,7188.0,116.0,-40.0,4.0,7267.0
8,305800,2012JJ00,3.3,4.6,3.2,4.4,45140.0,44313.0,828.0,37224.0,24967.0,300.0,0.0,300.0,0.0,23367.0,0.0,23367.0,0.0,522.0,778.0,590.0,310.0,113.0,22.0,91.0,3.0,164.0,10016.0,73.0,58.0,199.0,64.0,5.0,7.0,94.0,9517.0,1651.0,7917.0,-21.0,-37.0,-72.0,7787.0
9,305800,2013JJ00,3.4,4.6,3.3,4.4,46586.0,45799.0,787.0,38863.0,25868.0,319.0,0.0,319.0,0.0,24220.0,0.0,24220.0,0.0,505.0,824.0,624.0,327.0,130.0,31.0,99.0,8.0,158.0,11013.0,99.0,63.0,214.0,62.0,5.0,6.0,134.0,10430.0,1358.0,7723.0,24.0,-109.0,-350.0,7289.0
10,306300,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,306300,2010JJ00,1.9,2.2,1.8,1.9,1012.0,996.0,16.0,874.0,504.0,333.0,83.0,338.0,87.0,155.0,118.0,161.0,124.0,12.0,4.0,118.0,82.0,19.0,11.0,9.0,1.0,17.0,207.0,,10.0,59.0,,8.0,2.0,36.0,36.0,,138.0,-4.0,-17.0,-3.0,114.0
12,306300,2011JJ00,2.1,2.3,1.9,2.1,1202.0,1174.0,28.0,1093.0,640.0,394.0,52.0,380.0,37.0,229.0,8.0,233.0,11.0,14.0,2.0,132.0,97.0,21.0,11.0,10.0,1.0,13.0,264.0,49.0,14.0,72.0,22.0,13.0,3.0,40.0,54.0,57.0,110.0,-8.0,-4.0,-1.0,96.0
13,306300,2012JJ00,1.9,2.1,1.7,1.9,1034.0,1012.0,22.0,954.0,546.0,437.0,56.0,447.0,66.0,96.0,5.0,97.0,7.0,11.0,3.0,121.0,83.0,21.0,12.0,9.0,0.0,17.0,238.0,48.0,11.0,62.0,22.0,10.0,2.0,41.0,42.0,49.0,80.0,-7.0,-7.0,6.0,72.0
14,306300,2013JJ00,1.9,2.1,1.7,1.9,964.0,958.0,6.0,908.0,511.0,382.0,58.0,385.0,60.0,99.0,9.0,97.0,7.0,29.0,1.0,118.0,81.0,22.0,12.0,10.0,1.0,15.0,232.0,50.0,14.0,46.0,18.0,8.0,2.0,45.0,47.0,48.0,56.0,-4.0,-2.0,3.0,53.0
15,307000,2009JJ00,2.9,6.8,2.8,6.0,2192.0,2178.0,14.0,1776.0,682.0,153.0,7.0,152.0,6.0,192.0,20.0,193.0,22.0,278.0,59.0,415.0,216.0,41.0,24.0,17.0,5.0,153.0,543.0,2.0,16.0,215.0,50.0,33.0,6.0,71.0,152.0,136.0,416.0,3.0,0.0,-43.0,376.0
16,307000,2010JJ00,2.9,5.4,2.7,5.0,2374.0,2369.0,5.0,1945.0,644.0,43.0,15.0,44.0,15.0,125.0,14.0,126.0,15.0,281.0,194.0,410.0,194.0,43.0,26.0,17.0,4.0,170.0,718.0,2.0,12.0,294.0,61.0,36.0,7.0,117.0,189.0,174.0,428.0,-57.0,-9.0,-47.0,316.0
17,307000,2011JJ00,3.6,7.9,3.3,7.5,2510.0,2493.0,18.0,2124.0,643.0,136.0,14.0,137.0,16.0,92.0,13.0,92.0,13.0,355.0,61.0,464.0,214.0,50.0,30.0,20.0,2.0,197.0,831.0,4.0,13.0,334.0,93.0,39.0,8.0,125.0,215.0,186.0,386.0,-54.0,-8.0,9.0,333.0
18,307000,2012JJ00,4.0,8.7,3.7,8.3,2869.0,2849.0,20.0,2292.0,657.0,262.0,134.0,144.0,15.0,50.0,11.0,50.0,11.0,261.0,83.0,565.0,268.0,58.0,36.0,23.0,4.0,235.0,879.0,4.0,14.0,400.0,89.0,34.0,8.0,115.0,216.0,192.0,577.0,-27.0,-14.0,-69.0,467.0
19,307000,2013JJ00,5.3,8.8,5.2,8.7,3503.0,3487.0,17.0,2927.0,1084.0,334.0,187.0,154.0,7.0,50.0,8.0,50.0,9.0,447.0,253.0,709.0,365.0,89.0,50.0,39.0,3.0,253.0,872.0,1.0,25.0,486.0,105.0,24.0,8.0,51.0,171.0,262.0,577.0,-42.0,-17.0,-116.0,402.0
