ID,SectorBranchesSIC2008,Periods,Employee_1,EmployedPerson_2,Employee_3,EmployedPerson_4,Total_5,Total_6,RetailTradeTurnover_7,OtherTurnover_8,OtherRevenues_9,Total_10,PurchaseValueOfSales_11,Total_12,GrossWagesAndSalaries_13,Total_14,EmployerPaidSocialInsurancePremiums_15,PensionAndEarlyRetirementPremiums_16,OtherSocialInsuranceCosts_17,OtherPersonnelCosts_18,Total_19,CostsOfEnergyUse_20,HousingCosts_21,EquipmentAndInventoryCosts_22,TransportCosts_23,SalesCosts_24,CommunicationCosts_25,CostsOfOtherServices_26,OtherLiabilities_27,DepreciationFixedAssets_28,OperatingResults_29,NetFinancialIncome_30,BalanceOfProvisions_31,NetExtraordinaryIncome_32,PreTaxResults_33
0,371600,2009JJ00,692.6,829.3,383.2,487.4,100372.0,99702.0,,,670.0,95321.0,67000.0,12957.0,9836.0,2068.0,1359.0,709.0,73.0,980.0,13154.0,876.0,4835.0,408.0,600.0,2438.0,349.0,1077.0,2572.0,2211.0,5052.0,-466.0,1.0,782.0,5368.0
1,371600,2010JJ00,712.6,852.6,392.0,504.2,102575.0,101897.0,,,678.0,96915.0,68290.0,12977.0,9943.0,2061.0,1353.0,708.0,60.0,913.0,13336.0,832.0,5073.0,410.0,583.0,2409.0,336.0,1089.0,2604.0,2312.0,5660.0,-209.0,3.0,-38.0,5416.0
2,371600,2011JJ00,731.3,864.9,395.7,505.4,104925.0,104328.0,,,597.0,99208.0,70051.0,13411.0,10272.0,2141.0,1425.0,715.0,64.0,935.0,13483.0,836.0,5137.0,412.0,628.0,2492.0,319.0,1027.0,2631.0,2264.0,5717.0,-36.0,6.0,59.0,5746.0
3,371600,2012JJ00,741.2,882.7,391.5,503.6,106187.0,105506.0,,,681.0,100945.0,71423.0,13750.0,10344.0,2328.0,1554.0,774.0,69.0,1008.0,13509.0,805.0,5252.0,424.0,620.0,2383.0,332.0,1022.0,2670.0,2264.0,5242.0,19.0,-47.0,59.0,5273.0
4,371600,2013JJ00,742.0,887.1,383.1,501.2,103398.0,102844.0,,,554.0,98671.0,69419.0,13622.0,10171.0,2377.0,1597.0,780.0,66.0,1008.0,13395.0,796.0,5300.0,421.0,602.0,2325.0,314.0,1023.0,2615.0,2235.0,4728.0,111.0,-16.0,74.0,4897.0
5,371700,2009JJ00,271.4,284.6,118.3,128.0,33278.0,33046.0,31947.0,1098.0,232.0,32124.0,24098.0,4017.0,2996.0,637.0,403.0,233.0,12.0,372.0,3325.0,265.0,1136.0,137.0,124.0,504.0,50.0,301.0,808.0,684.0,1154.0,-153.0,7.0,494.0,1501.0
6,371700,2010JJ00,283.4,294.4,121.5,127.8,32926.0,32798.0,31995.0,803.0,128.0,31801.0,23915.0,3929.0,2961.0,611.0,387.0,224.0,9.0,349.0,3223.0,228.0,1170.0,140.0,99.0,498.0,42.0,254.0,793.0,733.0,1125.0,-158.0,-2.0,-136.0,830.0
7,371700,2011JJ00,292.9,303.5,120.9,127.9,34067.0,33965.0,33047.0,918.0,102.0,32533.0,24749.0,3917.0,2963.0,620.0,399.0,221.0,9.0,326.0,3179.0,232.0,1181.0,127.0,112.0,484.0,33.0,225.0,786.0,688.0,1534.0,-117.0,3.0,-29.0,1392.0
8,371700,2012JJ00,306.0,318.0,123.0,130.9,36911.0,36781.0,34755.0,2026.0,130.0,35273.0,26917.0,4229.0,3129.0,723.0,481.0,242.0,10.0,367.0,3380.0,234.0,1266.0,132.0,121.0,449.0,37.0,224.0,918.0,748.0,1638.0,-118.0,2.0,-28.0,1495.0
9,371700,2013JJ00,313.2,324.5,121.4,129.1,36319.0,36198.0,35038.0,1160.0,120.0,34794.0,26394.0,4257.0,3121.0,739.0,501.0,238.0,13.0,384.0,3390.0,235.0,1338.0,139.0,114.0,442.0,27.0,231.0,864.0,753.0,1525.0,-106.0,1.0,-8.0,1411.0
