ID,BedrijfstakBranchesSBI2008,Perioden,Werknemer_1,WerkzamePersoon_2,Werknemer_3,WerkzamePersoon_4,Totaal_5,NettoOmzet_6,OverigeBedrijfsopbrengsten_7,Totaal_8,Totaal_9,Totaal_10,BeginvoorraadGrondEnHulpstoffen_11,InkopenGrondEnHulpstoffen_12,EindvoorraadGrondEnHulpstoffen_13,Totaal_14,BeginvoorraadHandelsgoederen_15,InkopenHandelsgoederen_16,EindvoorraadHandelsgoederen_17,KostenUitbesteedWerk_18,InkoopwaardeOverigeGoederenDiensten_19,Totaal_20,Brutolonen_21,Totaal_22,SocialeVerzekeringspremiesWerkgever_23,PremiesPensioenVutInkoopsommen_24,OverigeSocialeLasten_25,OverigePersoneleKosten_26,Totaal_27,KostenEnergieverbruik_28,Huisvestingskosten_29,KostenApparatuurEnInventaris_30,KostenVervoermiddelen_31,Verkoopkosten_32,Communicatiekosten_33,KostenVanOverigeDiensten_34,NietEerderGenoemdeBedrijfskosten_35,AfschrijvingenOpVasteActiva_36,Bedrijfsresultaat_37,SaldoFinancieleBatenEnLasten_38,SaldoVoorzieningen_39,SaldoBuitengewoneBatenEnLasten_40,ResultaatVoorBelastingen_41
0,346600,2009JJ00,23.7,30.2,22.5,28.2,47065.0,45278.0,1788.0,42965.0,36547.0,29762.0,72.0,29745.0,55.0,6169.0,3.0,6170.0,4.0,592.0,24.0,2036.0,1229.0,256.0,122.0,134.0,25.0,526.0,2599.0,43.0,238.0,398.0,38.0,220.0,51.0,421.0,1189.0,1783.0,4100.0,-883.0,-43.0,19.0,3193.0
1,346600,2010JJ00,24.9,31.3,23.2,28.9,42714.0,40910.0,1804.0,39189.0,32324.0,28452.0,71.0,28457.0,76.0,2952.0,4.0,2952.0,4.0,892.0,29.0,2207.0,1342.0,284.0,129.0,156.0,28.0,553.0,2861.0,25.0,218.0,581.0,40.0,204.0,47.0,560.0,1186.0,1797.0,3525.0,1338.0,-75.0,-167.0,4621.0
2,346600,2011JJ00,26.5,33.3,24.2,29.9,43462.0,41426.0,2036.0,39770.0,32399.0,27461.0,86.0,27504.0,129.0,3828.0,0.0,3828.0,0.0,974.0,136.0,2348.0,1415.0,321.0,136.0,185.0,25.0,588.0,2812.0,28.0,250.0,406.0,47.0,253.0,44.0,522.0,1264.0,2210.0,3692.0,-1184.0,-138.0,-709.0,1661.0
3,346600,2012JJ00,26.0,32.7,24.0,29.9,42355.0,40842.0,1514.0,39068.0,31355.0,15890.0,154.0,15924.0,190.0,14345.0,1735.0,12610.0,0.0,954.0,168.0,2431.0,1419.0,357.0,153.0,205.0,27.0,629.0,2999.0,24.0,256.0,379.0,48.0,196.0,41.0,507.0,1550.0,2283.0,3287.0,-1045.0,-201.0,-2951.0,-910.0
4,346600,2013JJ00,28.5,35.9,25.6,32.1,40192.0,38629.0,1563.0,36297.0,28975.0,13458.0,219.0,13484.0,245.0,14178.0,2.0,14176.0,0.0,1204.0,135.0,2416.0,1530.0,320.0,176.0,144.0,31.0,535.0,2499.0,14.0,278.0,262.0,58.0,181.0,55.0,465.0,1186.0,2408.0,3895.0,-1513.0,-367.0,-3199.0,-1184.0
5,346700,2009JJ00,23.7,30.2,22.5,28.2,47065.0,45278.0,1788.0,42965.0,36547.0,29762.0,72.0,29745.0,55.0,6169.0,3.0,6170.0,4.0,592.0,24.0,2036.0,1229.0,256.0,122.0,134.0,25.0,526.0,2599.0,43.0,238.0,398.0,38.0,220.0,51.0,421.0,1189.0,1783.0,4100.0,-883.0,-43.0,19.0,3193.0
6,346700,2010JJ00,24.9,31.3,23.2,28.9,42714.0,40910.0,1804.0,39189.0,32324.0,28452.0,71.0,28457.0,76.0,2952.0,4.0,2952.0,4.0,892.0,29.0,2207.0,1342.0,284.0,129.0,156.0,28.0,553.0,2861.0,25.0,218.0,581.0,40.0,204.0,47.0,560.0,1186.0,1797.0,3525.0,1338.0,-75.0,-167.0,4621.0
7,346700,2011JJ00,26.5,33.3,24.2,29.9,43462.0,41426.0,2036.0,39770.0,32399.0,27461.0,86.0,27504.0,129.0,3828.0,0.0,3828.0,0.0,974.0,136.0,2348.0,1415.0,321.0,136.0,185.0,25.0,588.0,2812.0,28.0,250.0,406.0,47.0,253.0,44.0,522.0,1264.0,2210.0,3692.0,-1184.0,-138.0,-709.0,1661.0
8,346700,2012JJ00,26.0,32.7,24.0,29.9,42355.0,40842.0,1514.0,39068.0,31355.0,15890.0,154.0,15924.0,190.0,14345.0,1735.0,12610.0,0.0,954.0,168.0,2431.0,1419.0,357.0,153.0,205.0,27.0,629.0,2999.0,24.0,256.0,379.0,48.0,196.0,41.0,507.0,1550.0,2283.0,3287.0,-1045.0,-201.0,-2951.0,-910.0
9,346700,2013JJ00,28.5,35.9,25.6,32.1,40192.0,38629.0,1563.0,36297.0,28975.0,13458.0,219.0,13484.0,245.0,14178.0,2.0,14176.0,0.0,1204.0,135.0,2416.0,1530.0,320.0,176.0,144.0,31.0,535.0,2499.0,14.0,278.0,262.0,58.0,181.0,55.0,465.0,1186.0,2408.0,3895.0,-1513.0,-367.0,-3199.0,-1184.0
10,347500,2009JJ00,5.4,6.9,5.1,6.2,22815.0,22503.0,312.0,21563.0,20169.0,13956.0,1.0,13956.0,1.0,6164.0,3.0,6166.0,4.0,46.0,3.0,438.0,257.0,55.0,26.0,29.0,2.0,124.0,773.0,2.0,65.0,103.0,13.0,139.0,18.0,161.0,273.0,184.0,1252.0,23.0,-77.0,-278.0,920.0
