ID,Perioden,Waarde_1,Waardeontwikkeling_2,Volumeontwikkeling_3,Prijsontwikkeling_4,Waarde_5,Waardeontwikkeling_6,Volumeontwikkeling_7,Prijsontwikkeling_8,Waarde_9,Waardeontwikkeling_10,Volumeontwikkeling_11,Prijsontwikkeling_12,Waarde_13,Waardeontwikkeling_14,Volumeontwikkeling_15,Prijsontwikkeling_16,Waarde_17,Waardeontwikkeling_18,Volumeontwikkeling_19,Prijsontwikkeling_20,Waarde_21,Waardeontwikkeling_22,Volumeontwikkeling_23,Prijsontwikkeling_24,Waarde_25,Waardeontwikkeling_26,Volumeontwikkeling_27,Prijsontwikkeling_28,Waarde_29,Waardeontwikkeling_30,Volumeontwikkeling_31,Prijsontwikkeling_32,Waarde_33,Waardeontwikkeling_34,Volumeontwikkeling_35,Prijsontwikkeling_36,Waarde_37,Waardeontwikkeling_38,Volumeontwikkeling_39,Prijsontwikkeling_40,Waarde_41,Waardeontwikkeling_42,Volumeontwikkeling_43,Prijsontwikkeling_44,Waarde_45,Waardeontwikkeling_46,Volumeontwikkeling_47,Prijsontwikkeling_48,Waarde_49,Waardeontwikkeling_50,Volumeontwikkeling_51,Prijsontwikkeling_52,Waarde_53,Waardeontwikkeling_54,Volumeontwikkeling_55,Prijsontwikkeling_56,Waarde_57,Waardeontwikkeling_58,Volumeontwikkeling_59,Prijsontwikkeling_60,Waarde_61,Waardeontwikkeling_62,Volumeontwikkeling_63,Prijsontwikkeling_64,Waarde_65,Waardeontwikkeling_66,Volumeontwikkeling_67,Prijsontwikkeling_68,Waarde_69,Waardeontwikkeling_70,Volumeontwikkeling_71,Prijsontwikkeling_72,Waarde_73,Waardeontwikkeling_74,Volumeontwikkeling_75,Prijsontwikkeling_76,Waarde_77,Waardeontwikkeling_78,Volumeontwikkeling_79,Prijsontwikkeling_80,Waarde_81,Waardeontwikkeling_82,Waarde_83,Waardeontwikkeling_84,Waarde_85,Waardeontwikkeling_86,Waarde_87,Waardeontwikkeling_88,TotaalPrijsontwikkeling_89,OverheidPrijsontwikkeling_90,GesubsOnderwijsPrijsontwikkeling_91,OverigPrijsontwikkeling_92,OverheidsconsumptieAlsPercentageBBP_93
0,1988JJ00,44966.0,,,,13502.0,,,,31464.0,,,,234.0,,,,,,,,25478.0,,,,5752.0,,,,44966.0,,,,6620.0,,,,422.0,,,,37924.0,1.6,1.3,0.4,52238.0,1.7,1.2,0.5,37924.0,1.6,1.3,0.4,25701.0,2.2,2.8,-0.6,12223.0,0.4,-2.0,2.4,14314.0,1.8,1.1,0.7,52238.0,1.7,1.2,0.5,,,,,,,,,,,,,52238.0,,16448.0,,22860.0,,12930.0,,,,,,24.0
1,1989JJ00,45993.0,2.3,,,14185.0,5.1,,,31808.0,1.1,,,244.0,4.3,,,,,,,25523.0,0.2,,,6041.0,5.0,,,45993.0,2.3,,,6973.0,5.3,,,490.0,16.1,,,38530.0,1.6,1.0,0.6,53452.0,2.3,1.5,0.8,38530.0,1.6,1.0,0.6,26230.0,2.1,2.1,0.0,12300.0,0.6,-1.3,2.0,14922.0,4.2,2.8,1.4,53452.0,2.3,1.5,0.8,,,,,,,,,,,,,53452.0,2.3,16397.0,-0.3,23068.0,0.9,13987.0,8.2,,,,,23.2
2,1990JJ00,48081.0,4.5,,,15080.0,6.3,,,33001.0,3.8,,,258.0,5.7,,,,,,,26401.0,3.4,,,6342.0,5.0,,,48081.0,4.5,,,7329.0,5.1,,,444.0,-9.4,,,40308.0,4.6,2.1,2.5,56121.0,5.0,2.2,2.7,40308.0,4.6,2.1,2.5,27618.0,5.3,3.7,1.5,12690.0,3.2,-1.5,4.7,15813.0,6.0,2.7,3.2,56121.0,5.0,2.2,2.7,,,,,,,,,,,,,56121.0,5.0,17030.0,3.9,24035.0,4.2,15056.0,7.6,,,,,23.0
3,1991JJ00,50818.0,5.7,,,16246.0,7.7,,,34572.0,4.8,,,279.0,8.1,,,,,,,27623.0,4.6,,,6670.0,5.2,,,50818.0,5.7,,,8161.0,11.4,,,501.0,12.8,,,42156.0,4.6,0.9,3.7,59820.0,6.6,2.6,3.9,42156.0,4.6,0.9,3.7,29088.0,5.3,1.6,3.7,13068.0,3.0,-0.6,3.6,17664.0,11.7,6.9,4.5,59820.0,6.6,2.6,3.9,,,,,,,,,,,,,59820.0,6.6,17518.0,2.9,25751.0,7.1,16551.0,9.9,,,,,23.2
4,1992JJ00,53502.0,5.3,,,16997.0,4.6,,,36505.0,5.6,,,288.0,3.2,,,,,,,29286.0,6.0,,,6931.0,3.9,,,53502.0,5.3,,,8837.0,8.3,,,594.0,18.6,,,44071.0,4.5,0.1,4.4,63816.0,6.7,2.5,4.0,44071.0,4.5,0.1,4.4,30130.0,3.6,0.1,3.5,13941.0,6.7,0.2,6.5,19745.0,11.8,8.3,3.2,63816.0,6.7,2.5,4.0,,,,,,,,,,,,,63816.0,6.7,18468.0,5.4,26710.0,3.7,18638.0,12.6,,,,,23.8
5,1993JJ00,56017.0,4.7,,,18096.0,6.5,,,37921.0,3.9,,,313.0,8.7,,,,,,,30414.0,3.9,,,7194.0,3.8,,,56017.0,4.7,,,9791.0,10.8,,,592.0,-0.3,,,45634.0,3.5,1.8,1.7,66426.0,4.1,2.2,1.9,45634.0,3.5,1.8,1.7,31265.0,3.8,2.2,1.5,14369.0,3.1,1.0,2.1,20792.0,5.3,3.0,2.2,66426.0,4.1,2.2,1.9,,,,,,,,,,,,,66426.0,4.1,18558.0,0.5,28108.0,5.2,19760.0,6.0,,,,,24.1
6,1994JJ00,58105.0,3.7,,,19145.0,5.8,,,38960.0,2.7,,,333.0,6.4,,,,,,,31215.0,2.6,,,7412.0,3.0,,,58105.0,3.7,,,9977.0,1.9,,,612.0,3.4,,,47516.0,4.1,1.5,2.6,69254.0,4.3,2.0,2.2,47516.0,4.1,1.5,2.6,32700.0,4.6,2.3,2.3,14816.0,3.1,-0.2,3.3,21738.0,4.5,3.3,1.2,69254.0,4.3,2.0,2.2,,,,,,,,,,,,,69254.0,4.3,18080.0,-2.6,31020.0,10.4,20154.0,2.0,,,,,23.9
7,1995JJ00,60646.0,4.4,,,20201.0,5.5,,,40445.0,3.8,,,368.0,10.5,,,247.0,,,,32345.0,3.6,,,7979.0,7.6,,,60646.0,4.4,,,10101.0,1.2,,,519.0,-15.2,,,50026.0,5.3,2.5,2.7,72687.0,5.0,2.5,2.4,50026.0,5.3,2.5,2.7,34588.0,5.8,3.0,2.7,15438.0,4.2,1.5,2.6,22661.0,4.2,2.5,1.7,72687.0,5.0,2.5,2.4,,,,,,,,,,,,,72687.0,5.0,19468.0,7.7,32651.0,5.3,20568.0,2.1,,,,,23.8
8,1996JJ00,61905.0,2.1,,,21313.0,5.5,,,40592.0,0.4,,,383.0,4.1,,,448.0,81.4,,,32391.0,0.1,,,8266.0,3.6,,,61905.0,2.1,,,10671.0,5.6,,,545.0,5.0,,,50689.0,1.3,0.1,1.2,72830.0,0.2,-0.7,0.9,50689.0,1.3,0.1,1.2,34952.0,1.1,-0.2,1.3,15737.0,1.9,0.9,1.1,22141.0,-2.3,-2.5,0.2,72830.0,0.2,-0.7,0.9,,,,,,,,,,,,,72830.0,0.2,19660.0,1.0,33049.0,1.2,20121.0,-2.2,1.7,1.3,1.2,4.6,22.8
9,1997JJ00,64173.0,3.7,,,22076.0,3.6,,,42097.0,3.7,,,392.0,2.3,,,469.0,4.7,,,33602.0,3.7,,,8572.0,3.7,,,64173.0,3.7,,,11172.0,4.7,,,525.0,-3.7,,,52476.0,3.5,1.3,2.2,76472.0,5.0,2.5,2.5,52476.0,3.5,1.3,2.2,35862.0,2.6,1.0,1.6,16614.0,5.6,1.9,3.6,23996.0,8.4,5.1,3.1,76472.0,5.0,2.5,2.5,,,,,,,,,,,,,76472.0,5.0,20566.0,4.6,32979.0,-0.2,22927.0,13.9,0.9,0.4,0.0,6.2,22.3
10,1998JJ00,67389.0,5.0,,,23374.0,5.9,,,44015.0,4.6,,,416.0,6.1,,,623.0,32.8,,,35280.0,5.0,,,8942.0,4.3,,,67389.0,5.0,,,11523.0,3.1,,,756.0,44.0,,,55110.0,5.0,2.2,2.8,80489.0,5.3,2.5,2.7,55110.0,5.0,2.2,2.8,37195.0,3.7,1.8,1.9,17915.0,7.8,3.0,4.7,25379.0,5.8,3.1,2.5,80489.0,5.3,2.5,2.7,,,,,,,,,,,,,80489.0,5.3,21859.0,6.3,34703.0,5.2,23927.0,4.4,1.6,0.9,-0.7,10.1,22.2
11,1999JJ00,72278.0,7.3,,,25615.0,9.6,,,46663.0,6.0,,,441.0,6.0,,,639.0,2.6,,,37441.0,6.1,,,9420.0,5.3,,,72278.0,7.3,,,12308.0,6.8,,,883.0,16.8,,,59087.0,7.2,3.4,3.6,85867.0,6.7,2.8,3.7,59087.0,7.2,3.4,3.6,39640.0,6.6,4.1,2.4,19447.0,8.6,2.1,6.3,26780.0,5.5,1.5,4.0,85867.0,6.7,2.8,3.7,,,,,,,,,,,,,85867.0,6.7,23751.0,8.7,37008.0,6.6,25108.0,4.9,2.2,1.7,1.4,6.2,22.2
12,2000JJ00,76898.0,6.4,,,27278.0,6.5,,,49620.0,6.3,,,465.0,5.4,,,611.0,-4.4,,,39647.0,5.9,,,10119.0,7.4,,,76898.0,6.4,,,13280.0,7.9,,,932.0,5.5,,,62686.0,6.1,0.8,5.2,91871.0,7.0,1.9,4.9,62686.0,6.1,0.8,5.2,41792.0,5.4,1.3,4.0,20894.0,7.4,-0.2,7.6,29185.0,9.0,4.4,4.4,91871.0,7.0,1.9,4.9,,,,,,,,,,,,,91871.0,7.0,24586.0,3.5,39900.0,7.8,27385.0,9.1,5.8,4.6,5.0,14.7,22.0
13,2001JJ00,84361.0,9.7,,,30969.0,13.5,,,53392.0,7.6,,,471.0,1.3,,,666.0,9.0,,,42820.0,8.0,,,10767.0,6.4,,,84361.0,9.7,,,13918.0,4.8,,,1026.0,10.1,,,69417.0,10.7,5.1,5.3,101385.0,10.4,4.6,5.5,69417.0,10.7,5.1,5.3,46169.0,10.5,5.7,4.5,23248.0,11.3,4.0,7.0,31968.0,9.5,3.3,6.0,101385.0,10.4,4.6,5.5,,,,,,,,,,,,,101385.0,10.4,27309.0,11.1,43960.0,10.2,30116.0,10.0,4.6,3.6,6.2,8.0,22.6
14,2002JJ00,89775.0,6.4,,,33070.0,6.8,,,56705.0,6.2,,,505.0,7.2,,,801.0,20.3,,,45599.0,6.5,,,11402.0,5.9,,,89775.0,6.4,,,14435.0,3.7,,,1250.0,21.8,,,74090.0,6.7,2.0,4.7,110246.0,8.7,3.3,5.3,74090.0,6.7,2.0,4.7,49238.0,6.6,2.7,3.8,24852.0,6.9,0.4,6.5,36156.0,13.1,6.1,6.6,110246.0,8.7,3.3,5.3,,,,,,,,,,,,,110246.0,8.7,28436.0,4.1,47641.0,8.4,34169.0,13.5,3.7,3.8,2.6,4.7,23.7
15,2003JJ00,94791.0,5.6,,,34945.0,5.7,,,59846.0,5.5,,,539.0,6.7,,,768.0,-4.1,,,48040.0,5.4,,,12035.0,5.6,,,94791.0,5.6,,,15611.0,8.1,,,1348.0,7.8,,,77832.0,5.1,2.0,3.0,116793.0,5.9,2.9,3.0,77832.0,5.1,2.0,3.0,51974.0,5.6,3.3,2.2,25858.0,4.0,-0.5,4.5,38961.0,7.8,4.7,2.9,116793.0,5.9,2.9,3.0,,,,,,,,,,,,,116793.0,5.9,28881.0,1.6,51129.0,7.3,36783.0,7.7,2.0,1.8,0.9,5.5,24.5
16,2004JJ00,96515.0,1.8,,,35292.0,1.0,,,61223.0,2.3,,,549.0,1.9,,,662.0,-13.8,,,48909.0,1.8,,,12427.0,3.3,,,96515.0,1.8,,,16399.0,5.0,,,1302.0,-3.4,,,78814.0,1.3,-1.0,2.3,118942.0,1.8,-0.1,1.9,78814.0,1.3,-1.0,2.3,52550.0,1.1,-1.0,2.1,26264.0,1.6,-1.1,2.7,40128.0,3.0,1.9,1.1,118942.0,1.8,-0.1,1.9,,,,,,,,,,,,,118942.0,1.8,28383.0,-1.7,52254.0,2.2,38305.0,4.1,1.2,1.2,1.7,0.8,24.2
17,2005JJ00,98800.0,2.4,,,36410.0,3.2,,,62390.0,1.9,,,559.0,1.8,,,584.0,-11.8,,,49543.0,1.3,,,12872.0,3.6,,,98800.0,2.4,,,17256.0,5.2,,,1289.0,-1.0,,,80255.0,1.8,-0.5,2.4,121685.0,2.3,0.5,1.8,80255.0,1.8,-0.5,2.4,53018.0,0.9,-1.2,2.1,27237.0,3.7,0.8,2.9,41430.0,3.2,2.4,0.8,121685.0,2.3,0.5,1.8,,,,,,,,,,,,,121685.0,2.3,29349.0,6.1,52781.0,1.0,39555.0,3.3,1.2,1.5,1.3,-0.4,23.7
