ID,Perioden,TotaalBedrijfsopbrengsten_1,NettoOmzet_2,TotaalOverigeBedrijfsopbrengsten_3,Subsidies_4,NietEerderGenoemdeBedrijfsopbrengsten_5,TotaalBedrijfskosten_6,TotaalArbeidskosten_7,LonenEnSalarissen_8,Pensioenlasten_9,SocialeLasten_10,AfschrijvingenOpVasteActiva_11,TotaalOverigeBedrijfskosten_12,TotaalOverigePersoneelskosten_13,KostenUitzendkrachtenEnOverigeInleen_14,NietEerderGenoemdePersoneelskosten_15,NietEerderGenoemdeBedrijfskosten_16,Bedrijfsresultaat_17,SaldoBijzWaardevermeerderingVermind_18,FinancieelResultaat_19,VrijvalVoorzieningen_20,ToevoegingenVoorzieningen_21,SaldoVoorzieningen_22,IncidenteelResultaat_23,ResultaatVoorBelastingen_24,TotaalWerkzamePersonen_25,Werknemers_26,OverigeWerkzamePersonen_27,TotaalArbeidsjarenWerkzamePersonen_28,ArbeidsjarenWerknemers_29,ArbeidsjarenOverigeWerkzamePersonen_30,ArbodienstOfArbodeskundige_31,ArboAdviesbureau_32,ReIntegratiebedrijf_33,Anders_34,TotaalNettoOmzet_35,BedrijvenEnInstellingen_36,Overheid_37,Particulieren_38,PersonenBegeleidDoorReIntegratiebedr_39
0,2008JJ00,1126,1106,20,7.0,13.0,1075,609,497,53,60,29,437,99,56.0,44.0,338,51,,-1,1,1,0,0,50,15300.0,13840,1460.0,12090.0,10910,1180.0,50.0,490.0,270.0,530.0,1106,792.0,302.0,12.0,144.0
1,2009JJ00,1022,997,25,12.0,13.0,944,538,451,32,55,32,373,98,53.0,45.0,276,78,,-2,1,1,0,0,76,14500.0,13190,1320.0,11470.0,10570,900.0,220.0,460.0,270.0,500.0,997,705.0,281.0,10.0,156.0
2,2010JJ00,1041,1011,30,15.0,15.0,945,537,445,35,57,32,376,90,42.0,48.0,286,97,0.0,-2,2,0,1,-2,93,14800.0,13330,1470.0,11820.0,10560,1260.0,250.0,430.0,370.0,400.0,1011,708.0,292.0,12.0,164.0
3,2011JJ00,972,940,32,17.0,15.0,905,493,409,33,52,30,382,90,47.0,44.0,292,67,0.0,0,0,1,-1,0,66,13940.0,12350,1590.0,10690.0,9520,1170.0,260.0,480.0,370.0,450.0,940,719.0,212.0,9.0,135.0
4,2012JJ00,955,928,27,7.0,20.0,868,485,397,35,53,28,355,95,41.0,55.0,259,87,-1.0,-2,1,1,0,0,84,12710.0,10780,1930.0,9650.0,8240,1410.0,350.0,490.0,370.0,500.0,928,747.0,169.0,12.0,101.0
5,2013JJ00,890,865,25,6.0,20.0,792,440,358,32,50,30,322,81,43.0,38.0,240,98,-1.0,-2,1,1,0,0,96,12190.0,9910,2280.0,9050.0,7510,1530.0,550.0,530.0,440.0,660.0,865,700.0,154.0,11.0,
6,2014JJ00,867,842,25,4.0,20.0,745,408,330,30,48,22,315,82,46.0,37.0,233,122,-1.0,-2,1,1,0,0,118,11720.0,9110,2610.0,8430.0,6860,1570.0,570.0,560.0,510.0,720.0,842,702.0,128.0,12.0,
7,2015JJ00,826,802,24,3.0,21.0,697,396,323,27,46,21,279,78,50.0,29.0,201,129,0.0,-1,0,1,0,0,128,11160.0,8450,2710.0,8300.0,6360,1950.0,670.0,660.0,600.0,650.0,802,684.0,106.0,11.0,
8,2016JJ00,863,836,27,2.0,25.0,701,382,311,25,46,22,297,93,56.0,37.0,205,162,0.0,-1,1,0,0,-1,161,11170.0,8230,2930.0,8330.0,6100,2230.0,690.0,640.0,670.0,660.0,836,733.0,90.0,13.0,
9,2017JJ00,963,937,26,2.0,24.0,789,427,349,27,51,25,338,101,68.0,33.0,237,174,0.0,-1,0,1,-1,1,172,12080.0,8950,3130.0,9130.0,6730,2400.0,640.0,730.0,720.0,680.0,937,790.0,133.0,13.0,
10,2018JJ00,1003,978,25,4.0,22.0,818,450,367,28,55,24,344,99,71.0,27.0,245,186,-1.0,-2,0,1,-1,1,184,12530.0,9250,3290.0,9350.0,6920,2430.0,670.0,740.0,660.0,670.0,978,828.0,135.0,15.0,
11,2019JJ00,1137,1110,27,5.0,23.0,927,492,399,31,63,29,405,110,79.0,32.0,295,210,0.0,-1,0,1,-1,1,209,13230.0,9830,3400.0,10020.0,7480,2540.0,700.0,730.0,660.0,760.0,1110,932.0,162.0,16.0,
12,2020JJ00,1213,1180,33,12.0,21.0,990,538,437,32,69,34,418,103,75.0,28.0,315,223,0.0,-1,0,0,0,1,223,14410.0,10420,4000.0,10780.0,7990,2790.0,760.0,700.0,610.0,700.0,1180,1000.0,165.0,16.0,
13,2021JJ00,1362,1327,35,13.0,22.0,1112,597,486,37,74,40,474,116,81.0,35.0,358,250,0.0,1,0,1,0,2,253,15350.0,11470,3870.0,11680.0,8840,2830.0,770.0,780.0,610.0,670.0,1327,1128.0,182.0,17.0,
14,2022JJ00,1431,1395,35,,,1187,619,511,33,75,44,524,129,,,395,243,0.0,8,0,0,0,2,253,,11500,,,8770,,,,,,1395,,,,
15,2023JJ00,1611,1567,43,,,1333,685,564,36,84,59,590,148,,,442,277,0.0,12,0,0,0,2,291,,12000,,,9240,,,,,,1567,,,,
