ID,SectorBranchesSIC2008,Periods,LabourPriceIndex_1,YearOnYearChangePriceOfLabour_2
0,300025,2001JJ00,87.2,
1,300025,2002JJ00,91.2,4.6
2,300025,2003JJ00,94.1,3.2
3,300025,2004JJ00,95.7,1.7
4,300025,2005JJ00,97.6,2.0
5,300025,2006JJ00,100.0,2.5
6,300025,2007JJ00,103.2,3.2
7,300025,2008JJ00,106.3,3.0
8,300025,2009JJ00,107.8,1.4
9,300025,2010JJ00,108.7,0.8
10,300025,2011JJ00,110.1,1.3
11,300025,2012JJ00,111.7,1.5
12,300025,2013JJ00,114.0,2.1
13,300025,2006VJ12,100.0,2.5
14,300025,2007VJ03,101.1,
15,300025,2007VJ06,101.7,
16,300025,2007VJ09,102.3,
17,300025,2007VJ12,103.2,3.2
18,300025,2008VJ03,104.2,3.1
19,300025,2008VJ06,105.2,3.4
20,300025,2008VJ09,105.8,3.4
21,300025,2008VJ12,106.3,3.0
22,300025,2009VJ03,106.9,2.6
23,300025,2009VJ06,108.0,2.7
24,300025,2009VJ09,108.1,2.2
25,300025,2009VJ12,107.8,1.4
26,300025,2010VJ03,107.7,0.7
27,300025,2010VJ06,108.4,0.4
28,300025,2010VJ09,108.6,0.5
29,300025,2010VJ12,108.7,0.8
30,300025,2011VJ03,108.7,0.9
31,300025,2011VJ06,108.7,0.3
32,300025,2011VJ09,109.0,0.4
33,300025,2011VJ12,110.1,1.3
34,300025,2012VJ03,110.2,1.4
35,300025,2012VJ06,110.6,1.7
36,300025,2012VJ09,111.4,2.2
37,300025,2012VJ12,111.7,1.5
38,300025,2013VJ03,113.1,2.6
39,300025,2013VJ06,113.6,2.7
40,300025,2013VJ09,113.7,2.1
41,300025,2013VJ12,114.0,2.1
42,300035,2001JJ00,86.3,
43,300035,2002JJ00,90.4,4.8
44,300035,2003JJ00,93.9,3.9
45,300035,2004JJ00,95.8,2.0
46,300035,2005JJ00,97.1,1.4
47,300035,2006JJ00,100.0,3.0
48,300035,2007JJ00,102.5,2.5
49,300035,2008JJ00,106.4,3.8
50,300035,2009JJ00,108.0,1.5
51,300035,2010JJ00,108.4,0.4
52,300035,2011JJ00,109.7,1.2
53,300035,2012JJ00,111.4,1.5
54,300035,2013JJ00,114.8,3.1
55,300035,2006VJ12,100.0,3.0
56,300035,2007VJ03,100.9,
57,300035,2007VJ06,101.4,
58,300035,2007VJ09,101.8,
59,300035,2007VJ12,102.5,2.5
60,300035,2008VJ03,103.9,3.0
61,300035,2008VJ06,105.3,3.8
62,300035,2008VJ09,106.1,4.2
63,300035,2008VJ12,106.4,3.8
64,300035,2009VJ03,107.2,3.2
65,300035,2009VJ06,108.4,2.9
66,300035,2009VJ09,108.6,2.4
67,300035,2009VJ12,108.0,1.5
68,300035,2010VJ03,108.0,0.7
69,300035,2010VJ06,108.5,0.1
70,300035,2010VJ09,108.5,-0.1
71,300035,2010VJ12,108.4,0.4
72,300035,2011VJ03,108.3,0.3
73,300035,2011VJ06,108.2,-0.3
74,300035,2011VJ09,108.5,0.0
75,300035,2011VJ12,109.7,1.2
76,300035,2012VJ03,109.8,1.4
77,300035,2012VJ06,110.4,2.0
78,300035,2012VJ09,111.1,2.4
79,300035,2012VJ12,111.4,1.5
80,300035,2013VJ03,113.1,3.0
81,300035,2013VJ06,114.0,3.3
82,300035,2013VJ09,114.1,2.7
83,300035,2013VJ12,114.8,3.1
84,301000,2001JJ00,87.5,
85,301000,2002JJ00,93.3,6.6
86,301000,2003JJ00,97.5,4.5
87,301000,2004JJ00,96.5,-1.0
88,301000,2005JJ00,99.3,2.9
89,301000,2006JJ00,100.0,0.7
90,301000,2007JJ00,102.7,2.7
91,301000,2008JJ00,106.4,3.6
92,301000,2009JJ00,107.1,0.7
93,301000,2010JJ00,109.5,2.2
94,301000,2011JJ00,111.1,1.5
95,301000,2012JJ00,113.5,2.2
96,301000,2013JJ00,116.3,2.5
97,301000,2006VJ12,100.0,0.7
98,301000,2007VJ03,100.7,
99,301000,2007VJ06,100.8,
100,301000,2007VJ09,101.4,
101,301000,2007VJ12,102.7,2.7
102,301000,2008VJ03,102.3,1.6
103,301000,2008VJ06,103.8,3.0
104,301000,2008VJ09,107.8,6.3
105,301000,2008VJ12,106.4,3.6
106,301000,2009VJ03,106.8,4.4
107,301000,2009VJ06,107.6,3.7
108,301000,2009VJ09,108.0,0.2
109,301000,2009VJ12,107.1,0.7
