ID,Producten,Perioden,Kostprijsindex2005100_1,MaandOpMaandOntwikkeling_2,JaarOpJaarOntwikkeling_3,Consumentenprijsindex2005100_4,MaandOpMaandOntwikkeling_5,JaarOpJaarOntwikkeling_6
0,1100  ,2000MM01,93.0,0.0,0.0,92.32,0.0,0.0
1,1100  ,2000MM02,93.2,0.21,0.0,91.75,-0.62,0.0
2,1100  ,2000MM03,93.34,0.15,0.0,91.89,0.14,0.0
3,1100  ,2000MM04,93.65,0.34,0.0,91.98,0.1,0.0
4,1100  ,2000MM05,94.12,0.5,0.0,92.12,0.15,0.0
5,1100  ,2000MM06,94.13,0.02,0.0,92.37,0.28,0.0
6,1100  ,2000MM07,94.42,0.3,0.0,91.98,-0.43,0.0
7,1100  ,2000MM08,94.85,0.46,0.0,92.26,0.31,0.0
8,1100  ,2000MM09,95.23,0.4,0.0,92.66,0.43,0.0
9,1100  ,2000MM10,95.92,0.73,0.0,93.13,0.52,0.0
10,1100  ,2000MM11,96.19,0.28,0.0,93.98,0.91,0.0
11,1100  ,2000MM12,96.23,0.04,0.0,94.48,0.53,0.0
12,1100  ,2001MM01,96.18,-0.06,3.42,95.71,1.31,3.67
13,1100  ,2001MM02,96.97,0.82,4.05,96.41,0.72,5.07
14,1100  ,2001MM03,98.04,1.11,5.04,98.34,2.01,7.03
15,1100  ,2001MM04,97.6,-0.46,4.21,99.78,1.46,8.48
16,1100  ,2001MM05,97.06,-0.55,3.13,100.3,0.53,8.89
17,1100  ,2001MM06,97.61,0.56,3.69,100.09,-0.21,8.36
18,1100  ,2001MM07,97.95,0.35,3.74,100.15,0.06,8.89
19,1100  ,2001MM08,97.94,0.0,3.26,100.19,0.04,8.6
20,1100  ,2001MM09,97.9,-0.04,2.81,100.88,0.69,8.88
21,1100  ,2001MM10,97.76,-0.14,1.91,100.65,-0.23,8.07
22,1100  ,2001MM11,97.27,-0.5,1.12,100.31,-0.33,6.74
23,1100  ,2001MM12,97.42,0.15,1.23,101.21,0.89,7.13
24,1100  ,2002MM01,97.37,-0.05,1.24,103.63,2.39,8.27
25,1100  ,2002MM02,97.46,0.09,0.51,103.71,0.08,7.57
26,1100  ,2002MM03,97.08,-0.38,-0.98,103.83,0.12,5.58
27,1100  ,2002MM04,97.07,-0.02,-0.54,103.44,-0.37,3.67
28,1100  ,2002MM05,96.57,-0.51,-0.5,103.48,0.04,3.17
29,1100  ,2002MM06,96.27,-0.32,-1.37,102.88,-0.58,2.79
30,1100  ,2002MM07,96.77,0.53,-1.19,103.23,0.34,3.07
31,1100  ,2002MM08,96.7,-0.07,-1.26,102.65,-0.56,2.45
32,1100  ,2002MM09,96.8,0.11,-1.12,103.64,0.96,2.73
33,1100  ,2002MM10,96.72,-0.08,-1.06,102.26,-1.32,1.6
34,1100  ,2002MM11,96.83,0.11,-0.45,101.68,-0.58,1.36
35,1100  ,2002MM12,96.84,0.01,-0.59,102.14,0.46,0.92
36,1100  ,2003MM01,96.88,0.04,-0.5,102.79,0.64,-0.8
37,1100  ,2003MM02,96.8,-0.09,-0.68,103.35,0.54,-0.34
38,1100  ,2003MM03,96.19,-0.62,-0.92,104.44,1.05,0.59
39,1100  ,2003MM04,96.1,-0.1,-1.0,105.02,0.55,1.52
40,1100  ,2003MM05,95.67,-0.45,-0.93,104.77,-0.23,1.25
41,1100  ,2003MM06,96.04,0.39,-0.23,105.13,0.34,2.18
42,1100  ,2003MM07,96.31,0.28,-0.48,104.82,-0.29,1.54
43,1100  ,2003MM08,96.81,0.52,0.11,105.33,0.48,2.61
44,1100  ,2003MM09,97.57,0.78,0.79,106.23,0.85,2.5
45,1100  ,2003MM10,97.7,0.14,1.02,104.69,-1.44,2.37
46,1100  ,2003MM11,97.43,-0.28,0.62,103.56,-1.08,1.86
47,1100  ,2003MM12,96.86,-0.58,0.02,102.52,-1.01,0.37
48,1100  ,2004MM01,97.16,0.3,0.28,102.92,0.4,0.13
49,1100  ,2004MM02,97.05,-0.11,0.26,102.62,-0.3,-0.71
50,1100  ,2004MM03,97.79,0.77,1.66,102.25,-0.36,-2.09
51,1100  ,2004MM04,97.56,-0.24,1.52,102.0,-0.25,-2.87
52,1100  ,2004MM05,97.77,0.21,2.19,102.02,0.02,-2.63
53,1100  ,2004MM06,98.39,0.64,2.44,101.79,-0.23,-3.18
54,1100  ,2004MM07,98.69,0.31,2.47,101.33,-0.45,-3.33
55,1100  ,2004MM08,98.47,-0.22,1.72,100.35,-0.97,-4.73
56,1100  ,2004MM09,99.2,0.74,1.68,100.49,0.14,-5.4
57,1100  ,2004MM10,99.0,-0.2,1.33,99.91,-0.58,-4.57
58,1100  ,2004MM11,99.05,0.05,1.66,99.15,-0.76,-4.27
59,1100  ,2004MM12,99.05,0.0,2.26,99.73,0.58,-2.72
60,1100  ,2005MM01,99.0,-0.05,1.9,99.76,0.03,-3.08
61,1100  ,2005MM02,98.88,-0.13,1.88,100.63,0.88,-1.94
