ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
0,1 ,1995KW01,36.6,,,30734,,,89792,2760
1,1 ,1995KW02,37.1,1.2,,37054,20.6,,92094,3412
2,1 ,1995KW03,38.1,2.8,,40498,9.3,,95819,3880
3,1 ,1995KW04,38.6,1.3,,46282,14.3,,95892,4438
4,1 ,1995JJ00,37.6,,,154568,,,93750,14491
5,1 ,1996KW01,39.7,2.8,8.3,35669,-22.9,16.1,97224,3468
6,1 ,1996KW02,41.0,3.4,10.7,43810,22.8,18.2,100280,4393
7,1 ,1996KW03,42.5,3.5,11.5,46582,6.3,15.0,104754,4880
8,1 ,1996KW04,43.4,2.2,12.4,49690,6.7,7.4,106508,5292
9,1 ,1996JJ00,41.6,10.8,10.8,175751,13.7,13.7,102607,18033
10,1 ,1997KW01,44.8,3.2,12.8,35763,-28.0,0.3,107138,3832
11,1 ,1997KW02,46.0,2.7,12.1,47160,31.9,7.6,110934,5232
12,1 ,1997KW03,47.3,2.9,11.4,49619,5.2,6.5,115563,5734
13,1 ,1997KW04,48.3,2.2,11.4,53092,7.0,6.8,116960,6210
14,1 ,1997JJ00,46.6,11.9,11.9,185634,5.6,5.6,113163,21007
15,1 ,1998KW01,49.5,2.4,10.6,38128,-28.2,6.6,118873,4532
16,1 ,1998KW02,50.8,2.6,10.4,47410,24.3,0.5,121358,5754
17,1 ,1998KW03,52.5,3.4,10.9,51153,7.9,3.1,127361,6515
18,1 ,1998KW04,54.0,2.8,11.6,55931,9.3,5.3,128521,7188
19,1 ,1998JJ00,51.7,10.9,10.9,192622,3.8,3.8,124540,23989
20,1 ,1999KW01,56.1,3.9,13.3,42223,-24.5,10.7,131800,5565
21,1 ,1999KW02,58.5,4.3,15.2,50211,18.9,5.9,139546,7007
22,1 ,1999KW03,61.6,5.3,17.4,55575,10.7,8.6,148759,8267
23,1 ,1999KW04,64.3,4.4,19.1,56529,1.7,1.1,155204,8774
24,1 ,1999JJ00,60.1,16.3,16.3,204538,6.2,6.2,144778,29613
25,1 ,2000KW01,67.2,4.5,19.9,39643,-29.9,-6.1,159365,6318
26,1 ,2000KW02,69.8,3.9,19.4,47098,18.8,-6.2,167599,7894
27,1 ,2000KW03,72.8,4.3,18.2,48794,3.6,-12.2,177486,8660
28,1 ,2000KW04,74.5,2.3,15.8,53823,10.3,-4.8,180360,9707
29,1 ,2000JJ00,71.1,18.2,18.2,189358,-7.4,-7.4,172050,32579
30,1 ,2001KW01,76.3,2.4,13.5,37729,-29.9,-4.8,180341,6804
31,1 ,2001KW02,78.3,2.7,12.1,48191,27.7,2.3,186614,8993
32,1 ,2001KW03,80.3,2.6,10.3,52498,8.9,7.6,191524,10055
33,1 ,2001KW04,81.0,0.9,8.8,57319,9.2,6.5,192334,11024
34,1 ,2001JJ00,79.0,11.1,11.1,195737,3.4,3.4,188397,36876
35,1 ,2002KW01,82.5,1.8,8.2,44377,-22.6,17.6,194834,8646
36,1 ,2002KW02,83.6,1.4,6.8,48081,8.3,-0.2,198713,9554
37,1 ,2002KW03,85.1,1.7,5.9,52597,9.4,0.2,203432,10700
38,1 ,2002KW04,85.0,-0.1,4.9,53331,1.4,-7.0,201154,10728
39,1 ,2002JJ00,84.0,6.4,6.4,198386,1.4,1.4,199752,39628
40,1 ,2003KW01,85.7,0.9,3.9,39587,-25.8,-10.8,200535,7939
41,1 ,2003KW02,86.7,1.1,3.6,46278,16.9,-3.8,203216,9404
42,1 ,2003KW03,87.4,0.9,2.8,50365,8.8,-4.2,205078,10329
43,1 ,2003KW04,88.4,1.1,4.0,57176,13.5,7.2,208888,11943
44,1 ,2003JJ00,87.1,3.6,3.6,193406,-2.5,-2.5,204829,39615
45,1 ,2004KW01,89.4,1.1,4.2,39251,-31.4,-0.8,208625,8189
46,1 ,2004KW02,90.3,1.1,4.2,47946,22.2,3.6,212346,10181
47,1 ,2004KW03,91.7,1.5,4.8,50427,5.2,0.1,217298,10958
