ID,Geslacht,Leeftijd,Zorgvormen,Perioden,JongerenMetKostenZvwGGZ_1,GedeclareerdeEnToegekendeKosten_2
0,1100,10222,ZVW01 ,2011JJ00,267470.0,844813.0
1,1100,10222,ZVW01 ,2012JJ00,266170.0,807952.0
2,1100,10222,ZVW01 ,2013JJ00,262240.0,836327.0
3,1100,10222,ZVW01 ,2014JJ00,211885.0,527283.0
4,1100,10222,ZVW02 ,2011JJ00,66730.0,24639.0
5,1100,10222,ZVW02 ,2012JJ00,65225.0,16040.0
6,1100,10222,ZVW02 ,2013JJ00,64250.0,15169.0
7,1100,10222,ZVW02 ,2014JJ00,,
8,1100,10222,ZVW03 ,2011JJ00,212345.0,820095.0
9,1100,10222,ZVW03 ,2012JJ00,211795.0,791603.0
10,1100,10222,ZVW03 ,2013JJ00,207115.0,818008.0
11,1100,10222,ZVW03 ,2014JJ00,,
12,1100,10222,ZVW04 ,2011JJ00,285.0,79.0
13,1100,10222,ZVW04 ,2012JJ00,730.0,309.0
14,1100,10222,ZVW04 ,2013JJ00,3495.0,3151.0
15,1100,10222,ZVW04 ,2014JJ00,115.0,137.0
16,1100,10222,ZVW05 ,2011JJ00,,
17,1100,10222,ZVW05 ,2012JJ00,,
18,1100,10222,ZVW05 ,2013JJ00,,
19,1100,10222,ZVW05 ,2014JJ00,50805.0,33313.0
20,1100,10222,ZVW06 ,2011JJ00,,
21,1100,10222,ZVW06 ,2012JJ00,,
22,1100,10222,ZVW06 ,2013JJ00,,
23,1100,10222,ZVW06 ,2014JJ00,168265.0,493833.0
24,1100,70100,ZVW01 ,2011JJ00,8070.0,25186.0
25,1100,70100,ZVW01 ,2012JJ00,7740.0,24469.0
26,1100,70100,ZVW01 ,2013JJ00,7290.0,23782.0
27,1100,70100,ZVW01 ,2014JJ00,5465.0,14478.0
28,1100,70100,ZVW02 ,2011JJ00,1400.0,377.0
29,1100,70100,ZVW02 ,2012JJ00,1530.0,323.0
30,1100,70100,ZVW02 ,2013JJ00,1460.0,283.0
31,1100,70100,ZVW02 ,2014JJ00,,
32,1100,70100,ZVW03 ,2011JJ00,6775.0,24804.0
33,1100,70100,ZVW03 ,2012JJ00,6335.0,24145.0
34,1100,70100,ZVW03 ,2013JJ00,5880.0,23400.0
35,1100,70100,ZVW03 ,2014JJ00,,
36,1100,70100,ZVW04 ,2011JJ00,5.0,5.0
37,1100,70100,ZVW04 ,2012JJ00,5.0,1.0
38,1100,70100,ZVW04 ,2013JJ00,85.0,99.0
39,1100,70100,ZVW04 ,2014JJ00,5.0,0.0
40,1100,70100,ZVW05 ,2011JJ00,,
41,1100,70100,ZVW05 ,2012JJ00,,
