ID,Perioden,Waarde_1,Waardeontwikkeling_2,Volumeontwikkeling_3,Prijsontwikkeling_4,Waarde_5,Waardeontwikkeling_6,Volumeontwikkeling_7,Prijsontwikkeling_8,Waarde_9,Waardeontwikkeling_10,Volumeontwikkeling_11,Prijsontwikkeling_12,Waarde_13,Waardeontwikkeling_14,Volumeontwikkeling_15,Prijsontwikkeling_16,Waarde_17,Waardeontwikkeling_18,Volumeontwikkeling_19,Prijsontwikkeling_20,Waarde_21,Waardeontwikkeling_22,Volumeontwikkeling_23,Prijsontwikkeling_24,Waarde_25,Waardeontwikkeling_26,Volumeontwikkeling_27,Prijsontwikkeling_28,Waarde_29,Waardeontwikkeling_30,Volumeontwikkeling_31,Prijsontwikkeling_32,Waarde_33,Waardeontwikkeling_34,Volumeontwikkeling_35,Prijsontwikkeling_36,Waarde_37,Waardeontwikkeling_38,Volumeontwikkeling_39,Prijsontwikkeling_40,Waarde_41,Waardeontwikkeling_42,Volumeontwikkeling_43,Prijsontwikkeling_44,Waarde_45,Waardeontwikkeling_46,Volumeontwikkeling_47,Prijsontwikkeling_48,Waarde_49,Waardeontwikkeling_50,Volumeontwikkeling_51,Prijsontwikkeling_52,Waarde_53,Waardeontwikkeling_54,Volumeontwikkeling_55,Prijsontwikkeling_56,Waarde_57,Waardeontwikkeling_58,Volumeontwikkeling_59,Prijsontwikkeling_60,Waarde_61,Waardeontwikkeling_62,Volumeontwikkeling_63,Prijsontwikkeling_64,Waarde_65,Waardeontwikkeling_66,Volumeontwikkeling_67,Prijsontwikkeling_68,Waarde_69,Waardeontwikkeling_70,Volumeontwikkeling_71,Prijsontwikkeling_72,Waarde_73,Waardeontwikkeling_74,Volumeontwikkeling_75,Prijsontwikkeling_76,Waarde_77,Waardeontwikkeling_78,Volumeontwikkeling_79,Prijsontwikkeling_80,Waarde_81,Waardeontwikkeling_82,Waarde_83,Waardeontwikkeling_84,Waarde_85,Waardeontwikkeling_86,Waarde_87,Waardeontwikkeling_88,TotaalPrijsontwikkeling_89,OpenbaarBestuurPrijsontwikkeling_90,GesubsidieerdOnderwijsPrijsontwik_91,SocialeWerkvoorzieningPrijsontwikk_92,OverheidsconsumptieAlsPercentageBBP_93
0,1995JJ00,62847.0,,,,20927.0,,,,41920.0,,,,337.0,,,,20.0,,,,31225.0,,,,10378.0,,,,62847.0,,,,9779.0,,,,2356.0,,,,50712.0,,,,73904.0,,,,50712.0,,,,30585.0,,,,20127.0,,,,23192.0,,,,73904.0,,,,52424.0,,,,14132.0,,,,7348.0,,,,73904.0,,21176.0,,32398.0,,20330.0,,,,,,22.4
1,1996JJ00,63687.0,1.3,0.5,0.9,21198.0,1.3,-0.5,1.8,42489.0,1.4,1.0,0.4,346.0,2.7,1.8,0.9,81.0,305.0,300.0,1.3,31500.0,0.9,0.7,0.1,10724.0,3.3,2.2,1.1,63687.0,1.3,0.5,0.9,10375.0,6.1,7.6,-1.4,2348.0,-0.3,-3.6,3.4,50964.0,0.5,-0.7,1.2,73662.0,-0.3,-1.2,0.9,50964.0,0.5,-0.7,1.2,30389.0,-0.6,-1.5,0.9,20575.0,2.2,0.5,1.7,22698.0,-2.1,-2.4,0.3,73662.0,-0.3,-1.2,0.9,51790.0,-1.2,-1.8,0.6,14552.0,3.0,0.6,2.4,7320.0,-0.4,-0.9,0.5,73662.0,-0.3,21240.0,0.3,32613.0,0.7,19809.0,-2.6,2.1,2.2,2.3,0.4,21.4
2,1997JJ00,66256.0,4.0,2.8,1.2,22046.0,4.0,2.3,1.6,44210.0,4.1,3.0,1.0,360.0,4.0,2.3,1.7,127.0,56.8,56.8,0.0,32821.0,4.2,3.1,1.0,11156.0,4.0,3.1,0.9,66256.0,4.0,2.8,1.2,11046.0,6.5,6.6,-0.1,2419.0,3.0,0.6,2.4,52791.0,3.6,2.1,1.4,77467.0,5.2,3.2,1.9,52791.0,3.6,2.1,1.4,31677.0,4.2,2.8,1.4,21114.0,2.6,1.1,1.5,24676.0,8.7,5.6,3.0,77467.0,5.2,3.2,1.9,54552.0,5.3,3.3,2.0,14983.0,3.0,1.1,1.9,7932.0,8.4,6.5,1.7,77467.0,5.2,22108.0,4.1,32757.0,0.4,22602.0,14.1,1.5,1.5,1.7,1.7,21.0
3,1998JJ00,69692.0,5.2,4.3,0.9,23339.0,5.9,6.4,-0.5,46353.0,4.8,3.2,1.6,392.0,8.9,6.7,2.1,173.0,36.2,36.2,0.0,34496.0,5.1,3.2,1.8,11638.0,4.3,3.5,0.8,69692.0,5.2,4.3,0.9,11297.0,2.3,5.5,-3.1,2698.0,11.5,9.3,2.0,55697.0,5.5,3.8,1.6,82122.0,6.0,4.0,1.9,55697.0,5.5,3.8,1.6,33002.0,4.2,3.3,0.8,22695.0,7.5,4.5,2.9,26425.0,7.1,4.4,2.5,82122.0,6.0,4.0,1.9,57868.0,6.1,4.3,1.7,15785.0,5.4,1.4,3.9,8469.0,6.8,6.6,0.2,82122.0,6.0,23700.0,7.2,34412.0,5.1,24010.0,6.2,1.8,2.0,1.0,2.2,20.8
4,1999JJ00,73366.0,5.3,2.8,2.4,24532.0,5.1,2.3,2.8,48834.0,5.4,3.0,2.2,474.0,20.9,16.3,3.9,214.0,23.7,23.7,0.0,36325.0,5.3,2.7,2.5,12249.0,5.3,3.8,1.4,73366.0,5.3,2.8,2.4,12125.0,7.3,5.3,1.9,2945.0,9.2,6.2,2.8,58296.0,4.7,2.1,2.5,86383.0,5.2,2.2,2.9,58296.0,4.7,2.1,2.5,34470.0,4.4,2.3,2.1,23826.0,5.0,1.9,3.0,28087.0,6.3,2.3,3.9,86383.0,5.2,2.2,2.9,61378.0,6.1,3.0,3.0,16415.0,4.0,0.7,3.3,8590.0,1.4,-0.8,2.3,86383.0,5.2,24589.0,3.8,36529.0,6.2,25265.0,5.2,1.9,1.9,2.2,1.1,20.6
5,2000JJ00,78242.0,6.6,2.6,4.0,26438.0,7.8,2.9,4.7,51804.0,6.1,2.4,3.6,501.0,5.7,1.5,4.2,237.0,10.7,9.8,0.9,38422.0,5.8,1.9,3.8,13118.0,7.1,3.8,3.2,78242.0,6.6,2.6,4.0,12860.0,6.1,1.8,4.1,3170.0,7.6,2.7,4.8,62212.0,6.7,2.7,3.9,92910.0,7.6,3.3,4.1,62212.0,6.7,2.7,3.9,36615.0,6.2,2.1,4.0,25597.0,7.4,3.5,3.8,30698.0,9.3,4.6,4.5,92910.0,7.6,3.3,4.1,66771.0,8.8,4.5,4.1,17148.0,4.5,0.3,4.1,8991.0,4.7,0.5,4.1,92910.0,7.6,25849.0,5.1,39466.0,8.0,27595.0,9.2,4.0,4.0,3.8,3.5,20.6
6,2001JJ00,84355.0,7.8,4.4,3.2,28948.0,9.5,6.1,3.2,55407.0,7.0,3.6,3.2,527.0,5.2,2.4,2.7,290.0,22.4,22.8,-0.3,41132.0,7.1,3.8,3.1,14038.0,7.0,3.5,3.4,84355.0,7.8,4.4,3.2,13305.0,3.5,1.0,2.5,3577.0,12.8,7.8,4.7,67473.0,8.5,5.0,3.3,101160.0,8.9,4.5,4.2,67473.0,8.5,5.0,3.3,39526.0,8.0,4.7,3.1,27947.0,9.2,5.4,3.6,33687.0,9.7,3.5,6.0,101160.0,8.9,4.5,4.2,73743.0,10.4,5.6,4.6,18184.0,6.0,1.9,4.1,9233.0,2.7,1.4,1.3,101160.0,8.9,28111.0,8.8,42605.0,8.0,30444.0,10.3,3.9,4.1,3.2,2.2,21.0
7,2002JJ00,90426.0,7.2,3.2,3.9,31245.0,7.9,3.2,4.6,59181.0,6.8,3.1,3.6,567.0,7.6,4.9,2.5,331.0,14.1,4.5,9.2,44017.0,7.0,3.0,3.9,14928.0,6.3,3.6,2.7,90426.0,7.2,3.2,3.9,13668.0,2.7,0.8,1.9,3887.0,8.7,4.4,4.0,72871.0,8.0,3.6,4.3,110867.0,9.6,4.4,5.0,72871.0,8.0,3.6,4.3,42347.0,7.1,3.4,3.6,30524.0,9.2,3.8,5.3,37996.0,12.8,6.0,6.4,110867.0,9.6,4.4,5.0,81798.0,10.9,5.7,5.0,19614.0,7.9,1.5,6.2,9455.0,2.4,-0.6,3.1,110867.0,9.6,29877.0,6.3,46512.0,9.2,34478.0,13.3,3.3,3.5,3.1,-0.1,22.1
8,2003JJ00,95767.0,5.9,2.9,2.9,33478.0,7.1,3.4,3.6,62289.0,5.3,2.7,2.5,566.0,-0.2,-3.0,2.9,326.0,-1.5,-5.1,3.8,46397.0,5.4,2.4,2.9,15652.0,4.8,3.3,1.5,95767.0,5.9,2.9,2.9,14598.0,6.8,5.2,1.5,4153.0,6.8,4.0,2.7,77016.0,5.7,2.4,3.2,117438.0,5.9,2.8,3.1,77016.0,5.7,2.4,3.2,44506.0,5.1,2.5,2.5,32510.0,6.5,2.3,4.1,40422.0,6.4,3.4,2.9,117438.0,5.9,2.8,3.1,86901.0,6.2,3.3,2.8,20792.0,6.0,1.5,4.4,9745.0,3.1,0.7,2.4,117438.0,5.9,30098.0,0.7,50276.0,8.1,37064.0,7.5,2.6,2.7,2.6,-0.1,22.9
9,2004JJ00,97371.0,1.7,-0.6,2.3,33823.0,1.0,-1.0,2.1,63548.0,2.0,-0.4,2.5,578.0,2.1,-0.4,2.5,530.0,62.6,42.0,14.5,47267.0,1.9,-1.3,3.2,16233.0,3.7,2.9,0.8,97371.0,1.7,-0.6,2.3,15316.0,4.9,2.3,2.5,4308.0,3.7,2.2,1.5,77747.0,0.9,-1.4,2.3,119129.0,1.4,-0.5,1.9,77747.0,0.9,-1.4,2.3,44072.0,-1.0,-2.9,1.9,33675.0,3.6,0.7,2.9,41382.0,2.4,1.2,1.1,119129.0,1.4,-0.5,1.9,87725.0,0.9,-0.6,1.6,21616.0,4.0,0.7,3.3,9788.0,0.4,-1.8,2.3,119129.0,1.4,29270.0,-2.8,51425.0,2.3,38434.0,3.7,1.7,1.7,1.4,1.8,22.5
