ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudget_4,OpbrengstenDBCSDBCZorgproducten_5,TotaalOverigeNettoOmzet_6,ZorgprestatiesTussenInstellingen_7,PersoonsgebondenEnVolgendeBudgetten_8,OverigeZorgprestaties_9,OverigeDienstverlening_10,TotaalOverigeBedrijfsopbrengsten_11,Subsidies_12,NietEerderGenoemdeBedrijfsopbrengsten_13,TotaalBedrijfskosten_14,TotaalArbeidskosten_15,LonenEnSalarissen_16,PensioenlastenEnSocialeLasten_17,AfschrijvingenOpVasteActiva_18,BijzondereWaardeverminderingen_19,TotaalOverigeBedrijfskosten_20,TotaalOverigePersoneelskosten_21,KostenUitzendkrachtenEnOverigeInleen_22,NietEerderGenoemdePersoneelskosten_23,TotaalNietEerderGenoemdeBedrKosten_24,VoedingEnHotelmatigeKosten_25,AlgemeneKosten_26,ClientEnBewonersgebondenKosten_27,OnderhoudsEnEnergiekosten_28,HuurOperationeleLeasingKapGoederen_29,AndereBedrijfskosten_30,Bedrijfsresultaat_31,FinancieleBaten_32,FinancieleLasten_33,FinancieelResultaat_34,BuitengewoneBaten_35,BuitengewoneLasten_36,BuitengewoonResultaat_37,ResultaatVoorBelastingen_38,TotaalActiva_39,ImmaterieleVasteActiva_40,MaterieleVasteActiva_41,TotaalFinancieleVasteActiva_42,Deelnemingen_43,OverigeLanglopendeVorderingen_44,TotaalVoorraden_45,Voorraden_46,OnderhandenWerkDBCS_47,TotaalKortlopendeVorderingen_48,VorderingenOpDebiteuren_49,VorderingenUHVBekostiging_50,OverigeKortlopendeVorderingen_51,Effecten_52,LiquideMiddelen_53,TotaalPassiva_54,TotaalEigenVermogen_55,Kapitaal_56,CollectiefGefinGebVermogen_57,NietCollectiefGefinVrijVermogen_58,Voorzieningen_59,LanglopendeSchulden_60,TotaalKortlopendeSchulden_61,SchuldenAanKredietinstellingen_62,Crediteuren_63,AflossingsverplichtingLanglopLening_64,SchuldenUHVBekostiging_65,OverigeKortlopendeSchulden_66,BoekwaardePer1Januari_67,Investeringen_68,Herwaarderingen_69,Desinvesteringen_70,Afschrijvingen_71,BijzondereWaardeverminderingen_72,TerugnameAfgeschrevenActiva_73,BoekwaardePer31December_74,WettelijkBudgetVerslagjaar_75,OpbrengstenTerDekkingWettelijkBudget_76,FinancieringsverschilBudgetOpbrengsten_77,BanenWerknemers_78,ArbeidsjarenWerknemers_79
0,422800  ,2006JJ00,8,4699,3693.0,3189,,504.0,,,,,1006.0,844.0,162.0,4554,2697,2177,520,209,,1647.0,221.0,102.0,119.0,1426.0,131.0,307.0,792.0,125.0,37.0,34.0,145,12.0,67.0,-56.0,0.0,0.0,0.0,90.0,5305,78,3132,33,,,684,,,1027,,,,3,348,5305,1436,,,,267,1382,2220,,,,,,,395.0,,,,,,3132,3169,3444.0,-274.0,60490.0,47900.0
1,422800  ,2007JJ00,8,5210,3772.0,3253,70.0,450.0,26.0,0.0,18.0,406.0,1438.0,1061.0,377.0,5071,2885,2340,545,261,,1925.0,229.0,116.0,113.0,1696.0,131.0,378.0,934.0,165.0,28.0,61.0,139,24.0,71.0,-47.0,0.0,3.0,-3.0,89.0,5319,2,3327,36,16.0,20.0,664,60.0,604.0,932,582.0,0.0,350.0,0,358,5319,1503,8.0,1287.0,209.0,305,1220,2292,161.0,241.0,106.0,776.0,1009.0,3162.0,461.0,,15.0,280.0,,0.0,3327,2982,3486.0,-503.0,61870.0,49600.0
2,422800  ,2008JJ00,8,5841,3661.0,2926,166.0,569.0,31.0,0.0,48.0,490.0,2180.0,1739.0,442.0,5705,3218,2603,614,291,,2197.0,298.0,158.0,141.0,1898.0,144.0,438.0,1013.0,213.0,38.0,53.0,136,25.0,60.0,-35.0,0.0,0.0,0.0,101.0,5621,2,3604,41,8.0,33.0,587,64.0,523.0,890,603.0,1.0,286.0,0,496,5621,941,13.0,658.0,270.0,394,1913,2372,103.0,233.0,82.0,806.0,1149.0,3381.0,560.0,,22.0,316.0,,0.0,3604,2906,3168.0,-261.0,68220.0,52790.0
3,422800  ,2009JJ00,8,6267,4057.0,3038,307.0,712.0,28.0,0.0,55.0,629.0,2211.0,1849.0,362.0,6157,3488,2805,682,296,0.0,2374.0,330.0,188.0,142.0,2044.0,148.0,449.0,1088.0,242.0,37.0,79.0,110,16.0,57.0,-42.0,1.0,0.0,1.0,69.0,5823,3,3918,41,7.0,34.0,649,72.0,577.0,949,554.0,31.0,364.0,0,264,5823,1050,14.0,722.0,314.0,454,2189,2129,342.0,222.0,89.0,184.0,1292.0,3673.0,602.0,0.0,17.0,340.0,0.0,0.0,3918,2942,2811.0,132.0,70790.0,54920.0
4,422800  ,2010JJ00,8,6640,4402.0,3231,408.0,763.0,43.0,0.0,44.0,676.0,2238.0,1983.0,254.0,6534,3717,2983,734,420,21.0,2376.0,357.0,193.0,164.0,2019.0,148.0,421.0,1125.0,208.0,41.0,76.0,105,7.0,71.0,-65.0,0.0,0.0,0.0,41.0,6284,20,4077,41,8.0,32.0,486,79.0,406.0,1452,498.0,545.0,409.0,0,208,6284,1089,16.0,751.0,323.0,499,2285,2410,807.0,272.0,92.0,0.0,1239.0,3900.0,634.0,0.0,17.0,439.0,1.0,0.0,4077,3155,2723.0,432.0,72250.0,55930.0
5,422800  ,2011JJ00,8,6866,4541.0,3300,425.0,817.0,45.0,0.0,43.0,729.0,2324.0,2073.0,252.0,6683,3819,3063,756,388,6.0,2470.0,361.0,194.0,167.0,2109.0,150.0,441.0,1187.0,212.0,47.0,71.0,183,9.0,104.0,-95.0,2.0,2.0,0.0,88.0,6961,13,4429,59,28.0,31.0,715,91.0,624.0,1496,820.0,298.0,378.0,0,247,6961,1215,19.0,860.0,336.0,516,2824,2406,591.0,272.0,122.0,52.0,1369.0,4062.0,831.0,0.0,70.0,382.0,-3.0,16.0,4429,3110,2822.0,287.0,71750.0,57170.0
6,422800  ,2012JJ00,8,7190,4739.0,389,3417.0,933.0,42.0,0.0,31.0,861.0,2451.0,2134.0,317.0,6952,3975,3143,831,396,18.0,2563.0,346.0,186.0,160.0,2217.0,149.0,480.0,1302.0,188.0,55.0,43.0,238,7.0,118.0,-111.0,0.0,1.0,-1.0,125.0,7637,29,4638,58,29.0,29.0,351,104.0,247.0,2252,933.0,136.0,1182.0,2,308,7637,1497,27.0,1121.0,350.0,491,3098,2550,315.0,307.0,106.0,119.0,1704.0,4456.0,646.0,2.0,3.0,435.0,28.0,0.0,4638,248,233.0,15.0,71940.0,57050.0
7,422800  ,2013JJ00,8,7546,4798.0,143,3789.0,867.0,42.0,0.0,51.0,774.0,2748.0,2227.0,520.0,7323,4051,3166,884,464,52.0,2756.0,362.0,196.0,165.0,2394.0,148.0,488.0,1448.0,219.0,51.0,39.0,223,20.0,124.0,-104.0,0.0,2.0,-2.0,117.0,7646,51,4577,55,37.0,19.0,184,105.0,78.0,2364,1058.0,241.0,1065.0,2,412,7646,1637,29.0,1180.0,427.0,525,3067,2416,261.0,295.0,142.0,104.0,1613.0,4603.0,541.0,0.0,15.0,494.0,30.0,27.0,4577,64,17.0,47.0,71389.0,55939.0
8,422800  ,2014JJ00,8,7621,4835.0,87,3934.0,814.0,48.0,0.0,60.0,706.0,2787.0,2277.0,509.0,7346,4130,3221,909,439,9.0,2768.0,339.0,181.0,158.0,2430.0,146.0,524.0,1446.0,196.0,54.0,63.0,275,21.0,117.0,-95.0,0.0,0.0,0.0,179.0,7704,83,4556,57,34.0,23.0,195,76.0,119.0,1937,950.0,100.0,887.0,4,872,7704,1836,28.0,,,670,2934,2264,100.0,270.0,132.0,141.0,1621.0,4577.0,483.0,4.0,10.0,462.0,9.0,27.0,4556,64,16.0,48.0,71673.0,56125.0
9,422900  ,2006JJ00,82,10537,10309.0,9004,,1305.0,,,,,228.0,33.0,195.0,10176,5603,4548,1055,760,,3814.0,441.0,217.0,224.0,3373.0,393.0,600.0,1954.0,261.0,86.0,79.0,361,16.0,304.0,-288.0,13.0,12.0,2.0,75.0,12750,258,7932,181,,,1019,,,2858,,,,0,502,12750,1133,,,,261,4966,6389,,,,,,,1414.0,,,,,,7932,8975,10421.0,-1446.0,176350.0,123540.0
