ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,ICTCursusAanICTSpecialisten_10,ICTCursusAanOverigPersoneel_11,InternetVast_12,MinderDan30MbitS_13,k_30Tot100MbitS_14,k_100Tot500MbitS_15,k_500MbitSTot1GbitS_16,TenMinste1GbitS_17,MobielInternetVerstrekt_18,PersoneelDatWerktMetMobielInternet_19,BedrijvenMetWebsite_20,BeschrijvingenVanProductenPrijslijst_21,OnlineBestellenBoekenOfReserveren_22,ProductaanpassingDoorKlant_23,BestellingOnlineVolgen_24,KlantspecifiekeInfoVoorDeBezoeker_25,VerwijzingNaarSocialeMedia_26,SocialeNetwerkenBijvFacebook_27,BlogsOfMicroblogsBijvTwitter_28,MultimediaDelenBijvYouTube_29,WikiSOmKennisTeDelen_30,ClouddienstenGebruikt_31,EMail_32,OfficeSoftware_33,OpslagDatabases_34,BestandenOpslaan_35,BoekhoudingSoftware_36,ERPSoftware_37,KlantbeheerSoftware_38,Veiligheidssoftware_39,Rekenkracht_40,Rekenplatform_41,ERPSoftware_42,OpslagKlantgegevens_43,AnalyseKlantgegevens_44,NietGedigitaliseerd_45,NauwelijksGedigitaliseerd_46,GemiddeldGedigitaliseerd_47,VeelGedigitaliseerd_48,BijnaVolledigGedigitaliseerd_49,AIGebruikt_50,TextMining_51,Spraakherkenning_52,NaturalLanguageGeneration_53,AfbeeldingHerkenning_54,MachineLearning_55,RobotOndersteundeProcesautomatisering_56,ServiceRobotsOfAutonomeVoertuigen_57,VoorMarketingOfVerkoop_58,Productieprocessen_59,AdministratieveProcessen_60,BestuurVanBedrijven_61,Logistiek_62,ICTBeveiliging_63,HRM_64,EigenWerknemersOntwikkeld_65,CommercieelZelfAangepast_66,OpenSourceZelfAangepast_67,CommercieelGebruikt_68,ExternOntwikkeld_69,HeeftAIOverwogen_70,KostenZijnTeHoog_71,GebrekAanRelevanteErvaringInBedrijf_72,IncompatibiliteitBestaandeICTSysteem_73,MoeilijkhedenBeschikbaarheidGegevens_74,BezorgdheidSchendingGegevensbescherm_75,OnduidelijkheidOverJuridischeGevolgen_76,EthischeOverwegingen_77,NietNuttigVoorOnderneming_78,GebruiktEenOfMeerAITechnologieen_79,GebruiktTweeOfMeerAITechnologieen_80,GebruiktDrieOfMeerAITechnologieen_81,GebruiktVierOfMeerAITechnologieen_82,AntiVirussoftware_83,BeleidVoorSterkeWachtwoorden_84,UpdatenSoftwareBesturingssysteem_85,AuthenticatieViaSoftOfHardwaretoken_86,EncryptieVanData_87,GegevensOpAndereFysiekeLocatie_88,NetworkAccessControl_89,VPNInternetgebruikBuitenHetBedrijf_90,LogbestandenVoorAnalyseIncidenten_91,MethodesVoorBeoordelenICTVeiligheid_92,Risicoanalyses_93,UitbesteedAanExternBedrijf_94,EigenPersoneel_95,EigenPersoneelEnExternBedrijf_96,NietVanToepassing_97,IncidentDoorInterneOorzaak_98,IncidentDoorAanvalVanBuiten_99,UitvalICTDienstDoorVeiligheidsinc_100,VernietigingDataDoorVeiligheidsinc_101,OnthullingDoorInternIncident_102,UitvalICTDienstDoorAanvalBuitenaf_103,VernietigingDataAanvalVanBuitenaf_104,OnthullingGegevensDoorICTInbraak_105,KostenIncidentIntern_106,KostenIncidentAanvalBuitenaf_107,UitvalICTDienstDoorVeiligheidsinc_108,VernietigingDataDoorVeiligheidsinc_109,OnthullingDoorInternIncident_110,UitvalICTDienstDoorAanvalBuitenaf_111,VernietigingDataAanvalBuitenaf_112,OnthullingDoorICTInbraak_113,VerzekerdICTVeiligheidsincidenten_114,Kosten1VanDeTotaleOmzet_115,Kosten1Tot2VanDeTotaleOmzet_116,Kosten2Tot5VanDeTotaleOmzet_117,Kosten5Tot10VanDeTotaleOmzet_118,Kosten10Tot50VanDeTotaleOmzet_119,Kosten50VanDeTotaleOmzet_120,Kosten1VanDeTotaleOmzet_121,Kosten1Tot2VanDeTotaleOmzet_122,Kosten2Tot5VanDeTotaleOmzet_123,Kosten5Tot10VanDeTotaleOmzet_124,Kosten10Tot50VanDeTotaleOmzet_125,Kosten50VanDeTotaleOmzet_126,GezochtNaarMeldingenCyberdreigingen_127,BekendMetDTC_128,DTCWebsiteAlsBronGebruikt_129,GebruikIoT_130,Energiebesparing_131,Beveiliging_132,Klantdienstverlening_133,OnderhoudVoertuigenMachines_134,Productieproces_135,Logistiek_136,AndereIoTToepassing_137,GebruiktEenOfMeerIoTToepassing_138,GebruiktTweeOfMeerIoTToepassingen_139,GebruiktDrieOfMeerIoTToepassingen_140,GebruiktVierOfMeerIoTToepassingen_141,GebruiktVijfOfMeerIoTToepassingen_142,ToegangTotBedrijfsemailVanBuiten_143,ToegangTotSoftwareVanBuiten_144,AantalOnlineVergaderingen_145,TotaalNiet_146,Gedeeltelijk_147,Volledig_148,TotaalNiet_149,Gedeeltelijk_150,Volledig_151,TotaalNiet_152,Gedeeltelijk_153,Volledig_154,CovidOorzaakToenameOnlineVerkoop_155,VerkoopViaWebsiteOfApp_156,Bedrijven_157,Overheden_158,NederlandseConsumenten_159,BuitenlandseConsumenten_160,KlantenInNederland_161,KlantenInAndereEULanden_162,KlantenInLandenBuitenDeEU_163,HogeKostenBezorgenRetournerenEU_164,ProbleemOplossenKlachtenEnGeschillen_165,LabelsEtikettenAanpassen_166,OnvoldoendeKennisVanAndereTalen_167,BeperkingenOpgelegdDoorZakenpartners_168,MoeilijkhedenBijVerrekenenBTWSysteem_169,GeenMoeilijkhedenOndervonden_170,HeeftMoeilijkhedenOndervonden_171,Verkoopwaarde1VanDeTotaleOmzet_172,Verkoopwaarde1VanDeTotaleOmzet_173,Verkoopwaarde2VanDeTotaleOmzet_174,Verkoopwaarde5VanDeTotaleOmzet_175,Verkoopwaarde10VanDeTotaleOmzet_176,Verkoopwaarde25VanDeTotaleOmzet_177,Verkoopwaarde50VanDeTotaleOmzet_178,ViaWebsiteOfAppsVanEigenBedrijf_179,PercentageOmzetViaOnlinePlatforms_180,VerkoopViaECommerce_181,Verkoopwaarde1VanDeTotaleOmzet_182,Verkoopwaarde1VanDeTotaleOmzet_183,Verkoopwaarde2VanDeTotaleOmzet_184,Verkoopwaarde5VanDeTotaleOmzet_185,Verkoopwaarde10VanDeTotaleOmzet_186,Verkoopwaarde25VanDeTotaleOmzet_187,Verkoopwaarde50VanDeTotaleOmzet_188,ViaEen_189,ViaTwee_190,ViaDrieOfMeer_191,MeerDanDeHelftOmzetUitEenPlatform_192,VerkoopViaEDI_193,KlantenInNederland_194,KlantenInAndereEULanden_195,KlantenInLandenBuitenDeEU_196,Verkoopwaarde1VanDeTotaleOmzet_197,Verkoopwaarde1VanDeTotaleOmzet_198,Verkoopwaarde2VanDeTotaleOmzet_199,Verkoopwaarde5VanDeTotaleOmzet_200,Verkoopwaarde10VanDeTotaleOmzet_201,Verkoopwaarde25VanDeTotaleOmzet_202,Verkoopwaarde50VanDeTotaleOmzet_203
0,399907,79,77,50,83,12,7,26,3,2,17,22,97,6,24,36,19,12,63,36,93,79,37,7,11,27,64,78,21,45,7,66,54,48,51,53,44,23,33,43,18,19,41,51,26,7,9,36,27,21,13,4,3,2,4,6,6,2,4,4,5,2,2,4,2,4,4,3,6,6,5,2,4,2,2,1,1,1,1,13,6,4,2,96,80,94,64,52,84,53,60,63,51,50,46,18,20,15,28,12,26,4,3,9,3,3,8,4,8,1,1,3,1,1,29,78,12,8,1,1,0,85,11,4,1,0,0,17,17,6,20,12,15,6,6,3,3,7,17,9,4,2,1,43,43,72,7,20,15,4,21,17,1,21,51,17,23,40,3,50,7,85,12,3,3,1,1,1,1,2,7,4,3,18,17,15,13,10,8,86,14,26,5,22,20,18,16,13,10,2,2,3,4,7,76,19,5,1,5,5,5,4,3,2
1,307500,66,62,37,83,8,5,26,2,1,16,21,98,6,27,36,18,11,68,29,94,79,26,9,7,18,60,74,15,41,4,62,48,40,42,44,32,18,23,36,13,12,61,54,28,4,10,47,28,11,12,2,1,1,3,4,7,5,3,7,4,1,4,4,1,3,4,2,6,7,6,3,5,3,3,1,1,0,1,12,6,3,1,98,79,95,60,46,87,55,71,66,55,50,50,18,20,12,30,11,28,5,2,7,3,3,9,4,9,1,0,3,1,1,24,70,13,14,2,0,0,84,7,8,1,0,0,18,17,5,21,14,14,6,7,6,4,7,19,11,5,3,2,46,46,71,6,23,17,3,22,21,1,22,48,11,19,60,2,34,4,84,11,5,2,1,1,0,0,1,6,3,5,13,12,9,7,5,3,91,9,27,6,20,19,16,13,10,7,2,1,1,1,11,69,26,5,2,9,9,8,7,6,4
2,800036,87,85,59,89,20,16,39,5,4,31,37,94,5,22,36,14,18,76,60,92,77,32,12,13,33,62,73,23,44,8,59,50,49,46,48,31,20,20,35,22,22,55,43,20,7,9,43,25,16,14,4,2,2,1,11,8,2,5,6,7,5,6,5,3,6,6,4,5,6,8,3,5,4,2,1,0,0,1,14,6,4,2,95,78,95,61,59,88,62,71,74,59,54,49,13,24,14,34,16,32,4,6,13,3,3,13,4,11,1,2,4,0,0,31,100,0,0,0,0,0,81,19,0,0,0,0,34,21,10,39,23,29,14,10,12,8,14,34,23,12,3,1,47,50,86,8,26,13,4,27,19,0,34,53,5,19,41,6,52,2,94,4,3,1,1,0,1,1,0,1,1,5,12,9,3,2,2,1,91,9,20,6,14,12,4,3,2,2,0,2,1,3,5,85,8,8,0,4,4,1,1,1,1
3,350000,78,76,46,80,4,2,13,1,0,8,17,98,6,26,37,19,11,76,53,92,68,10,2,2,15,54,71,11,26,2,56,42,34,38,42,27,14,14,33,9,8,38,38,12,8,14,45,23,11,7,1,1,0,3,2,3,1,1,1,4,1,1,3,1,1,2,1,4,3,3,1,3,2,2,2,2,1,2,7,3,1,0,97,72,93,51,37,83,45,57,55,42,38,62,7,14,18,28,11,27,2,1,9,4,3,10,6,9,1,0,4,2,2,18,92,0,2,0,5,0,83,9,4,3,0,0,8,16,4,24,15,19,8,9,4,5,7,20,11,6,3,2,39,38,66,6,21,12,4,21,12,1,19,46,4,5,40,3,55,3,97,3,0,0,0,0,0,0,0,1,0,1,3,2,2,2,2,1,88,12,6,2,4,3,3,2,2,1,1,0,0,0,1,97,3,0,0,1,1,1,1,0,0
4,354200,73,68,36,84,10,6,27,2,1,16,20,98,5,25,38,17,13,64,24,94,82,57,11,23,34,69,80,21,52,5,66,53,47,53,52,40,26,34,41,20,22,52,58,34,5,8,39,30,18,12,4,3,2,3,6,6,2,6,4,5,2,4,4,2,3,3,3,6,6,5,2,4,3,2,1,1,0,1,12,6,3,2,97,81,95,64,50,86,58,66,68,53,54,48,19,20,13,27,13,26,5,2,11,4,3,8,5,8,1,1,4,2,1,29,74,16,8,3,0,0,84,12,4,1,0,0,15,15,5,22,12,18,8,6,4,4,7,18,10,5,2,1,46,46,75,7,21,18,4,23,20,1,21,53,31,44,40,2,48,10,81,16,3,9,3,3,2,1,5,13,12,5,36,34,30,26,22,17,90,10,48,7,41,38,35,32,27,22,4,4,6,7,13,78,18,4,2,10,10,9,8,6,3
5,383100,72,67,39,77,9,5,22,1,1,11,13,97,8,28,33,17,11,69,31,87,72,25,5,15,16,43,63,9,21,5,58,46,38,43,46,36,19,22,35,17,18,33,35,16,9,12,45,22,12,11,4,2,2,4,3,5,1,1,3,4,1,5,4,1,1,3,1,5,5,6,4,4,3,3,2,2,1,1,11,5,3,1,97,84,93,59,43,83,49,53,57,48,48,46,17,19,18,28,13,27,3,2,9,3,3,10,4,9,1,0,3,2,1,24,78,15,7,0,0,0,83,12,6,0,0,0,16,16,5,22,10,16,6,11,4,5,6,18,11,5,2,0,38,39,57,6,18,15,3,20,17,0,21,36,6,18,61,4,31,4,84,12,5,2,2,1,1,0,1,6,3,2,12,10,9,7,5,4,80,20,26,5,22,19,18,16,13,10,2,1,2,2,14,72,22,6,2,12,12,12,11,9,5
6,389100,47,40,15,51,1,0,3,0,0,1,4,95,10,32,39,10,4,28,10,91,87,76,7,13,30,68,82,14,57,3,40,34,27,30,34,31,6,11,22,3,3,8,17,10,24,22,32,15,6,5,1,0,0,1,2,2,1,3,1,2,1,1,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5,1,0,0,88,60,82,43,28,58,28,22,26,23,22,36,16,7,42,14,5,14,3,0,4,2,1,5,1,4,2,0,1,1,0,12,98,0,2,0,0,0,80,20,1,0,0,0,5,9,2,17,13,13,6,3,1,2,3,15,7,3,1,0,13,11,30,2,8,2,2,7,2,1,14,15,34,43,13,2,80,5,94,5,1,0,0,0,0,0,0,9,1,3,38,37,32,27,19,14,67,33,43,5,38,37,33,27,19,14,6,7,11,13,1,70,26,4,0,1,0,0,0,0,0
7,391600,98,98,87,98,54,42,80,22,8,64,53,98,2,7,35,29,25,71,46,96,86,32,8,9,28,82,91,50,66,31,89,79,76,78,83,71,43,66,68,49,57,55,80,55,1,1,14,29,54,32,12,9,9,11,23,15,5,12,9,9,4,2,12,5,19,14,15,14,9,10,3,5,3,4,2,2,1,3,32,20,12,9,95,96,98,83,84,94,72,79,87,71,76,10,44,41,5,31,16,30,3,3,14,2,3,8,4,8,1,1,3,1,1,52,76,10,9,1,4,0,84,10,7,0,0,0,40,34,14,26,13,15,9,4,3,3,12,21,11,5,2,1,53,56,96,12,20,21,9,25,22,1,31,64,18,20,60,6,24,10,76,15,8,1,1,1,1,0,1,9,3,1,17,15,14,13,11,10,91,9,20,3,17,16,15,14,11,10,0,1,3,2,2,76,17,7,0,1,1,1,1,0,0
8,396300,99,99,90,98,33,26,55,19,15,42,41,96,4,17,36,16,23,76,42,91,75,36,22,21,41,63,77,30,39,15,79,60,59,59,58,41,20,48,50,30,34,41,72,46,4,2,20,27,47,29,13,11,6,10,15,20,3,12,11,15,3,1,11,5,14,16,10,14,15,7,3,4,2,4,3,2,1,1,29,18,11,7,97,95,97,87,84,93,75,83,90,82,80,24,25,44,7,39,17,32,6,11,16,1,2,11,8,11,2,1,7,1,2,45,81,15,0,0,4,0,87,8,4,0,0,0,48,40,19,14,6,9,2,3,0,0,3,9,3,1,0,0,63,68,92,8,26,30,7,27,35,1,24,67,14,25,32,2,57,9,87,10,4,0,0,0,1,0,1,7,2,2,16,16,12,11,9,7,91,9,27,9,18,17,13,12,9,8,2,0,2,1,4,84,9,8,2,2,2,2,2,1,0
9,402000,98,96,77,94,13,6,30,2,1,24,35,100,6,16,37,22,17,83,64,97,80,37,5,10,43,70,83,38,61,6,86,78,75,74,79,67,31,59,63,37,31,47,69,31,1,1,38,33,26,17,5,3,2,3,8,9,0,3,2,6,1,0,3,0,3,2,2,6,8,5,1,4,2,2,1,1,1,0,17,7,4,1,99,87,97,70,64,91,64,68,80,70,60,63,5,26,6,36,10,33,2,12,9,1,3,10,4,9,0,3,4,0,0,38,66,0,34,0,0,0,85,15,0,0,0,0,26,19,11,23,14,15,5,4,1,1,3,20,5,2,0,0,67,72,95,10,37,20,8,37,27,2,23,70,11,11,19,0,67,14,80,16,4,0,1,0,0,0,0,4,1,0,8,8,7,7,5,4,63,37,11,3,8,8,8,8,6,6,0,1,6,4,3,71,25,4,0,3,3,3,2,2,2
