ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,BedrijvenMetWebsite_7,BeschrijvingenVanProductenPrijslijst_8,OnlineBestellenBoekenOfReserveren_9,ProductaanpassingDoorKlant_10,BestellingOnlineVolgen_11,KlantspecifiekeInfoVoorDeBezoeker_12,VerwijzingNaarSocialeMedia_13,SocialeNetwerkenBijvFacebook_14,BlogsOfMicroblogsBijvTwitter_15,MultimediaDelenBijvYouTube_16,WikiSOmKennisTeDelen_17,ClouddienstenGebruikt_18,EMail_19,OfficeSoftware_20,OpslagDatabases_21,BestandenOpslaan_22,BoekhoudingSoftware_23,ERPSoftware_24,KlantbeheerSoftware_25,Veiligheidssoftware_26,Rekenkracht_27,Rekenplatform_28,AntiVirussoftware_29,BeleidVoorSterkeWachtwoorden_30,UpdatenSoftwareBesturingssysteem_31,AuthenticatieViaSoftOfHardwaretoken_32,EncryptieVanData_33,GegevensOpAndereFysiekeLocatie_34,NetworkAccessControl_35,VPNInternetgebruikBuitenHetBedrijf_36,LogbestandenVoorAnalyseIncidenten_37,MethodesVoorBeoordelenICTVeiligheid_38,Risicoanalyses_39,IncidentDoorInterneOorzaak_40,IncidentDoorAanvalVanBuiten_41,UitvalICTDienstDoorVeiligheidsinc_42,VernietigingDataDoorVeiligheidsinc_43,OnthullingDoorInternIncident_44,UitvalICTDienstDoorAanvalBuitenaf_45,VernietigingDataAanvalVanBuitenaf_46,OnthullingGegevensDoorICTInbraak_47,KostenIncidentIntern_48,KostenIncidentAanvalBuitenaf_49,UitvalICTDienstDoorVeiligheidsinc_50,VernietigingDataDoorVeiligheidsinc_51,OnthullingDoorInternIncident_52,UitvalICTDienstDoorAanvalBuitenaf_53,VernietigingDataAanvalBuitenaf_54,OnthullingDoorICTInbraak_55,VerzekerdICTVeiligheidsincidenten_56,Kosten1VanDeTotaleOmzet_57,Kosten1Tot2VanDeTotaleOmzet_58,Kosten2Tot5VanDeTotaleOmzet_59,Kosten5Tot10VanDeTotaleOmzet_60,Kosten10Tot50VanDeTotaleOmzet_61,Kosten50VanDeTotaleOmzet_62,Kosten1VanDeTotaleOmzet_63,Kosten1Tot2VanDeTotaleOmzet_64,Kosten2Tot5VanDeTotaleOmzet_65,Kosten5Tot10VanDeTotaleOmzet_66,Kosten10Tot50VanDeTotaleOmzet_67,Kosten50VanDeTotaleOmzet_68,GezochtNaarMeldingenCyberdreigingen_69,BekendMetDTC_70,DTCWebsiteAlsBronGebruikt_71
0,WP19079,399907,79,8,26,28,13,4,47,36,11,2,4,9,22,41,7,17,3,28,19,15,17,23,13,1,4,12,2,3,82,66,79,38,31,58,23,23,19,13,15,8,5,7,2,0,3,1,2,2,1,1,1,0,0,0,0,7,59,17,12,2,10,0,71,13,8,8,0,0,7,7,1
1,WP19079,307500,78,11,28,26,10,3,52,39,15,4,4,9,22,37,4,20,2,20,13,10,13,16,11,2,3,8,1,1,80,53,71,27,21,53,17,17,15,10,12,5,4,5,1,0,2,1,1,1,1,1,0,0,0,0,0,5,70,28,2,0,0,0,83,13,5,0,0,0,5,6,1
2,WP19079,800036,76,9,24,25,13,5,34,22,5,1,1,4,14,27,8,9,2,29,23,20,20,23,15,4,7,13,3,4,74,58,70,38,26,55,27,28,25,20,18,8,5,8,2,1,3,2,3,1,1,1,0,0,0,1,1,7,66,0,34,0,0,0,67,0,33,0,0,0,6,8,2
3,WP19079,350000,76,8,24,25,12,6,29,18,2,1,1,5,6,25,2,6,1,12,8,5,6,10,5,0,2,3,1,0,74,57,64,30,20,40,15,11,12,10,10,3,5,3,2,0,3,1,2,1,1,1,0,0,0,0,0,3,100,0,0,0,0,0,100,0,0,0,0,0,2,3,1
4,WP19079,354200,80,10,27,24,13,5,56,49,29,5,14,17,28,46,4,27,2,19,15,8,13,14,11,2,5,10,2,2,81,67,75,35,29,55,26,21,20,14,18,7,3,6,2,0,3,1,0,1,1,1,0,0,0,0,0,6,100,0,0,0,0,0,100,0,0,0,0,0,5,7,3
5,WP19079,383100,71,13,24,22,10,3,21,16,8,2,2,8,7,22,3,7,1,11,7,5,5,8,6,0,1,4,0,1,72,51,66,29,19,44,18,14,13,10,9,5,4,5,2,1,2,2,3,0,1,0,0,0,0,1,0,2,100,0,0,0,0,0,86,0,14,0,0,0,3,3,0
6,WP19079,389100,69,9,28,21,10,1,50,39,24,4,6,14,26,47,6,22,3,15,8,4,8,9,6,1,3,4,0,0,72,51,60,21,18,43,14,15,8,9,9,8,3,7,1,0,3,0,2,1,0,1,0,0,0,0,0,5,25,0,0,0,25,50,94,0,0,0,6,0,3,7,0
7,WP19079,391600,88,3,26,42,14,2,60,40,10,1,3,7,30,50,17,26,8,57,42,31,36,48,28,3,7,18,10,18,80,84,94,58,54,77,35,43,42,20,27,9,5,9,2,1,3,1,1,1,0,1,0,0,0,0,0,14,30,39,0,30,0,0,45,48,0,7,0,0,23,15,4
8,WP19079,396300,81,7,20,32,18,5,33,27,5,0,1,8,16,33,7,12,3,42,32,27,29,36,25,6,13,21,5,6,84,68,82,54,36,69,31,34,37,23,26,12,8,12,3,1,5,2,3,2,2,2,0,0,2,0,0,16,77,0,16,0,0,7,34,51,15,0,0,0,7,9,1
9,WP19079,402000,80,8,28,24,14,5,43,33,7,1,1,8,19,35,8,14,2,42,32,26,32,36,25,3,13,23,3,4,83,62,77,40,27,61,28,24,25,20,18,9,5,8,4,0,4,2,0,3,1,3,1,0,1,1,0,11,67,0,17,17,0,0,64,29,7,0,0,0,6,9,2
