ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,OnlineVergaderen_2,VeiligheidsrichtlijnenOnlineVergaderen_3,VoorkeurOnlineVergaderen_4,Bedrijfsemails_5,Bedrijfsdocumenten_6,BedrijfsapplicatiesOfSoftware_7,Bedrijfsemails_8,Bedrijfsrichtlijnen_9,Telewerkers_10,TelewerkKomtVoor_11,ICTPersAangenomenWillenAannemen_12,ICTVacaturesLastigTeVullen_13,TekortAanSollicitanten_14,SollicitantenMissenJuisteICTKennis_15,SollicitantenMissenWerkervaring_16,SollicitantenEisenTeHoogSalaris_17,ExterneLeverancier_18,EigenPersoneel_19,EigenPersoneelEnExterneLeverancier_20,NietVanToepassing_21,ICTSpecialistenInLoondienst_22,ICTCursusAanICTSpecialisten_23,ICTCursusAanOverigPersoneel_24,InternetVast_25,MinderDan30MbitS_26,k_30Tot100MbitS_27,k_100Tot500MbitS_28,k_500MbitSTot1GbitS_29,TenMinste1GbitS_30,MobielInternetVerstrekt_31,PersoneelDatWerktMetMobielInternet_32,BedrijvenMetWebsite_33,BeschrijvingenVanProductenPrijslijst_34,OnlineBestellenBoekenOfReserveren_35,ProductaanpassingDoorKlant_36,BestellingOnlineVolgen_37,KlantspecifiekeInfoVoorDeBezoeker_38,VerwijzingNaarSocialeMedia_39,AntiVirussoftware_40,BeleidVoorSterkeWachtwoorden_41,BiometrischeMethoden_42,AuthenticatieViaSoftOfHardwaretoken_43,EncryptieVanData_44,GegevensOpAndereFysiekeLocatie_45,NetworkAccessControl_46,VPNInternetgebruikBuitenHetBedrijf_47,LogbestandenVoorAnalyseIncidenten_48,MethodesVoorBeoordelenICTVeiligheid_49,Risicoanalyses_50,ICTVeiligheidVolgEnDetectiesysteem_51,VrijwilligeTraining_52,VerplichteTraining_53,MetContract_54,ICTVeiligheidsdocumentenAanwezig_55,MinderDan12MaandenGeleden_56,TussenDe12En24MaandenGeleden_57,MeerDan24MaandenGeleden_58,UitbesteedAanExternBedrijf_59,EigenPersoneel_60,EigenPersoneelEnExternBedrijf_61,NietVanToepassing_62,IncidentMetInterneOorzaakGehad_63,IncidentDoorAanvalVanBuitenGehad_64,UitvalICTDienstDoorVeiligheidsinc_65,VernietigingDataDoorVeiligheidsinc_66,OnthullingDoorInternIncident_67,UitvalICTDienstDoorAanvalBuitenaf_68,VernietigingDataAanvalVanBuitenaf_69,OnthullingGegevensDoorICTInbraak_70,KostenIncidentInternGehad_71,KostenIncidentAanvalBuitenafGehad_72,UitvalICTDienstDoorVeiligheidsinc_73,VernietigingDataDoorVeiligheidsinc_74,OnthullingDoorInternIncident_75,UitvalICTDienstDoorAanvalBuitenaf_76,VernietigingDataAanvalBuitenaf_77,OnthullingDoorICTInbraak_78,Kosten1VanDeTotaleOmzet_79,Kosten1Tot2VanDeTotaleOmzet_80,Kosten2Tot5VanDeTotaleOmzet_81,Kosten5Tot10VanDeTotaleOmzet_82,Kosten10Tot50VanDeTotaleOmzet_83,Kosten50VanDeTotaleOmzet_84,Kosten1VanDeTotaleOmzet_85,Kosten1Tot2VanDeTotaleOmzet_86,Kosten2Tot5VanDeTotaleOmzet_87,Kosten5Tot10VanDeTotaleOmzet_88,Kosten10Tot50VanDeTotaleOmzet_89,Kosten50VanDeTotaleOmzet_90,RansomwareAanvalGehad_91,LosgeldBetaald_92,BetalingLosgeldZinvol_93,AndereKostenRansomwareAanvalGehad_94,k_1VanDeTotaleOmzet_95,k_1Tot2VanDeTotaleOmzet_96,k_2Tot5VanDeTotaleOmzet_97,k_5Tot10VanDeTotaleOmzet_98,k_10Tot50VanDeTotaleOmzet_99,k_50VanDeTotaleOmzet_100,Kosten1VanDeTotaleOmzet_101,Kosten1Tot2VanDeTotaleOmzet_102,Kosten2Tot5VanDeTotaleOmzet_103,Kosten5Tot10VanDeTotaleOmzet_104,Kosten10Tot50VanDeTotaleOmzet_105,Kosten50VanDeTotaleOmzet_106,Politie_107,Cybersecurity_108,VerzekeringICTVeiligheidsincidenten_109,GezochtNaarMeldingenCyberdreigingen_110,BekendMetDTC_111,DTCWebsiteAlsBronGebruikt_112,MilieuBetrokken_113,Papierverbruik_114,Energieverbruik_115,MilieuBewustBijICTAanschaf_116,Ja_117,Nee_118,NVT_119,Ja_120,Nee_121,NVT_122,Ja_123,Nee_124,NVT_125,VerkoopViaWebsiteOfApp_126,Verkoopwaarde1VanDeTotaleOmzet_127,Verkoopwaarde1VanDeTotaleOmzet_128,Verkoopwaarde2VanDeTotaleOmzet_129,Verkoopwaarde5VanDeTotaleOmzet_130,Verkoopwaarde10VanDeTotaleOmzet_131,Verkoopwaarde25VanDeTotaleOmzet_132,Verkoopwaarde50VanDeTotaleOmzet_133,ViaWebsiteOfAppsVanEigenBedrijf_134,PercentageOmzetViaOnlinePlatforms_135,VerkoopViaECommerce_136,Verkoopwaarde1VanDeTotaleOmzet_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde2VanDeTotaleOmzet_139,Verkoopwaarde5VanDeTotaleOmzet_140,Verkoopwaarde10VanDeTotaleOmzet_141,Verkoopwaarde25VanDeTotaleOmzet_142,Verkoopwaarde50VanDeTotaleOmzet_143,ViaEen_144,ViaTwee_145,ViaDrieOfMeer_146,MeerDan75VanOmzetUitEenPlatform_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155
0,WP19115,399907,82.0,36.0,22.0,12.0,56.0,49.0,44.0,,36.0,56.0,52.0,5.0,3.0,,,,,32.0,25.0,13.0,30,13.0,7.0,9.0,90.0,9,28.0,30.0,16.0,7.0,62.0,42.0,77.0,64.0,30.0,5.0,9.0,21.0,43.0,85,68.0,23.0,46.0,36.0,74.0,46.0,33.0,38.0,29.0,29.0,21.0,16.0,8.0,15.0,22.0,16.0,4.0,2,29.0,20.0,9.0,42.0,13.0,5.0,11.0,2.0,1.0,4.0,1,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,72.0,13.0,12.0,3.0,0.0,0.0,76.0,15.0,7.0,0.0,2.0,0.0,1,11.0,5.0,38.0,16.0,28.0,2.0,1.0,0.0,52.0,63.0,18.0,13.0,5.0,1.0,0.0,13.0,39.0,17.0,9.0,10.0,3.0,100,66.0,40.0,35.0,61.0,8.0,31.0,32.0,32.0,36.0,17.0,33.0,50.0,23.0,5.0,18.0,16.0,14.0,12.0,10.0,8.0,76.0,24.0,24.0,5.0,19.0,17.0,15.0,13.0,11.0,8.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
1,WP19115,307500,67.0,34.0,21.0,12.0,61.0,52.0,47.0,,42.0,43.0,54.0,5.0,3.0,,,,,41.0,20.0,18.0,22,14.0,8.0,11.0,93.0,11,29.0,32.0,15.0,6.0,66.0,33.0,83.0,68.0,26.0,6.0,7.0,17.0,41.0,92,69.0,19.0,44.0,31.0,80.0,51.0,41.0,43.0,36.0,33.0,24.0,15.0,9.0,16.0,22.0,17.0,3.0,2,35.0,15.0,12.0,37.0,14.0,6.0,14.0,1.0,1.0,4.0,1,1.0,4.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,75.0,10.0,10.0,5.0,0.0,0.0,84.0,11.0,5.0,0.0,0.0,0.0,1,9.0,8.0,51.0,,34.0,0.0,5.0,0.0,0.0,56.0,4.0,37.0,1.0,1.0,0.0,30.0,53.0,17.0,9.0,11.0,3.0,100,68.0,43.0,37.0,68.0,8.0,24.0,36.0,35.0,29.0,18.0,38.0,45.0,21.0,6.0,15.0,14.0,11.0,9.0,6.0,5.0,87.0,13.0,24.0,6.0,18.0,17.0,14.0,12.0,9.0,6.0,3.0,1.0,2.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0
2,WP19115,800036,87.0,41.0,27.0,15.0,66.0,62.0,52.0,,51.0,69.0,63.0,9.0,7.0,,,,,49.0,15.0,20.0,15,19.0,13.0,17.0,88.0,7,21.0,32.0,18.0,10.0,71.0,65.0,71.0,53.0,16.0,3.0,4.0,19.0,34.0,91,70.0,25.0,49.0,33.0,75.0,60.0,40.0,48.0,41.0,40.0,24.0,17.0,10.0,21.0,26.0,23.0,2.0,1,39.0,17.0,17.0,26.0,17.0,5.0,14.0,2.0,3.0,2.0,2,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,39.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,23.0,23.0,14.0,11.0,13.0,6.0,100,72.0,48.0,45.0,69.0,8.0,23.0,43.0,35.0,22.0,16.0,38.0,46.0,11.0,5.0,6.0,5.0,4.0,2.0,1.0,1.0,87.0,13.0,11.0,5.0,6.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,,,,,,,
3,WP19115,350000,79.0,17.0,9.0,3.0,48.0,37.0,32.0,,24.0,45.0,40.0,1.0,1.0,,,,,34.0,23.0,7.0,36,5.0,3.0,5.0,87.0,8,30.0,32.0,11.0,5.0,70.0,52.0,68.0,47.0,14.0,2.0,1.0,12.0,30.0,84,58.0,17.0,33.0,22.0,66.0,37.0,26.0,27.0,22.0,19.0,14.0,8.0,3.0,8.0,10.0,7.0,1.0,1,30.0,14.0,5.0,51.0,8.0,4.0,8.0,1.0,0.0,3.0,1,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,57.0,29.0,7.0,6.0,0.0,0.0,92.0,2.0,6.0,0.0,0.0,0.0,0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,24.0,9.0,3.0,6.0,1.0,100,62.0,36.0,28.0,53.0,7.0,40.0,31.0,29.0,40.0,14.0,34.0,52.0,10.0,2.0,8.0,7.0,5.0,4.0,3.0,1.0,71.0,29.0,10.0,3.0,8.0,7.0,5.0,5.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0
4,WP19115,354200,75.0,26.0,16.0,10.0,54.0,46.0,41.0,,31.0,41.0,49.0,4.0,2.0,,,,,30.0,24.0,13.0,33,10.0,5.0,8.0,91.0,11,30.0,29.0,14.0,7.0,60.0,32.0,78.0,68.0,46.0,7.0,19.0,25.0,46.0,85,68.0,21.0,41.0,32.0,72.0,43.0,31.0,36.0,28.0,27.0,22.0,13.0,7.0,11.0,16.0,12.0,2.0,2,27.0,20.0,8.0,45.0,11.0,6.0,10.0,1.0,1.0,4.0,1,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,73.0,13.0,14.0,0.0,0.0,0.0,71.0,19.0,10.0,0.0,0.0,0.0,1,24.0,7.0,50.0,2.0,27.0,1.0,0.0,0.0,70.0,66.0,14.0,8.0,12.0,0.0,0.0,14.0,47.0,14.0,7.0,9.0,2.0,100,67.0,41.0,34.0,61.0,8.0,30.0,31.0,32.0,37.0,14.0,33.0,53.0,39.0,8.0,31.0,29.0,25.0,22.0,18.0,15.0,79.0,21.0,40.0,7.0,33.0,30.0,26.0,23.0,20.0,16.0,7.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0
5,WP19115,383100,71.0,19.0,11.0,5.0,44.0,38.0,32.0,,29.0,46.0,40.0,3.0,2.0,,,,,29.0,21.0,10.0,40,10.0,5.0,6.0,82.0,11,23.0,27.0,13.0,9.0,72.0,37.0,53.0,43.0,16.0,4.0,5.0,15.0,23.0,85,65.0,20.0,38.0,29.0,67.0,36.0,28.0,31.0,26.0,28.0,20.0,12.0,8.0,11.0,16.0,12.0,3.0,1,26.0,14.0,6.0,53.0,11.0,6.0,10.0,2.0,2.0,4.0,2,1.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,86.0,8.0,0.0,6.0,0.0,0.0,92.0,5.0,1.0,2.0,0.0,0.0,1,2.0,1.0,22.0,47.0,0.0,0.0,53.0,0.0,0.0,69.0,0.0,31.0,0.0,0.0,0.0,4.0,28.0,13.0,8.0,8.0,2.0,100,67.0,41.0,33.0,62.0,8.0,30.0,28.0,37.0,35.0,13.0,32.0,55.0,12.0,3.0,8.0,7.0,6.0,4.0,4.0,3.0,77.0,23.0,14.0,3.0,11.0,10.0,8.0,7.0,5.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0
6,WP19115,389100,60.0,7.0,3.0,2.0,29.0,23.0,20.0,,12.0,15.0,26.0,0.0,,,,,,18.0,24.0,4.0,54,4.0,1.0,1.0,89.0,12,36.0,27.0,11.0,3.0,43.0,16.0,78.0,70.0,49.0,8.0,13.0,26.0,42.0,70,53.0,15.0,24.0,15.0,47.0,21.0,13.0,15.0,14.0,14.0,9.0,4.0,1.0,5.0,4.0,2.0,1.0,1,21.0,12.0,3.0,64.0,6.0,2.0,5.0,1.0,0.0,1.0,1,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,31.0,36.0,7.0,0.0,26.0,0.0,0,0.0,0.0,52.0,,,,,,,9.0,91.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,2.0,7.0,1.0,100,46.0,28.0,22.0,45.0,7.0,49.0,19.0,25.0,56.0,15.0,19.0,66.0,33.0,6.0,27.0,25.0,20.0,19.0,16.0,12.0,59.0,41.0,33.0,6.0,27.0,25.0,20.0,19.0,16.0,12.0,6.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,WP19115,391600,99.0,79.0,55.0,35.0,85.0,81.0,73.0,,64.0,90.0,82.0,30.0,25.0,,,,,10.0,60.0,19.0,12,60.0,35.0,31.0,94.0,4,20.0,34.0,22.0,15.0,73.0,65.0,84.0,67.0,28.0,7.0,10.0,20.0,60.0,86,83.0,42.0,73.0,64.0,90.0,64.0,54.0,62.0,41.0,45.0,31.0,38.0,20.0,29.0,44.0,35.0,7.0,2,9.0,52.0,16.0,23.0,18.0,8.0,16.0,3.0,1.0,6.0,1,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,75.0,23.0,3.0,0.0,0.0,0.0,64.0,25.0,10.0,0.0,1.0,0.0,1,0.0,0.0,31.0,,,,,,,55.0,41.0,4.0,0.0,0.0,0.0,9.0,17.0,31.0,30.0,22.0,8.0,100,69.0,48.0,45.0,62.0,11.0,27.0,49.0,27.0,24.0,32.0,31.0,37.0,23.0,4.0,19.0,19.0,18.0,16.0,14.0,11.0,77.0,23.0,23.0,4.0,20.0,19.0,19.0,17.0,14.0,12.0,3.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
8,WP19115,396300,100.0,59.0,45.0,26.0,76.0,74.0,73.0,,66.0,95.0,76.0,13.0,10.0,,,,,39.0,18.0,23.0,20,21.0,19.0,21.0,90.0,6,14.0,31.0,20.0,19.0,71.0,65.0,74.0,61.0,24.0,8.0,6.0,15.0,42.0,85,79.0,42.0,72.0,59.0,84.0,74.0,55.0,66.0,55.0,57.0,38.0,32.0,24.0,35.0,48.0,38.0,7.0,3,36.0,17.0,19.0,28.0,22.0,10.0,21.0,2.0,4.0,8.0,3,4.0,7.0,3.0,6.0,2.0,2.0,2.0,1.0,2.0,47.0,36.0,17.0,0.0,0.0,0.0,88.0,3.0,8.0,0.0,0.0,0.0,1,0.0,0.0,0.0,,,,,,,,,,,,,0.0,6.0,41.0,16.0,23.0,6.0,100,70.0,45.0,40.0,60.0,9.0,31.0,33.0,37.0,30.0,31.0,29.0,40.0,14.0,5.0,9.0,9.0,6.0,6.0,4.0,3.0,92.0,8.0,14.0,5.0,10.0,9.0,7.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
9,WP19115,402000,98.0,42.0,24.0,10.0,57.0,51.0,45.0,,45.0,72.0,54.0,2.0,,,,,,45.0,16.0,11.0,29,8.0,5.0,8.0,84.0,3,25.0,29.0,18.0,9.0,65.0,65.0,55.0,46.0,13.0,3.0,1.0,19.0,37.0,83,68.0,31.0,50.0,36.0,70.0,47.0,35.0,43.0,30.0,31.0,21.0,15.0,8.0,13.0,27.0,20.0,4.0,2,42.0,16.0,9.0,33.0,9.0,3.0,8.0,1.0,2.0,1.0,1,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,12.0,3.0,100,67.0,39.0,37.0,60.0,7.0,33.0,29.0,31.0,40.0,18.0,29.0,52.0,6.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,54.0,46.0,7.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
