ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPriveGebruikVanApparaten_2,AantalGewerkteUren_3,Omzetaandeel50VanEenOpdrachtgever_4,GebruikICTVoorzieningOpdrachtgever_5,EenOpdrachtgever_6,TweeOpdrachtgevers_7,DrieOfMeerOpdrachtgevers_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,DoorExterneLeverancierUitgevoerd_13,ZelfUitgevoerd_14,DoorExterneLeverancierZelfUitgevoerd_15,OnbekendOfNVT_16,InternetVast_17,MinderDan30MbitS_18,k_30Tot100MbitS_19,k_100Tot500MbitS_20,k_500MbitSTot1GbitS_21,TenMinste1GbitS_22,BedrijvenMetWebsite_23,BeschrijvingenVanProductenPrijslijst_24,OnlineBestellenBoekenOfReserveren_25,ProductaanpassingDoorKlant_26,BestellingOnlineVolgen_27,KlantspecifiekeInfoVoorDeBezoeker_28,VerwijzingNaarSocialeMedia_29,AntiVirussoftware_30,BeleidVoorSterkeWachtwoorden_31,BiometrischeMethoden_32,AuthenticatieViaSoftOfHardwaretoken_33,EncryptieVanData_34,GegevensOpAndereFysiekeLocatie_35,NetworkAccessControl_36,VPNInternetgebruikBuitenHetBedrijf_37,LogbestandenVoorAnalyseIncidenten_38,MethodesVoorBeoordelenICTVeiligheid_39,Risicoanalyses_40,ICTVeiligheidVolgEnDetectiesysteem_41,IncidentMetInterneOorzaakGehad_42,IncidentDoorAanvalVanBuitenGehad_43,UitvalICTDienstDoorVeiligheidsinc_44,VernietigingDataDoorVeiligheidsinc_45,OnthullingDoorInternIncident_46,UitvalICTDienstDoorAanvalBuitenaf_47,VernietigingDataAanvalVanBuitenaf_48,OnthullingGegevensDoorICTInbraak_49,KostenIncidentInternGehad_50,KostenIncidentAanvalBuitenafGehad_51,UitvalICTDienstDoorVeiligheidsinc_52,VernietigingDataDoorVeiligheidsinc_53,OnthullingDoorInternIncident_54,UitvalICTDienstDoorAanvalBuitenaf_55,VernietigingDataAanvalBuitenaf_56,OnthullingDoorICTInbraak_57,Kosten1VanDeTotaleOmzet_58,Kosten1Tot2VanDeTotaleOmzet_59,Kosten2Tot5VanDeTotaleOmzet_60,Kosten5Tot10VanDeTotaleOmzet_61,Kosten10Tot50VanDeTotaleOmzet_62,Kosten50VanDeTotaleOmzet_63,Kosten1VanDeTotaleOmzet_64,Kosten1Tot2VanDeTotaleOmzet_65,Kosten2Tot5VanDeTotaleOmzet_66,Kosten5Tot10VanDeTotaleOmzet_67,Kosten10Tot50VanDeTotaleOmzet_68,Kosten50VanDeTotaleOmzet_69,RansomwareAanvalGehad_70,LosgeldBetaald_71,BetalingLosgeldZinvol_72,AndereKostenRansomwareAanvalGehad_73,k_1VanDeTotaleOmzet_74,k_1Tot2VanDeTotaleOmzet_75,k_2Tot5VanDeTotaleOmzet_76,k_5Tot10VanDeTotaleOmzet_77,k_10Tot50VanDeTotaleOmzet_78,k_50VanDeTotaleOmzet_79,Kosten1VanDeTotaleOmzet_80,Kosten1Tot2VanDeTotaleOmzet_81,Kosten2Tot5VanDeTotaleOmzet_82,Kosten5Tot10VanDeTotaleOmzet_83,Kosten10Tot50VanDeTotaleOmzet_84,Kosten50VanDeTotaleOmzet_85,Politie_86,Cybersecurity_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,MilieuBetrokken_92,Papierverbruik_93,Energieverbruik_94,MilieuBewustBijICTAanschaf_95,Ja_96,Nee_97,NVT_98,Ja_99,Nee_100,NVT_101,Ja_102,Nee_103,NVT_104
0,399907,18,76,33,26.0,28,16,10,73,79,8,6,6,12,36,4,48,78,5,25,29,15,4,44,34,11,1,4,8,21,83,70,34,44,31,69,25,24,21,13,16,10,6,4,6,1,1,2,1,2,1,1,1,0,0,1,0,0,42.0,44.0,11.0,1.0,0.0,1.0,67.0,4.0,18.0,9.0,0.0,1.0,0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,57.0,34.0,9.0,0.0,0.0,0.0,2.0,1.0,6,7,8,2,100,68,42,34,55,10,35,31,30,39,14,33,53
1,307610,17,82,29,18.0,3,23,10,67,98,0,0,2,5,32,0,63,65,10,22,20,8,5,57,52,25,3,8,15,43,82,55,32,30,20,52,25,12,10,8,10,10,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,5,5,0,100,70,43,35,50,7,43,18,23,58,17,22,62
2,312505,7,72,27,17.0,7,7,4,89,94,2,4,0,6,31,2,61,78,6,37,31,2,2,63,50,20,2,7,9,33,78,48,19,15,13,65,15,11,6,9,7,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,7,4,0,100,65,28,22,54,2,44,24,19,57,11,17,72
3,315810,12,81,34,20.0,10,7,8,85,97,1,1,1,10,30,3,57,88,4,42,31,9,3,56,49,23,3,7,13,25,85,70,26,27,23,67,19,14,18,10,14,9,6,3,5,2,0,1,0,2,2,0,1,1,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,4,11,4,100,67,42,27,64,7,29,26,36,37,21,31,48
4,900064,16,78,33,31.0,21,23,9,68,86,9,3,2,20,35,0,44,85,4,29,36,13,2,53,42,35,2,19,10,33,91,77,35,42,42,66,36,31,26,21,23,15,11,6,11,2,0,3,1,4,2,1,2,0,0,1,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,11,11,7,2,100,69,51,37,51,17,32,35,25,40,15,29,56
5,323705,11,77,29,20.0,11,12,6,81,95,5,0,0,11,37,2,50,83,9,38,25,7,3,65,53,16,4,4,11,24,88,72,23,36,26,69,14,16,12,12,11,6,8,4,8,2,0,3,0,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,9,9,3,100,67,43,27,54,11,35,35,24,41,9,30,61
6,328105,9,69,36,42.0,10,15,9,76,97,3,0,0,3,27,0,70,70,5,29,24,8,3,24,12,2,0,0,3,7,69,48,25,28,24,54,8,12,5,3,5,2,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,2,7,0,100,51,34,19,52,9,39,22,34,44,12,27,61
7,332910,14,67,33,25.0,28,17,7,75,87,5,3,5,10,43,4,44,91,9,36,31,12,4,52,39,14,2,6,10,19,85,75,31,48,28,79,31,25,25,15,21,9,12,7,12,4,1,5,2,5,3,3,2,2,0,1,0,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,12,11,1,100,68,53,35,64,15,22,43,33,25,25,35,41
8,336500,17,77,31,31.0,19,15,11,74,85,13,2,0,11,30,2,57,83,4,28,38,11,2,40,30,8,0,2,4,8,89,72,32,42,30,74,34,25,28,9,15,8,2,6,2,2,0,4,2,0,2,2,2,2,0,0,2,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,6,0,100,66,40,21,68,8,25,19,45,36,8,42,51
9,339205,9,67,36,14.0,12,11,11,78,94,1,1,3,6,33,1,60,74,10,32,20,10,3,50,38,9,0,3,6,16,84,66,24,33,20,65,24,18,13,7,12,6,5,11,5,1,0,6,1,5,1,3,1,1,0,1,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,3,6,2,100,57,33,30,49,8,42,31,28,40,17,23,60
