ID,CostComponents,Periods,InputPriceIndices_1,ChangesComparedToOneYearEarlier_2
0,T001363,2018MM01,90.1,
1,T001363,2018MM02,90.2,
2,T001363,2018MM03,89.9,
3,T001363,2018MM04,90.1,
4,T001363,2018MM05,90.3,
5,T001363,2018MM06,90.5,
6,T001363,2018MM07,91.0,
7,T001363,2018MM08,91.5,
8,T001363,2018MM09,91.8,
9,T001363,2018MM10,91.7,
10,T001363,2018MM11,91.6,
11,T001363,2018MM12,91.8,
12,T001363,2018JJ00,90.9,
13,T001363,2019MM01,92.7,2.9
14,T001363,2019MM02,92.7,2.7
15,T001363,2019MM03,92.8,3.2
16,T001363,2019MM04,92.8,2.9
17,T001363,2019MM05,92.8,2.8
18,T001363,2019MM06,92.9,2.7
19,T001363,2019MM07,94.0,3.2
20,T001363,2019MM08,93.7,2.4
21,T001363,2019MM09,93.8,2.1
22,T001363,2019MM10,93.7,2.2
23,T001363,2019MM11,93.7,2.3
24,T001363,2019MM12,94.4,2.8
25,T001363,2019JJ00,93.3,2.7
26,T001363,2020MM01,95.7,3.2
27,T001363,2020MM02,95.6,3.2
28,T001363,2020MM03,95.6,3.1
29,T001363,2020MM04,95.2,2.7
30,T001363,2020MM05,95.1,2.4
31,T001363,2020MM06,95.1,2.4
32,T001363,2020MM07,96.0,2.2
33,T001363,2020MM08,96.2,2.7
34,T001363,2020MM09,96.1,2.4
35,T001363,2020MM10,96.0,2.4
36,T001363,2020MM11,96.1,2.5
37,T001363,2020MM12,96.9,2.6
38,T001363,2020JJ00,95.8,2.6
39,T001363,2021MM01,97.5,1.9
40,T001363,2021MM02,97.6,2.1
41,T001363,2021MM03,97.8,2.3
42,T001363,2021MM04,98.6,3.6
43,T001363,2021MM05,99.2,4.4
44,T001363,2021MM06,100.0,5.1
45,T001363,2021MM07,101.2,5.4
46,T001363,2021MM08,100.9,4.9
47,T001363,2021MM09,101.1,5.2
48,T001363,2021MM10,101.9,6.1
49,T001363,2021MM11,102.0,6.2
50,T001363,2021MM12,102.2,5.5
51,T001363,2021JJ00,100.0,4.4
52,T001363,2022MM01,104.8,7.5
53,T001363,2022MM02,105.4,8.0
54,T001363,2022MM03,107.0,9.4
55,T001363,2022MM04,108.9,10.4
56,T001363,2022MM05,109.5,10.4
57,T001363,2022MM06,109.1,9.1
58,T001363,2022MM07,110.2,8.9
59,T001363,2022MM08,110.3,9.3
60,T001363,2022MM09,111.0,9.9
61,T001363,2022MM10,111.6,9.5
62,T001363,2022MM11,111.4,9.2
63,T001363,2022MM12,111.2,8.8
64,T001363,2022JJ00,109.2,9.2
65,T001363,2023MM01,114.1,8.9
66,T001363,2023MM02,114.5,8.6
67,T001363,2023MM03,115.3,7.7
68,T001363,2023MM04,115.7,6.2
69,T001363,2023MM05,115.8,5.7
70,T001363,2023MM06,115.7,6.1
71,T001363,2023MM07,115.9,5.2
72,T001363,2023MM08,115.6,4.8
73,T001363,2023MM09,115.6,4.1
74,T001363,2023MM10,115.6,3.6
75,T001363,2023MM11,115.4,3.6
76,T001363,2023MM12,115.5,3.9
77,T001363,2023JJ00,115.4,5.7
78,T001363,2024MM01,117.3,2.7
79,T001363,2024MM02,117.2,2.3
80,T001363,2024MM03,117.2,1.7
81,T001363,2024MM04,117.0,1.1
82,T001363,2024MM05,116.7,0.8
83,T001363,2024MM06,116.9,1.1
84,T001363,2024MM07,120.0,3.5
85,T001363,2024MM08,120.0,3.8
86,T001363,2024MM09,119.9,3.7
87,T001363,2024MM10,119.7,3.6
88,T001363,2024MM11,119.8,3.8
89,T001363,2024MM12,119.8,3.8
90,T001363,2024JJ00,118.5,2.7
91,T001363,2025MM01,120.4,2.7
92,T001363,2025MM02,120.8,3.1
93,T001363,2025MM03,121.5,3.7
94,T001363,2025MM04,121.9,4.2
95,T001363,2025MM05,122.9,5.3
96,T001363,2025MM06,123.0,5.2
97,T001363,2025MM07,123.3,2.7
98,T001363,2025MM08,123.3,2.7
99,T001363,2025MM09,123.3,2.8
100,T001363,2025MM10,124.3,3.9
101,T001363,2025MM11,124.5,4.0
102,T001363,2025MM12,124.3,3.7
103,T001363,2025JJ00,122.8,3.7
104,A043942,2018MM01,91.7,
105,A043942,2018MM02,91.7,
106,A043942,2018MM03,91.7,
107,A043942,2018MM04,91.7,
108,A043942,2018MM05,91.7,
109,A043942,2018MM06,91.7,
110,A043942,2018MM07,92.6,
111,A043942,2018MM08,93.6,
112,A043942,2018MM09,93.6,
113,A043942,2018MM10,93.7,
114,A043942,2018MM11,93.7,
115,A043942,2018MM12,93.7,
116,A043942,2018JJ00,92.6,
117,A043942,2019MM01,93.8,2.4
118,A043942,2019MM02,93.8,2.4
119,A043942,2019MM03,93.8,2.4
120,A043942,2019MM04,93.9,2.4
121,A043942,2019MM05,93.9,2.4
122,A043942,2019MM06,94.1,2.7
123,A043942,2019MM07,95.8,3.5
124,A043942,2019MM08,95.8,2.4
125,A043942,2019MM09,95.8,2.4
126,A043942,2019MM10,95.8,2.3
127,A043942,2019MM11,95.8,2.3
128,A043942,2019MM12,97.3,3.9
129,A043942,2019JJ00,95.0,2.6
130,A043942,2020MM01,97.8,4.2
