ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,Bedrijfsemails_2,Bedrijfsdocumenten_3,BedrijfsapplicatiesOfSoftware_4,Telewerkers_5,TelewerkKomtVoor_6,InternetVast_7,MinderDan30MbitS_8,k_30Tot100MbitS_9,k_100Tot500MbitS_10,k_500MbitSTot1GbitS_11,TenMinste1GbitS_12,BedrijvenMetWebsite_13,BeschrijvingenVanProductenPrijslijst_14,OnlineBestellenBoekenOfReserveren_15,ProductaanpassingDoorKlant_16,BestellingOnlineVolgen_17,KlantspecifiekeInfoVoorDeBezoeker_18,VirtueleKlantenservice_19,OnlineSolliciteren_20,Meertalig_21,MobieleAppVoorKlanten_22,SocialeMediaGebruikt_23,SocialeNetwerkenBijvFacebook_24,BlogsOfMicroblogsBijvTwitter_25,MultimediaDelenBijvYouTube_26,ClouddienstenGebruikt_27,EMail_28,OfficeSoftware_29,OpslagDatabases_30,BestandenOpslaan_31,BoekhoudingSoftware_32,ERPSoftware_33,KlantbeheerSoftware_34,Veiligheidssoftware_35,Rekenkracht_36,Rekenplatform_37,BestandenOfDatabasesOpslag_38,AIGebruikt_39,TextMining_40,Spraakherkenning_41,NaturalLanguageGeneration_42,AfbeeldingHerkenning_43,MachineLearning_44,RobotOndersteundeProcesautomatisering_45,ServiceRobotsOfAutonomeVoertuigen_46,VoorMarketingOfVerkoop_47,Productieprocessen_48,AdministratieveProcessenBestuurtaken_49,Logistiek_50,ICTBeveiliging_51,BoekhoudingControleFinancieelBeheer_52,OnderzoekOntwikkelingOfInnovatie_53,EigenWerknemersOntwikkeld_54,CommercieelZelfAangepast_55,OpenSourceZelfAangepast_56,CommercieelGebruikt_57,ExternOntwikkeld_58,HeeftAIOverwogen_59,KostenZijnTeHoog_60,GebrekAanRelevanteErvaringInBedrijf_61,IncompatibiliteitBestaandeICTSysteem_62,MoeilijkhedenBeschikbaarheidGegevens_63,BezorgdheidSchendingGegevensbescherm_64,OnduidelijkheidOverJuridischeGevolgen_65,EthischeOverwegingen_66,NietNuttigVoorOnderneming_67,Antivirussoftware_68,BeleidVoorSterkeWachtwoorden_69,BiometrischeMethoden_70,AuthenticatieViaSoftOfHardwaretoken_71,EncryptieVanData_72,GegevensOpAndereFysiekeLocatie_73,NetworkAccessControl_74,VPNInternetgebruikBuitenHetBedrijf_75,LogbestandenVoorAnalyseIncidenten_76,MethodesVoorBeoordelenICTVeiligheid_77,Risicoanalyses_78,ICTVeiligheidVolgEnDetectiesysteem_79,VrijwilligeTraining_80,VerplichteTraining_81,MetContract_82,ICTVeiligheidsdocumentenAanwezig_83,MinderDan12MaandenGeleden_84,TussenDe12En24MaandenGeleden_85,MeerDan24MaandenGeleden_86,UitbesteedAanExternBedrijf_87,EigenPersoneel_88,EigenPersoneelEnExternBedrijf_89,NietVanToepassing_90,IncidentMetInterneOorzaakGehad_91,IncidentDoorAanvalVanBuitenGehad_92,UitvalICTDienstDoorVeiligheidsinc_93,VernietigingDataDoorVeiligheidsinc_94,OnthullingDoorInternIncident_95,UitvalICTDienstDoorAanvalBuitenaf_96,VernietigingDataAanvalVanBuitenaf_97,OnthullingGegevensDoorICTInbraak_98,KostenIncidentInternGehad_99,KostenIncidentAanvalBuitenafGehad_100,UitvalICTDienstDoorVeiligheidsinc_101,VernietigingDataDoorVeiligheidsinc_102,OnthullingDoorInternIncident_103,UitvalICTDienstDoorAanvalBuitenaf_104,VernietigingDataAanvalBuitenaf_105,OnthullingDoorICTInbraak_106,Kosten1VanDeTotaleOmzet_107,Kosten1Tot2VanDeTotaleOmzet_108,Kosten2Tot5VanDeTotaleOmzet_109,Kosten5Tot10VanDeTotaleOmzet_110,Kosten10Tot50VanDeTotaleOmzet_111,Kosten50VanDeTotaleOmzet_112,Kosten1VanDeTotaleOmzet_113,Kosten1Tot2VanDeTotaleOmzet_114,Kosten2Tot5VanDeTotaleOmzet_115,Kosten5Tot10VanDeTotaleOmzet_116,Kosten10Tot50VanDeTotaleOmzet_117,Kosten50VanDeTotaleOmzet_118,RansomwareAanvalGehad_119,LosgeldBetaald_120,BetalingLosgeldZinvol_121,AndereKostenRansomwareAanvalGehad_122,k_1VanDeTotaleOmzet_123,k_1Tot2VanDeTotaleOmzet_124,k_2Tot5VanDeTotaleOmzet_125,k_5Tot10VanDeTotaleOmzet_126,k_10Tot50VanDeTotaleOmzet_127,k_50VanDeTotaleOmzet_128,Kosten1VanDeTotaleOmzet_129,Kosten1Tot2VanDeTotaleOmzet_130,Kosten2Tot5VanDeTotaleOmzet_131,Kosten5Tot10VanDeTotaleOmzet_132,Kosten10Tot50VanDeTotaleOmzet_133,Kosten50VanDeTotaleOmzet_134,Politie_135,Cybersecurity_136,VerzekeringICTVeiligheidsincidenten_137,GezochtNaarMeldingenCyberdreigingen_138,BekendMetDTC_139,DTCWebsiteAlsBronGebruikt_140,EFactuur_141,ElektronischMaarGeenEFactuur_142,PapierenVorm_143,MinderDan10_144,TenMinste10Tot25_145,TenMinste25Tot50_146,TenMinste50Tot75_147,TenMinste75_148,VerkoopViaWebsiteOfApp_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde1VanDeTotaleOmzet_151,Verkoopwaarde2VanDeTotaleOmzet_152,Verkoopwaarde5VanDeTotaleOmzet_153,Verkoopwaarde10VanDeTotaleOmzet_154,Verkoopwaarde25VanDeTotaleOmzet_155,Verkoopwaarde50VanDeTotaleOmzet_156,ViaWebsiteOfAppsVanEigenBedrijf_157,PercentageOmzetViaOnlinePlatforms_158,VerkoopViaECommerce_159,Verkoopwaarde1VanDeTotaleOmzet_160,Verkoopwaarde1VanDeTotaleOmzet_161,Verkoopwaarde2VanDeTotaleOmzet_162,Verkoopwaarde5VanDeTotaleOmzet_163,Verkoopwaarde10VanDeTotaleOmzet_164,Verkoopwaarde25VanDeTotaleOmzet_165,Verkoopwaarde50VanDeTotaleOmzet_166,ViaEen_167,ViaTwee_168,ViaDrieOfMeer_169,MeerDan75VanOmzetUitEenPlatform_170,BetaaldAanPlatforms_171,VerkoopViaEDI_172,Verkoopwaarde1VanDeTotaleOmzet_173,Verkoopwaarde1VanDeTotaleOmzet_174,Verkoopwaarde2VanDeTotaleOmzet_175,Verkoopwaarde5VanDeTotaleOmzet_176,Verkoopwaarde10VanDeTotaleOmzet_177,Verkoopwaarde25VanDeTotaleOmzet_178,Verkoopwaarde50VanDeTotaleOmzet_179
0,WP19115,399907,83.0,60.0,53.0,48.0,58.0,57.0,96,6,28.0,34.0,19.0,9.0,75.0,64.0,29.0,5.0,8.0,14.0,7.0,26.0,17.0,7.0,62.0,59,9.0,27.0,43.0,34.0,29.0,30.0,34.0,30.0,10.0,17.0,26.0,10.0,8.0,37.0,8.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,88,71.0,24.0,53.0,35.0,70.0,45.0,33.0,34.0,27.0,28.0,19.0,17.0,10.0,16.0,22.0,17.0,4.0,1,26.0,17.0,9.0,49.0,12.0,5.0,12.0,2.0,1.0,3.0,2,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,66.0,20.0,9.0,3.0,3.0,0.0,83.0,5.0,10.0,2.0,0.0,0.0,1.0,14.0,14.0,59.0,91.0,4.0,0.0,4.0,0.0,0.0,73.0,8.0,13.0,2.0,4.0,0.0,17.0,37.0,17.0,7.0,10.0,4.0,23.0,79.0,48.0,4.0,1.0,1.0,2.0,16.0,21.0,3.0,18.0,16.0,14.0,13.0,10.0,8.0,78.0,22.0,23.0,3.0,19.0,18.0,16.0,14.0,11.0,9.0,4.0,3.0,3.0,2.0,,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
1,WP19115,307500,69.0,62.0,56.0,48.0,46.0,57.0,97,7,31.0,33.0,18.0,9.0,82.0,69.0,24.0,5.0,6.0,12.0,5.0,33.0,26.0,4.0,65.0,63,8.0,27.0,44.0,34.0,29.0,28.0,34.0,30.0,12.0,15.0,28.0,9.0,7.0,36.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,92,71.0,19.0,54.0,33.0,75.0,51.0,41.0,38.0,32.0,32.0,22.0,18.0,11.0,17.0,24.0,18.0,4.0,2,33.0,15.0,11.0,41.0,14.0,5.0,13.0,1.0,1.0,3.0,2,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,88.0,6.0,5.0,0.0,0.0,0.0,93.0,5.0,1.0,0.0,0.0,0.0,1.0,22.0,22.0,64.0,97.0,3.0,0.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,32.0,40.0,18.0,7.0,12.0,4.0,26.0,86.0,48.0,4.0,1.0,1.0,2.0,18.0,20.0,5.0,14.0,13.0,10.0,8.0,6.0,5.0,88.0,12.0,23.0,5.0,18.0,17.0,14.0,12.0,9.0,6.0,3.0,1.0,1.0,1.0,,5.0,0.0,5.0,4.0,4.0,3.0,3.0,2.0
2,WP19115,800036,90.0,74.0,67.0,60.0,77.0,69.0,95,4,20.0,33.0,21.0,17.0,80.0,61.0,23.0,5.0,5.0,19.0,6.0,48.0,32.0,13.0,65.0,65,10.0,18.0,59.0,47.0,40.0,44.0,45.0,43.0,17.0,24.0,43.0,16.0,13.0,51.0,9.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,2.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,93,79.0,25.0,63.0,42.0,82.0,64.0,51.0,50.0,47.0,45.0,31.0,24.0,18.0,27.0,33.0,26.0,6.0,1,38.0,17.0,17.0,28.0,20.0,6.0,18.0,1.0,2.0,3.0,0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,17.0,0.0,74.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,22.0,15.0,14.0,6.0,24.0,86.0,45.0,6.0,1.0,1.0,1.0,15.0,20.0,8.0,12.0,11.0,10.0,8.0,5.0,5.0,83.0,17.0,22.0,8.0,14.0,13.0,11.0,9.0,6.0,6.0,1.0,3.0,2.0,2.0,,3.0,1.0,,,,,1.0,1.0
3,WP19115,350000,81.0,49.0,40.0,34.0,48.0,42.0,95,9,30.0,33.0,18.0,5.0,63.0,46.0,11.0,2.0,2.0,7.0,2.0,21.0,6.0,1.0,49.0,48,3.0,12.0,35.0,28.0,20.0,22.0,26.0,21.0,7.0,7.0,20.0,7.0,3.0,28.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,88,64.0,19.0,39.0,19.0,66.0,32.0,24.0,23.0,20.0,17.0,13.0,7.0,4.0,9.0,11.0,8.0,1.0,1,27.0,9.0,5.0,59.0,10.0,6.0,10.0,1.0,0.0,4.0,2,3.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,55.0,36.0,8.0,0.0,0.0,0.0,77.0,2.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,,,,,,,72.0,0.0,28.0,0.0,0.0,0.0,0.0,37.0,11.0,3.0,5.0,2.0,20.0,82.0,62.0,3.0,1.0,1.0,2.0,13.0,9.0,2.0,7.0,6.0,5.0,5.0,3.0,2.0,69.0,31.0,10.0,2.0,8.0,7.0,6.0,5.0,4.0,2.0,2.0,2.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,WP19115,354200,76.0,56.0,49.0,44.0,42.0,52.0,96,7,30.0,36.0,16.0,7.0,77.0,69.0,45.0,7.0,16.0,18.0,12.0,21.0,19.0,7.0,67.0,64,9.0,35.0,38.0,31.0,24.0,28.0,29.0,27.0,11.0,16.0,23.0,8.0,8.0,33.0,7.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,87,70.0,21.0,46.0,27.0,69.0,43.0,31.0,34.0,24.0,26.0,18.0,14.0,9.0,13.0,18.0,13.0,3.0,1,23.0,18.0,8.0,52.0,11.0,6.0,11.0,1.0,1.0,4.0,2,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,67.0,11.0,13.0,4.0,6.0,0.0,77.0,5.0,12.0,6.0,0.0,0.0,1.0,18.0,18.0,77.0,93.0,7.0,0.0,0.0,0.0,0.0,68.0,3.0,21.0,0.0,8.0,0.0,28.0,33.0,14.0,6.0,10.0,3.0,22.0,76.0,55.0,4.0,2.0,1.0,1.0,13.0,36.0,5.0,31.0,29.0,26.0,23.0,18.0,14.0,82.0,18.0,38.0,5.0,33.0,31.0,27.0,25.0,19.0,16.0,7.0,4.0,4.0,4.0,,4.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0
5,WP19115,383100,74.0,52.0,46.0,41.0,48.0,49.0,94,9,31.0,27.0,22.0,5.0,51.0,42.0,17.0,2.0,7.0,8.0,2.0,23.0,16.0,5.0,44.0,43,5.0,11.0,28.0,24.0,18.0,17.0,22.0,19.0,7.0,8.0,19.0,6.0,5.0,23.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,88,64.0,21.0,44.0,27.0,62.0,29.0,24.0,26.0,20.0,23.0,15.0,12.0,8.0,14.0,16.0,12.0,3.0,1,18.0,15.0,7.0,60.0,9.0,5.0,9.0,1.0,1.0,3.0,1,2.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,97.0,2.0,0.0,0.0,1.0,0.0,96.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,,,,,,,92.0,0.0,0.0,0.0,8.0,0.0,3.0,17.0,11.0,7.0,9.0,3.0,25.0,82.0,49.0,3.0,1.0,1.0,1.0,18.0,12.0,3.0,9.0,8.0,6.0,4.0,3.0,2.0,69.0,31.0,15.0,3.0,12.0,12.0,9.0,7.0,5.0,4.0,3.0,1.0,1.0,0.0,,5.0,0.0,5.0,5.0,4.0,4.0,3.0,2.0
6,WP19115,389100,64.0,37.0,30.0,26.0,20.0,39.0,93,8,35.0,31.0,14.0,4.0,78.0,72.0,51.0,6.0,9.0,14.0,5.0,22.0,14.0,8.0,71.0,68,6.0,35.0,21.0,16.0,12.0,10.0,14.0,15.0,2.0,5.0,10.0,2.0,1.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79,56.0,15.0,33.0,19.0,46.0,26.0,15.0,12.0,15.0,15.0,9.0,4.0,2.0,5.0,6.0,5.0,1.0,0,18.0,11.0,4.0,68.0,10.0,2.0,9.0,3.0,1.0,2.0,1,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,61.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,19.0,9.0,2.0,5.0,2.0,10.0,69.0,42.0,3.0,1.0,0.0,0.0,5.0,31.0,4.0,27.0,24.0,23.0,21.0,16.0,13.0,64.0,36.0,31.0,4.0,27.0,25.0,23.0,21.0,16.0,14.0,4.0,8.0,9.0,7.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
7,WP19115,391600,99.0,83.0,81.0,74.0,89.0,82.0,95,3,16.0,33.0,24.0,20.0,80.0,65.0,26.0,7.0,8.0,16.0,13.0,40.0,25.0,10.0,70.0,68,28.0,38.0,72.0,64.0,55.0,58.0,63.0,53.0,23.0,36.0,43.0,35.0,38.0,67.0,28.0,13.0,10.0,13.0,9.0,13.0,11.0,3.0,10.0,8.0,8.0,2.0,8.0,6.0,11.0,13.0,8.0,14.0,13.0,4.0,11.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,86,83.0,41.0,77.0,66.0,84.0,65.0,51.0,61.0,41.0,47.0,35.0,38.0,25.0,31.0,45.0,36.0,7.0,2,6.0,48.0,16.0,29.0,14.0,9.0,14.0,2.0,2.0,7.0,3,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,41.0,52.0,2.0,4.0,2.0,0.0,70.0,5.0,8.0,15.0,1.0,0.0,1.0,27.0,27.0,56.0,100.0,0.0,0.0,0.0,0.0,0.0,51.0,49.0,1.0,0.0,0.0,0.0,27.0,34.0,31.0,24.0,22.0,10.0,36.0,89.0,20.0,4.0,2.0,2.0,2.0,25.0,23.0,3.0,19.0,19.0,16.0,15.0,13.0,10.0,80.0,20.0,23.0,3.0,20.0,19.0,17.0,15.0,13.0,11.0,4.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,WP19115,396300,99.0,72.0,71.0,65.0,95.0,72.0,96,3,14.0,33.0,32.0,14.0,67.0,59.0,18.0,5.0,6.0,16.0,18.0,34.0,19.0,10.0,59.0,58,10.0,21.0,55.0,48.0,42.0,37.0,45.0,42.0,14.0,33.0,42.0,20.0,19.0,49.0,14.0,6.0,6.0,2.0,2.0,7.0,6.0,0.0,2.0,3.0,6.0,0.0,4.0,2.0,3.0,7.0,7.0,5.0,7.0,6.0,8.0,4.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,88,83.0,42.0,75.0,54.0,82.0,64.0,51.0,57.0,49.0,54.0,36.0,39.0,26.0,34.0,50.0,42.0,4.0,4,33.0,18.0,16.0,33.0,23.0,9.0,19.0,2.0,5.0,6.0,4,3.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,21.0,15.0,3.0,61.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,63.0,0.0,0.0,,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,13.0,20.0,33.0,17.0,22.0,6.0,21.0,77.0,46.0,3.0,4.0,0.0,1.0,12.0,13.0,5.0,8.0,7.0,4.0,3.0,2.0,2.0,77.0,23.0,13.0,5.0,8.0,8.0,4.0,3.0,3.0,2.0,1.0,0.0,4.0,1.0,,1.0,,,,,,,
9,WP19115,402000,97.0,56.0,52.0,45.0,74.0,55.0,90,5,23.0,34.0,18.0,9.0,54.0,45.0,15.0,2.0,2.0,10.0,6.0,12.0,13.0,4.0,44.0,43,9.0,26.0,45.0,35.0,33.0,31.0,36.0,32.0,9.0,21.0,29.0,7.0,7.0,39.0,7.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,84,65.0,25.0,56.0,31.0,66.0,44.0,32.0,30.0,25.0,24.0,16.0,16.0,10.0,16.0,20.0,15.0,4.0,2,33.0,13.0,8.0,47.0,14.0,6.0,12.0,3.0,2.0,3.0,3,2.0,5.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,79.0,3.0,3.0,16.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,15.0,0.0,56.0,0.0,0.0,,,19.0,4.0,12.0,3.0,17.0,79.0,47.0,2.0,2.0,1.0,2.0,10.0,10.0,0.0,10.0,9.0,9.0,9.0,6.0,6.0,70.0,30.0,11.0,0.0,10.0,9.0,9.0,9.0,6.0,6.0,2.0,2.0,2.0,2.0,,1.0,0.0,,,,,0.0,0.0
