ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,Bedrijfsemails_2,Bedrijfsdocumenten_3,BedrijfsapplicatiesOfSoftware_4,Telewerkers_5,TelewerkKomtVoor_6,InternetVast_7,MinderDan30MbitS_8,k_30Tot100MbitS_9,k_100Tot500MbitS_10,k_500MbitSTot1GbitS_11,TenMinste1GbitS_12,BedrijvenMetWebsite_13,BeschrijvingenVanProductenPrijslijst_14,OnlineBestellenBoekenOfReserveren_15,ProductaanpassingDoorKlant_16,BestellingOnlineVolgen_17,KlantspecifiekeInfoVoorDeBezoeker_18,VirtueleKlantenservice_19,OnlineSolliciteren_20,Meertalig_21,MobieleAppVoorKlanten_22,SocialeMediaGebruikt_23,SocialeNetwerkenBijvFacebook_24,BlogsOfMicroblogsBijvTwitter_25,MultimediaDelenBijvYouTube_26,MarketingProductenBedrijfsimago_27,MeningenKlantReagerenOpVragen_28,BetrekkingKlantBijProductontwikkeling_29,SamenwerkenMetZakenrelaties_30,WervenVanPersoneel_31,KennisUitwisselingBinnenHetBedrijf_32,OnlineAdvertenties_33,Zoektermen_34,ProfielVolgen_35,GeografischeLocatie_36,Anders_37,BusinessSoftwareGebruikt_38,ERPSoftware_39,CRMSoftware_40,BISoftware_41,DataUitwisseling_42,EigenBedrijf_43,ExternBedrijf_44,Transactiegegevens_45,Klantgegevens_46,SocialeMediaGegevens_47,Webdata_48,GeolocatieGegevens_49,SlimmeApparatenGegevens_50,OverheidGegevens_51,SatellietenGegevens_52,EigenDataVerkocht_53,ExterneDataGekocht_54,ClouddienstenGebruikt_55,EMail_56,OfficeSoftware_57,OpslagDatabases_58,BestandenOpslaan_59,BoekhoudingSoftware_60,ERPSoftware_61,KlantbeheerSoftware_62,Veiligheidssoftware_63,Rekenkracht_64,Rekenplatform_65,BestandenOfDatabasesOpslag_66,AIGebruikt_67,TextMining_68,Spraakherkenning_69,NaturalLanguageGeneration_70,AfbeeldingHerkenning_71,MachineLearning_72,RobotOndersteundeProcesautomatisering_73,ServiceRobotsOfAutonomeVoertuigen_74,VoorMarketingOfVerkoop_75,Productieprocessen_76,AdministratieveProcessenBestuurtaken_77,Logistiek_78,ICTBeveiliging_79,BoekhoudingControleFinancieelBeheer_80,OnderzoekOntwikkelingOfInnovatie_81,EigenWerknemersOntwikkeld_82,CommercieelZelfAangepast_83,OpenSourceZelfAangepast_84,CommercieelGebruikt_85,ExternOntwikkeld_86,HeeftAIOverwogen_87,KostenZijnTeHoog_88,GebrekAanRelevanteErvaringInBedrijf_89,IncompatibiliteitBestaandeICTSysteem_90,MoeilijkhedenBeschikbaarheidGegevens_91,BezorgdheidSchendingGegevensbescherm_92,OnduidelijkheidOverJuridischeGevolgen_93,EthischeOverwegingen_94,NietNuttigVoorOnderneming_95,GebruiktEenOfMeerAITechnologieen_96,GebruiktTweeOfMeerAITechnologieen_97,GebruiktDrieOfMeerAITechnologieen_98,GebruiktVierOfMeerAITechnologieen_99,Antivirussoftware_100,BeleidVoorSterkeWachtwoorden_101,BiometrischeMethoden_102,AuthenticatieViaSoftOfHardwaretoken_103,EncryptieVanData_104,GegevensOpAndereFysiekeLocatie_105,NetworkAccessControl_106,VPNInternetgebruikBuitenHetBedrijf_107,LogbestandenVoorAnalyseIncidenten_108,MethodesVoorBeoordelenICTVeiligheid_109,Risicoanalyses_110,ICTVeiligheidVolgEnDetectiesysteem_111,VrijwilligeTraining_112,VerplichteTraining_113,MetContract_114,ICTVeiligheidsdocumentenAanwezig_115,MinderDan12MaandenGeleden_116,TussenDe12En24MaandenGeleden_117,MeerDan24MaandenGeleden_118,UitbesteedAanExternBedrijf_119,EigenPersoneel_120,EigenPersoneelEnExternBedrijf_121,NietVanToepassing_122,IncidentMetInterneOorzaakGehad_123,IncidentDoorAanvalVanBuitenGehad_124,UitvalICTDienstDoorVeiligheidsinc_125,VernietigingDataDoorVeiligheidsinc_126,OnthullingDoorInternIncident_127,UitvalICTDienstDoorAanvalBuitenaf_128,VernietigingDataAanvalVanBuitenaf_129,OnthullingGegevensDoorICTInbraak_130,KostenIncidentInternGehad_131,KostenIncidentAanvalBuitenafGehad_132,UitvalICTDienstDoorVeiligheidsinc_133,VernietigingDataDoorVeiligheidsinc_134,OnthullingDoorInternIncident_135,UitvalICTDienstDoorAanvalBuitenaf_136,VernietigingDataAanvalBuitenaf_137,OnthullingDoorICTInbraak_138,Kosten1VanDeTotaleOmzet_139,Kosten1Tot2VanDeTotaleOmzet_140,Kosten2Tot5VanDeTotaleOmzet_141,Kosten5Tot10VanDeTotaleOmzet_142,Kosten10Tot50VanDeTotaleOmzet_143,Kosten50VanDeTotaleOmzet_144,Kosten1VanDeTotaleOmzet_145,Kosten1Tot2VanDeTotaleOmzet_146,Kosten2Tot5VanDeTotaleOmzet_147,Kosten5Tot10VanDeTotaleOmzet_148,Kosten10Tot50VanDeTotaleOmzet_149,Kosten50VanDeTotaleOmzet_150,RansomwareAanvalGehad_151,LosgeldBetaald_152,BetalingLosgeldZinvol_153,AndereKostenRansomwareAanvalGehad_154,k_1VanDeTotaleOmzet_155,k_1Tot2VanDeTotaleOmzet_156,k_2Tot5VanDeTotaleOmzet_157,k_5Tot10VanDeTotaleOmzet_158,k_10Tot50VanDeTotaleOmzet_159,k_50VanDeTotaleOmzet_160,Kosten1VanDeTotaleOmzet_161,Kosten1Tot2VanDeTotaleOmzet_162,Kosten2Tot5VanDeTotaleOmzet_163,Kosten5Tot10VanDeTotaleOmzet_164,Kosten10Tot50VanDeTotaleOmzet_165,Kosten50VanDeTotaleOmzet_166,Politie_167,Cybersecurity_168,VerzekeringICTVeiligheidsincidenten_169,GezochtNaarMeldingenCyberdreigingen_170,BekendMetDTC_171,DTCWebsiteAlsBronGebruikt_172,EFactuur_173,ElektronischMaarGeenEFactuur_174,PapierenVorm_175,MinderDan10_176,TenMinste10Tot25_177,TenMinste25Tot50_178,TenMinste50Tot75_179,TenMinste75_180,VerkoopViaWebsiteOfApp_181,Bedrijven_182,Overheidsorganisaties_183,NederlandseConsumenten_184,BuitenlandseConsumenten_185,Verkoopwaarde1VanDeTotaleOmzet_186,Verkoopwaarde1VanDeTotaleOmzet_187,Verkoopwaarde2VanDeTotaleOmzet_188,Verkoopwaarde5VanDeTotaleOmzet_189,Verkoopwaarde10VanDeTotaleOmzet_190,Verkoopwaarde25VanDeTotaleOmzet_191,Verkoopwaarde50VanDeTotaleOmzet_192,ViaWebsiteOfAppsVanEigenBedrijf_193,PercentageOmzetViaOnlinePlatforms_194,VerkoopViaECommerce_195,Verkoopwaarde1VanDeTotaleOmzet_196,Verkoopwaarde1VanDeTotaleOmzet_197,Verkoopwaarde2VanDeTotaleOmzet_198,Verkoopwaarde5VanDeTotaleOmzet_199,Verkoopwaarde10VanDeTotaleOmzet_200,Verkoopwaarde25VanDeTotaleOmzet_201,Verkoopwaarde50VanDeTotaleOmzet_202,ViaEen_203,ViaTwee_204,ViaDrieOfMeer_205,MeerDan75VanOmzetUitEenPlatform_206,BetaaldAanPlatforms_207,VerkoopViaEDI_208,Verkoopwaarde1VanDeTotaleOmzet_209,Verkoopwaarde1VanDeTotaleOmzet_210,Verkoopwaarde2VanDeTotaleOmzet_211,Verkoopwaarde5VanDeTotaleOmzet_212,Verkoopwaarde10VanDeTotaleOmzet_213,Verkoopwaarde25VanDeTotaleOmzet_214,Verkoopwaarde50VanDeTotaleOmzet_215
0,399907,82,82.0,76.0,73.0,63,79.0,99,2,21.0,36.0,24.0,16.0,93.0,81.0,37.0,6.0,12.0,23.0,13.0,66.0,35.0,11.0,83.0,82.0,19.0,42.0,90.0,39.0,32.0,46.0,86.0,26.0,41.0,30.0,16.0,20.0,25.0,67.0,49.0,50.0,31.0,24.0,43.0,18.0,32.0,26.0,18.0,15.0,9.0,8.0,8.0,3,1,5.0,64.0,55.0,50.0,48.0,54.0,46.0,25.0,31.0,44.0,20.0,18.0,57.0,14.0,5,4.0,4,4,6,6.0,2,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,6.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,14.0,7.0,4,2,95.0,84.0,27.0,74.0,52.0,86.0,74.0,57.0,62.0,51.0,52.0,37.0,37.0,23.0,33.0,47.0,38.0,7.0,3,38.0,19.0,23.0,21.0,24.0,8,23.0,3,3.0,6,2,3,6,3,6.0,1.0,0.0,2.0,1.0,1.0,88.0,7.0,3.0,2.0,1.0,0.0,90.0,8.0,2.0,0.0,0.0,0.0,1,5.0,5.0,48.0,13.0,,4.0,,0.0,0.0,,12.0,1.0,1.0,7.0,0.0,17.0,43.0,32.0,15.0,19.0,8.0,37.0,89.0,52.0,7.0,3.0,3,3.0,22.0,25.0,42.0,3.0,46.0,9.0,5.0,20.0,18.0,16.0,14.0,10.0,8.0,82.0,18.0,29.0,4.0,24.0,22.0,20.0,17.0,14.0,10.0,3.0,2.0,4.0,3.0,,7,1.0,6.0,6.0,5.0,5.0,4.0,2.0
1,307500,69,84.0,79.0,75.0,48,80.0,99,2,21.0,39.0,23.0,14.0,95.0,80.0,26.0,7.0,7.0,16.0,7.0,62.0,48.0,5.0,81.0,81.0,13.0,35.0,89.0,27.0,29.0,44.0,83.0,20.0,33.0,23.0,11.0,12.0,19.0,78.0,71.0,50.0,30.0,25.0,43.0,16.0,38.0,26.0,12.0,10.0,7.0,12.0,5.0,2,1,3.0,62.0,50.0,43.0,41.0,47.0,36.0,24.0,23.0,40.0,15.0,12.0,51.0,12.0,3,2.0,2,3,4,5.0,5,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,6.0,5.0,6.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,12.0,5.0,3,2,98.0,82.0,23.0,69.0,46.0,90.0,78.0,69.0,64.0,54.0,53.0,37.0,33.0,22.0,28.0,43.0,35.0,6.0,2,43.0,16.0,24.0,16.0,26.0,7,25.0,3,2.0,4,2,3,7,2,7.0,1.0,0.0,1.0,1.0,1.0,90.0,3.0,7.0,0.0,0.0,0.0,92.0,6.0,1.0,0.0,0.0,0.0,1,3.0,3.0,47.0,,50.0,0.0,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,25.0,43.0,28.0,15.0,19.0,7.0,34.0,94.0,54.0,5.0,3.0,3,3.0,21.0,22.0,61.0,3.0,32.0,4.0,6.0,16.0,14.0,10.0,8.0,5.0,3.0,90.0,10.0,30.0,5.0,25.0,23.0,19.0,15.0,12.0,8.0,1.0,1.0,2.0,1.0,,13,1.0,12.0,11.0,10.0,9.0,7.0,5.0
2,800036,91,87.0,86.0,82.0,78,89.0,99,5,20.0,34.0,17.0,23.0,96.0,82.0,35.0,5.0,9.0,29.0,12.0,75.0,37.0,22.0,84.0,84.0,22.0,30.0,87.0,34.0,32.0,50.0,91.0,32.0,30.0,22.0,11.0,15.0,13.0,74.0,61.0,53.0,45.0,29.0,56.0,19.0,41.0,30.0,11.0,11.0,17.0,31.0,20.0,12,0,7.0,74.0,58.0,54.0,52.0,56.0,50.0,28.0,28.0,51.0,22.0,20.0,63.0,19.0,4,1.0,5,4,7,9.0,4,2.0,4.0,7.0,3.0,6.0,4.0,4.0,5.0,7.0,6.0,10.0,6.0,5.0,,,,,1.0,1.0,1.0,0.0,19.0,8.0,5,1,99.0,90.0,34.0,83.0,57.0,95.0,81.0,72.0,70.0,62.0,61.0,44.0,39.0,35.0,36.0,52.0,43.0,7.0,2,42.0,18.0,29.0,11.0,22.0,9,21.0,2,2.0,5,1,3,4,2,4.0,0.0,,,,0.0,,0.0,0.0,0.0,17.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,36.0,25.0,24.0,12.0,39.0,96.0,64.0,10.0,2.0,1,3.0,,25.0,,3.0,,1.0,13.0,,,6.0,5.0,3.0,3.0,,8.0,26.0,13.0,13.0,11.0,7.0,6.0,5.0,4.0,1.0,0.0,,,,2,0.0,,,,,,
3,350000,84,77.0,65.0,62.0,57,69.0,97,3,21.0,34.0,27.0,12.0,90.0,70.0,14.0,3.0,2.0,7.0,2.0,66.0,11.0,2.0,76.0,76.0,9.0,28.0,91.0,24.0,25.0,39.0,87.0,20.0,26.0,18.0,7.0,9.0,15.0,59.0,47.0,40.0,16.0,15.0,24.0,13.0,17.0,13.0,8.0,4.0,7.0,4.0,6.0,3,0,2.0,55.0,46.0,38.0,36.0,43.0,34.0,16.0,18.0,36.0,13.0,6.0,46.0,5.0,2,1.0,1,1,2,2.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,1,1,95.0,77.0,20.0,64.0,37.0,83.0,71.0,56.0,56.0,44.0,42.0,27.0,24.0,12.0,23.0,33.0,24.0,5.0,4,49.0,10.0,18.0,23.0,25.0,10,23.0,3,1.0,6,2,4,7,3,7.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,94.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,,24.0,7.0,14.0,6.0,39.0,90.0,62.0,8.0,3.0,3,4.0,21.0,8.0,39.0,6.0,52.0,3.0,2.0,6.0,5.0,4.0,3.0,2.0,1.0,,14.0,10.0,3.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,,,1,0.0,,,,,,
4,354200,73,86.0,79.0,76.0,46,81.0,99,2,21.0,37.0,23.0,15.0,93.0,86.0,59.0,10.0,27.0,34.0,26.0,60.0,43.0,15.0,85.0,83.0,20.0,50.0,93.0,51.0,37.0,47.0,80.0,28.0,55.0,45.0,26.0,30.0,35.0,77.0,66.0,56.0,37.0,38.0,52.0,23.0,47.0,39.0,23.0,23.0,10.0,7.0,7.0,3,1,6.0,65.0,57.0,50.0,52.0,56.0,43.0,29.0,32.0,42.0,20.0,21.0,60.0,13.0,6,3.0,4,3,6,4.0,2,6.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,7.0,5.0,7.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,13.0,7.0,4,2,96.0,86.0,26.0,74.0,51.0,90.0,77.0,61.0,65.0,54.0,58.0,39.0,37.0,23.0,30.0,44.0,34.0,8.0,3,36.0,21.0,24.0,19.0,24.0,9,23.0,3,2.0,7,2,2,6,3,6.0,0.0,0.0,3.0,0.0,0.0,96.0,2.0,1.0,0.0,0.0,0.0,90.0,6.0,4.0,0.0,0.0,0.0,2,4.0,4.0,53.0,13.0,,0.0,0.0,0.0,0.0,72.0,14.0,0.0,0.0,14.0,0.0,10.0,36.0,32.0,14.0,17.0,7.0,41.0,91.0,59.0,8.0,4.0,3,3.0,23.0,49.0,42.0,2.0,45.0,11.0,7.0,42.0,39.0,34.0,31.0,24.0,19.0,85.0,15.0,53.0,6.0,47.0,44.0,40.0,36.0,29.0,23.0,7.0,4.0,7.0,5.0,,13,1.0,12.0,11.0,9.0,8.0,6.0,3.0
5,383100,73,75.0,67.0,66.0,51,71.0,98,5,24.0,36.0,23.0,9.0,82.0,70.0,25.0,5.0,12.0,15.0,5.0,54.0,35.0,7.0,69.0,68.0,8.0,23.0,80.0,23.0,27.0,42.0,86.0,20.0,22.0,14.0,7.0,9.0,12.0,52.0,41.0,34.0,27.0,31.0,38.0,15.0,28.0,19.0,8.0,6.0,17.0,12.0,7.0,9,0,4.0,58.0,49.0,42.0,37.0,45.0,40.0,22.0,20.0,40.0,15.0,13.0,48.0,9.0,3,2.0,2,3,3,5.0,3,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,6.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,9.0,4.0,3,2,94.0,79.0,24.0,67.0,43.0,82.0,61.0,52.0,55.0,46.0,48.0,34.0,29.0,20.0,29.0,36.0,29.0,5.0,2,38.0,15.0,20.0,28.0,22.0,9,21.0,2,1.0,7,2,4,6,3,5.0,1.0,0.0,2.0,0.0,2.0,96.0,3.0,0.0,0.0,1.0,0.0,94.0,5.0,1.0,0.0,0.0,0.0,1,0.0,0.0,37.0,,,,,,,92.0,0.0,0.0,0.0,8.0,0.0,6.0,41.0,24.0,14.0,18.0,7.0,35.0,87.0,57.0,8.0,3.0,3,1.0,20.0,14.0,59.0,2.0,34.0,4.0,2.0,12.0,9.0,8.0,6.0,4.0,3.0,77.0,23.0,26.0,3.0,24.0,21.0,20.0,18.0,13.0,11.0,2.0,2.0,2.0,1.0,,16,1.0,15.0,15.0,15.0,14.0,10.0,7.0
6,389100,57,62.0,53.0,44.0,25,59.0,99,3,33.0,37.0,16.0,10.0,93.0,89.0,76.0,5.0,12.0,20.0,6.0,60.0,32.0,11.0,90.0,89.0,11.0,53.0,91.0,58.0,33.0,27.0,85.0,15.0,44.0,29.0,15.0,22.0,28.0,28.0,18.0,17.0,11.0,15.0,22.0,15.0,14.0,10.0,12.0,5.0,3.0,3.0,5.0,1,1,3.0,45.0,37.0,32.0,24.0,33.0,38.0,10.0,15.0,26.0,6.0,4.0,35.0,6.0,2,1.0,3,1,2,2.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,,,,,,,0.0,0.0,6.0,2.0,2,1,89.0,70.0,20.0,55.0,30.0,63.0,44.0,23.0,26.0,21.0,20.0,13.0,11.0,8.0,15.0,14.0,11.0,2.0,1,35.0,9.0,7.0,49.0,13.0,3,12.0,1,0.0,2,1,1,4,1,4.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,71.0,28.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,19.0,16.0,3.0,8.0,2.0,23.0,80.0,54.0,6.0,2.0,1,2.0,12.0,37.0,13.0,5.0,69.0,13.0,5.0,32.0,28.0,25.0,21.0,16.0,10.0,61.0,39.0,37.0,5.0,32.0,28.0,25.0,21.0,16.0,10.0,6.0,6.0,12.0,7.0,,1,0.0,,,,,,0.0
7,391600,99,94.0,94.0,93.0,91,95.0,99,1,7.0,28.0,29.0,33.0,96.0,85.0,32.0,9.0,11.0,28.0,26.0,83.0,47.0,19.0,92.0,91.0,47.0,56.0,95.0,43.0,43.0,66.0,92.0,41.0,57.0,47.0,32.0,33.0,41.0,88.0,58.0,78.0,55.0,25.0,68.0,13.0,49.0,48.0,37.0,37.0,16.0,12.0,17.0,6,3,10.0,86.0,78.0,76.0,76.0,79.0,69.0,41.0,59.0,65.0,49.0,55.0,83.0,37.0,19,12.0,15,13,20,16.0,4,14.0,11.0,13.0,2.0,13.0,11.0,16.0,19.0,14.0,16.0,19.0,8.0,12.0,3.0,8.0,3.0,3.0,3.0,2.0,2.0,3.0,37.0,24.0,16,10,95.0,96.0,49.0,93.0,84.0,95.0,89.0,77.0,88.0,75.0,77.0,61.0,72.0,50.0,59.0,82.0,72.0,8.0,2,9.0,45.0,39.0,7.0,26.0,11,25.0,3,5.0,8,2,3,5,3,5.0,1.0,0.0,2.0,1.0,1.0,53.0,25.0,5.0,12.0,5.0,0.0,97.0,0.0,0.0,0.0,3.0,0.0,1,0.0,0.0,28.0,,,,,,,,19.0,19.0,0.0,0.0,0.0,5.0,26.0,55.0,39.0,37.0,19.0,46.0,93.0,25.0,8.0,2.0,2,2.0,34.0,20.0,60.0,8.0,23.0,10.0,2.0,17.0,16.0,14.0,13.0,11.0,9.0,86.0,14.0,21.0,2.0,19.0,17.0,15.0,14.0,12.0,10.0,2.0,1.0,4.0,2.0,,3,0.0,2.0,2.0,2.0,1.0,1.0,1.0
8,396300,99,89.0,86.0,85.0,97,87.0,95,1,10.0,32.0,21.0,30.0,84.0,72.0,27.0,16.0,17.0,30.0,21.0,67.0,39.0,17.0,72.0,71.0,26.0,36.0,85.0,41.0,32.0,50.0,90.0,36.0,36.0,28.0,19.0,21.0,26.0,85.0,50.0,76.0,53.0,24.0,62.0,26.0,43.0,40.0,23.0,26.0,12.0,8.0,26.0,5,1,17.0,71.0,59.0,58.0,52.0,59.0,46.0,30.0,44.0,46.0,35.0,34.0,64.0,27.0,12,11.0,7,8,18,13.0,1,9.0,9.0,13.0,1.0,12.0,6.0,10.0,11.0,15.0,12.0,14.0,11.0,7.0,2.0,,1.0,2.0,,2.0,2.0,1.0,27.0,17.0,12,7,91.0,88.0,42.0,87.0,81.0,90.0,87.0,78.0,81.0,76.0,82.0,67.0,75.0,64.0,58.0,82.0,76.0,5.0,2,23.0,24.0,41.0,12.0,33.0,12,28.0,2,12.0,9,1,5,6,3,6.0,,1.0,,,0.0,,,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,52.0,43.0,37.0,22.0,20.0,76.0,45.0,5.0,1.0,2,1.0,12.0,15.0,24.0,3.0,,3.0,6.0,,8.0,7.0,7.0,5.0,4.0,,17.0,17.0,6.0,11.0,10.0,9.0,9.0,8.0,6.0,1.0,1.0,,,,4,,,,,,,
9,402000,98,97.0,98.0,97.0,93,98.0,100,0,13.0,,26.0,22.0,100.0,88.0,,5.0,11.0,29.0,20.0,,,11.0,88.0,87.0,31.0,,92.0,,31.0,,91.0,36.0,,25.0,12.0,14.0,25.0,87.0,58.0,74.0,44.0,25.0,53.0,15.0,39.0,37.0,17.0,12.0,10.0,10.0,23.0,5,1,12.0,81.0,75.0,67.0,66.0,71.0,61.0,34.0,55.0,,30.0,27.0,74.0,21.0,7,6.0,3,3,3,11.0,0,2.0,3.0,4.0,0.0,4.0,,1.0,4.0,4.0,3.0,,7.0,7.0,,,,,,,,0.0,21.0,9.0,2,1,97.0,94.0,,91.0,70.0,93.0,87.0,,82.0,76.0,,,50.0,38.0,36.0,,54.0,7.0,1,,11.0,27.0,10.0,33.0,16,28.0,3,11.0,10,10,8,8,12,5.0,,,,,,,7.0,8.0,13.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,3,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,18.0,23.0,8.0,27.0,91.0,,,1.0,2,4.0,,9.0,,1.0,,,,,,,,,,,,11.0,3.0,8.0,7.0,7.0,6.0,4.0,3.0,0.0,1.0,,1.0,,4,0.0,,,,,,0.0
