ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPriveGebruikVanApparaten_2,AantalGewerkteUren_3,Omzetaandeel50VanEenOpdrachtgever_4,GebruikICTVoorzieningOpdrachtgever_5,EenOpdrachtgever_6,TweeOpdrachtgevers_7,DrieOfMeerOpdrachtgevers_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,DoorExterneLeverancierUitgevoerd_13,ZelfUitgevoerd_14,DoorExterneLeverancierZelfUitgevoerd_15,OnbekendOfNVT_16,ClouddienstenGebruikt_17,EMail_18,OfficeSoftware_19,OpslagDatabases_20,BestandenOpslaan_21,BoekhoudingSoftware_22,ERPSoftware_23,KlantbeheerSoftware_24,Veiligheidssoftware_25,Rekenkracht_26,Rekenplatform_27,BestandenOfDatabasesOpslag_28,Antivirussoftware_29,BeleidVoorSterkeWachtwoorden_30,BiometrischeMethoden_31,AuthenticatieViaSoftOfHardwaretoken_32,EncryptieVanData_33,GegevensOpAndereFysiekeLocatie_34,NetworkAccessControl_35,VPNInternetgebruikBuitenHetBedrijf_36,LogbestandenVoorAnalyseIncidenten_37,MethodesVoorBeoordelenICTVeiligheid_38,Risicoanalyses_39,ICTVeiligheidVolgEnDetectiesysteem_40,IncidentMetInterneOorzaakGehad_41,IncidentDoorAanvalVanBuitenGehad_42,UitvalICTDienstDoorVeiligheidsinc_43,VernietigingDataDoorVeiligheidsinc_44,OnthullingDoorInternIncident_45,UitvalICTDienstDoorAanvalBuitenaf_46,VernietigingDataAanvalVanBuitenaf_47,OnthullingGegevensDoorICTInbraak_48,KostenIncidentInternGehad_49,KostenIncidentAanvalBuitenafGehad_50,UitvalICTDienstDoorVeiligheidsinc_51,VernietigingDataDoorVeiligheidsinc_52,OnthullingDoorInternIncident_53,UitvalICTDienstDoorAanvalBuitenaf_54,VernietigingDataAanvalBuitenaf_55,OnthullingDoorICTInbraak_56,Kosten1VanDeTotaleOmzet_57,Kosten1Tot2VanDeTotaleOmzet_58,Kosten2Tot5VanDeTotaleOmzet_59,Kosten5Tot10VanDeTotaleOmzet_60,Kosten10Tot50VanDeTotaleOmzet_61,Kosten50VanDeTotaleOmzet_62,Kosten1VanDeTotaleOmzet_63,Kosten1Tot2VanDeTotaleOmzet_64,Kosten2Tot5VanDeTotaleOmzet_65,Kosten5Tot10VanDeTotaleOmzet_66,Kosten10Tot50VanDeTotaleOmzet_67,Kosten50VanDeTotaleOmzet_68,RansomwareAanvalGehad_69,LosgeldBetaald_70,BetalingLosgeldZinvol_71,AndereKostenRansomwareAanvalGehad_72,k_1VanDeTotaleOmzet_73,k_1Tot2VanDeTotaleOmzet_74,k_2Tot5VanDeTotaleOmzet_75,k_5Tot10VanDeTotaleOmzet_76,k_10Tot50VanDeTotaleOmzet_77,k_50VanDeTotaleOmzet_78,Kosten1VanDeTotaleOmzet_79,Kosten1Tot2VanDeTotaleOmzet_80,Kosten2Tot5VanDeTotaleOmzet_81,Kosten5Tot10VanDeTotaleOmzet_82,Kosten10Tot50VanDeTotaleOmzet_83,Kosten50VanDeTotaleOmzet_84,Politie_85,Cybersecurity_86,VerzekeringICTVeiligheidsincidenten_87,GezochtNaarMeldingenCyberdreigingen_88,BekendMetDTC_89,DTCWebsiteAlsBronGebruikt_90
0,399907,18.0,74.0,31.0,25.0,27.0,15.0,13.0,72.0,81.0,7.0,7.0,5.0,10.0,35.0,4.0,51.0,35.0,24.0,19.0,19.0,26.0,17.0,2.0,7.0,15.0,3.0,3.0,29.0,81.0,71.0,41.0,54.0,32.0,64.0,26.0,24.0,19.0,11.0,15.0,10.0,7.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,10.0,8.0,52.0,6.0,2.0,51.0,15.0,23.0,11.0,0.0,1.0,1.0,21.0,20.0,29.0,2.0,97.0,0.0,0.0,0.0,1.0,2.0,18.0,9.0,69.0,0.0,1.0,21.0,46.0,6.0,7.0,7.0,1.0
1,307610,20.0,64.0,24.0,16.0,5.0,20.0,9.0,70.0,98.0,0.0,0.0,2.0,2.0,39.0,0.0,59.0,16.0,14.0,7.0,14.0,14.0,7.0,0.0,2.0,2.0,0.0,0.0,16.0,66.0,66.0,32.0,48.0,30.0,45.0,16.0,27.0,14.0,7.0,7.0,9.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,5.0,0.0,0.0
2,312505,12.0,91.0,27.0,25.0,6.0,17.0,5.0,79.0,98.0,2.0,0.0,0.0,11.0,20.0,3.0,67.0,12.0,9.0,5.0,3.0,8.0,2.0,0.0,0.0,5.0,0.0,0.0,8.0,74.0,55.0,21.0,29.0,14.0,55.0,9.0,11.0,11.0,5.0,2.0,3.0,3.0,5.0,3.0,2.0,0.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,2.0
3,315810,10.0,75.0,34.0,23.0,7.0,7.0,6.0,88.0,97.0,1.0,2.0,0.0,7.0,33.0,2.0,57.0,26.0,14.0,9.0,10.0,17.0,13.0,2.0,4.0,9.0,1.0,1.0,18.0,78.0,62.0,23.0,41.0,16.0,59.0,12.0,14.0,11.0,8.0,9.0,6.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,1.0
4,900064,16.0,81.0,28.0,24.0,14.0,35.0,5.0,59.0,88.0,0.0,10.0,2.0,1.0,41.0,7.0,51.0,29.0,25.0,20.0,20.0,20.0,16.0,0.0,7.0,16.0,5.0,5.0,27.0,77.0,73.0,44.0,43.0,29.0,68.0,29.0,22.0,19.0,8.0,13.0,16.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,5.0,7.0,0.0
5,323705,8.0,78.0,25.0,29.0,4.0,14.0,7.0,79.0,98.0,2.0,1.0,0.0,6.0,38.0,1.0,55.0,12.0,3.0,3.0,4.0,7.0,3.0,1.0,0.0,5.0,0.0,0.0,9.0,80.0,64.0,25.0,40.0,19.0,50.0,20.0,12.0,11.0,6.0,11.0,4.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,1.0
6,328105,6.0,70.0,36.0,35.0,10.0,14.0,7.0,79.0,98.0,0.0,2.0,0.0,9.0,23.0,3.0,65.0,17.0,14.0,12.0,7.0,12.0,7.0,0.0,0.0,9.0,3.0,0.0,12.0,81.0,66.0,33.0,40.0,21.0,51.0,12.0,11.0,10.0,9.0,16.0,9.0,7.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,5.0,7.0,0.0
7,332910,13.0,73.0,32.0,34.0,22.0,9.0,12.0,79.0,84.0,12.0,2.0,2.0,6.0,56.0,2.0,36.0,28.0,21.0,11.0,14.0,21.0,16.0,0.0,3.0,4.0,1.0,2.0,24.0,81.0,72.0,34.0,59.0,38.0,70.0,38.0,27.0,22.0,9.0,14.0,10.0,5.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,10.0,10.0,4.0
8,336500,13.0,69.0,33.0,35.0,17.0,14.0,8.0,77.0,89.0,6.0,4.0,1.0,8.0,37.0,1.0,54.0,24.0,14.0,7.0,14.0,21.0,10.0,1.0,4.0,7.0,1.0,3.0,23.0,86.0,59.0,32.0,30.0,17.0,68.0,25.0,17.0,15.0,4.0,15.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,1.0,3.0,0.0
9,339205,19.0,62.0,34.0,26.0,13.0,13.0,7.0,81.0,90.0,8.0,0.0,1.0,8.0,34.0,0.0,58.0,25.0,15.0,9.0,7.0,14.0,11.0,0.0,2.0,8.0,1.0,0.0,15.0,83.0,70.0,26.0,36.0,17.0,57.0,24.0,17.0,12.0,3.0,9.0,3.0,4.0,3.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,1.0,6.0,2.0
