ID,Perioden,TheoretischBeschikbareUren_1,TotaalNietProductieveUren_2,VorstEnNeerslagverlet_3,Overig_4,ProductieveUren_5
0,1990KW01,520,155.0,20,135,365
1,1990KW02,520,130.0,5,125,390
2,1990KW03,520,250.0,10,240,270
3,1990KW04,530,160.0,15,145,370
4,1990JJ00,2090,695.0,50,645,1390
5,1991KW01,510,220.0,65,155,290
6,1991KW02,520,155.0,15,140,365
7,1991KW03,530,245.0,10,235,285
8,1991KW04,530,165.0,25,140,365
9,1991JJ00,2090,780.0,115,665,1305
10,1992KW01,520,175.0,40,135,345
11,1992KW02,520,150.0,10,140,370
12,1992KW03,530,250.0,10,240,280
13,1992KW04,530,170.0,20,150,355
14,1992JJ00,2095,745.0,80,665,1350
15,1993KW01,510,155.0,35,120,355
16,1993KW02,520,160.0,10,150,360
17,1993KW03,530,245.0,20,225,280
18,1993KW04,530,200.0,65,135,330
19,1993JJ00,2090,760.0,130,630,1325
20,1994KW01,510,180.0,60,120,330
21,1994KW02,520,135.0,10,125,385
22,1994KW03,530,230.0,15,215,300
23,1994KW04,520,130.0,20,110,390
24,1994JJ00,2080,675.0,100,575,1405
25,1995KW01,520,160.0,20,140,360
26,1995KW02,520,150.0,15,135,370
27,1995KW03,520,220.0,10,210,300
28,1995KW04,520,140.0,30,110,380
29,1995JJ00,2080,670.0,75,595,1410
30,1996KW01,520,245.0,120,125,275
31,1996KW02,520,120.0,5,115,400
32,1996KW03,530,220.0,5,215,310
33,1996KW04,530,150.0,25,125,380
34,1996JJ00,2095,725.0,150,575,1365
35,1997KW01,510,180.0,55,125,335
36,1997KW02,520,110.0,10,100,410
37,1997KW03,530,220.0,5,215,310
38,1997KW04,530,150.0,20,130,375
39,1997JJ00,2090,660.0,95,565,1425
40,1998KW01,510,130.0,35,95,380
41,1998KW02,520,135.0,20,115,390
42,1998KW03,530,225.0,15,210,300
43,1998KW04,530,165.0,30,135,365
44,1998JJ00,2090,660.0,100,560,1430
45,1999KW01,510,145.0,55,90,370
46,1999KW02,520,130.0,20,110,390
47,1999KW03,530,225.0,10,215,300
48,1999KW04,530,120.0,20,100,405
49,1999JJ00,2090,610.0,105,505,1470
50,2000KW01,520,140.0,20,120,380
51,2000KW02,520,120.0,5,115,395
52,2000KW03,520,240.0,15,225,280
53,2000KW04,520,125.0,25,100,390
54,2000JJ00,2080,630.0,70,560,1450
55,2001KW01,520,145.0,25,120,375
56,2001KW02,520,135.0,10,125,385
57,2001KW03,520,240.0,15,225,280
58,2001KW04,530,140.0,30,110,390
59,2001JJ00,2090,660.0,75,585,1430
60,2002KW01,510,140.0,20,120,370
61,2002KW02,520,140.0,10,130,380
62,2002KW03,530,240.0,10,230,285
63,2002KW04,530,150.0,35,115,375
64,2002JJ00,2090,670.0,80,590,1415
65,2003KW01,510,170.0,65,105,340
66,2003KW02,520,125.0,5,120,395
67,2003KW03,530,245.0,10,235,285
68,2003KW04,530,125.0,10,115,405
69,2003JJ00,2090,665.0,95,570,1425
70,2004KW01,520,125.0,25,100,395
71,2004KW02,520,120.0,10,110,400
72,2004KW03,530,250.0,20,230,280
73,2004KW04,530,140.0,15,125,385
74,2004JJ00,2095,640.0,70,570,1460
75,2005KW01,510,170.0,50,120,340
76,2005KW02,520,105.0,10,95,415
77,2005KW03,530,240.0,10,230,290
78,2005KW04,520,140.0,20,120,380
79,2005JJ00,2080,650.0,85,565,1430
80,2006KW01,520,175.0,60,115,345
81,2006KW02,520,120.0,5,115,400
82,2006KW03,520,225.0,10,215,295
83,2006KW04,520,130.0,25,105,390
84,2006JJ00,2080,650.0,100,550,1430
85,2007KW01,520,150.0,40,110,370
86,2007KW02,520,140.0,10,130,380
87,2007KW03,520,240.0,15,225,280
88,2007KW04,530,135.0,25,110,390
89,2007JJ00,2090,670.0,90,580,1425
90,2008KW01,520,135.0,15,120,390
91,2008KW02,520,125.0,10,115,395
92,2008KW03,530,220.0,10,210,310
93,2008KW04,530,145.0,15,130,390
94,2008JJ00,2095,610.0,50,560,1490
95,2009KW01,510,120.0,30,90,395
96,2009KW02,520,135.0,5,130,385
97,2009KW03,530,215.0,10,205,315
98,2009KW04,530,155.0,20,135,370
99,2009JJ00,2090,625.0,65,560,1460
100,2010KW01,510,140.0,60,80,375
101,2010KW02,520,135.0,5,130,385
102,2010KW03,530,215.0,15,200,310
103,2010KW04,530,160.0,20,140,370
104,2010JJ00,2090,640.0,90,550,1440
105,2011KW01,510,90.0,20,70,425
106,2011KW02,520,140.0,10,130,385
107,2011KW03,530,220.0,10,210,310
108,2011KW04,520,125.0,15,110,390
109,2011JJ00,2080,575.0,55,520,1510
110,2012KW01,520,150.0,45,105,370
111,2012KW02,520,145.0,15,130,375
112,2012KW03,520,210.0,10,200,310
113,2012KW04,530,130.0,20,110,395
114,2012JJ00,2090,630.0,85,545,1455
115,2013KW01,510,180.0,75,105,330
116,2013KW02,520,150.0,15,135,370
117,2013KW03,530,205.0,5,200,320
118,2013KW04,530,125.0,15,110,400
119,2013JJ00,2090,670.0,115,555,1420
120,2014KW01,510,105.0,15,90,405
121,2014KW02,520,130.0,10,120,390
122,2014KW03,530,205.0,5,200,325
123,2014KW04,530,140.0,20,120,390
124,2014JJ00,2090,580.0,50,530,1510
125,2015KW01,510,100.0,15,85,415
126,2015KW02,520,135.0,0,135,380
127,2015KW03,530,225.0,20,205,300
128,2015KW04,530,155.0,15,140,375
129,2015JJ00,2090,615.0,45,570,1475
130,2016KW01,510,135.0,45,90,380
131,2016KW02,520,135.0,15,120,385
132,2016KW03,530,215.0,5,210,310
133,2016KW04,520,155.0,30,125,365
134,2016JJ00,2080,635.0,95,540,1440
135,2017KW01,520,165.0,50,115,355
136,2017KW02,520,110.0,5,105,405
137,2017KW03,520,215.0,20,195,310
138,2017KW04,520,140.0,25,115,380
139,2017JJ00,2080,630.0,100,530,1450
140,2018KW01,520,185.0,60,125,335
141,2018KW02,520,105.0,5,100,415
142,2018KW03,520,200.0,5,195,320
143,2018KW04,530,135.0,10,125,395
144,2018JJ00,2090,630.0,85,545,1460
145,2019KW01,510,140.0,30,110,375
146,2019KW02,520,105.0,5,100,415
147,2019KW03,530,205.0,10,195,320
148,2019KW04,530,155.0,20,135,370
149,2019JJ00,2090,615.0,70,545,1475
150,2020KW01,520,120.0,20,100,400
151,2020KW02,520,120.0,5,115,400
152,2020KW03,530,205.0,10,195,320
153,2020KW04,530,160.0,20,140,365
154,2020JJ00,2095,610.0,55,555,1485
155,2021KW01,510,140.0,45,95,370
156,2021KW02,520,140.0,15,125,380
157,2021KW03,530,220.0,10,210,310
158,2021KW04,530,140.0,20,120,385
159,2021JJ00,2090,645.0,90,555,1445
160,2022KW01,510,140.0,15,125,375
161,2022KW02,520,120.0,10,110,400
162,2022KW03,530,210.0,10,200,315
163,2022KW04,520,155.0,35,120,365
164,2022JJ00,2080,630.0,75,555,1455
165,2023KW01,520,155.0,40,115,370
166,2023KW02,520,130.0,10,120,390
167,2023KW03,520,215.0,15,200,305
168,2023KW04,520,155.0,35,120,365
169,2023JJ00,2080,650.0,100,550,1430
170,2024KW01,520,160.0,40,120,360
171,2024KW02,520,110.0,20,90,405
172,2024KW03,530,215.0,15,200,315
173,2024KW04,530,145.0,20,125,380
174,2024JJ00,2095,630.0,90,540,1465
175,2025KW01,510,135.0,35,100,380
176,2025KW02,520,115.0,5,110,400
