ID,Perioden,BoekwaardePer1Januari_1,TotaalInvesteringenInVasteActiva_2,GebouwenEnTerreinen_3,Installaties_4,Inventarissen_5,InUitvoering_6,BuitenDienstverlening_7,Correcties_8,Afschrijvingen_9,BoekwaardePer31December_10,AantalInstellingen_11,GemToegelatenBedden_12,GemFeitelijkeBedden_13,PatientenPupillenPer1Januari_14,AantalOpnamen_15,AantalOntslagen_16,AantalOverledenen_17,PatientenPupillenPer31December_18,Verpleegdagen_19,DagverplegingDagbehandeling_20
0,1985JJ00,628.3,51.2,,,,,,12.3,37.8,653.9,82,24254,,22955,33,31,1451,22924,8439,395
1,1986JJ00,653.9,70.9,,,,,,1.2,39.2,686.8,81,24411,,22924,34,32,1382,23142,8448,426
2,1987JJ00,686.8,49.1,,,,,,10.3,40.9,705.3,83,24667,,23142,35,34,1268,23359,8523,501
3,1988JJ00,705.3,46.5,,,,,,4.7,42.2,714.3,81,24466,,23359,35,34,1196,23384,8604,458
4,1989JJ00,714.3,48.8,,,,,,0.1,44.0,719.2,80,24242,,23384,36,35,1305,23136,8447,520
5,1990JJ00,719.2,65.3,,,,,,0.5,45.8,739.2,80,24352,,23136,36,35,1259,23336,8503,540
6,1991JJ00,739.2,88.4,,,,,,-0.6,47.8,779.2,80,24460,,23336,39,38,1163,23337,8556,573
7,1992JJ00,779.2,108.4,,,,,,-1.0,50.6,835.9,81,24476,,23337,40,39,1235,23269,8535,627
8,1993JJ00,835.9,138.0,,,,,,0.1,55.5,918.6,80,24642,,23269,42,41,1272,23208,8546,718
9,1994JJ00,920.4,86.9,,,,,,0.0,60.3,946.9,85,24967,,23289,43,42,1186,23194,8513,742
10,1995JJ00,946.9,131.6,,,,,,0.0,62.5,1016.0,83,25090,24308.0,23194,45,45,1259,22547,8343,937
11,1996JJ00,1016.0,188.4,91.8,26.4,32.6,36.9,0.7,0.0,69.1,1135.3,85,25219,24569.0,22547,48,47,1245,22348,8348,1076
12,1997JJ00,1146.7,163.9,62.7,19.0,28.8,38.2,15.3,0.0,78.7,1231.9,80,25797,24541.0,22348,52,51,1108,21854,8104,1076
13,1998JJ00,1170.2,120.0,63.0,14.0,35.9,-2.8,9.9,0.0,79.0,1211.1,79,26153,24054.0,21680,53,53,1151,21167,8029,1151
14,1999JJ00,1209.3,337.8,194.3,53.3,39.1,30.8,20.3,0.0,167.5,1379.6,76,26413,24104.0,21128,52,52,1119,20215,7636,1239
15,2000JJ00,1469.2,166.6,69.5,14.3,37.0,23.9,22.0,-0.1,107.5,1528.2,77,26526,22935.0,20243,52,52,1100,19887,7478,1208
16,2001JJ00,,,,,,,,,,,76,26913,22940.0,20252,55,54,1064,20661,7460,1229
