ID,SIC93,Periods,Production_1,AverageDailyProduction_2,ProductionSeasonallyAdjusted_3,DevelopmentProduction_4,DevelopmentAverageDailyProduction_5,DevelopmentSeasonallyAdjusted_6,ShortTermDevelopmentAverageDaily_7,ShortTermDevelopmentSeasonallyAdj_8,TotalTurnover_9,DomesticSales_10,InternationalSales_11,TotalOrders_12,DomesticOrders_13,ForeignOrders_14
0,1141,1995MM01,95.8,96.0,90.3,,,,,,,,,,,
1,1141,1995MM02,86.5,87.1,86.9,,,-3.8,,,,,,,,
2,1141,1995MM03,98.0,95.1,88.0,,,1.3,,,,,,,,
3,1141,1995KW01,93.4,92.7,88.4,,,,,,,,,,,
4,1141,1995MM04,82.2,84.3,86.7,,,-1.4,,,,,,,,
5,1141,1995MM05,86.8,84.9,88.2,,,1.7,,,,,,,,
6,1141,1995MM06,84.9,83.9,87.3,,,-1.0,,,,,,,,
7,1141,1995KW02,84.7,84.4,87.4,,,-1.1,,,,,,,,
8,1141,1995MM07,75.3,78.3,87.9,,,0.7,,,,,,,,
9,1141,1995MM08,79.3,77.2,89.2,,,1.5,,,,,,,,
10,1141,1995MM09,86.7,87.2,89.3,,,0.2,,,,,,,,
11,1141,1995KW03,80.4,80.9,88.8,,,1.6,,,,,,,,
12,1141,1995MM10,94.1,95.0,89.3,,,0.0,,,,,,,,
13,1141,1995MM11,99.2,97.4,89.5,,,0.2,,,,,,,,
14,1141,1995MM12,95.8,98.4,91.9,,,2.6,,,,,,,,
15,1141,1995KW04,96.4,96.9,90.2,,,1.6,,,,,,,,
16,1141,1995JJ00,88.7,88.7,88.7,,,,,,,,,,,
17,1141,1996MM01,97.8,96.5,90.8,2.1,0.6,-1.1,,,,,,,,
18,1141,1996MM02,94.5,91.5,91.1,9.3,5.1,0.3,,,,,,,,
19,1141,1996MM03,97.8,100.0,92.3,-0.2,5.1,1.3,,,,,,,,
20,1141,1996KW01,96.7,96.0,91.4,3.5,3.5,1.3,,,,,,,,
21,1141,1996MM04,86.9,87.7,90.3,5.7,4.0,-2.1,,,,,,,,
22,1141,1996MM05,89.1,87.1,90.5,2.6,2.6,0.2,,,,,,,,
23,1141,1996MM06,83.8,86.2,89.8,-1.3,2.7,-0.7,,,,,,,,
24,1141,1996KW02,86.6,87.0,90.2,2.3,3.1,-1.3,,,,,,,,
25,1141,1996MM07,81.9,81.6,91.3,8.8,4.2,1.7,,,,,,,,
