ID,OnLandOffShore,Periods,ProductionOfElectricity_1,ProductionFactor_2,ProductionByRotorSurface_3,PowerOfWindTurbines_4,RotorSurfaceOfWindTurbines_5,ValueMeasured_6,SeasonallyAdjusted_7
0,E006588 ,2002MM01,113.0,31.2,1128.0,487.0,1181.0,,
1,E006588 ,2002MM02,148.0,45.3,1635.0,487.0,1182.0,,
2,E006588 ,2002MM03,81.0,22.3,798.0,487.0,1193.0,,
3,E006588 ,2002KW01,342.0,32.5,1171.0,487.0,1193.0,,
4,E006588 ,2002MM04,74.0,21.2,763.0,487.0,1184.0,,
5,E006588 ,2002MM05,64.0,17.7,637.0,489.0,1188.0,,
6,E006588 ,2002MM06,54.0,15.1,543.0,501.0,1221.0,,
7,E006588 ,2002KW02,193.0,18.0,647.0,501.0,1221.0,,
8,E006588 ,2002MM07,58.0,15.6,561.0,503.0,1226.0,,
9,E006588 ,2002MM08,27.0,6.5,235.0,553.0,1334.0,,
10,E006588 ,2002MM09,40.0,10.1,366.0,554.0,1339.0,,
11,E006588 ,2002KW03,125.0,10.6,383.0,554.0,1339.0,,
12,E006588 ,2002MM10,103.0,24.1,876.0,573.0,1380.0,,
13,E006588 ,2002MM11,74.0,16.8,612.0,614.0,1475.0,,
14,E006588 ,2002MM12,110.0,22.0,804.0,672.0,1608.0,,
15,E006588 ,2002KW04,287.0,21.0,765.0,672.0,1608.0,,
16,E006588 ,2002JJ00,947.0,20.2,733.0,672.0,1608.0,,
17,E006588 ,2003MM01,163.0,31.9,1165.0,688.0,1648.0,,
18,E006588 ,2003MM02,78.0,16.2,592.0,720.0,1723.0,,
19,E006588 ,2003MM03,96.0,17.7,646.0,731.0,1756.0,,
20,E006588 ,2003KW01,338.0,21.9,801.0,731.0,1756.0,,
21,E006588 ,2003MM04,131.0,23.5,858.0,774.0,1855.0,,
22,E006588 ,2003MM05,104.0,17.6,646.0,797.0,1903.0,,
23,E006588 ,2003MM06,67.0,11.5,422.0,813.0,1942.0,,
24,E006588 ,2003KW02,303.0,17.4,639.0,813.0,1942.0,,
25,E006588 ,2003MM07,79.0,12.9,475.0,822.0,1958.0,,
26,E006588 ,2003MM08,59.0,9.4,347.0,841.0,2003.0,,
27,E006588 ,2003MM09,56.0,9.2,337.0,848.0,2023.0,,
28,E006588 ,2003KW03,194.0,10.5,386.0,848.0,2023.0,,
29,E006588 ,2003MM10,136.0,21.1,777.0,866.0,2062.0,,
30,E006588 ,2003MM11,155.0,24.6,904.0,874.0,2082.0,,
31,E006588 ,2003MM12,195.0,28.9,1067.0,905.0,2148.0,,
32,E006588 ,2003KW04,485.0,24.9,918.0,905.0,2148.0,,
33,E006588 ,2003JJ00,1320.0,18.7,685.0,905.0,2148.0,,
34,E006588 ,2004MM01,216.0,31.8,1176.0,914.0,2169.0,,
35,E006588 ,2004MM02,204.0,31.7,1175.0,927.0,2196.0,,
36,E006588 ,2004MM03,164.0,23.5,871.0,941.0,2225.0,,
37,E006588 ,2004KW01,585.0,28.9,1070.0,941.0,2225.0,,
38,E006588 ,2004MM04,128.0,18.7,693.0,954.0,2255.0,,
39,E006588 ,2004MM05,91.0,12.6,470.0,971.0,2296.0,,
40,E006588 ,2004MM06,132.0,18.6,691.0,981.0,2322.0,,
41,E006588 ,2004KW02,351.0,16.6,616.0,981.0,2322.0,,
42,E006588 ,2004MM07,100.0,13.6,506.0,986.0,2334.0,,
43,E006588 ,2004MM08,121.0,16.5,612.0,987.0,2338.0,,
44,E006588 ,2004MM09,190.0,26.4,980.0,999.0,2364.0,,
45,E006588 ,2004KW03,411.0,18.8,697.0,999.0,2364.0,,
46,E006588 ,2004MM10,203.0,26.4,982.0,1036.0,2444.0,,
47,E006588 ,2004MM11,147.0,19.4,722.0,1058.0,2492.0,,
48,E006588 ,2004MM12,173.0,21.6,807.0,1075.0,2533.0,,
49,E006588 ,2004KW04,524.0,22.5,837.0,1075.0,2533.0,,
50,E006588 ,2004JJ00,1871.0,21.6,802.0,1075.0,2533.0,,
51,E006588 ,2005MM01,341.0,41.6,1552.0,1102.0,2587.0,,
52,E006588 ,2005MM02,187.0,25.2,942.0,1104.0,2589.0,,
53,E006588 ,2005MM03,212.0,25.7,959.0,1108.0,2598.0,,
54,E006588 ,2005KW01,740.0,31.0,1158.0,1108.0,2598.0,,
55,E006588 ,2005MM04,126.0,15.4,576.0,1136.0,2663.0,,
56,E006588 ,2005MM05,162.0,19.1,714.0,1142.0,2677.0,,
57,E006588 ,2005MM06,103.0,12.4,465.0,1149.0,2692.0,,
58,E006588 ,2005KW02,391.0,15.7,586.0,1149.0,2692.0,,
59,E006588 ,2005MM07,110.0,12.8,478.0,1153.0,2703.0,,
60,E006588 ,2005MM08,124.0,14.3,534.0,1168.0,2734.0,,
61,E006588 ,2005MM09,106.0,12.4,464.0,1186.0,2783.0,,
62,E006588 ,2005KW03,340.0,13.2,492.0,1186.0,2783.0,,
63,E006588 ,2005MM10,185.0,20.9,781.0,1190.0,2793.0,,
64,E006588 ,2005MM11,193.0,22.3,834.0,1199.0,2812.0,,
65,E006588 ,2005MM12,217.0,23.9,892.0,1224.0,2869.0,,
66,E006588 ,2005KW04,596.0,22.4,836.0,1224.0,2869.0,,
67,E006588 ,2005JJ00,2067.0,20.4,763.0,1224.0,2869.0,,
68,E006588 ,2006MM01,191.0,20.8,778.0,1237.0,2897.0,,
69,E006588 ,2006MM02,223.0,26.6,995.0,1249.0,2921.0,,
70,E006588 ,2006MM03,259.0,26.5,992.0,1316.0,3075.0,,
71,E006588 ,2006KW01,674.0,24.6,921.0,1316.0,3075.0,,
72,E006588 ,2006MM04,212.0,22.3,837.0,1322.0,3088.0,,
73,E006588 ,2006MM05,259.0,25.9,975.0,1343.0,3125.0,,
74,E006588 ,2006MM06,112.0,11.5,433.0,1348.0,3131.0,,
75,E006588 ,2006KW02,583.0,19.9,751.0,1348.0,3131.0,,
76,E006588 ,2006MM07,82.0,8.2,307.0,1355.0,3147.0,,
77,E006588 ,2006MM08,162.0,15.6,590.0,1395.0,3226.0,,
78,E006588 ,2006MM09,145.0,14.2,539.0,1418.0,3266.0,,
79,E006588 ,2006KW03,389.0,12.7,480.0,1418.0,3266.0,,
