ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
0,A028972,1990MM01,193.7,44627.0
1,A028972,1990MM02,160.2,37613.0
2,A028972,1990MM03,189.9,43700.0
3,A028972,1990MM04,174.3,39272.0
4,A028972,1990MM05,201.4,44006.0
5,A028972,1990MM06,172.3,38345.0
6,A028972,1990MM07,164.5,36184.0
7,A028972,1990MM08,180.4,42351.0
8,A028972,1990MM09,185.9,44194.0
9,A028972,1990MM10,219.6,52160.0
10,A028972,1990MM11,211.9,51435.0
11,A028972,1990MM12,196.0,46848.0
12,A028972,1990JJ00,2250.1,520735.0
13,A028972,1991MM01,214.0,52672.0
14,A028972,1991MM02,190.5,46455.0
15,A028972,1991MM03,206.0,50291.0
16,A028972,1991MM04,215.1,51034.0
17,A028972,1991MM05,229.2,55019.0
18,A028972,1991MM06,197.5,47136.0
19,A028972,1991MM07,199.9,47374.0
20,A028972,1991MM08,204.7,50074.0
21,A028972,1991MM09,225.6,54802.0
22,A028972,1991MM10,244.6,59498.0
23,A028972,1991MM11,223.0,55675.0
24,A028972,1991MM12,218.2,52864.0
25,A028972,1991JJ00,2568.3,622894.0
26,A028972,1992MM01,233.8,58114.0
27,A028972,1992MM02,207.5,51624.0
28,A028972,1992MM03,229.8,56255.0
29,A028972,1992MM04,215.5,51866.0
30,A028972,1992MM05,215.4,52032.0
31,A028972,1992MM06,220.3,53150.0
32,A028972,1992MM07,200.4,48198.0
33,A028972,1992MM08,194.7,47633.0
34,A028972,1992MM09,223.9,53993.0
35,A028972,1992MM10,209.9,51662.0
36,A028972,1992MM11,217.3,54507.0
37,A028972,1992MM12,227.8,56431.0
38,A028972,1992JJ00,2596.3,635465.0
39,A028972,1993MM01,198.8,50376.0
40,A028972,1993MM02,192.5,48490.0
41,A028972,1993MM03,234.7,57099.0
42,A028972,1993MM04,205.8,50299.0
43,A028972,1993MM05,196.7,47710.0
44,A028972,1993MM06,219.4,53169.0
45,A028972,1993MM07,179.8,43989.0
46,A028972,1993MM08,193.5,47599.0
47,A028972,1993MM09,214.2,51853.0
48,A028972,1993MM10,202.5,49570.0
49,A028972,1993MM11,226.3,56128.0
50,A028972,1993MM12,222.5,54975.0
51,A028972,1993JJ00,2486.7,611257.0
52,A028972,1994MM01,200.9,51430.0
53,A028972,1994MM02,186.8,46923.0
54,A028972,1994MM03,225.5,55716.0
55,A028972,1994MM04,202.2,49010.0
56,A028972,1994MM05,208.4,49900.0
57,A028972,1994MM06,204.9,49633.0
58,A028972,1994MM07,166.8,39479.0
59,A028972,1994MM08,201.2,49218.0
60,A028972,1994MM09,213.3,52292.0
61,A028972,1994MM10,211.3,52063.0
62,A028972,1994MM11,223.6,55477.0
63,A028972,1994MM12,212.4,52884.0
64,A028972,1994JJ00,2457.3,604025.0
65,A028972,1995MM01,202.9,51355.0
66,A028972,1995MM02,181.7,45460.0
67,A028972,1995MM03,207.0,51530.0
68,A028972,1995MM04,174.5,43574.0
69,A028972,1995MM05,215.3,52010.0
70,A028972,1995MM06,189.4,45793.0
71,A028972,1995MM07,159.1,37739.0
72,A028972,1995MM08,195.4,46541.0
73,A028972,1995MM09,206.9,49640.0
74,A028972,1995MM10,223.2,53901.0
75,A028972,1995MM11,221.4,53859.0
76,A028972,1995MM12,201.8,48625.0
77,A028972,1995JJ00,2378.6,580027.0
78,A028972,1996MM01,206.8,51158.0
79,A028972,1996MM02,183.3,45088.0
80,A028972,1996MM03,189.1,45658.0
81,A028972,1996MM04,146.8,36408.0
82,A028972,1996MM05,204.6,50030.0
83,A028972,1996MM06,186.5,45104.0
84,A028972,1996MM07,210.5,49974.0
85,A028972,1996MM08,194.9,47927.0
86,A028972,1996MM09,213.7,51369.0
87,A028972,1996MM10,225.5,53591.0
88,A028972,1996MM11,214.6,51623.0
89,A028972,1996MM12,224.1,52177.0
90,A028972,1996JJ00,2400.4,580107.0
91,A028972,1997MM01,220.1,52208.0
92,A028972,1997MM02,195.1,44982.0
93,A028972,1997MM03,206.1,46725.0
94,A028972,1997MM04,222.8,50277.0
95,A028972,1997MM05,217.1,48287.0
96,A028972,1997MM06,208.1,46378.0
