ID,SoortTrombosedienst,Perioden,Trombosediensten_1,TotaalOnderControle11_2,MannenOnderControle11_3,VrouwenOnderControle11_4,TotaalNieuwIngeschreven_5,MannenNieuwIngeschreven_6,VrouwenNieuwIngeschreven_7,TotaalUitgeschreven_8,MannenUitgeschreven_9,VrouwenUitgeschreven_10,TotaalOverleden_11,MannenOverleden_12,VrouwenOverleden_13,TotaalAndereReden_14,MannenAndereReden_15,VrouwenAndereReden_16,TotaalOnderControle3112_17,MannenOnderControle3112_18,VrouwenOnderControle3112_19,Totaal_20,AanHuis_21,Poliklinisch_22
0,10,1998JJ00,65.0,207.0,,,105.0,,,99.0,,,,,,,,,213.0,,,4006.0,1623.0,2383.0
1,10,1999JJ00,64.0,212.0,,,105.0,,,97.0,,,,,,,,,220.0,,,4097.0,1668.0,2430.0
2,10,2000JJ00,,,,,,,,,,,,,,,,,,,,,,
3,10,2001JJ00,65.0,216.1,122.5,93.6,102.4,47.9,54.5,91.4,42.4,49.0,14.1,8.0,6.1,77.3,34.4,42.9,227.1,128.0,99.1,4317.0,1726.0,2591.0
4,10,2002JJ00,60.0,229.1,129.2,99.9,98.3,47.0,51.3,86.2,40.7,45.5,15.3,8.7,6.6,70.9,32.0,38.9,241.1,135.5,105.6,4504.0,1791.0,2714.0
5,10,2003JJ00,61.0,238.3,133.9,104.4,89.9,43.8,46.2,79.0,38.3,40.7,15.9,8.9,7.0,63.1,29.4,33.7,249.2,139.3,109.9,4662.0,1824.0,2838.0
6,10,2004JJ00,61.0,251.5,140.3,111.3,90.4,45.3,45.1,72.7,36.0,36.7,15.3,8.6,6.7,57.3,27.3,30.0,269.2,149.6,119.6,4943.0,1932.0,3011.0
7,10,2005JJ00,60.0,258.4,,,91.0,,,,,,,,,,28.4,,,,,4992.0,1993.0,2999.0
8,10,2006JJ00,60.0,274.0,152.0,122.0,89.5,46.4,43.1,74.3,38.0,35.9,17.7,9.7,7.8,56.5,28.4,28.2,289.2,160.5,128.8,5345.0,2159.0,3187.0
9,10,2007JJ00,59.0,285.0,158.3,126.7,86.7,43.9,42.8,72.6,36.6,36.0,17.8,9.4,8.4,54.8,27.2,27.6,299.8,165.8,134.0,5603.0,2263.0,3340.0
10,10,2008JJ00,60.0,298.1,165.3,132.9,81.8,42.3,39.5,69.3,35.7,33.6,17.8,9.1,8.8,51.5,24.8,26.7,310.6,171.8,138.7,5802.0,2363.0,3440.0
11,10,2009JJ00,59.0,308.7,171.3,137.4,80.7,42.9,37.8,71.1,38.0,33.1,18.1,9.6,8.4,53.0,28.3,24.7,318.4,176.2,142.1,5986.0,2479.0,3507.0
12,10,2010JJ00,59.0,293.6,160.4,133.1,87.6,47.0,40.6,73.2,39.6,33.6,20.3,10.7,9.6,52.9,28.9,24.0,308.0,167.8,140.2,6102.0,2568.0,3534.0
13,10,2011JJ00,58.0,307.9,167.7,140.2,95.8,50.4,45.3,76.5,41.2,35.4,20.9,10.9,10.0,55.6,30.3,25.4,327.1,177.0,150.2,6310.0,2662.0,3648.0
14,10,2012JJ00,56.0,320.0,172.9,147.2,91.6,48.6,43.0,76.9,41.4,35.4,22.3,11.5,10.7,54.6,29.9,24.7,334.7,180.0,154.7,6385.0,2745.0,3639.0
15,11,1998JJ00,31.0,126.0,,,62.0,,,58.0,,,,,,,,,127.0,,,2422.0,982.0,1440.0
16,11,1999JJ00,30.0,128.0,,,62.0,,,58.0,,,,,,,,,132.0,,,2478.0,1002.0,1476.0
17,11,2000JJ00,,,,,,,,,,,,,,,,,,,,,,
18,11,2001JJ00,31.0,124.6,71.4,53.2,57.6,26.8,30.8,53.0,24.4,28.6,8.1,4.7,3.5,44.8,19.7,25.1,129.2,73.8,55.3,2462.0,989.0,1473.0
19,11,2002JJ00,25.0,109.1,62.0,47.1,47.9,22.7,25.1,42.1,19.7,22.4,7.5,4.3,3.2,34.5,15.4,19.2,114.9,65.1,49.8,2149.0,851.0,1298.0
20,11,2003JJ00,25.0,114.4,64.8,49.5,43.7,21.3,22.4,38.3,18.6,19.6,7.7,4.4,3.3,30.6,14.3,16.3,119.8,67.5,52.3,2234.0,853.0,1381.0
21,11,2004JJ00,25.0,123.3,69.1,54.2,44.8,22.2,22.6,38.9,19.2,19.6,8.1,4.5,3.6,30.7,14.7,16.1,129.3,72.1,57.2,2417.0,928.0,1490.0
22,11,2005JJ00,21.0,117.7,,,40.0,,,,,,,,,,,,,,,2307.0,889.0,1418.0
23,11,2006JJ00,20.0,121.0,67.3,53.7,39.0,20.8,18.1,32.3,17.0,15.2,8.1,4.6,3.4,24.2,12.5,11.8,127.7,71.1,56.6,2395.0,945.0,1450.0
24,11,2007JJ00,20.0,130.1,72.4,57.6,36.4,19.2,17.2,30.9,16.4,14.5,8.0,4.3,3.6,22.9,12.1,10.8,135.4,75.2,60.2,2557.0,1022.0,1535.0
25,11,2008JJ00,17.0,124.1,68.2,56.0,31.1,16.2,14.9,27.4,14.3,13.1,7.3,3.7,3.5,20.1,10.6,9.5,127.9,70.1,57.8,2495.0,1037.0,1458.0
26,11,2009JJ00,17.0,123.8,68.5,55.3,34.0,18.3,15.7,29.4,15.8,13.6,7.4,4.0,3.5,22.0,11.8,10.1,128.4,71.0,57.4,2510.0,1075.0,1435.0
27,11,2010JJ00,18.0,127.0,69.3,57.6,36.3,19.6,16.7,31.0,17.0,14.1,8.0,4.3,3.7,23.0,12.7,10.3,132.2,72.0,60.2,2705.0,1185.0,1520.0
28,11,2011JJ00,18.0,130.8,71.1,59.6,40.5,21.7,18.9,31.9,17.2,14.7,8.6,4.5,4.1,23.3,12.7,10.6,139.4,75.6,63.8,2775.0,1222.0,1553.0
29,11,2012JJ00,17.0,141.0,76.4,64.6,38.0,20.3,17.7,33.7,18.3,15.4,9.3,4.9,4.4,24.4,13.4,11.0,145.3,78.5,66.8,2825.0,1275.0,1550.0
30,12,1998JJ00,9.0,40.0,,,22.0,,,21.0,,,,,,,,,41.0,,,813.0,359.0,454.0
31,12,1999JJ00,8.0,41.0,,,21.0,,,19.0,,,,,,,,,43.0,,,830.0,373.0,457.0
32,12,2000JJ00,,,,,,,,,,,,,,,,,,,,,,
33,12,2001JJ00,9.0,50.8,27.7,23.0,24.2,11.3,12.9,19.6,9.0,10.7,3.2,1.8,1.4,16.4,7.2,9.2,55.3,30.0,25.3,1093.0,484.0,610.0
34,12,2002JJ00,9.0,60.0,32.8,27.2,24.0,11.4,12.6,20.0,9.3,10.7,3.9,2.1,1.8,16.1,7.2,8.9,64.0,34.9,29.1,1229.0,547.0,682.0
35,12,2003JJ00,9.0,62.2,33.9,28.3,23.8,11.4,12.4,20.0,9.6,10.4,4.2,2.3,1.9,15.7,7.3,8.4,66.1,35.7,30.4,1258.0,565.0,693.0
36,12,2004JJ00,9.0,64.4,34.7,29.7,24.6,12.1,12.5,18.5,8.9,9.6,4.1,2.3,1.9,14.4,6.6,7.8,70.4,37.9,32.5,1290.0,579.0,711.0
37,12,2005JJ00,10.0,65.6,,,22.8,,,,,,,,,14.0,,,,,,1301.0,613.0,688.0
38,12,2006JJ00,10.0,69.9,37.9,32.1,22.2,11.4,10.7,18.7,9.5,9.0,4.5,2.3,2.0,14.1,7.1,7.0,73.4,39.8,33.6,1438.0,657.0,781.0
