ID,Feedstocks,Destination,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromCrudeOil_3,ProductionFromOtherSources_4,Imports_5,Exports_6,StockChange_7,TotalConsumption_8,Processing_9,FinalConsumption_10,OpeningStock_11,ClosingStock_12,StockChange_13
0,a,a,1944JJ00,,2.0,,,,,,,,,,,
1,a,a,1945JJ00,,6.0,,,,,,,,,,,
2,a,a,1946JJ00,,63.0,,,,,,,,,,,
3,a,a,1947JJ00,,213.0,,,,,,,,,,,
4,a,a,1948JJ00,,496.0,,,,,,,,,,,
5,a,a,1949JJ00,,621.0,,,,,,,,,,,
6,a,a,1950JJ00,,705.0,,,,,,,,,,,
7,a,a,1951JJ00,,714.0,,,,,,,,,,,
8,a,a,1952JJ00,,715.0,,,,,,,,,,,
9,a,a,1953JJ00,,820.0,,,,,,,,,,,
10,a,a,1954JJ00,,939.0,,,,,,,,,,,
11,a,a,1955JJ00,,1024.0,,,,,,,,,,,
12,a,a,1956JJ00,,1097.0,,,,,,,,,,,
13,a,a,1957JJ00,,1523.0,,,,,,,,,,,
14,a,a,1958JJ00,,1621.0,,,,,,,,,,,
15,a,a,1959JJ00,,1773.0,,,,,,,,,,,
16,a,a,1960JJ00,,1918.0,,,,,,,,,,,
17,a,a,1961JJ00,,2047.0,,,,,,,,,,,
18,a,a,1962JJ00,,2157.0,,,,,,,,,,,
19,a,a,1963JJ00,,2215.0,,,,,,,,,,,
20,a,a,1964JJ00,,2269.0,,,,,,,,,,,
21,a,a,1965JJ00,,2395.0,,,,,,,,,,,
22,a,a,1966JJ00,,2366.0,,,,,,,,,,,
23,a,a,1967JJ00,,2265.0,,,,,,,,,,,
24,a,a,1968JJ00,,2147.0,,,,,,,,,,,
25,a,a,1969JJ00,,2020.0,,,,,,,,,,,
26,a,a,1970JJ00,,1919.0,,,,,,,,,,,
27,a,a,1971JJ00,,1714.0,,,,,,,,,,,
28,a,a,1972JJ00,,1637.0,,,,,,,,,,,
29,a,a,1973JJ00,,1556.0,,,,,,,,,,,
30,a,a,1974JJ00,,1575.0,,,,,,,,,,,
31,a,a,1975JJ00,,1573.0,,,,,,,,,,,
32,a,a,1976JJ00,,1546.0,,,,,,,,,,,
33,a,a,1977JJ00,,1598.0,,,,,,,,,,,
34,a,a,1978JJ00,,1520.0,,,99124.0,43382.0,,57457.0,57457.0,,,,
35,a,a,1979JJ00,,1581.0,,,114091.0,55053.0,,60447.0,60447.0,,,,
36,a,a,1980JJ00,50531.0,1568.0,,,100635.0,50334.0,-1338.0,50531.0,50531.0,,7353.0,8691.0,-1338.0
37,a,a,1981JJ00,40752.0,1606.0,,,81738.0,44037.0,1444.0,40752.0,40752.0,,7984.0,6540.0,1444.0
38,a,a,1982JJ00,39578.0,1894.0,,,76770.0,40114.0,1027.0,39578.0,39578.0,,6539.0,5511.0,1027.0
39,a,a,1983JJ00,43668.0,2900.0,,,71164.0,31590.0,1194.0,43668.0,43668.0,,5511.0,4317.0,1194.0
40,a,a,1984JJ00,47815.0,3432.0,,,76133.0,31324.0,-427.0,47815.0,47815.0,,4317.0,4744.0,-427.0
41,a,a,1985JJ00,42635.0,4069.0,,,68659.0,28666.0,-1427.0,42635.0,42635.0,,4744.0,6171.0,-1427.0
42,a,a,1986JJ00,50160.0,4995.0,,,75348.0,29912.0,-271.0,50160.0,50160.0,,6171.0,6442.0,-271.0
43,a,a,1987JJ00,51773.0,4663.0,,,75398.0,27559.0,-730.0,51773.0,51773.0,,6442.0,7172.0,-730.0
44,a,a,1988JJ00,54320.0,4271.0,,,82601.0,33350.0,797.0,54320.0,54320.0,,7098.0,6301.0,797.0
45,a,a,1989JJ00,54241.0,3814.0,,,86158.0,35123.0,-608.0,54241.0,54241.0,,6301.0,6910.0,-608.0
46,a,a,1990JJ00,51755.0,3976.0,,,85933.0,38239.0,86.0,51755.0,51755.0,,6910.0,6824.0,86.0
47,a,a,1991JJ00,55698.0,3719.0,,,94379.0,43225.0,824.0,55698.0,55698.0,,6824.0,6000.0,824.0
48,a,a,1992JJ00,57335.0,3324.0,,,99855.0,44412.0,-1433.0,57335.0,57335.0,,6000.0,7433.0,-1433.0
49,a,a,1993JJ00,58557.0,3284.0,,,97736.0,43339.0,876.0,58557.0,58557.0,,7433.0,6557.0,876.0
50,a,a,1994JJ00,58843.0,4352.0,,,97933.0,43189.0,-253.0,58843.0,58843.0,,6557.0,6810.0,-253.0
51,a,a,1995JJ00,62523.0,3523.0,,,98104.0,39342.0,237.0,62523.0,62523.0,,6810.0,6573.0,237.0
52,a,a,1996JJ00,63577.0,3188.0,,,104593.0,44444.0,240.0,63577.0,63577.0,,6573.0,6333.0,240.0
53,a,a,1997JJ00,63488.0,3026.0,,,104739.0,44104.0,-172.0,63488.0,63488.0,,6333.0,6505.0,-172.0
54,a,a,1998JJ00,64801.0,2736.0,,,107376.0,44515.0,-796.0,64801.0,64801.0,,6505.0,7301.0,-796.0
55,a,a,1999JJ00,61337.0,2580.0,,,101222.0,43729.0,1263.0,61337.0,61337.0,,7301.0,6038.0,1263.0
56,a,a,2000MM01,5251.0,238.0,,,8619.0,3788.0,182.0,5251.0,5251.0,,6038.0,5856.0,182.0
57,a,a,2000MM02,4982.0,209.0,,,8585.0,3321.0,-490.0,4982.0,4982.0,,5856.0,6346.0,-490.0
58,a,a,2000MM03,5008.0,221.0,,,8477.0,3632.0,-58.0,5008.0,5008.0,,6346.0,6404.0,-58.0
59,a,a,2000KW01,15241.0,667.0,,,25682.0,10741.0,-366.0,15241.0,15241.0,,6038.0,6404.0,-366.0
60,a,a,2000MM04,4950.0,191.0,,,7945.0,3515.0,329.0,4950.0,4950.0,,6404.0,6076.0,329.0
61,a,a,2000MM05,4497.0,201.0,,,8075.0,2709.0,-1070.0,4497.0,4497.0,,6076.0,7145.0,-1070.0
62,a,a,2000MM06,4755.0,174.0,,,7371.0,2591.0,-199.0,4755.0,4755.0,,7145.0,7344.0,-199.0
63,a,a,2000KW02,14202.0,566.0,,,23392.0,8816.0,-940.0,14202.0,14202.0,,6404.0,7344.0,-940.0
64,a,a,2000MM07,5496.0,185.0,,,8808.0,3679.0,183.0,5496.0,5496.0,,7344.0,7161.0,183.0
65,a,a,2000MM08,5464.0,168.0,,,8337.0,4011.0,970.0,5464.0,5464.0,,7161.0,6192.0,970.0
66,a,a,2000MM09,4705.0,159.0,,,9168.0,3657.0,-965.0,4705.0,4705.0,,6192.0,7156.0,-965.0
67,a,a,2000KW03,15665.0,511.0,,,26314.0,11347.0,188.0,15665.0,15665.0,,7344.0,7156.0,188.0
68,a,a,2000MM10,5808.0,184.0,,,9040.0,3910.0,494.0,5808.0,5808.0,,7156.0,6662.0,494.0
69,a,a,2000MM11,5329.0,208.0,,,9696.0,4371.0,-203.0,5329.0,5329.0,,6662.0,6865.0,-203.0
70,a,a,2000MM12,5542.0,214.0,,,9186.0,3889.0,31.0,5542.0,5542.0,,6865.0,6834.0,31.0
71,a,a,2000KW04,16680.0,606.0,,,27922.0,12170.0,322.0,16680.0,16680.0,,7156.0,6834.0,322.0
72,a,a,2000JJ00,61788.0,2351.0,,,103308.0,43075.0,-796.0,61788.0,61788.0,,6038.0,6834.0,-796.0
73,a,a,2001MM01,5613.0,221.0,,,9687.0,4141.0,-154.0,5613.0,5613.0,,6834.0,6988.0,-154.0
74,a,a,2001MM02,4925.0,190.0,,,7396.0,3269.0,608.0,4925.0,4925.0,,6988.0,6380.0,608.0
75,a,a,2001MM03,5286.0,200.0,,,9831.0,3171.0,-1574.0,5286.0,5286.0,,6380.0,7954.0,-1574.0
76,a,a,2001KW01,15824.0,610.0,,,26915.0,10581.0,-1120.0,15824.0,15824.0,,6834.0,7954.0,-1120.0
77,a,a,2001MM04,5418.0,183.0,,,8292.0,3019.0,-38.0,5418.0,5418.0,,7954.0,7992.0,-38.0
78,a,a,2001MM05,5383.0,144.0,,,8615.0,3815.0,438.0,5383.0,5383.0,,7992.0,7554.0,438.0
79,a,a,2001MM06,4742.0,157.0,,,7343.0,3271.0,513.0,4742.0,4742.0,,7554.0,7041.0,513.0
80,a,a,2001KW02,15543.0,485.0,,,24250.0,10105.0,913.0,15543.0,15543.0,,7954.0,7041.0,913.0
81,a,a,2001MM07,4971.0,160.0,,,9133.0,3844.0,-478.0,4971.0,4971.0,,7041.0,7519.0,-478.0
82,a,a,2001MM08,5507.0,148.0,,,9107.0,3757.0,10.0,5507.0,5507.0,,7519.0,7509.0,10.0
83,a,a,2001MM09,4860.0,139.0,,,9017.0,3462.0,-834.0,4860.0,4860.0,,7509.0,8343.0,-834.0
84,a,a,2001KW03,15338.0,447.0,,,27257.0,11063.0,-1302.0,15338.0,15338.0,,7041.0,8343.0,-1302.0
85,a,a,2001MM10,5160.0,128.0,,,7459.0,3287.0,859.0,5160.0,5160.0,,8343.0,7484.0,859.0
86,a,a,2001MM11,5250.0,140.0,,,7532.0,2986.0,564.0,5250.0,5250.0,,7484.0,6920.0,564.0
87,a,a,2001MM12,5020.0,453.0,,,8968.0,3742.0,-659.0,5020.0,5020.0,,6920.0,7579.0,-659.0
88,a,a,2001KW04,15430.0,721.0,,,23959.0,10015.0,764.0,15430.0,15430.0,,8343.0,7579.0,764.0
89,a,a,2001JJ00,62135.0,2264.0,,,102381.0,41764.0,-745.0,62135.0,62135.0,,6834.0,7579.0,-745.0
90,a,a,2002MM01,5090.0,275.0,,,8665.0,3945.0,95.0,5090.0,5090.0,,7579.0,7484.0,95.0
91,a,a,2002MM02,5013.0,256.0,,,8331.0,3651.0,77.0,5013.0,5013.0,,7484.0,7407.0,77.0
92,a,a,2002MM03,5441.0,279.0,,,8952.0,3478.0,-311.0,5441.0,5441.0,,7407.0,7718.0,-311.0
93,a,a,2002KW01,15544.0,810.0,,,25947.0,11074.0,-139.0,15544.0,15544.0,,7579.0,7718.0,-139.0
94,a,a,2002MM04,4232.0,269.0,,,7473.0,3836.0,326.0,4232.0,4232.0,,7718.0,7393.0,326.0
95,a,a,2002MM05,4650.0,273.0,,,8274.0,3976.0,79.0,4650.0,4650.0,,7393.0,7314.0,79.0
96,a,a,2002MM06,4564.0,237.0,,,8770.0,3801.0,-642.0,4564.0,4564.0,,7314.0,7956.0,-642.0
97,a,a,2002KW02,13445.0,779.0,,,24517.0,11613.0,-237.0,13445.0,13445.0,,7718.0,7956.0,-237.0
98,a,a,2002MM07,4564.0,203.0,,,7697.0,3878.0,541.0,4564.0,4564.0,,7956.0,7415.0,541.0
99,a,a,2002MM08,4759.0,232.0,,,9187.0,4068.0,-592.0,4759.0,4759.0,,7415.0,8006.0,-592.0
100,a,a,2002MM09,4749.0,269.0,,,7351.0,3744.0,873.0,4749.0,4749.0,,8006.0,7134.0,873.0
101,a,a,2002KW03,14071.0,704.0,,,24235.0,11690.0,822.0,14071.0,14071.0,,7956.0,7134.0,822.0
102,a,a,2002MM10,4663.0,273.0,,,8900.0,3987.0,-523.0,4663.0,4663.0,,7134.0,7657.0,-523.0
103,a,a,2002MM11,4746.0,266.0,,,7535.0,3702.0,648.0,4746.0,4746.0,,7657.0,7010.0,648.0
104,a,a,2002MM12,5046.0,242.0,,,8608.0,3873.0,68.0,5046.0,5046.0,,7010.0,6941.0,68.0
105,a,a,2002KW04,14454.0,781.0,,,25043.0,11562.0,193.0,14454.0,14454.0,,7134.0,6941.0,193.0
106,a,a,2002JJ00,57514.0,3074.0,,,99742.0,45939.0,638.0,57514.0,57514.0,,7579.0,6941.0,638.0
107,a,a,2003MM01,4949.0,297.0,,,8322.0,4206.0,536.0,4949.0,4949.0,,6941.0,6405.0,536.0
