ID,Perioden,ProductieBasisprijzen_1,IntermediairVerbruik_2,TotaalBrutoToegevoegdeWaarde_3,ALandbouwBosbouwEnVisserij_4,BENijverheidGeenBouwEnEnergie_5,BDelfstoffenwinning_6,CIndustrie_7,DEnergievoorziening_8,EWaterbedrijvenEnAfvalbeheer_9,FBouwnijverheid_10,GIHandelVervoerEnHoreca_11,JInformatieEnCommunicatie_12,KFinancieleDienstverlening_13,LVerhuurEnHandelVanOnroerendGoed_14,MNZakelijkeDienstverlening_15,OQOverheidEnZorg_16,RUCultuurRecreatieOverigeDiensten_17,Saldo_18,ProductgebondenBelastingen_19,ProductgebondenSubsidies_20,VerschilToegerekendeEnAfgedragenBtw_21,BrutoBinnenlandsProduct_22,ProductieBasisprijzen_23,IntermediairVerbruik_24,TotaalBrutoToegevoegdeWaarde_25,ALandbouwBosbouwEnVisserij_26,BENijverheidGeenBouwEnEnergie_27,BDelfstoffenwinning_28,CIndustrie_29,DEnergievoorziening_30,EWaterbedrijvenEnAfvalbeheer_31,FBouwnijverheid_32,GIHandelVervoerEnHoreca_33,JInformatieEnCommunicatie_34,KFinancieleDienstverlening_35,LVerhuurEnHandelVanOnroerendGoed_36,MNZakelijkeDienstverlening_37,OQOverheidEnZorg_38,RUCultuurRecreatieOverigeDiensten_39,Saldo_40,ProductgebondenBelastingen_41,ProductgebondenSubsidies_42,VerschilToegerekendeEnAfgedragenBtw_43,BrutoBinnenlandsProduct_44,ProductieBasisprijzen_45,IntermediairVerbruik_46,TotaalBrutoToegevoegdeWaarde_47,ALandbouwBosbouwEnVisserij_48,BENijverheidGeenBouwEnEnergie_49,BDelfstoffenwinning_50,CIndustrie_51,DEnergievoorziening_52,EWaterbedrijvenEnAfvalbeheer_53,FBouwnijverheid_54,GIHandelVervoerEnHoreca_55,JInformatieEnCommunicatie_56,KFinancieleDienstverlening_57,LVerhuurEnHandelVanOnroerendGoed_58,MNZakelijkeDienstverlening_59,OQOverheidEnZorg_60,RUCultuurRecreatieOverigeDiensten_61,Saldo_62,ProductgebondenBelastingen_63,ProductgebondenSubsidies_64,VerschilToegerekendeEnAfgedragenBtw_65,BrutoBinnenlandsProduct_66,ProductieBasisprijzen_67,IntermediairVerbruik_68,TotaalBrutoToegevoegdeWaarde_69,ALandbouwBosbouwEnVisserij_70,BENijverheidGeenBouwEnEnergie_71,BDelfstoffenwinning_72,CIndustrie_73,DEnergievoorziening_74,EWaterbedrijvenEnAfvalbeheer_75,FBouwnijverheid_76,GIHandelVervoerEnHoreca_77,JInformatieEnCommunicatie_78,KFinancieleDienstverlening_79,LVerhuurEnHandelVanOnroerendGoed_80,MNZakelijkeDienstverlening_81,OQOverheidEnZorg_82,RUCultuurRecreatieOverigeDiensten_83,Saldo_84,ProductgebondenBelastingen_85,ProductgebondenSubsidies_86,VerschilToegerekendeEnAfgedragenBtw_87,BrutoBinnenlandsProduct_88,TotaalBeloningVanWerknemers_89,LonenEnSalarissen_90,SocialePremiesTLVWerkgevers_91,Saldo_92,BelastingenOpProductieEnInvoer_93,Subsidies_94,Bruto_95,Afschrijvingen_96,Netto_97,BrutoBinnenlandsProduct_98,TotaalBeloningVanWerknemers_99,LonenEnSalarissen_100,SocialePremiesTLVWerkgevers_101,Saldo_102,BelastingenOpProductieEnInvoer_103,Subsidies_104,Bruto_105,Afschrijvingen_106,Netto_107,BrutoBinnenlandsProduct_108,TotaalBeloningVanWerknemers_109,LonenEnSalarissen_110,SocialePremiesTLVWerkgevers_111,Saldo_112,BelastingenOpProductieEnInvoer_113,Subsidies_114,Bruto_115,Afschrijvingen_116,Netto_117,BrutoBinnenlandsProduct_118,TotaalBeloningVanWerknemers_119,LonenEnSalarissen_120,SocialePremiesTLVWerkgevers_121,Saldo_122,BelastingenOpProductieEnInvoer_123,Subsidies_124,Bruto_125,Afschrijvingen_126,Netto_127,BrutoBinnenlandsProduct_128,TotaalBrutoNationaleBestedingen_129,Totaal_130,Huishoudens_131,Overheid_132,Totaal_133,BedrijvenEnHuishoudens_134,Overheid_135,VeranderingInVoorraden_136,Totaal_137,Goederen_138,Diensten_139,Totaal_140,Goederen_141,Diensten_142,BrutoBinnenlandsProduct_143,TotaalBrutoNationaleBestedingen_144,Totaal_145,Huishoudens_146,Overheid_147,Totaal_148,BedrijvenEnHuishoudens_149,Overheid_150,VeranderingInVoorraden_151,Totaal_152,Goederen_153,Diensten_154,Totaal_155,Goederen_156,Diensten_157,BrutoBinnenlandsProduct_158,TotaalBrutoNationaleBestedingen_159,Totaal_160,Huishoudens_161,Overheid_162,Totaal_163,BedrijvenEnHuishoudens_164,Overheid_165,VeranderingInVoorraden_166,Totaal_167,Goederen_168,Diensten_169,Totaal_170,Goederen_171,Diensten_172,BrutoBinnenlandsProduct_173,TotaalBrutoNationaleBestedingen_174,Totaal_175,Huishoudens_176,Overheid_177,Totaal_178,BedrijvenEnHuishoudens_179,Overheid_180,VeranderingInVoorraden_181,Totaal_182,Goederen_183,Diensten_184,Totaal_185,Goederen_186,Diensten_187,BrutoBinnenlandsProduct_188
0,1969JJ00,99728.0,52296.0,47432.0,2849.0,12344.0,510.0,11834.0,860.0,338.0,4369.0,9912.0,1107.0,1668.0,1804.0,2528.0,8559.0,1094.0,4358.0,4937.0,886.0,307.0,51790.0,353817.0,177770.0,176603.0,1610.0,5561.0,5073.0,26933.0,3445.0,1855.0,33564.0,27538.0,3329.0,8353.0,8275.0,12671.0,47062.0,7110.0,13732.0,24149.0,2253.0,,198652.0,,,,,,,,,,,,,,,,,,,,,,,28.2,29.4,26.9,176.9,222.0,10.1,43.9,25.0,18.2,13.0,36.0,33.3,20.0,21.8,20.0,18.2,15.4,31.7,20.4,39.3,,26.1,27744.0,22398.0,5346.0,4339.0,5332.0,993.0,19707.0,5767.0,13940.0,51790.0,,,,23657.0,25515.0,2385.0,,18653.0,,198652.0,,,,,,,,,,,,,,18.3,20.9,41.6,,30.9,,26.1,51651.0,37436.0,27594.0,9842.0,13436.0,10666.0,2770.0,779.0,22057.0,17197.0,4860.0,21918.0,18194.0,3724.0,51790.0,207005.0,155944.0,109390.0,46567.0,44643.0,34863.0,9875.0,-2788.0,52981.0,37801.0,16481.0,56326.0,40531.0,16065.0,198652.0,,,,,,,,,,,,,,,,25.0,24.0,25.2,21.1,30.1,30.6,28.0,,41.6,45.5,29.5,38.9,44.9,23.2,26.1
1,1970JJ00,113546.0,60196.0,53350.0,2933.0,13560.0,699.0,12861.0,996.0,380.0,4980.0,11238.0,1226.0,1941.0,2047.0,2982.0,9864.0,1203.0,4723.0,5810.0,1122.0,35.0,58073.0,378645.0,191867.0,187218.0,1780.0,6393.0,6455.0,27875.0,3774.0,1927.0,33895.0,29805.0,3473.0,9349.0,9160.0,13834.0,49041.0,7181.0,14769.0,25954.0,2416.0,,210849.0,7.0,7.9,6.0,10.6,15.0,27.3,3.5,9.5,3.8,1.0,8.2,4.3,11.9,10.7,9.2,4.2,1.0,7.5,7.5,7.2,,6.1,30.0,31.4,28.5,164.7,212.1,10.8,46.1,26.4,19.7,14.7,37.7,35.3,20.8,22.3,21.6,20.1,16.8,32.0,22.4,46.4,,27.5,31770.0,25610.0,6160.0,4987.0,6248.0,1261.0,21316.0,6656.0,14660.0,58073.0,,,,25309.0,27415.0,2611.0,,19846.0,,210849.0,,,,7.0,7.4,9.5,,6.4,,6.1,,,,19.7,22.8,48.3,,33.5,,27.5,58762.0,42064.0,30799.0,11265.0,16215.0,13085.0,3130.0,483.0,25993.0,20304.0,5689.0,26682.0,22147.0,4535.0,58073.0,220956.0,165467.0,116303.0,49131.0,49653.0,39423.0,10278.0,-1668.0,59145.0,42419.0,18058.0,63693.0,45839.0,18153.0,210849.0,6.7,6.1,6.3,5.5,11.2,13.1,4.1,,11.6,12.2,9.6,13.1,13.1,13.0,6.1,26.6,25.4,26.5,22.9,32.7,33.2,30.5,,43.9,47.9,31.5,41.9,48.3,25.0,27.5
2,1971JJ00,127241.0,67123.0,60118.0,3093.0,15036.0,938.0,14098.0,1093.0,431.0,5633.0,12466.0,1366.0,2288.0,2249.0,3451.0,11681.0,1331.0,5787.0,6646.0,1021.0,162.0,65905.0,397856.0,202433.0,195802.0,1999.0,7311.0,8090.0,28575.0,3948.0,2059.0,32962.0,31368.0,3561.0,10144.0,9352.0,15017.0,51706.0,7372.0,14960.0,26588.0,2595.0,,219952.0,5.1,5.5,4.6,12.3,14.4,25.3,2.5,4.6,6.8,-2.8,5.2,2.5,8.5,2.1,8.6,5.4,2.7,1.3,2.4,7.4,,4.3,32.0,33.2,30.7,154.7,205.7,11.6,49.3,27.7,20.9,17.1,39.7,38.4,22.6,24.0,23.0,22.6,18.1,38.7,25.0,39.4,,30.0,36510.0,29194.0,7316.0,5951.0,7123.0,1172.0,23444.0,7764.0,15680.0,65905.0,,,,25643.0,28082.0,2789.0,,21215.0,,219952.0,,,,1.3,2.4,6.8,,6.9,,4.3,,,,23.2,25.4,42.0,,36.6,,30.0,65571.0,47499.0,34161.0,13338.0,18503.0,14904.0,3599.0,-431.0,29679.0,23041.0,6638.0,29345.0,24311.0,5034.0,65905.0,224886.0,170994.0,118860.0,52306.0,51092.0,40508.0,10639.0,1198.0,64699.0,46438.0,19699.0,66030.0,47416.0,19021.0,219952.0,1.8,3.3,2.2,6.5,2.9,2.8,3.5,,9.4,9.5,9.1,3.7,3.4,4.8,4.3,29.2,27.8,28.7,25.5,36.2,36.8,33.8,,45.9,49.6,33.7,44.4,51.3,26.5,30.0
3,1972JJ00,138219.0,70712.0,67507.0,3424.0,16680.0,1115.0,15565.0,1323.0,499.0,6132.0,13443.0,1583.0,2770.0,2699.0,3852.0,13598.0,1504.0,6296.0,7493.0,1244.0,47.0,73803.0,407217.0,204939.0,202847.0,2078.0,8572.0,9919.0,29956.0,4548.0,2102.0,31371.0,32321.0,3639.0,11124.0,10271.0,15247.0,53087.0,7527.0,15389.0,27404.0,2694.0,,227725.0,2.4,1.2,3.6,4.0,17.2,22.6,4.8,15.2,2.1,-4.8,3.0,2.2,9.7,9.8,1.5,2.7,2.1,2.9,3.1,3.8,,3.5,33.9,34.5,33.3,164.8,194.6,11.2,52.0,29.1,23.7,19.5,41.6,43.5,24.9,26.3,25.3,25.6,20.0,40.9,27.3,46.2,,32.4,40890.0,32535.0,8355.0,6650.0,8072.0,1422.0,26263.0,8751.0,17512.0,73803.0,,,,26566.0,29135.0,2915.0,,22504.0,,227725.0,,,,3.6,3.7,4.5,,6.1,,3.5,,,,25.0,27.7,48.8,,38.9,,32.4,71396.0,53023.0,37623.0,15400.0,19182.0,15643.0,3539.0,-809.0,33203.0,26069.0,7134.0,30796.0,25605.0,5191.0,73803.0,226330.0,176466.0,122444.0,54228.0,49184.0,39624.0,9557.0,2333.0,70506.0,51455.0,20218.0,67731.0,49020.0,18772.0,227725.0,0.6,3.2,3.0,3.7,-3.7,-2.2,-10.2,,9.0,10.8,2.6,2.6,3.4,-1.3,3.5,31.5,30.0,30.7,28.4,39.0,39.5,37.0,,47.1,50.7,35.3,45.5,52.2,27.7,32.4
4,1973JJ00,158720.0,81601.0,77119.0,3858.0,18708.0,1379.0,17329.0,1417.0,571.0,6806.0,15346.0,1848.0,3448.0,3191.0,4469.0,15762.0,1695.0,7302.0,8427.0,1682.0,557.0,84421.0,429915.0,216335.0,214181.0,2205.0,10076.0,10621.0,31838.0,4647.0,2182.0,31427.0,34331.0,3966.0,12750.0,11383.0,16332.0,54875.0,7728.0,15990.0,28527.0,2835.0,,240122.0,5.6,5.6,5.6,6.1,17.5,7.1,6.3,2.2,3.8,0.2,6.2,9.0,14.6,10.8,7.1,3.4,2.7,3.9,4.1,5.2,,5.4,36.9,37.7,36.0,175.0,185.7,13.0,54.4,30.5,26.2,21.7,44.7,46.6,27.0,28.0,27.4,28.7,21.9,45.7,29.5,59.3,,35.2,47392.0,37026.0,10366.0,7233.0,9108.0,1875.0,29796.0,9696.0,20100.0,84421.0,,,,27732.0,30423.0,3049.0,,23685.0,,240122.0,,,,4.4,4.4,4.6,,5.2,,5.4,,,,26.1,29.9,61.5,,40.9,,35.2,81641.0,60612.0,43080.0,17532.0,20906.0,17262.0,3644.0,123.0,39776.0,31579.0,8197.0,36996.0,30901.0,6095.0,84421.0,237501.0,183907.0,128416.0,55640.0,49995.0,41025.0,8917.0,-470.0,78094.0,57814.0,21213.0,74503.0,54258.0,20012.0,240122.0,4.9,4.2,4.9,2.6,1.6,3.5,-6.7,,10.8,12.4,4.9,10.0,10.7,6.6,5.4,34.4,33.0,33.5,31.5,41.8,42.1,40.9,,50.9,54.6,38.6,49.7,57.0,30.5,35.2
5,1974JJ00,188141.0,97292.0,90849.0,3893.0,24759.0,2098.0,22661.0,1573.0,649.0,7128.0,17212.0,2065.0,4051.0,3666.0,5191.0,18727.0,1935.0,7736.0,8893.0,1843.0,686.0,98585.0,445603.0,222902.0,223388.0,2496.0,11839.0,12693.0,33513.0,4939.0,2243.0,29802.0,35230.0,4064.0,13412.0,12546.0,17366.0,56877.0,8006.0,15088.0,27349.0,2973.0,,248379.0,3.6,3.0,4.3,13.2,17.5,19.5,5.3,6.3,2.8,-5.2,2.6,2.5,5.2,10.2,6.3,3.6,3.6,-5.6,-4.1,4.9,,3.4,42.2,43.6,40.7,156.0,209.1,16.5,67.6,31.8,28.9,23.9,48.9,50.8,30.2,29.2,29.9,32.9,24.2,51.3,32.5,62.0,,39.7,55074.0,42796.0,12278.0,7599.0,9673.0,2074.0,35912.0,11291.0,24621.0,98585.0,,,,26129.0,29361.0,3211.0,,24750.0,,248379.0,,,,-5.8,-3.5,5.3,,4.5,,3.4,,,,29.1,32.9,64.6,,45.6,,39.7,93205.0,69339.0,48589.0,20750.0,21989.0,17909.0,4080.0,1877.0,52186.0,42680.0,9506.0,46806.0,39120.0,7686.0,98585.0,242566.0,188823.0,131200.0,57817.0,47371.0,38425.0,8910.0,-5124.0,80813.0,59682.0,22158.0,74952.0,53457.0,22242.0,248379.0,2.1,2.7,2.2,3.9,-5.2,-6.3,-0.1,,3.5,3.2,4.5,0.6,-1.5,11.1,3.4,38.4,36.7,37.0,35.9,46.4,46.6,45.8,,64.6,71.5,42.9,62.4,73.2,34.6,39.7
6,1975JJ00,202776.0,104831.0,97945.0,4506.0,23566.0,3643.0,19923.0,1837.0,728.0,7589.0,18402.0,2307.0,4649.0,4165.0,5838.0,22188.0,2170.0,8623.0,10089.0,2063.0,597.0,106568.0,440296.0,217628.0,223538.0,2847.0,12324.0,13147.0,31552.0,5065.0,2253.0,28092.0,34702.0,4063.0,14061.0,13476.0,17513.0,59577.0,7960.0,14973.0,27284.0,3039.0,,248385.0,-1.2,-2.4,0.1,14.1,4.1,3.6,-5.9,2.5,0.5,-5.7,-1.5,0.0,4.8,7.4,0.8,4.7,-0.6,-0.8,-0.2,2.2,,0.0,46.1,48.2,43.8,158.3,191.2,27.7,63.1,36.3,32.3,27.0,53.0,56.8,33.1,30.9,33.3,37.2,27.3,57.6,37.0,67.9,,42.9,62325.0,48391.0,13934.0,8524.0,10885.0,2361.0,35719.0,13035.0,22684.0,106568.0,,,,25583.0,29124.0,3337.0,,25765.0,,248385.0,,,,-2.1,-0.8,3.9,,4.1,,0.0,,,,33.3,37.4,70.8,,50.6,,42.9,103055.0,79405.0,54948.0,24457.0,23762.0,18799.0,4963.0,-112.0,53100.0,42935.0,10165.0,49587.0,41384.0,8203.0,106568.0,244348.0,195849.0,135420.0,60651.0,46298.0,36410.0,9873.0,-1310.0,76945.0,56545.0,21563.0,72046.0,51179.0,21814.0,248385.0,0.7,3.7,3.2,4.9,-2.3,-5.2,10.8,,-4.8,-5.3,-2.7,-3.9,-4.3,-1.9,0.0,42.2,40.5,40.6,40.3,51.3,51.6,50.3,,69.0,75.9,47.1,68.8,80.9,37.6,42.9
7,1976JJ00,230746.0,119649.0,111097.0,5123.0,27067.0,4939.0,22128.0,2067.0,843.0,8379.0,20383.0,2618.0,5376.0,4729.0,6904.0,25150.0,2458.0,10231.0,12038.0,2894.0,1087.0,121328.0,460687.0,228097.0,233461.0,3178.0,14485.0,14212.0,33462.0,5194.0,2312.0,27947.0,35945.0,4274.0,14678.0,13797.0,18809.0,61696.0,7931.0,15669.0,28482.0,3129.0,,259453.0,4.6,4.8,4.4,11.7,17.5,8.1,6.1,2.6,2.6,-0.5,3.6,5.2,4.4,2.4,7.4,3.6,-0.4,4.7,4.4,3.0,,4.5,50.1,52.5,47.6,161.2,186.9,34.8,66.1,39.8,36.5,30.0,56.7,61.3,36.6,34.3,36.7,40.8,31.0,65.3,42.3,92.5,,46.8,69266.0,53595.0,15671.0,9708.0,13054.0,3346.0,42354.0,14630.0,27724.0,121328.0,,,,26789.0,30676.0,3588.0,,26765.0,,259453.0,,,,4.7,5.3,7.5,,3.9,,4.5,,,,36.2,42.6,93.2,,54.7,,46.8,117840.0,91023.0,63138.0,27885.0,25867.0,20408.0,5459.0,950.0,61120.0,49810.0,11310.0,57632.0,48007.0,9625.0,121328.0,255611.0,205184.0,142077.0,63339.0,46300.0,36333.0,9955.0,9968.0,83271.0,62103.0,21873.0,78391.0,55927.0,23218.0,259453.0,4.6,4.8,4.9,4.4,0.0,-0.2,0.8,,8.2,9.8,1.4,8.8,9.3,6.4,4.5,46.1,44.4,44.4,44.0,55.9,56.2,54.8,,73.4,80.2,51.7,73.5,85.8,41.5,46.8
8,1977JJ00,248651.0,129066.0,119585.0,4686.0,28038.0,5583.0,22455.0,2314.0,918.0,8866.0,22321.0,2919.0,5904.0,5254.0,7880.0,27790.0,2695.0,11449.0,14204.0,3411.0,656.0,131034.0,470903.0,232926.0,238891.0,3239.0,16204.0,15204.0,33269.0,5531.0,2177.0,26877.0,37975.0,4481.0,15131.0,14240.0,19384.0,63661.0,7602.0,16395.0,29741.0,3239.0,,265993.0,2.2,2.1,2.3,1.9,11.9,7.0,-0.6,6.5,-5.8,-3.8,5.6,4.9,3.1,3.2,3.1,3.2,-4.1,4.6,4.4,3.5,,2.5,52.8,55.4,50.1,144.7,173.0,36.7,67.5,41.8,42.2,33.0,58.8,65.1,39.0,36.9,40.7,43.7,35.5,69.8,47.8,105.3,,49.3,75741.0,58833.0,16908.0,11639.0,15412.0,3773.0,43654.0,16035.0,27619.0,131034.0,,,,28616.0,32211.0,3579.0,,27714.0,,265993.0,,,,6.8,5.0,-0.3,,3.5,,2.5,,,,40.7,47.8,105.4,,57.9,,49.3,130867.0,100516.0,69399.0,31117.0,29513.0,24244.0,5269.0,838.0,62459.0,50361.0,12098.0,62292.0,51602.0,10690.0,131034.0,266133.0,212794.0,146737.0,66303.0,49834.0,40878.0,8899.0,4732.0,82687.0,61457.0,22045.0,80246.0,57101.0,24076.0,265993.0,4.1,3.7,3.3,4.7,7.6,12.5,-10.6,,-0.7,-1.0,0.8,2.4,2.1,3.7,2.5,49.2,47.2,47.3,46.9,59.2,59.3,59.2,,75.5,81.9,54.9,77.6,90.4,44.4,49.3
9,1978JJ00,265481.0,135823.0,129658.0,4893.0,29025.0,5439.0,23586.0,2488.0,1004.0,9531.0,24329.0,3219.0,6883.0,5948.0,8880.0,30489.0,2969.0,12088.0,15216.0,3803.0,675.0,141746.0,484822.0,240545.0,245140.0,3500.0,18109.0,13736.0,33827.0,6031.0,2218.0,25403.0,39807.0,4750.0,16620.0,15192.0,20336.0,64966.0,7689.0,16975.0,30876.0,3406.0,,273164.0,3.0,3.3,2.6,8.1,11.8,-9.7,1.7,9.0,1.9,-5.5,4.8,6.0,9.8,6.7,4.9,2.1,1.2,3.5,3.8,5.2,,2.7,54.8,56.5,52.9,139.8,160.3,39.6,69.7,41.3,45.3,37.5,61.1,67.8,41.4,39.2,43.7,46.9,38.6,71.2,49.3,111.7,,51.9,82188.0,63838.0,18350.0,12273.0,16530.0,4257.0,47285.0,17512.0,29773.0,141746.0,,,,29464.0,33452.0,3815.0,,28822.0,,273164.0,,,,3.0,3.9,6.6,,4.0,,2.7,,,,41.7,49.4,111.6,,60.8,,51.9,142499.0,109800.0,75658.0,34142.0,32006.0,26236.0,5770.0,693.0,64507.0,51582.0,12925.0,65260.0,53428.0,11832.0,141746.0,274744.0,221188.0,153063.0,68377.0,50919.0,41768.0,9093.0,2620.0,84292.0,62689.0,22417.0,82712.0,58623.0,25290.0,273164.0,3.2,3.9,4.3,3.1,2.2,2.2,2.2,,1.9,2.0,1.7,3.1,2.7,5.0,2.7,51.9,49.6,49.4,49.9,62.9,62.8,63.5,,76.5,82.3,57.7,78.9,91.1,46.8,51.9
