ID,BedrijfstakkenBranchesSBI2008,Perioden,InvesteringenInMaterieleVasteActiva_1,GrondEnTerreinen_2,Bedrijfsgebouwen_3,GrondWaterEnWegenbouwkundigeWerken_4,Vervoermiddelen_5,ComputersEnRandapparatuur_6,MachinesEnInstallaties_7,OverigeMaterieleVasteActiva_8,NieuweMaterieleVasteActiva_9,BestaandeMaterieleVasteActiva_10,VerkoopVanMaterieleVasteActiva_11
0,800011,2009JJ00,41888.48,722.42,5783.3,3447.31,7821.22,1789.57,11980.89,10343.79,38313.96,3574.53,6895.34
1,800011,2010JJ00,39705.1,643.53,3860.74,4884.8,7741.35,1562.26,11427.55,9584.88,36931.94,2773.16,6268.11
2,800011,2011JJ00,49444.9,665.33,4971.04,7133.44,10330.21,1903.65,12951.31,11489.92,46241.02,3203.88,8526.51
3,800011,2012JJ00,47633.93,916.47,12963.97,4813.67,9457.18,2399.78,13799.79,3283.07,43572.26,4061.67,8531.06
4,800011,2013JJ00,46383.88,934.33,12220.92,5440.6,9863.11,2256.37,12703.31,2965.24,43308.31,3075.57,7118.83
5,800011,2014JJ00,46144.21,736.1,10938.14,5767.71,9251.03,2241.37,14115.02,3094.85,41981.36,4162.85,10047.12
6,800011,2015JJ00,50663.83,842.07,10342.23,6645.81,11873.08,3297.53,14386.01,3277.1,47201.66,3462.17,9330.96
7,800011,2016JJ00,47187.61,952.05,11097.75,5286.24,12430.14,2619.59,11471.14,3330.7,43440.73,3746.88,8585.6
8,800011,2017JJ00,51855.94,1265.19,12982.5,4350.16,14084.02,2334.15,13130.92,3709.0,45307.07,6548.87,7971.1
9,800011,2018JJ00,56693.4,1963.15,14936.02,4525.86,14114.7,2540.84,14882.26,3730.57,49621.45,7071.95,13651.28
10,800011,2019JJ00,65522.48,1327.36,17604.84,6438.82,17722.83,2694.75,15247.78,4486.09,59499.28,6023.19,11028.15
11,800011,2020JJ00,62675.07,1541.91,19272.19,6135.5,13300.95,3582.27,14516.11,4326.14,55321.93,7353.15,14159.39
