ID,Milieuactiviteiten,Milieudomein,Perioden,ArbeidsvolumeWerkzamePersonen_1,ProductieBasisprijzen_2,BrutoToegevoegdeWaardeBasisprijzen_3
0,20000 ,10000 ,1995JJ00,82.3,12904.0,5750.0
1,20000 ,10000 ,1996JJ00,87.1,13666.0,6065.0
2,20000 ,10000 ,1997JJ00,89.0,14764.0,6420.0
3,20000 ,10000 ,1998JJ00,93.3,15974.0,6869.0
4,20000 ,10000 ,1999JJ00,95.0,17478.0,7367.0
5,20000 ,10000 ,2000JJ00,97.3,19037.0,7983.0
6,20000 ,10000 ,2001JJ00,103.0,20579.0,8462.0
7,20000 ,10000 ,2002JJ00,107.1,22225.0,8989.0
8,20000 ,10000 ,2003JJ00,109.5,23561.0,9429.0
9,20000 ,10000 ,2004JJ00,107.4,24323.0,9762.0
10,20000 ,10000 ,2005JJ00,108.9,24553.0,9744.0
11,20000 ,10000 ,2006JJ00,109.5,26385.0,10830.0
12,20000 ,10000 ,2007JJ00,112.2,28181.0,11671.0
13,20000 ,10000 ,2008JJ00,115.2,30613.0,12336.0
14,20000 ,10000 ,2009JJ00,117.3,30008.0,11968.0
15,20000 ,10000 ,2010JJ00,116.9,30775.0,12738.0
16,20000 ,10100 ,1995JJ00,62.2,9870.0,4663.0
17,20000 ,10100 ,1996JJ00,64.8,10172.0,4819.0
18,20000 ,10100 ,1997JJ00,64.9,10926.0,5052.0
19,20000 ,10100 ,1998JJ00,68.4,11939.0,5441.0
20,20000 ,10100 ,1999JJ00,70.9,13094.0,5820.0
21,20000 ,10100 ,2000JJ00,71.4,14244.0,6340.0
22,20000 ,10100 ,2001JJ00,75.2,15334.0,6648.0
23,20000 ,10100 ,2002JJ00,77.0,16489.0,7039.0
24,20000 ,10100 ,2003JJ00,79.1,17500.0,7410.0
25,20000 ,10100 ,2004JJ00,77.8,18122.0,7683.0
26,20000 ,10100 ,2005JJ00,78.4,18135.0,7646.0
27,20000 ,10100 ,2006JJ00,78.4,19460.0,8415.0
28,20000 ,10100 ,2007JJ00,79.1,20441.0,8851.0
29,20000 ,10100 ,2008JJ00,78.9,21586.0,9167.0
30,20000 ,10100 ,2009JJ00,78.8,21147.0,8782.0
31,20000 ,10100 ,2010JJ00,78.5,21794.0,9358.0
32,20000 ,10200 ,1995JJ00,3.2,590.0,224.0
33,20000 ,10200 ,1996JJ00,3.2,594.0,228.0
34,20000 ,10200 ,1997JJ00,3.0,605.0,241.0
35,20000 ,10200 ,1998JJ00,3.3,721.0,272.0
36,20000 ,10200 ,1999JJ00,3.4,753.0,296.0
37,20000 ,10200 ,2000JJ00,3.4,791.0,312.0
38,20000 ,10200 ,2001JJ00,3.5,825.0,317.0
39,20000 ,10200 ,2002JJ00,3.7,996.0,346.0
40,20000 ,10200 ,2003JJ00,3.7,1016.0,362.0
41,20000 ,10200 ,2004JJ00,3.4,967.0,338.0
42,20000 ,10200 ,2005JJ00,3.5,971.0,331.0
43,20000 ,10200 ,2006JJ00,3.5,1012.0,352.0
44,20000 ,10200 ,2007JJ00,3.2,971.0,339.0
45,20000 ,10200 ,2008JJ00,2.9,933.0,313.0
46,20000 ,10200 ,2009JJ00,2.5,817.0,285.0
47,20000 ,10200 ,2010JJ00,2.8,895.0,308.0
48,20000 ,10300 ,1995JJ00,3.5,671.0,248.0
49,20000 ,10300 ,1996JJ00,4.0,797.0,291.0
50,20000 ,10300 ,1997JJ00,4.2,913.0,288.0
51,20000 ,10300 ,1998JJ00,4.6,1009.0,322.0
52,20000 ,10300 ,1999JJ00,4.9,1071.0,357.0
53,20000 ,10300 ,2000JJ00,5.6,1239.0,449.0
54,20000 ,10300 ,2001JJ00,6.2,1345.0,487.0
55,20000 ,10300 ,2002JJ00,6.9,1459.0,537.0
56,20000 ,10300 ,2003JJ00,7.5,1653.0,589.0
57,20000 ,10300 ,2004JJ00,7.2,1677.0,533.0
58,20000 ,10300 ,2005JJ00,7.3,1651.0,530.0
59,20000 ,10300 ,2006JJ00,7.6,1840.0,622.0
60,20000 ,10300 ,2007JJ00,8.0,2072.0,678.0
61,20000 ,10300 ,2008JJ00,8.4,2271.0,680.0
62,20000 ,10300 ,2009JJ00,8.2,2171.0,658.0
63,20000 ,10300 ,2010JJ00,7.7,2297.0,794.0
64,20000 ,10400 ,1995JJ00,22.9,4264.0,2302.0
65,20000 ,10400 ,1996JJ00,25.2,4434.0,2398.0
66,20000 ,10400 ,1997JJ00,25.4,4879.0,2543.0
67,20000 ,10400 ,1998JJ00,26.4,5256.0,2687.0
68,20000 ,10400 ,1999JJ00,26.4,5493.0,2793.0
69,20000 ,10400 ,2000JJ00,27.4,6221.0,3140.0
70,20000 ,10400 ,2001JJ00,28.3,6598.0,3220.0
71,20000 ,10400 ,2002JJ00,28.3,6916.0,3322.0
72,20000 ,10400 ,2003JJ00,28.3,7146.0,3433.0
73,20000 ,10400 ,2004JJ00,28.1,7746.0,3763.0
74,20000 ,10400 ,2005JJ00,27.0,7354.0,3649.0
75,20000 ,10400 ,2006JJ00,25.8,7743.0,4016.0
76,20000 ,10400 ,2007JJ00,26.1,7959.0,4245.0
77,20000 ,10400 ,2008JJ00,25.9,8555.0,4495.0
78,20000 ,10400 ,2009JJ00,27.2,8438.0,4192.0
79,20000 ,10400 ,2010JJ00,27.0,9020.0,4535.0
80,20000 ,10500 ,1995JJ00,12.3,2112.0,910.0
81,20000 ,10500 ,1996JJ00,12.0,2096.0,894.0
82,20000 ,10500 ,1997JJ00,11.7,2169.0,943.0
83,20000 ,10500 ,1998JJ00,12.4,2435.0,1044.0
84,20000 ,10500 ,1999JJ00,12.7,2752.0,1121.0
85,20000 ,10500 ,2000JJ00,12.1,2885.0,1173.0
86,20000 ,10500 ,2001JJ00,12.8,3012.0,1224.0
87,20000 ,10500 ,2002JJ00,13.0,3293.0,1324.0
88,20000 ,10500 ,2003JJ00,12.5,3458.0,1378.0
89,20000 ,10500 ,2004JJ00,11.6,3411.0,1342.0
90,20000 ,10500 ,2005JJ00,12.0,3613.0,1346.0
91,20000 ,10500 ,2006JJ00,12.3,3989.0,1524.0
92,20000 ,10500 ,2007JJ00,11.9,4253.0,1589.0
93,20000 ,10500 ,2008JJ00,12.5,4580.0,1692.0
94,20000 ,10500 ,2009JJ00,12.6,4618.0,1739.0
95,20000 ,10500 ,2010JJ00,12.4,4518.0,1725.0
96,20000 ,10600 ,1995JJ00,20.2,2233.0,979.0
97,20000 ,10600 ,1996JJ00,20.5,2252.0,1008.0
98,20000 ,10600 ,1997JJ00,20.6,2359.0,1037.0
99,20000 ,10600 ,1998JJ00,21.7,2517.0,1116.0
100,20000 ,10600 ,1999JJ00,23.6,3025.0,1253.0
101,20000 ,10600 ,2000JJ00,22.9,3107.0,1266.0
102,20000 ,10600 ,2001JJ00,24.4,3554.0,1401.0
103,20000 ,10600 ,2002JJ00,25.1,3825.0,1509.0
104,20000 ,10600 ,2003JJ00,27.1,4228.0,1648.0
105,20000 ,10600 ,2004JJ00,27.5,4320.0,1708.0
106,20000 ,10600 ,2005JJ00,28.6,4546.0,1791.0
107,20000 ,10600 ,2006JJ00,29.2,4875.0,1902.0
108,20000 ,10600 ,2007JJ00,29.8,5186.0,2001.0
109,20000 ,10600 ,2008JJ00,29.3,5246.0,1988.0
110,20000 ,10600 ,2009JJ00,28.2,5104.0,1909.0
111,20000 ,10600 ,2010JJ00,28.6,5064.0,1996.0
112,20000 ,10700 ,1995JJ00,20.1,3034.0,1087.0
113,20000 ,10700 ,1996JJ00,22.3,3494.0,1247.0
114,20000 ,10700 ,1997JJ00,24.1,3838.0,1368.0
115,20000 ,10700 ,1998JJ00,24.9,4035.0,1428.0
116,20000 ,10700 ,1999JJ00,24.0,4384.0,1547.0
117,20000 ,10700 ,2000JJ00,25.9,4793.0,1642.0
118,20000 ,10700 ,2001JJ00,27.9,5246.0,1814.0
119,20000 ,10700 ,2002JJ00,30.1,5736.0,1951.0
120,20000 ,10700 ,2003JJ00,30.4,6061.0,2020.0
121,20000 ,10700 ,2004JJ00,29.6,6201.0,2079.0
122,20000 ,10700 ,2005JJ00,30.5,6418.0,2098.0
123,20000 ,10700 ,2006JJ00,31.1,6925.0,2415.0
124,20000 ,10700 ,2007JJ00,33.1,7739.0,2820.0
125,20000 ,10700 ,2008JJ00,36.2,9027.0,3169.0
126,20000 ,10700 ,2009JJ00,38.5,8861.0,3186.0
127,20000 ,10700 ,2010JJ00,38.4,8981.0,3380.0
128,20000 ,10800 ,1995JJ00,12.6,2050.0,671.0
129,20000 ,10800 ,1996JJ00,13.9,2380.0,788.0
130,20000 ,10800 ,1997JJ00,14.7,2582.0,856.0
131,20000 ,10800 ,1998JJ00,15.2,2715.0,899.0
132,20000 ,10800 ,1999JJ00,15.3,2792.0,931.0
133,20000 ,10800 ,2000JJ00,16.1,3086.0,994.0
134,20000 ,10800 ,2001JJ00,17.9,3465.0,1138.0
135,20000 ,10800 ,2002JJ00,18.6,3837.0,1207.0
136,20000 ,10800 ,2003JJ00,18.2,3927.0,1229.0
137,20000 ,10800 ,2004JJ00,18.4,3926.0,1234.0
138,20000 ,10800 ,2005JJ00,18.4,4057.0,1205.0
139,20000 ,10800 ,2006JJ00,19.5,4360.0,1421.0
140,20000 ,10800 ,2007JJ00,21.6,4945.0,1780.0
141,20000 ,10800 ,2008JJ00,23.6,5940.0,2108.0
142,20000 ,10800 ,2009JJ00,25.0,5757.0,2181.0
143,20000 ,10800 ,2010JJ00,24.4,5759.0,2263.0
144,20000 ,10900 ,1995JJ00,7.5,983.0,416.0
145,20000 ,10900 ,1996JJ00,8.4,1114.0,458.0
146,20000 ,10900 ,1997JJ00,9.4,1256.0,512.0
147,20000 ,10900 ,1998JJ00,9.7,1321.0,530.0
148,20000 ,10900 ,1999JJ00,8.7,1593.0,617.0
149,20000 ,10900 ,2000JJ00,9.8,1707.0,648.0
