ID,Bedrijfstype,RegioS,Perioden,TotaalMestproductie_1,DunneMestInDeStal_2,DunneMestInDeWei_3,VasteMestInDeStal_4,Stikstofuitscheiding_5,TotaalGasvormigeStikstofverliezen_6,TotaalVerliezenInStalEnOpslag_7,AmmoniakUitgedruktInN_8,OverigeStikstofverliezen_9,AmmoniakverliesTijdensBeweidingN_10,StikstofInGeproduceerdeMestN_11,FosfaatuitscheidingP205_12,PlaatsingsruimteStikstofN_13,PlaatsingsruimteFosfaatP205_14,AandeelBedrijvenZonderOverproductie_15,ResterendePlaatsingsruimteStikstof_16,ResterendePlaatsingsruimteFosfaat_17,AandeelBedrijvenMetOverproductie_18,Stikstofoverschot_19,Fosfaatoverschot_20,SaldoPlaatsingsruimteStikstof_21,SaldoPlaatsingsruimteStikstofPerHa_22,SaldoPlaatsingsruimteFosfaat_23,SaldoPlaatsingsruimteFosfaatPerHa_24
0,T00,NL01  ,1990JJ00,87445.0,62468.0,22480.0,2497.0,691200.0,107700.0,93000.0,81400.0,11600.0,14600.0,598100.0,229100.0,,431500.0,84.0,,273600.0,16.0,111700.0,71100.0,,,202500.0,102.0
1,T00,NL01  ,1994JJ00,83003.0,58905.0,21140.0,2959.0,681000.0,104400.0,93900.0,82100.0,11800.0,10500.0,587000.0,226500.0,,329100.0,81.0,,184600.0,19.0,135600.0,82000.0,,,102600.0,52.0
2,T00,NL01  ,1995JJ00,82554.0,58376.0,21166.0,3012.0,680000.0,104900.0,91700.0,80100.0,11700.0,13100.0,588200.0,215900.0,,256800.0,76.0,,124400.0,24.0,154100.0,83500.0,,,40900.0,21.0
3,T00,NL01  ,1996JJ00,81192.0,57303.0,20805.0,3083.0,668600.0,105500.0,89200.0,78000.0,11200.0,16300.0,579400.0,198100.0,,242800.0,77.0,,124500.0,23.0,150300.0,79900.0,,,44600.0,23.0
4,T00,NL01  ,1997JJ00,77872.0,54725.0,20044.0,3103.0,644600.0,96200.0,84800.0,73900.0,10900.0,11400.0,559700.0,196800.0,,240400.0,76.0,,121500.0,24.0,146700.0,78000.0,,,43600.0,22.0
5,T00,NL01  ,1998JJ00,76931.0,53856.0,19693.0,3382.0,602400.0,87200.0,81600.0,71100.0,10500.0,5600.0,520900.0,196100.0,,221000.0,75.0,,104800.0,25.0,144900.0,79800.0,,,25000.0,13.0
6,T00,NL01  ,1999JJ00,75445.0,52557.0,19348.0,3540.0,585300.0,86200.0,80200.0,70100.0,10100.0,6000.0,505100.0,199600.0,,219000.0,75.0,,100500.0,25.0,148800.0,81200.0,,,19300.0,10.0
7,T00,NL01  ,2000JJ00,75560.0,53324.0,18619.0,3617.0,549100.0,77000.0,72700.0,63200.0,9600.0,4200.0,476300.0,190900.0,,207700.0,75.0,,96100.0,25.0,141600.0,79300.0,,,16800.0,9.0
8,T00,NL01  ,2001JJ00,74989.0,52756.0,18583.0,3651.0,541700.0,74600.0,68600.0,59200.0,9400.0,6000.0,473100.0,184900.0,,199500.0,71.0,,87400.0,29.0,139900.0,72700.0,,,14700.0,8.0
9,T00,NL01  ,2002JJ00,71529.0,52319.0,15611.0,3599.0,504400.0,70000.0,66000.0,57000.0,9000.0,4000.0,438500.0,172900.0,,193900.0,75.0,,87200.0,25.0,123400.0,66300.0,,,20900.0,11.0
10,T00,NL01  ,2003JJ00,69247.0,51071.0,15186.0,2991.0,479200.0,65100.0,62200.0,53400.0,8800.0,2900.0,417000.0,165900.0,,177600.0,69.0,,76400.0,31.0,124900.0,64600.0,,,11700.0,6.0
11,T00,NL01  ,2004JJ00,70390.0,51527.0,15599.0,3263.0,467000.0,65200.0,62500.0,54000.0,8500.0,2600.0,404500.0,161800.0,,180300.0,74.0,,81000.0,26.0,117700.0,62400.0,,,18600.0,10.0
12,T00,NL01  ,2005JJ00,70117.0,51166.0,15483.0,3469.0,478800.0,64500.0,61800.0,53100.0,8600.0,2700.0,417100.0,169700.0,,170400.0,71.0,,72900.0,29.0,137900.0,72200.0,,,700.0,0.0
13,T00,NL01  ,2006JJ00,69284.0,51359.0,14543.0,3382.0,471200.0,64200.0,61600.0,53100.0,8600.0,2600.0,409600.0,169200.0,400900.0,184400.0,66.0,142000.0,78900.0,34.0,151600.0,77400.0,-9700.0,-5.0,1500.0,1.0
14,T00,NL01  ,2007JJ00,69236.0,52121.0,13616.0,3499.0,479600.0,65600.0,63200.0,54300.0,8900.0,2300.0,416400.0,169400.0,400000.0,178800.0,66.0,141300.0,75800.0,34.0,158400.0,78200.0,-17100.0,-9.0,-2500.0,-1.0
15,T00,NL01  ,2008JJ00,71277.0,53123.0,14683.0,3471.0,491300.0,67100.0,64700.0,55600.0,9100.0,2400.0,426600.0,175900.0,402700.0,175000.0,65.0,142400.0,73400.0,35.0,167300.0,82800.0,-24900.0,-13.0,-9400.0,-5.0
