ID,BedrijfstakkenBranchesSBI2008,Milieudomeinen,Perioden,ArbeidsvolumeWerkzamePersonen_1,ProductieBasisprijzen_2,BrutoToegevoegdeWaardeBasisprijzen_3
0,20000 ,10000 ,2001JJ00,118.5,21467.0,8073.0
1,20000 ,10000 ,2002JJ00,121.2,22771.0,8460.0
2,20000 ,10000 ,2003JJ00,121.5,23586.0,8689.0
3,20000 ,10000 ,2004JJ00,116.2,23434.0,8912.0
4,20000 ,10000 ,2005JJ00,115.0,23897.0,9231.0
5,20000 ,10000 ,2006JJ00,118.9,25799.0,10088.0
6,20000 ,10000 ,2007JJ00,122.1,27555.0,10904.0
7,20000 ,10000 ,2008JJ00,125.3,30273.0,12056.0
8,20000 ,10000 ,2009JJ00,126.5,29604.0,11800.0
9,20000 ,10000 ,2010JJ00,125.9,31019.0,12778.0
10,20000 ,10000 ,2011JJ00,131.6,33766.0,13491.0
11,20000 ,10000 ,2012JJ00,130.0,34526.0,13239.0
12,20000 ,10100 ,2001JJ00,73.7,13963.0,5207.0
13,20000 ,10100 ,2002JJ00,76.0,14782.0,5440.0
14,20000 ,10100 ,2003JJ00,79.0,15321.0,5577.0
15,20000 ,10100 ,2004JJ00,77.2,15502.0,5746.0
16,20000 ,10100 ,2005JJ00,76.8,15539.0,5893.0
17,20000 ,10100 ,2006JJ00,78.4,16588.0,6436.0
18,20000 ,10100 ,2007JJ00,79.4,17477.0,6852.0
19,20000 ,10100 ,2008JJ00,79.6,18450.0,7278.0
20,20000 ,10100 ,2009JJ00,79.1,17793.0,6863.0
21,20000 ,10100 ,2010JJ00,76.3,18470.0,7650.0
22,20000 ,10100 ,2011JJ00,76.4,19179.0,7831.0
23,20000 ,10100 ,2012JJ00,76.0,18813.0,7530.0
24,20000 ,10700 ,2001JJ00,44.8,7504.0,2866.0
25,20000 ,10700 ,2002JJ00,45.2,7989.0,3020.0
26,20000 ,10700 ,2003JJ00,42.4,8265.0,3112.0
27,20000 ,10700 ,2004JJ00,39.0,7932.0,3166.0
28,20000 ,10700 ,2005JJ00,38.2,8358.0,3338.0
29,20000 ,10700 ,2006JJ00,40.4,9211.0,3652.0
30,20000 ,10700 ,2007JJ00,42.7,10078.0,4052.0
31,20000 ,10700 ,2008JJ00,45.7,11823.0,4778.0
32,20000 ,10700 ,2009JJ00,47.4,11811.0,4937.0
33,20000 ,10700 ,2010JJ00,49.6,12548.0,5128.0
34,20000 ,10700 ,2011JJ00,55.2,14587.0,5660.0
35,20000 ,10700 ,2012JJ00,54.0,15712.0,5710.0
36,300025,10000 ,2001JJ00,113.5,19965.0,8073.0
37,300025,10000 ,2002JJ00,116.2,21224.0,8460.0
38,300025,10000 ,2003JJ00,116.5,22058.0,8689.0
39,300025,10000 ,2004JJ00,111.5,21946.0,8912.0
40,300025,10000 ,2005JJ00,110.3,22432.0,9231.0
41,300025,10000 ,2006JJ00,114.5,24326.0,10088.0
42,300025,10000 ,2007JJ00,118.0,26105.0,10904.0
43,300025,10000 ,2008JJ00,121.7,28892.0,12056.0
44,300025,10000 ,2009JJ00,123.2,28267.0,11800.0
45,300025,10000 ,2010JJ00,122.7,29684.0,12778.0
46,300025,10000 ,2011JJ00,128.4,32402.0,13491.0
47,300025,10000 ,2012JJ00,126.7,33182.0,13239.0
48,300025,10100 ,2001JJ00,68.7,12461.0,5207.0
49,300025,10100 ,2002JJ00,71.0,13236.0,5440.0
50,300025,10100 ,2003JJ00,74.1,13793.0,5577.0
51,300025,10100 ,2004JJ00,72.5,14013.0,5746.0
52,300025,10100 ,2005JJ00,72.1,14074.0,5893.0
53,300025,10100 ,2006JJ00,74.0,15114.0,6436.0
54,300025,10100 ,2007JJ00,75.3,16027.0,6852.0
55,300025,10100 ,2008JJ00,76.0,17069.0,7278.0
56,300025,10100 ,2009JJ00,75.8,16456.0,6863.0
57,300025,10100 ,2010JJ00,73.1,17136.0,7650.0
58,300025,10100 ,2011JJ00,73.2,17816.0,7831.0
59,300025,10100 ,2012JJ00,72.7,17469.0,7530.0
60,300025,10700 ,2001JJ00,44.8,7504.0,2866.0
61,300025,10700 ,2002JJ00,45.2,7989.0,3020.0
62,300025,10700 ,2003JJ00,42.4,8265.0,3112.0
63,300025,10700 ,2004JJ00,39.0,7932.0,3166.0
64,300025,10700 ,2005JJ00,38.2,8358.0,3338.0
65,300025,10700 ,2006JJ00,40.4,9211.0,3652.0
66,300025,10700 ,2007JJ00,42.7,10078.0,4052.0
67,300025,10700 ,2008JJ00,45.7,11823.0,4778.0
68,300025,10700 ,2009JJ00,47.4,11811.0,4937.0
69,300025,10700 ,2010JJ00,49.6,12548.0,5128.0
70,300025,10700 ,2011JJ00,55.2,14587.0,5660.0
71,300025,10700 ,2012JJ00,54.0,15712.0,5710.0
72,301000,10000 ,2001JJ00,1.7,267.0,99.0
73,301000,10000 ,2002JJ00,1.9,282.0,97.0
74,301000,10000 ,2003JJ00,2.1,317.0,114.0
75,301000,10000 ,2004JJ00,2.0,362.0,136.0
76,301000,10000 ,2005JJ00,2.1,398.0,169.0
77,301000,10000 ,2006JJ00,2.3,466.0,214.0
78,301000,10000 ,2007JJ00,2.2,523.0,246.0
79,301000,10000 ,2008JJ00,2.4,602.0,285.0
80,301000,10000 ,2009JJ00,2.6,602.0,293.0
81,301000,10000 ,2010JJ00,2.8,680.0,317.0
82,301000,10000 ,2011JJ00,3.3,731.0,314.0
83,301000,10000 ,2012JJ00,3.5,772.0,325.0
84,301000,10100 ,2001JJ00,1.7,257.0,98.0
85,301000,10100 ,2002JJ00,1.9,269.0,95.0
86,301000,10100 ,2003JJ00,2.1,286.0,102.0
87,301000,10100 ,2004JJ00,2.0,296.0,97.0
88,301000,10100 ,2005JJ00,2.1,306.0,104.0
89,301000,10100 ,2006JJ00,2.2,338.0,116.0
90,301000,10100 ,2007JJ00,2.1,363.0,115.0
91,301000,10100 ,2008JJ00,2.2,401.0,112.0
92,301000,10100 ,2009JJ00,2.3,387.0,104.0
93,301000,10100 ,2010JJ00,2.5,492.0,151.0
94,301000,10100 ,2011JJ00,2.9,519.0,130.0
95,301000,10100 ,2012JJ00,3.1,564.0,143.0
96,301000,10700 ,2001JJ00,0.0,9.0,2.0
97,301000,10700 ,2002JJ00,0.0,13.0,2.0
98,301000,10700 ,2003JJ00,0.0,31.0,12.0
99,301000,10700 ,2004JJ00,0.0,65.0,39.0
100,301000,10700 ,2005JJ00,0.0,93.0,65.0
101,301000,10700 ,2006JJ00,0.0,128.0,98.0
102,301000,10700 ,2007JJ00,0.1,160.0,131.0
103,301000,10700 ,2008JJ00,0.3,201.0,173.0
104,301000,10700 ,2009JJ00,0.4,215.0,189.0
105,301000,10700 ,2010JJ00,0.4,188.0,166.0
106,301000,10700 ,2011JJ00,0.4,212.0,184.0
107,301000,10700 ,2012JJ00,0.4,208.0,181.0
108,300002,10000 ,2001JJ00,,,
