ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
0,300030,A042501,2016KW01,19.3,6.4,25.7,3.1,9.0,2.6,15.4,3.3,1.0,10.2,11.2
1,300030,A042501,2016KW02,8.6,20.3,7.0,24.3,3.4,9.1,6.8,3.9,8.4,5.9,2.3
2,300030,A042501,2016KW03,16.9,7.2,19.2,8.0,5.8,2.1,5.9,10.2,5.9,7.6,6.9
3,300030,A042501,2016KW04,9.4,22.8,8.5,24.5,3.8,10.0,9.3,11.3,5.7,9.5,5.8
4,300030,A042501,2017KW01,22.1,12.8,29.7,8.7,10.6,7.3,20.5,11.1,8.7,16.9,15.0
5,300030,A042501,2017KW02,17.7,25.4,16.8,28.8,8.6,9.6,9.9,11.6,16.2,15.0,7.8
6,300030,A042501,2017KW03,21.5,12.4,27.2,12.4,7.9,4.0,11.3,17.0,14.9,16.7,11.3
7,300030,A042501,2017KW04,9.6,25.5,11.4,27.8,6.6,12.6,16.4,15.1,14.6,15.4,9.4
8,300030,A042501,2018KW01,25.3,16.1,31.1,13.3,13.4,9.7,28.5,16.9,16.4,20.1,17.3
9,300030,A042501,2018KW02,14.2,30.3,11.1,31.6,6.7,10.9,14.0,14.7,20.8,14.8,6.2
10,300030,A042501,2018KW03,23.4,14.8,26.3,12.4,9.8,4.0,15.5,20.1,18.4,14.3,12.4
11,300030,A042501,2018KW04,11.0,22.2,10.5,25.7,3.6,10.9,17.4,15.7,15.3,7.3,2.9
12,300030,A042501,2019KW01,20.2,11.7,23.6,9.3,7.3,5.7,33.3,13.0,12.5,5.7,10.0
13,300030,A042501,2019KW02,10.3,26.0,9.4,27.6,4.2,10.3,12.7,12.2,18.3,1.6,3.7
14,300030,A042501,2019KW03,18.3,8.6,23.7,6.8,7.3,4.4,8.9,13.0,11.8,2.3,7.8
15,300030,A042501,2019KW04,2.5,13.1,5.5,15.7,2.5,7.7,11.2,7.6,8.0,-5.6,-0.4
16,300030,A042501,2020KW01,11.7,5.5,18.2,2.0,5.5,2.8,26.6,7.3,9.4,-1.6,6.1
17,300030,A042501,2020KW02,-19.2,-51.4,-17.3,-54.3,-12.1,-35.0,-6.8,-5.5,-23.4,-35.7,-27.0
18,300030,A042501,2020KW03,-22.2,1.3,-23.3,1.0,-20.5,-1.0,0.5,-14.9,-3.8,-38.8,-33.4
19,300030,A042501,2020KW04,-0.5,6.0,0.1,0.0,-2.1,1.5,3.6,-6.8,-6.6,-13.8,-10.6
20,300030,A042501,2021KW01,10.7,0.9,8.7,-10.0,3.3,-2.5,16.8,-5.3,0.8,-13.5,-4.7
21,300030,A042501,2021KW02,6.2,19.2,-0.2,19.5,6.1,9.0,15.3,1.3,13.4,-6.6,-5.4
22,300030,A042501,2021KW03,22.1,10.2,28.8,12.7,9.9,5.2,23.8,10.4,18.8,13.7,12.5
23,300030,A042501,2021KW04,12.4,24.3,15.1,25.2,6.9,13.8,34.5,11.5,21.5,12.8,8.9
24,300030,A042501,2022KW01,19.4,7.7,19.4,-1.2,8.1,7.0,46.1,9.9,17.3,-0.5,4.0
25,300030,A042501,2022KW02,8.6,17.6,11.4,27.4,5.9,11.5,46.3,10.6,23.1,-10.2,-5.1
26,300030,A042501,2022KW03,14.5,1.7,25.5,3.2,10.2,2.7,36.9,8.7,16.4,-11.3,-1.4
27,300030,A042501,2022KW04,0.0,9.9,3.9,11.9,4.3,4.9,46.7,7.4,10.8,-22.3,-15.2
28,300030,A042501,2023KW01,12.8,3.4,23.0,-1.8,9.4,3.2,52.4,7.0,14.3,-13.2,-5.1
29,300030,A042500,2016KW01,13.7,12.1,16.1,12.8,7.2,5.6,7.9,4.7,3.8,8.0,5.7
30,300030,A042500,2016KW02,15.1,13.3,16.6,14.7,5.2,6.8,9.7,5.8,4.5,7.6,5.5
31,300030,A042500,2016KW03,12.8,14.7,12.3,16.2,5.1,5.7,10.3,8.2,5.5,7.2,6.9
32,300030,A042500,2016KW04,12.6,16.6,15.3,16.3,4.4,5.8,9.6,10.0,7.1,10.3,8.2
33,300030,A042500,2017KW01,19.3,18.6,23.5,18.4,8.8,10.4,12.9,12.6,11.5,15.8,10.2
34,300030,A042500,2017KW02,21.4,18.3,23.0,19.2,10.4,7.3,12.9,13.4,12.4,15.6,10.2
35,300030,A042500,2017KW03,17.3,20.0,20.4,20.5,7.3,7.5,15.7,15.0,14.6,16.3,11.3
36,300030,A042500,2017KW04,12.9,19.2,18.3,19.6,7.2,8.3,16.6,13.7,16.0,16.2,11.7
37,300030,A042500,2018KW01,19.7,21.9,21.5,22.9,11.6,12.7,20.9,18.4,19.2,17.9,11.8
38,300030,A042500,2018KW02,20.7,23.3,20.8,21.9,8.5,8.6,17.0,16.5,17.0,16.6,9.3
39,300030,A042500,2018KW03,19.3,22.4,19.4,20.5,9.1,7.5,19.8,18.1,18.0,13.9,12.3
40,300030,A042500,2018KW04,14.3,16.0,17.4,17.6,4.2,6.6,17.7,14.4,16.6,8.1,5.2
41,300030,A042500,2019KW01,17.4,17.4,17.3,19.0,5.6,8.8,25.7,14.5,15.3,4.6,5.3
42,300030,A042500,2019KW02,13.9,19.0,15.7,18.0,6.0,8.0,15.7,14.0,14.5,2.2,6.1
