ID,LandbouwgoederenEnDiensten,Perioden,OutputAfProducentwaarde_1,OutputBasisprijzen_2,OutputAfProducentwaarde_3,OutputBasisprijzen_4,OutputAfProducentwaarde_5,OutputBasisprijzen_6,OutputAfProducentwaarde_7,OutputBasisprijzen_8
0,18000 ,1995JJ00,18485.0,18831.0,20943.0,21138.0,,,88.3,89.1
1,18000 ,1996JJ00,18794.0,19107.0,20841.0,21008.0,-0.5,-0.6,90.2,91.0
2,18000 ,1997JJ00,20017.0,20247.0,21763.0,21870.0,4.4,4.1,92.0,92.6
3,18000 ,1998JJ00,19124.0,19372.0,21349.0,21477.0,-1.9,-1.8,89.6,90.2
4,18000 ,1999JJ00,18780.0,19029.0,22246.0,22357.0,4.2,4.1,84.4,85.1
5,18000 ,2000JJ00,19868.0,20109.0,22526.0,22624.0,1.3,1.2,88.2,88.9
6,18000 ,2001JJ00,20539.0,20869.0,21829.0,21948.0,-3.1,-3.0,94.1,95.1
7,18000 ,2002JJ00,20242.0,20642.0,21921.0,22031.0,0.4,0.4,92.3,93.7
8,18000 ,2003JJ00,20273.0,20679.0,21936.0,22049.0,0.1,0.1,92.4,93.8
9,18000 ,2004JJ00,20177.0,20561.0,22876.0,22980.0,4.3,4.2,88.2,89.5
10,18000 ,2005JJ00,20558.0,21037.0,22853.0,22955.0,-0.1,-0.1,90.0,91.6
11,18000 ,2006JJ00,22245.0,22810.0,23051.0,23143.0,0.9,0.8,96.5,98.6
12,18000 ,2007JJ00,23774.0,23919.0,23706.0,23782.0,2.8,2.8,100.3,100.6
13,18000 ,2008JJ00,24642.0,24741.0,24525.0,24588.0,3.5,3.4,100.5,100.6
14,18000 ,2009JJ00,23001.0,23122.0,24954.0,25031.0,1.7,1.8,92.2,92.4
15,18000 ,2010JJ00,25266.0,25319.0,25266.0,25319.0,1.2,1.2,100.0,100.0
16,18000 ,2011JJ00,25867.0,25858.0,25210.0,25260.0,-0.2,-0.2,102.6,102.4
17,18000 ,2012JJ00,26803.0,26811.0,25136.0,25187.0,-0.3,-0.3,106.6,106.4
18,18000 ,2013JJ00,28224.0,28241.0,25445.0,25496.0,1.2,1.2,110.9,110.8
19,18000 ,2014JJ00,27199.0,27086.0,25818.0,25751.0,1.5,1.0,105.3,105.2
20,18000 ,2015JJ00,26875.0,26759.0,26074.0,26006.0,1.0,1.0,103.1,102.9
21,18000 ,2016JJ00,26998.0,27020.0,26368.0,26434.0,1.1,1.6,102.4,102.2
22,18000 ,2017JJ00,29076.0,29098.0,26504.0,26571.0,0.5,0.5,109.7,109.5
23,16000 ,1995JJ00,18406.0,18752.0,20815.0,20999.0,,,88.4,89.3
24,16000 ,1996JJ00,18694.0,19007.0,20693.0,20849.0,-0.6,-0.7,90.3,91.2
25,16000 ,1997JJ00,19899.0,20129.0,21593.0,21689.0,4.4,4.0,92.2,92.8
26,16000 ,1998JJ00,18987.0,19235.0,21163.0,21280.0,-2.0,-1.9,89.7,90.4
27,16000 ,1999JJ00,18614.0,18863.0,22022.0,22122.0,4.1,4.0,84.5,85.3
28,16000 ,2000JJ00,19669.0,19910.0,22274.0,22362.0,1.1,1.1,88.3,89.0
29,16000 ,2001JJ00,20307.0,20637.0,21544.0,21654.0,-3.3,-3.2,94.3,95.3
30,16000 ,2002JJ00,19992.0,20392.0,21625.0,21726.0,0.4,0.3,92.4,93.9
31,16000 ,2003JJ00,20012.0,20419.0,21634.0,21739.0,0.0,0.1,92.5,93.9
32,16000 ,2004JJ00,19893.0,20280.0,22548.0,22646.0,4.2,4.2,88.2,89.6
33,16000 ,2005JJ00,20218.0,20705.0,22477.0,22578.0,-0.3,-0.3,89.9,91.7
34,16000 ,2006JJ00,21781.0,22360.0,22565.0,22662.0,0.4,0.4,96.5,98.7
35,16000 ,2007JJ00,23160.0,23330.0,23083.0,23183.0,2.3,2.3,100.3,100.6
36,16000 ,2008JJ00,23783.0,23908.0,23712.0,23803.0,2.7,2.7,100.3,100.4
37,16000 ,2009JJ00,22166.0,22316.0,24181.0,24286.0,2.0,2.0,91.7,91.9
38,16000 ,2010JJ00,24327.0,24412.0,24327.0,24412.0,0.6,0.5,100.0,100.0
39,16000 ,2011JJ00,24895.0,24918.0,24267.0,24350.0,-0.2,-0.3,102.6,102.3
40,16000 ,2012JJ00,25887.0,25927.0,24258.0,24341.0,0.0,0.0,106.7,106.5
41,16000 ,2013JJ00,27312.0,27361.0,24559.0,24642.0,1.2,1.2,111.2,111.0
42,16000 ,2014JJ00,26320.0,26240.0,24939.0,24907.0,1.5,1.1,105.5,105.4
43,16000 ,2015JJ00,26028.0,25944.0,25186.0,25151.0,1.0,1.0,103.3,103.2
44,16000 ,2016JJ00,26222.0,26274.0,25514.0,25610.0,1.3,1.8,102.8,102.6
45,16000 ,2017JJ00,28171.0,28222.0,25614.0,25711.0,0.4,0.4,110.0,109.8
46,14000 ,1995JJ00,17403.0,17711.0,19342.0,19485.0,,,90.0,90.9
47,14000 ,1996JJ00,17682.0,17957.0,19228.0,19343.0,-0.6,-0.7,92.0,92.8
