ID,Landbouwproductie,Perioden,Hoeveelheid_1,EenheidVanProductie_2
0,A042356,2015JJ00,45739.0,1000kg               
1,A042356,2016JJ00,27319.0,1000kg               
2,A042356,2017JJ00,59783.0,1000kg               
3,A042356,2018JJ00,46232.0,1000kg               
4,A042356,2019JJ00,52538.0,1000kg               
5,A042356,2020JJ00,59740.0,1000kg               
6,A042356,2021JJ00,42907.0,1000kg               
7,A042356,2022JJ00,61670.0,1000 kg              
8,A042356,2023JJ00,38913.0,1000 kg              
9,A042356,2024JJ00,41955.0,1000 kg              
10,A042359,2015JJ00,12621.0,1000kg               
11,A042359,2016JJ00,9432.0,1000kg               
12,A042359,2017JJ00,11458.0,1000kg               
13,A042359,2018JJ00,13630.0,1000kg               
14,A042359,2019JJ00,15972.0,1000kg               
15,A042359,2020JJ00,20510.0,1000kg               
16,A042359,2021JJ00,17548.0,1000kg               
17,A042359,2022JJ00,20330.0,1000 kg              
18,A042359,2023JJ00,17950.0,1000 kg              
19,A042359,2024JJ00,17679.0,1000 kg              
20,A042160,2015JJ00,2979.0,1000kg               
21,A042160,2016JJ00,2952.0,1000kg               
22,A042160,2017JJ00,2139.0,1000kg               
23,A042160,2018JJ00,3101.0,1000kg               
24,A042160,2019JJ00,3477.0,1000kg               
25,A042160,2020JJ00,4136.0,1000kg               
26,A042160,2021JJ00,5681.0,1000kg               
27,A042160,2022JJ00,5770.0,1000 kg              
28,A042160,2023JJ00,6769.0,1000 kg              
29,A042160,2024JJ00,4408.0,1000 kg              
30,A042164,2015JJ00,2148.0,1000kg               
31,A042164,2016JJ00,1633.0,1000kg               
32,A042164,2017JJ00,1661.0,1000kg               
33,A042164,2018JJ00,2746.0,1000kg               
34,A042164,2019JJ00,3229.0,1000kg               
35,A042164,2020JJ00,3689.0,1000kg               
36,A042164,2021JJ00,3576.0,1000kg               
37,A042164,2022JJ00,4461.0,1000 kg              
38,A042164,2023JJ00,3302.0,1000 kg              
39,A042164,2024JJ00,3111.0,1000 kg              
40,A042170,2015JJ00,7769.0,1000kg               
41,A042170,2016JJ00,4685.0,1000kg               
42,A042170,2017JJ00,4689.0,1000kg               
43,A042170,2018JJ00,5046.0,1000kg               
44,A042170,2019JJ00,4662.0,1000kg               
45,A042170,2020JJ00,6340.0,1000kg               
46,A042170,2021JJ00,5315.0,1000kg               
47,A042170,2022JJ00,8937.0,1000 kg              
48,A042170,2023JJ00,8097.0,1000 kg              
49,A042170,2024JJ00,5419.0,1000 kg              
50,A042169,2015JJ00,1339.0,1000kg               
51,A042169,2016JJ00,705.0,1000kg               
52,A042169,2017JJ00,961.0,1000kg               
53,A042169,2018JJ00,1265.0,1000kg               
54,A042169,2019JJ00,1024.0,1000kg               
55,A042169,2020JJ00,1840.0,1000kg               
56,A042169,2021JJ00,1934.0,1000kg               
57,A042169,2022JJ00,3027.0,1000 kg              
58,A042169,2023JJ00,1417.0,1000 kg              
59,A042169,2024JJ00,1091.0,1000 kg              
60,A042173,2015JJ00,1513.0,1000kg               
61,A042173,2016JJ00,687.0,1000kg               
62,A042173,2017JJ00,1618.0,1000kg               
63,A042173,2018JJ00,1586.0,1000kg               
64,A042173,2019JJ00,2566.0,1000kg               
65,A042173,2020JJ00,1609.0,1000kg               
66,A042173,2021JJ00,1658.0,1000kg               
67,A042173,2022JJ00,2481.0,1000 kg              
68,A042173,2023JJ00,2219.0,1000 kg              
69,A042173,2024JJ00,624.0,1000 kg              
70,A042165,2015JJ00,1541.0,1000kg               
71,A042165,2016JJ00,1110.0,1000kg               
72,A042165,2017JJ00,839.0,1000kg               
73,A042165,2018JJ00,1159.0,1000kg               
74,A042165,2019JJ00,696.0,1000kg               
75,A042165,2020JJ00,833.0,1000kg               
76,A042165,2021JJ00,817.0,1000kg               
77,A042165,2022JJ00,2116.0,1000 kg              
78,A042165,2023JJ00,1035.0,1000 kg              
79,A042165,2024JJ00,1229.0,1000 kg              
80,A042299,2015JJ00,142.0,1000kg               
81,A042299,2016JJ00,118.0,1000kg               
82,A042299,2017JJ00,246.0,1000kg               
83,A042299,2018JJ00,349.0,1000kg               
84,A042299,2019JJ00,234.0,1000kg               
85,A042299,2020JJ00,310.0,1000kg               
86,A042299,2021JJ00,316.0,1000kg               
87,A042299,2022JJ00,408.0,1000 kg              
88,A042299,2023JJ00,442.0,1000 kg              
89,A042299,2024JJ00,274.0,1000 kg              
90,A042301,2015JJ00,1213.0,1000kg               
91,A042301,2016JJ00,1766.0,1000kg               
92,A042301,2017JJ00,2042.0,1000kg               
93,A042301,2018JJ00,3432.0,1000kg               
94,A042301,2019JJ00,2425.0,1000kg               
95,A042301,2020JJ00,1719.0,1000kg               
96,A042301,2021JJ00,3755.0,1000kg               
97,A042301,2022JJ00,2810.0,1000 kg              
98,A042301,2023JJ00,3016.0,1000 kg              
99,A042301,2024JJ00,2256.0,1000 kg              
100,A042304,2015JJ00,992.0,1000kg               
101,A042304,2016JJ00,1632.0,1000kg               
102,A042304,2017JJ00,2708.0,1000kg               
103,A042304,2018JJ00,1652.0,1000kg               
104,A042304,2019JJ00,2868.0,1000kg               
105,A042304,2020JJ00,489.0,1000kg               
106,A042304,2021JJ00,747.0,1000kg               
107,A042304,2022JJ00,1478.0,1000 kg              
108,A042304,2023JJ00,1707.0,1000 kg              
109,A042304,2024JJ00,2064.0,1000 kg              
110,A042307,2015JJ00,8720.0,1000kg               
111,A042307,2016JJ00,8251.0,1000kg               
112,A042307,2017JJ00,8687.0,1000kg               
113,A042307,2018JJ00,12037.0,1000kg               
114,A042307,2019JJ00,13520.0,1000kg               
115,A042307,2020JJ00,10393.0,1000kg               
116,A042307,2021JJ00,15427.0,1000kg               
117,A042307,2022JJ00,13513.0,1000 kg              
