ID,LandbouwgoederenEnDiensten,Perioden,OutputTegenAfProducentwaarde_1,OutputBasisprijzen_2,OutputTegenAfProducentwaarde_3,OutputBasisprijzen_4,OutputTegenAfProducentwaarde_5,OutputBasisprijzen_6,OutputTegenAfProducentwaarde_7,OutputBasisprijzen_8
0,T001427,1995JJ00,18569.0,18891.0,22199.0,21855.0,,,83.6,86.4
1,T001427,1996JJ00,18881.0,19172.0,22096.0,21727.0,-0.5,-0.6,85.4,88.2
2,T001427,1997JJ00,20116.0,20323.0,23079.0,22622.0,4.4,4.1,87.2,89.8
3,T001427,1998JJ00,19225.0,19416.0,22611.0,22182.0,-2.0,-1.9,85.0,87.5
4,T001427,1999JJ00,18896.0,19096.0,23542.0,23111.0,4.1,4.2,80.3,82.6
5,T001427,2000JJ00,20002.0,20198.0,23812.0,23403.0,1.1,1.3,84.0,86.3
6,T001427,2001JJ00,20684.0,20968.0,23050.0,22714.0,-3.2,-2.9,89.7,92.3
7,T001427,2002JJ00,20418.0,20781.0,23150.0,22838.0,0.4,0.5,88.2,91.0
8,T001427,2003JJ00,20444.0,20800.0,23130.0,22840.0,-0.1,0.0,88.4,91.1
9,T001427,2004JJ00,20360.0,20701.0,24103.0,23828.0,4.2,4.3,84.5,86.9
10,T001427,2005JJ00,20730.0,21174.0,24041.0,23802.0,-0.3,-0.1,86.2,89.0
11,T001427,2006JJ00,22403.0,22948.0,24217.0,24005.0,0.7,0.9,92.5,95.6
12,T001427,2007JJ00,23937.0,24066.0,24862.0,24665.0,2.7,2.8,96.3,97.6
13,T001427,2008JJ00,24749.0,24881.0,25640.0,25487.0,3.1,3.3,96.5,97.6
14,T001427,2009JJ00,23127.0,23264.0,26065.0,25945.0,1.7,1.8,88.7,89.7
15,T001427,2010JJ00,25377.0,25475.0,26333.0,26258.0,1.0,1.2,96.4,97.0
16,T001427,2011JJ00,25983.0,26021.0,26249.0,26201.0,-0.3,-0.2,99.0,99.3
17,T001427,2012JJ00,26932.0,26976.0,26151.0,26124.0,-0.4,-0.3,103.0,103.3
