ID,Multinationaliteit,BedrijfstakkenBranchesSBI2008,Perioden,Productie_1,ToegevoegdeWaarde_2,InvoerGoederen_3,InvoerDiensten_4,UitvoerNederlandsProductGoederen_5,Wederuitvoer_6,UitvoerDiensten_7,Exportverdiensten_8,Werkgelegenheid_9,WerkgelegenheidDoorDeUitvoer_10
0,T001684,T001081,2015JJ00,1338856.0,620835.0,134352.0,99616.0,211671.0,37011.0,142670.0,229284.1,7013.0,2090.5
1,T001684,T001081,2016JJ00,1360246.0,634824.0,130760.0,100321.0,209140.0,38692.0,134658.0,226802.8,7155.5,2103.1
2,T001684,T001081,2017JJ00,1431012.0,661566.0,144536.0,109878.0,227061.0,42447.0,146710.0,241763.4,7312.6,2198.6
3,T001684,T001081,2018JJ00,1514480.0,692632.0,156638.0,122917.0,238789.0,43260.0,163314.0,251377.0,7561.0,2279.6
4,T001684,T001081,2019JJ00,1569815.0,724960.0,155061.0,121793.0,231444.0,44504.0,172087.0,261021.2,7726.2,2326.0
5,T001684,T001081,2020JJ00,1520478.0,709628.0,137721.0,119258.0,215398.0,39788.0,158933.0,242502.1,7775.5,2226.6
6,T001684,T001081,2021JJ00,1673985.0,774497.0,169789.0,120888.0,254926.0,47370.0,170182.0,278403.9,7820.1,2255.6
7,T001684,301000 ,2015JJ00,30359.0,11898.0,2053.0,456.0,11836.0,99.0,221.0,9659.9,161.6,126.8
8,T001684,301000 ,2016JJ00,30813.0,12513.0,2060.0,480.0,12160.0,108.0,223.0,10333.3,164.9,131.7
9,T001684,301000 ,2017JJ00,32801.0,13697.0,2160.0,527.0,12476.0,134.0,228.0,11307.1,167.2,134.0
10,T001684,301000 ,2018JJ00,32058.0,12776.0,2303.0,551.0,12062.0,162.0,240.0,10332.8,173.0,135.6
11,T001684,301000 ,2019JJ00,33130.0,13300.0,2365.0,555.0,12530.0,164.0,246.0,10832.3,175.0,138.2
12,T001684,301000 ,2020JJ00,32349.0,12737.0,2196.0,595.0,12128.0,215.0,191.0,10273.8,178.2,138.8
13,T001684,301000 ,2021JJ00,34871.0,13206.0,2628.0,640.0,13516.0,230.0,176.0,10812.7,181.3,142.8
14,T001684,305700 ,2015JJ00,18874.0,12569.0,141.0,1468.0,7543.0,54.0,4838.0,10182.1,10.3,8.7
15,T001684,305700 ,2016JJ00,13388.0,7923.0,132.0,1268.0,5658.0,37.0,3540.0,6669.9,9.6,8.2
16,T001684,305700 ,2017JJ00,11659.0,7422.0,119.0,825.0,5526.0,43.0,2406.0,6349.4,8.4,6.7
17,T001684,305700 ,2018JJ00,11196.0,7165.0,131.0,839.0,5589.0,48.0,2258.0,6163.7,8.0,6.3
18,T001684,305700 ,2019JJ00,9209.0,5546.0,122.0,574.0,4303.0,45.0,1687.0,4675.1,7.7,5.9
