ID,SBI93,Periode,TotaalWateraanvoerMinusAfleveringen_1,Grondwater_2,Oppervlaktewater_3,Leidingwater_4,WaterVanAndereBedrijven_5,TotaalVerbruikVoorKoeling_6,Grondwater_7,Oppervlaktewater_8,Leidingwater_9,WaterVanAndereBedrijven_10
0,10001,1962JJ00,2006.0,436,1447,123.0,,,,,,
1,10001,1967JJ00,2726.0,473,2085,168.0,,,275.0,1896.0,,
2,10001,1972JJ00,3411.0,515,2678,218.0,,2900.0,317.0,2528.0,55.0,
3,10001,1976JJ00,3621.0,433,2987,200.0,,3201.0,252.0,2895.0,54.0,
4,10001,1981JJ00,3807.0,309,3328,171.0,,3431.0,179.0,3205.0,47.0,
5,10001,1986JJ00,4309.0,318,3800,191.0,,3902.0,185.0,3666.0,51.0,
6,10001,1991JJ00,3115.0,253,2640,222.0,,2695.0,134.0,2496.0,65.0,
7,10001,1996JJ00,2529.0,209,2106,214.0,,2104.0,90.0,1966.0,49.0,
8,10001,2001JJ00,3307.0,164,2796,215.0,132.0,3051.0,78.0,2757.0,70.0,147.0
9,10002,1962JJ00,3885.0,7,3878,,,3876.0,6.0,3870.0,,
10,10002,1967JJ00,5600.0,5,5592,3.0,,5588.0,4.0,5884.0,,
11,10002,1972JJ00,7936.0,4,7929,3.0,,7868.0,3.0,7895.0,0.0,
12,10002,1976JJ00,8590.0,4,8584,2.0,,8530.0,2.0,8528.0,0.0,
13,10002,1981JJ00,10097.0,2,10093,2.0,,10077.0,1.0,10076.0,0.0,
14,10002,1986JJ00,9203.0,1,9200,2.0,,9190.0,0.0,9190.0,0.0,
15,10002,1991JJ00,8393.0,2,8387,4.0,,8383.0,1.0,8383.0,0.0,
16,10002,1996JJ00,8051.0,1,8046,3.0,,8023.0,0.0,8023.0,0.0,
17,10002,2001JJ00,10586.0,1,10583,2.0,-1.0,10581.0,0.0,10581.0,0.0,0.0
