ID,Producten,Perioden,TotaalBinnenlandseAfleveringen_1,Raffinaderijen_2,PetrochemischeIndustrie_3,InzetVoorBlending_4,Mineraal_5,Synthetisch_6
0,a,2000KW01,53885,765,2693,11125,38225,1077
1,a,2000KW02,52244,530,2267,8425,40119,903
2,a,2000HJ01,106129,1295,4960,19550,78344,1980
3,a,2000KW03,53183,357,2046,6067,40010,4703
4,a,2000KW04,70538,15860,1718,4504,43232,5224
5,a,2000HJ02,123721,16217,3764,10571,83242,9927
6,a,2000JJ00,229850,17512,8724,30121,161586,11907
7,a,2001KW01,56263,610,1018,6089,42075,6471
8,a,2001KW02,45885,342,930,6913,38397,-697
9,a,2001HJ01,102148,952,1948,13002,80472,5774
10,a,2001KW03,62258,18855,888,2631,38399,1485
11,a,2001KW04,58190,3429,840,5948,40497,7476
12,a,2001HJ02,120448,22284,1728,8579,78896,8961
13,a,2001JJ00,222596,23236,3676,21581,159368,14735
14,a,2002KW01,64719,873,650,6518,45737,10941
15,a,2002KW02,65452,4013,910,4738,46143,9648
16,a,2002HJ01,130171,4886,1560,11256,91880,20589
17,a,2002KW03,56857,612,516,6521,39093,10115
18,a,2002KW04,50419,784,665,5840,37841,5289
19,a,2002HJ02,107276,1396,1181,12361,76934,15404
20,a,2002JJ00,237447,6282,2741,23617,168814,35993
21,a,2003KW01,57045,836,0,4503,34278,17428
22,a,2003KW02,46902,480,777,4879,42997,-2231
23,a,2003HJ01,103947,1316,777,9382,77275,15197
24,a,2003KW03,29808,764,629,1205,30675,-3465
25,a,2003KW04,52596,915,1817,1437,43944,4483
26,a,2003HJ02,82404,1679,2446,2642,74619,1018
27,a,2003JJ00,186351,2995,3223,12024,151894,16215
28,b,2000KW01,80576,0,0,78812,1765,-1
29,b,2000KW02,85680,0,0,79229,6460,-9
30,b,2000HJ01,166256,0,0,158041,8225,-10
31,b,2000KW03,81506,0,0,72915,8591,0
32,b,2000KW04,80770,0,0,77523,3247,0
33,b,2000HJ02,162276,0,0,150438,11838,0
34,b,2000JJ00,328532,0,0,308479,20063,-10
35,b,2001KW01,87311,0,0,80748,6563,0
36,b,2001KW02,71673,0,0,68383,3290,0
37,b,2001HJ01,158984,0,0,149131,9853,0
38,b,2001KW03,69017,0,0,64413,4604,0
39,b,2001KW04,60040,0,0,57818,2222,0
40,b,2001HJ02,129057,0,0,122231,6826,0
41,b,2001JJ00,288041,0,0,271362,16679,0
42,b,2002KW01,70062,117,0,61266,8679,0
43,b,2002KW02,70081,0,0,62549,7530,2
44,b,2002HJ01,140143,117,0,123815,16209,2
45,b,2002KW03,67050,0,0,63261,3789,0
46,b,2002KW04,67309,0,0,59148,8161,0
47,b,2002HJ02,134359,0,0,122409,11950,0
48,b,2002JJ00,274502,117,0,246224,28159,2
49,b,2003KW01,66217,0,0,60967,5250,0
50,b,2003KW02,62987,0,0,56020,6967,0
51,b,2003HJ01,129204,0,0,116987,12217,0
52,b,2003KW03,63336,0,0,59462,3874,0
53,b,2003KW04,64870,0,0,57222,7648,0
54,b,2003HJ02,128206,0,0,116684,11522,0
55,b,2003JJ00,257410,0,0,233671,23739,0
56,c,2000KW01,9815,765,6,12132,0,-3088
57,c,2000KW02,8660,530,2,10017,0,-1889
58,c,2000HJ01,18475,1295,8,22149,0,-4977
59,c,2000KW03,13864,357,8,12048,0,1451
60,c,2000KW04,12628,569,-5,9783,0,2281
61,c,2000HJ02,26492,926,3,21831,0,3732
62,c,2000JJ00,44967,2221,11,43980,0,-1245
63,c,2001KW01,13611,610,7,9550,0,3444
64,c,2001KW02,5315,342,12,8627,0,-3666
65,c,2001HJ01,18926,952,19,18177,0,-222
66,c,2001KW03,8078,508,6,9024,0,-1460
67,c,2001KW04,13210,712,14,8543,0,3941
68,c,2001HJ02,21288,1220,20,17567,0,2481
