ID,WerkzameStoffen,Perioden,GrootteOppervlakteMetGebruik_1,OppervlakteInVanTotaalAreaal_2,OppervlakteInVanToepassingsgroep_3,GebruikPerJaar_4,GebruikInVanTotaalWerkzameStoffen_5,GebruikInVanToepassingsgroep_6
0,tot    ,1995JJ00,782099.0,97.5,100.0,5935851,100.0,100.0
1,tot    ,1998JJ00,823198.0,100.0,100.0,5993154,100.0,100.0
2,tot    ,2000JJ00,804256.0,99.3,100.0,5321980,100.0,100.0
3,tot    ,2004JJ00,816727.0,98.7,100.0,5454348,100.0,100.0
4,tot    ,2008JJ00,763926.0,93.6,100.0,5546097,100.0,100.0
5,tot    ,2012JJ00,734939.0,94.6,100.0,5772485,100.0,100.0
6,ins    ,1995JJ00,374625.0,46.7,100.0,253333,4.3,100.0
7,ins    ,1998JJ00,356545.0,43.3,100.0,169494,2.8,100.0
8,ins    ,2000JJ00,348113.0,43.3,100.0,133770,2.5,100.0
9,ins    ,2004JJ00,371821.0,45.0,100.0,114872,2.1,100.0
10,ins    ,2008JJ00,376523.0,46.2,100.0,89491,1.6,100.0
11,ins    ,2012JJ00,296199.0,38.1,100.0,78448,1.4,100.0
12,ins39  ,1995JJ00,3413.0,0.4,0.9,201,0.0,0.1
13,ins39  ,1998JJ00,5093.0,0.6,1.4,328,0.0,0.2
14,ins39  ,2000JJ00,5713.0,0.7,1.6,491,0.0,0.4
15,ins39  ,2004JJ00,6361.0,0.8,1.7,409,0.0,0.4
16,ins39  ,2008JJ00,15406.0,1.9,4.1,445,0.0,0.5
17,ins39  ,2012JJ00,18016.0,2.3,6.1,481,0.0,0.6
18,ins11  ,1995JJ00,2708.0,0.3,0.7,6133,0.1,2.4
19,ins11  ,1998JJ00,4029.0,0.5,1.1,7706,0.1,4.5
20,ins11  ,2000JJ00,6666.0,0.8,1.9,10098,0.2,7.5
21,ins11  ,2004JJ00,5763.0,0.7,1.5,5469,0.1,4.8
22,ins11  ,2008JJ00,0.0,0.0,0.0,0,0.0,0.0
23,ins11  ,2012JJ00,0.0,0.0,0.0,0,0.0,0.0
24,ins84  ,1995JJ00,0.0,0.0,0.0,0,0.0,0.0
25,ins84  ,1998JJ00,0.0,0.0,0.0,0,0.0,0.0
26,ins84  ,2000JJ00,0.0,0.0,0.0,0,0.0,0.0
27,ins84  ,2004JJ00,0.0,0.0,0.0,0,0.0,0.0
28,ins84  ,2008JJ00,1281.0,0.2,0.3,617,0.0,0.7
29,ins84  ,2012JJ00,1142.0,0.1,0.4,731,0.0,0.9
30,ins87  ,1995JJ00,0.0,0.0,0.0,0,0.0,0.0
31,ins87  ,1998JJ00,0.0,0.0,0.0,0,0.0,0.0
32,ins87  ,2000JJ00,0.0,0.0,0.0,0,0.0,0.0
33,ins87  ,2004JJ00,0.0,0.0,0.0,0,0.0,0.0
