ID,SBI74,Periode,TotaalWaterverbruik_1,TotaalLeidingwater_2,VoorKoeling_3,Overig_4,TotaalZoetGrondwater_5,VerbruiktVoorKoeling_6,OverigVerbruik_7,TotaalBrakOfZoutGrondwater_8,VerbruiktVoorKoeling_9,OverigVerbruik_10,TotaalZoetOppervlakteWater_11,VerbruiktVoorKoeling_12,OverigVerbruik_13,TotaalBrakOfZoutOppervlakteWater_14,VerbruiktVoorKoeling_15,OverigVerbruik_16,Zoetwaterverbruik_17
0,10019,1981JJ00,3807.09,170.57,46.72,123.85,248.72,126.62,122.1,59.89,52.12,7.77,1855.1,1802.88,52.22,1472.81,1402.24,70.57,471.51
1,10019,1986JJ00,4308.64,190.52,51.02,139.5,249.58,127.11,122.47,68.9,57.88,11.02,1334.91,1273.54,61.37,2464.74,2392.29,72.45,501.46
2,10019,1991JJ00,2903.47,222.27,65.11,157.16,205.58,88.8,116.78,47.55,44.82,2.73,1172.94,1102.1,70.84,1255.14,1167.39,87.75,498.69
3,10001,1981JJ00,,0.55,0.18,0.37,,,,0.12,0.12,0.0,,,,0.0,0.0,0.0,
4,10001,1986JJ00,,0.51,0.0,0.51,,,,0.14,0.14,0.0,,,,0.0,0.0,0.0,
5,10001,1991JJ00,0.7,0.49,0.07,0.42,0.07,0.05,0.02,0.09,0.09,0.0,0.05,0.02,0.03,0.01,0.01,0.0,0.58
6,10018,1981JJ00,,170.02,46.54,123.48,,,,59.77,52.0,7.77,,,,1472.81,1402.24,70.57,
7,10018,1986JJ00,,190.02,51.02,139.0,,,,68.76,57.74,11.02,,,,2464.74,2392.29,72.45,
8,10018,1991JJ00,2902.78,221.78,65.04,156.74,205.51,88.76,116.75,47.46,44.73,2.73,1172.9,1102.08,70.82,1255.13,1167.39,87.74,498.11
9,10002,1981JJ00,277.58,35.39,5.18,30.21,113.55,67.42,46.13,13.61,11.34,2.27,99.53,90.0,9.53,15.5,13.6,1.9,158.46
10,10002,1986JJ00,285.93,34.03,2.94,31.09,111.92,69.79,42.13,7.15,6.0,1.15,104.86,99.57,5.29,27.98,27.91,0.07,151.24
11,10002,1991JJ00,208.73,33.84,5.78,28.06,76.83,37.42,39.41,3.05,2.47,0.58,93.53,81.37,12.16,1.48,1.47,0.01,122.83
12,10003,1981JJ00,11.02,3.85,0.42,3.43,5.02,0.74,4.28,0.0,0.0,0.0,2.14,1.03,1.11,0.0,0.0,0.0,9.99
13,10003,1986JJ00,10.59,3.15,0.18,2.97,3.69,0.52,3.17,0.0,0.0,0.0,3.75,2.94,0.81,0.0,0.0,0.0,7.66
14,10003,1991JJ00,11.38,3.14,0.37,2.77,4.5,0.26,4.24,0.01,0.0,0.01,3.73,0.73,3.0,0.0,0.0,0.0,10.64
15,10004,1981JJ00,1.26,0.45,0.1,0.35,0.7,0.08,0.62,0.03,0.0,0.03,0.08,0.0,0.08,0.0,0.0,0.0,1.23
16,10004,1986JJ00,1.22,0.39,0.12,0.27,0.77,0.1,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,1.15
17,10004,1991JJ00,0.78,0.52,0.06,0.46,0.21,0.07,0.14,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.01,0.0,0.76
18,10005,1981JJ00,0.77,0.7,0.14,0.56,0.06,0.01,0.05,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.77
19,10005,1986JJ00,0.38,0.34,0.02,0.32,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
20,10005,1991JJ00,2.1,1.94,0.11,1.83,0.12,0.08,0.04,0.0,0.0,0.0,0.03,0.01,0.02,0.01,0.01,0.0,2.08
21,10006,1981JJ00,110.92,6.68,0.86,5.82,28.12,1.8,26.32,2.23,0.13,2.1,41.57,29.52,12.05,32.32,32.32,0.0,46.84
22,10006,1986JJ00,79.24,3.94,0.45,3.49,30.54,2.88,27.66,6.11,4.28,1.83,38.62,29.05,9.57,0.04,0.03,0.01,44.05
23,10006,1991JJ00,98.14,9.85,0.37,9.48,30.85,1.76,29.09,0.0,0.0,0.0,57.44,46.32,11.12,0.0,0.0,0.0,51.82
24,10007,1981JJ00,4.06,1.84,0.31,1.53,2.12,1.92,0.2,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,3.96
25,10007,1986JJ00,3.44,1.76,0.35,1.41,1.55,1.36,0.19,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,3.32
26,10007,1991JJ00,4.07,2.9,0.34,2.56,1.01,0.86,0.15,0.0,0.0,0.0,0.1,0.04,0.06,0.06,0.06,0.0,3.97
27,10008,1981JJ00,587.83,19.58,1.54,18.04,0.31,0.26,0.05,0.27,0.27,0.0,488.36,488.36,0.0,79.31,78.77,0.54,19.89
28,10008,1986JJ00,886.79,37.09,2.82,34.27,0.31,0.26,0.05,0.02,0.02,0.0,29.38,29.38,0.0,819.99,819.77,0.22,37.41
29,10008,1991JJ00,126.4,26.85,4.47,22.38,0.21,0.21,0.0,0.06,0.01,0.05,2.81,2.81,0.0,96.46,93.16,3.3,27.06
30,10009,1981JJ00,2345.99,49.12,7.6,41.52,39.7,22.59,17.11,18.19,17.5,0.69,1134.66,1110.76,23.9,1104.32,1056.81,47.51,112.73
31,10009,1986JJ00,2578.41,48.52,7.37,41.15,40.99,16.96,24.03,16.38,15.38,1.0,1055.88,1036.61,19.27,1416.64,1364.68,51.96,108.78
32,10009,1991JJ00,1906.92,49.03,12.2,36.83,43.11,20.07,23.04,25.42,24.83,0.59,848.66,810.7,37.96,940.69,890.07,50.62,130.11
33,10010,1981JJ00,16.0,1.71,0.97,0.74,9.2,8.86,0.34,0.05,0.05,0.0,5.04,5.04,0.0,0.0,0.0,0.0,10.91
34,10010,1986JJ00,17.32,2.16,1.13,1.03,11.9,10.26,1.64,0.08,0.08,0.0,3.19,3.19,0.0,0.0,0.0,0.0,14.06
35,10010,1991JJ00,19.22,2.86,1.84,1.02,14.7,14.11,0.59,0.06,0.06,0.0,1.6,1.56,0.04,0.0,0.0,0.0,17.6
36,10011,1981JJ00,20.99,2.98,0.63,2.35,10.12,3.95,6.17,0.63,0.06,0.57,7.26,5.27,1.99,0.0,0.0,0.0,15.09
37,10011,1986JJ00,19.29,2.69,0.32,2.37,10.7,5.24,5.46,0.01,0.0,0.01,5.91,2.24,3.67,0.0,0.0,0.0,17.05
38,10011,1991JJ00,218.47,4.97,0.39,4.58,14.46,1.63,12.83,0.0,0.0,0.0,157.18,153.73,3.45,41.86,41.86,0.0,22.88
39,10012,1981JJ00,325.81,27.53,22.62,4.91,9.33,7.53,1.8,23.0,20.9,2.1,30.25,30.05,0.2,235.7,216.58,19.12,37.05
40,10012,1986JJ00,317.87,35.57,29.79,5.78,11.82,8.54,3.28,38.79,31.76,7.03,36.69,18.65,18.04,195.0,177.0,18.0,65.43
41,10012,1991JJ00,237.84,37.03,33.69,3.34,7.01,4.25,2.76,18.79,17.29,1.5,2.61,2.34,0.27,172.4,138.68,33.72,44.3
42,10013,1981JJ00,12.05,4.35,1.54,2.81,5.85,4.03,1.82,0.32,0.31,0.01,1.52,1.42,0.1,0.0,0.0,0.0,10.3
43,10013,1986JJ00,13.52,4.0,1.29,2.71,5.3,4.05,1.25,0.13,0.13,0.0,4.11,3.8,0.31,0.0,0.0,0.0,9.6
44,10013,1991JJ00,20.52,14.41,1.24,13.17,3.92,2.96,0.96,0.06,0.06,0.0,2.13,1.7,0.43,0.0,0.0,0.0,18.76
45,10014,1981JJ00,5.6,2.28,0.62,1.66,1.87,1.58,0.29,0.22,0.21,0.01,1.22,1.22,0.0,0.01,0.01,0.0,4.15
46,10014,1986JJ00,4.27,2.13,0.56,1.57,1.32,0.93,0.39,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.0,0.0,3.45
47,10014,1991JJ00,9.42,7.77,0.82,6.95,1.25,0.78,0.47,0.0,0.0,0.0,0.33,0.25,0.08,0.08,0.07,0.01,9.1
48,10015,1981JJ00,22.65,7.49,2.55,4.94,11.41,4.55,6.86,1.02,1.02,0.0,0.33,0.33,0.0,2.4,2.4,0.0,18.9
49,10015,1986JJ00,21.86,9.53,2.6,6.93,9.98,4.62,5.36,0.06,0.06,0.0,0.0,0.0,0.0,2.3,2.3,0.0,19.5
50,10015,1991JJ00,23.65,15.61,2.6,13.01,6.03,3.87,2.16,0.0,0.0,0.0,0.65,0.3,0.35,1.36,1.35,0.01,22.0
