ID,CoalAndCoalProducts,Periods,TotalEnergySupply_1,Production_2,RecoveredProducts_3,ImportsTotal_4,OfWhichFromOutsideEU_5,Exports_6,StocksBeginningOfPeriod_7,StocksEndOfPeriod_8,StockChange_9,StatisticalDifferences_10,TotalConsumption_11,TotalEnergyCompanies_12,CokeOvenPlants_13,IndustryTotal_14,OfWhichIronAndSteel_15,TotalOtherConsumers_16
0,E006461,1990JJ00,,,,,,,,,,,,,,,,
1,E006461,1991JJ00,13365.0,,,15800.0,15800.0,2425.0,,,-10.0,,13365.0,8419.0,3893.0,,601.0,452.0
2,E006461,1992JJ00,12665.0,,,14943.0,14943.0,2139.0,,,-139.0,,12665.0,7218.0,4216.0,,765.0,466.0
3,E006461,1993JJ00,13153.0,,,15126.0,15126.0,2243.0,,,270.0,,13153.0,7694.0,4025.0,,847.0,587.0
4,E006461,1994JJ00,14202.0,,,17334.0,17334.0,3081.0,,,-51.0,,14202.0,8540.0,4122.0,,852.0,688.0
5,E006461,1995JJ00,14679.0,,,17135.0,17135.0,2866.0,,,410.0,,14679.0,9018.0,4110.0,,839.0,712.0
6,E006461,1996JJ00,14695.0,,,16857.0,16857.0,2368.0,,,206.0,,14695.0,9284.0,3909.0,,974.0,528.0
7,E006461,1997JJ00,15127.0,,,20335.0,20335.0,3537.0,,,-1671.0,,15127.0,9041.0,4324.0,,1216.0,546.0
8,E006461,1998JJ00,15174.0,,,22211.0,22211.0,7998.0,,,961.0,,15174.0,9480.0,4072.0,,1204.0,418.0
9,E006461,1999JJ00,11847.0,,,19006.0,19006.0,7306.0,,,147.0,,11847.0,7482.0,3060.0,,1167.0,139.0
10,E006461,2000JJ00,12901.0,,,22296.0,22296.0,9123.0,,,-272.0,,12901.0,8722.0,3006.0,,1036.0,139.0
11,E006461,2001JJ00,13533.0,,,30336.0,30336.0,16744.0,,,-59.0,,13533.0,9115.0,3100.0,,1209.0,109.0
12,E006461,2002JJ00,13285.0,,,19947.0,19947.0,8744.0,,,2082.0,,13285.0,9032.0,2982.0,,1230.0,42.0
13,E006461,2003JJ00,13606.0,,,21640.0,21640.0,7498.0,,,-536.0,,13606.0,9159.0,3050.0,,1316.0,81.0
14,E006461,2004JJ00,13568.0,,,22600.0,22600.0,9262.0,,,230.0,,13568.0,8857.0,3131.0,,1496.0,84.0
15,E006461,2005JJ00,13017.0,,,20469.0,20469.0,7438.0,,,-14.0,,13017.0,8267.0,3157.0,,1530.0,63.0
16,E006461,2006JJ00,12674.0,,,20967.0,20967.0,8927.0,,,634.0,,12674.0,8228.0,3048.0,,1327.0,71.0
17,E006461,2007JJ00,13505.0,,,26163.0,26163.0,11879.0,,,-779.0,,13505.0,8676.0,3106.0,,1596.0,127.0
18,E006461,2008JJ00,12796.0,,,19128.0,19128.0,6510.0,,,178.0,,12796.0,8233.0,3063.0,,1438.0,62.0
19,E006461,2009JJ00,11900.0,,,19943.0,19943.0,4731.0,,,-3312.0,,11900.0,8407.0,2483.0,,939.0,71.0
20,E006461,2010JJ00,11901.0,,,20468.0,20468.0,5870.0,,,-2697.0,,11901.0,7876.0,2933.0,,1019.0,73.0
21,E006461,2011JJ00,11711.0,,,24481.0,24481.0,12611.0,,,-159.0,,11711.0,7398.0,2959.0,,1286.0,68.0
22,E006461,2012JJ00,12817.0,,,29027.0,29027.0,18364.0,,,2154.0,,12817.0,8568.0,2742.0,,1435.0,72.0
23,E006461,2013JJ00,12995.0,,,41809.0,41809.0,27008.0,,,-1806.0,,12995.0,8836.0,2805.0,,1298.0,56.0
24,E006461,2014JJ00,14573.0,,,54926.0,54926.0,38932.0,,,-1421.0,,14573.0,10194.0,2907.0,,1399.0,73.0
25,E006461,2015JJ00,17977.0,,,17431.0,17320.0,46.0,1541.0,948.0,593.0,0.0,17977.0,13476.0,2968.0,1533.0,1498.0,0.0
26,E006461,2016JJ00,16477.0,,,16544.0,16527.0,181.0,947.0,832.0,114.0,0.0,16477.0,12084.0,2895.0,1497.0,1461.0,0.0
27,E006461,2017JJ00,14679.0,,,14867.0,14859.0,0.0,813.0,1002.0,-189.0,0.0,14679.0,10240.0,2752.0,1686.0,1641.0,0.0
28,E006461,1990MM01,,,,,,,,,,,,,,,,
29,E006461,1990MM02,,,,,,,,,,,,,,,,
30,E006461,1990MM03,,,,,,,,,,,,,,,,
31,E006461,1990KW01,,,,,,,,,,,,,,,,
32,E006461,1990MM04,,,,,,,,,,,,,,,,
33,E006461,1990MM05,,,,,,,,,,,,,,,,
34,E006461,1990MM06,,,,,,,,,,,,,,,,
35,E006461,1990KW02,,,,,,,,,,,,,,,,
36,E006461,1990MM07,,,,,,,,,,,,,,,,
37,E006461,1990MM08,,,,,,,,,,,,,,,,
38,E006461,1990MM09,,,,,,,,,,,,,,,,
39,E006461,1990KW03,,,,,,,,,,,,,,,,
40,E006461,1990MM10,,,,,,,,,,,,,,,,
41,E006461,1990MM11,,,,,,,,,,,,,,,,
42,E006461,1990MM12,,,,,,,,,,,,,,,,
43,E006461,1990KW04,,,,,,,,,,,,,,,,
44,E006461,1991MM01,1001.0,,,1152.0,1152.0,149.0,,,-2.0,,1001.0,642.0,253.0,,60.0,46.0
45,E006461,1991MM02,1152.0,,,1449.0,1449.0,301.0,,,4.0,,1152.0,846.0,225.0,,41.0,40.0
46,E006461,1991MM03,933.0,,,1162.0,1162.0,238.0,,,9.0,,933.0,503.0,351.0,,32.0,47.0
47,E006461,1991KW01,3086.0,,,3763.0,3763.0,688.0,,,11.0,,3086.0,1991.0,829.0,,133.0,133.0
48,E006461,1991MM04,1322.0,,,1506.0,1506.0,102.0,,,-82.0,,1322.0,851.0,397.0,,40.0,34.0
49,E006461,1991MM05,1101.0,,,1181.0,1181.0,122.0,,,42.0,,1101.0,673.0,350.0,,44.0,34.0
50,E006461,1991MM06,926.0,,,1206.0,1206.0,281.0,,,1.0,,926.0,511.0,335.0,,51.0,29.0
51,E006461,1991KW02,3349.0,,,3893.0,3893.0,505.0,,,-39.0,,3349.0,2035.0,1082.0,,135.0,97.0
52,E006461,1991MM07,1514.0,,,1687.0,1687.0,182.0,,,9.0,,1514.0,1104.0,338.0,,46.0,26.0
53,E006461,1991MM08,1507.0,,,1662.0,1662.0,139.0,,,-16.0,,1507.0,1057.0,351.0,,55.0,44.0
