ID,Perioden,AantalVestigingenOpenbareBibliotheken_1,OmvangBibliotheekcollecties_2,IngeschrevenBibliotheekbezoekers_3,AantalUitleningen_4,TotaalTitelproductieVanBoeken_5,NieuweUitgaven_6,Herdrukken_7,AantalOpengesteldeMusea_8,AantalMuseabezoeken_9,AantalBezoekenPer100Inwoners_10,AantalMonumenten_11,VerstrektSubsidiebedrag_12,HerleideTotaleBouwkosten_13,TotaalBezoekenPodiumkunsten_14,TotaalRijksgesubsidieerdeGezelschappen_15,Toneel_16,Mime_17,Concert_18,OperaEnOperette_19,BalletEnDans_20,Bioscoopbezoeken_21,BesteedBedragPerBezoek_22,BrutoRecette_23,BioscoopbezoekenPer100Inwoners_24,FilmhuisbezoekenPer100Inwoners_25,TotaleOverheid_26,Rijk_27,Provincies_28,Gemeenten_29,TotaalOverheidsuitgaven_30,Bibliotheken_31,UitvoerendeKunsten_32,Vorming_33,Jeugdwerk_34,Sport_35,Musea_36,Monumentenzorg_37,OpenluchtrecrEnNatuurbescherming_38,AlgemeenBeheerCultuurEnRecreatie_39,TotaalLasten_40,PTTKosten_41,CommissariaatVoorDeMediaED_42,DepartementaalMediabeleid_43,TotaalBestedingen_44,NOSNOBRegionaleEnWereldomroep_45,GroteZendgemachtigden_46,NOTTeleacSterReclameraadEnRVD_47,OverigeZendgemachtigden_48,AfdrachtUitgeversPersorganen_49,DotatieAanReservesEnFondsen_50,BatigSaldo_51,TotaalBaten_52,Omroepbijdragen_53,Reclamegelden_54,RentebatenAlgemeneReserve_55,OnttrekkingUitReserve_56,NadeligSaldo_57,OpbrengstenKijkLuisterReclamegeld_58
0,1900JJ00,,,,,3011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1905JJ00,,,,,2604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1910JJ00,,,,,3399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1915JJ00,31.0,190.0,,719.0,3807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1920JJ00,68.0,589.0,,1764.0,3294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1925JJ00,86.0,1184.0,,3762.0,5086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1930JJ00,102.0,1611.0,,4814.0,5496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1935JJ00,112.0,1982.0,,6649.0,6118.0,4288.0,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1936JJ00,112.0,2052.0,,6781.0,6100.0,4638.0,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1937JJ00,112.0,2102.0,,6794.0,5896.0,4419.0,1477.0,224.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1938JJ00,115.0,2160.0,,6812.0,6172.0,4521.0,1651.0,229.0,1402.0,,,,,,,,,,,,35194.0,0.23,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1939JJ00,115.0,2207.0,,6652.0,6554.0,4678.0,1876.0,221.0,1217.0,,,,,,,,,,,,40431.0,0.23,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1940JJ00,116.0,2292.0,,6994.0,4885.0,3370.0,1515.0,178.0,665.0,8.0,,,,,,,,,,,33912.0,0.23,7.4,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1941JJ00,116.0,2316.0,,8850.0,4943.0,3454.0,1489.0,176.0,1169.0,13.0,,,,,,,,,,,31302.0,0.23,7.7,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1942JJ00,118.0,2340.0,,10078.0,3320.0,1949.0,1371.0,191.0,1119.0,12.0,,,,,,,,,,,42936.0,0.27,11.8,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1943JJ00,118.0,2423.0,,10882.0,2836.0,1370.0,1466.0,169.0,1329.0,15.0,,,,,,,,,,,55387.0,0.32,16.5,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1944JJ00,118.0,2339.0,,8436.0,1847.0,965.0,882.0,140.0,883.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1945JJ00,119.0,2426.0,,6432.0,2435.0,1515.0,920.0,147.0,1088.0,12.0,,,,,,,,,,,51738.0,0.36,19.4,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1946JJ00,116.0,,,7481.0,6593.0,3766.0,2827.0,180.0,2020.0,22.0,,,,,,,,,,,85891.0,0.36,31.3,923.0,,7.6,4.2,0.2,3.2,6.6,0.8,1.8,0.0,0.5,1.1,1.6,0.6,0.3,0.0,,,,,,,,,,,,,,,,,,,4.3
19,1947JJ00,116.0,2619.0,,7051.0,7086.0,3988.0,3098.0,195.0,3018.0,32.0,,,,,,,,,,,79037.0,0.36,28.1,828.0,,9.2,5.6,0.4,3.2,7.8,1.0,2.0,0.0,1.7,0.5,1.5,0.9,0.3,0.0,,,,,,,,,,,,,,,,,,,4.3
20,1948JJ00,133.0,2804.0,,7837.0,8047.0,4575.0,3472.0,205.0,2636.0,27.0,,,,,,,,,,,75257.0,0.36,28.5,775.0,,12.2,7.2,0.5,4.4,10.4,1.2,2.1,0.1,2.3,1.0,2.0,1.4,0.3,0.0,,,,,,,,,,,,,,,,,,,4.4
21,1949JJ00,140.0,2939.0,,7909.0,6722.0,3875.0,2847.0,217.0,2622.0,27.0,,,,,,,,,,,63702.0,0.36,23.9,644.0,,13.6,7.4,0.6,5.5,11.8,1.4,2.2,0.1,2.4,1.1,2.4,1.8,0.3,0.0,,,,,,,,,,,,,,,,,,,6.9
22,1950JJ00,153.0,2940.0,238.0,8396.0,6537.0,3715.0,2822.0,243.0,2616.0,26.0,,,,,,,,,,,63898.0,0.36,23.8,637.0,,16.2,7.7,0.7,7.8,13.8,1.5,2.7,0.1,2.7,1.8,2.7,1.8,0.5,0.0,,,,,,,,,,,,,,,,,,,7.3
23,1951JJ00,164.0,2996.0,265.0,9242.0,6531.0,3924.0,2607.0,254.0,2871.0,28.0,,,,,,,,,,,63086.0,0.41,25.4,618.0,,18.7,8.2,0.9,9.6,16.0,1.8,3.0,0.2,3.3,2.3,3.2,1.6,0.6,0.0,,,,,,,,,,,,,,,,,,,8.3
24,1952JJ00,0.0,3113.0,293.0,10507.0,6728.0,4134.0,2594.0,255.0,3134.0,30.0,,,,,,,,,,,63425.0,0.41,26.3,614.0,,19.8,8.7,1.0,10.2,17.1,2.0,3.7,0.2,3.4,2.5,3.3,1.8,0.3,0.0,,,,,,,,,,,,,,,,,,,9.7
25,1953JJ00,0.0,3178.0,302.0,10741.0,7045.0,4301.0,2744.0,280.0,3526.0,34.0,,,,,,,,,,,62823.0,0.45,27.0,602.0,,23.7,10.5,1.1,12.2,20.6,2.4,4.4,0.2,3.7,3.1,3.4,3.0,0.3,0.0,,,,,,,,,,,,,,,,,,,10.1
26,1954JJ00,197.0,3382.0,337.0,11662.0,7019.0,4082.0,2937.0,302.0,3552.0,34.0,,,,,,,,,,,64101.0,0.5,30.6,608.0,,29.3,12.9,1.4,15.0,25.5,2.9,5.2,0.3,4.4,4.4,3.8,3.8,0.3,0.5,,,,,,,,,,,,,,,,,,,10.6
27,1955JJ00,223.0,3817.0,390.0,13383.0,7353.0,4260.0,3093.0,304.0,3769.0,35.0,,,,,,,,,,,65415.0,0.5,32.4,613.0,,35.9,13.4,1.7,20.9,30.7,3.7,6.6,0.4,5.1,5.0,4.4,3.7,1.4,0.5,,,,,,,,,,,,,,,,,,,11.0
28,1956JJ00,255.0,4031.0,444.0,15617.0,7292.0,4233.0,3059.0,301.0,5032.0,46.0,,,,,,,,,,,68823.0,0.54,36.3,636.0,,41.1,17.3,2.3,21.5,35.1,4.4,6.1,0.9,6.1,4.3,5.9,4.2,1.9,1.4,,,,,,,,,,,,,,,,,,,12.8
29,1957JJ00,277.0,4298.0,492.0,17786.0,7284.0,4249.0,3035.0,296.0,4237.0,39.0,,,,,,,,,,,64706.0,0.54,35.8,591.0,,44.4,18.8,2.6,23.0,37.6,4.7,7.0,1.0,7.3,4.8,6.0,4.1,1.4,1.4,,,,,,,,,,,,,,,,,,,14.7
30,1958JJ00,327.0,4528.0,521.0,19242.0,7817.0,4479.0,3338.0,310.0,4475.0,40.0,,,,,,,,,,,61788.0,0.59,36.0,557.0,,49.9,21.6,2.8,25.4,42.7,5.1,7.5,1.0,7.4,5.5,7.0,5.2,2.2,1.8,,,,,,,,,,,,,,,,,,,17.7
31,1959JJ00,363.0,4892.0,551.0,20891.0,8588.0,4917.0,3671.0,315.0,4523.0,40.0,,,,,,,,,,,54236.0,0.59,31.8,481.0,,56.5,25.0,3.2,28.3,48.0,5.8,8.7,1.4,7.3,6.3,6.7,5.9,4.1,1.8,,,,,,,,,,,,,,,,,,,20.0
32,1960JJ00,423.0,5266.0,582.0,22316.0,7893.0,4547.0,3346.0,311.0,4767.0,42.0,,,,,,,,,,,54309.0,0.64,33.4,476.0,,64.9,28.9,3.7,32.3,55.6,6.8,10.2,1.4,8.3,6.6,8.6,7.0,4.8,1.8,,,,,,,,,,,,,,,,,,,28.0
33,1961JJ00,441.0,5649.0,598.0,23646.0,9010.0,5062.0,3948.0,309.0,5024.0,43.0,,,,,,,,,,,50634.0,0.64,33.2,438.0,,74.3,32.8,4.4,37.0,63.4,7.7,11.4,1.7,9.3,8.5,9.2,8.7,5.1,1.8,,,,,,,,,,,,,,,,,,,36.1
34,1962JJ00,519.0,6328.0,784.0,27722.0,9674.0,5535.0,4139.0,293.0,5391.0,46.0,,,,,,,,,,,46951.0,0.68,32.8,401.0,,89.7,37.9,6.0,45.7,77.5,9.1,12.8,2.3,10.9,11.1,10.5,9.7,9.3,1.8,,,,,,,,,,,,,,,,,,,33.4
35,1963JJ00,612.0,6621.0,703.0,28032.0,9448.0,5477.0,3971.0,302.0,5277.0,44.0,,,,,,,,,,,42472.0,0.77,33.5,357.0,,116.6,46.1,7.0,63.5,101.3,11.2,18.8,2.2,14.6,15.2,10.9,11.8,13.9,2.7,,,,,,,,,,,,,,,,,,,37.9
36,1964JJ00,615.0,7154.0,746.0,30075.0,10026.0,5680.0,4346.0,315.0,5660.0,47.0,,,,,,,,,,,38307.0,0.86,33.6,318.0,,153.7,57.0,10.3,86.4,132.7,14.8,22.6,3.3,18.7,20.1,13.4,13.6,22.1,4.1,,,,,,,,,,,,,,,,,,,46.2
37,1965JJ00,632.0,7722.0,815.0,31080.0,10193.0,6009.0,4184.0,323.0,6206.0,51.0,,,,,,,,,,,35330.0,0.95,34.4,289.0,,194.7,75.4,13.0,106.2,167.9,17.6,26.1,3.2,21.4,25.5,19.3,16.3,29.9,8.6,,,,,,,,,,,,,,,,,,,56.1
38,1966JJ00,658.0,8438.0,912.0,34238.0,10582.0,5816.0,4766.0,324.0,6344.0,51.0,,,,,1603.0,1603.0,,,,,33361.0,1.09,36.5,270.0,,240.4,91.2,15.6,133.7,206.6,22.3,34.0,4.2,23.8,38.3,20.6,18.3,34.2,10.9,,,,,,,,,,,,,,,,,,,57.5
39,1967JJ00,689.0,9177.0,1015.0,38229.0,11262.0,6249.0,5013.0,327.0,6863.0,55.0,,,,,1486.0,1486.0,,,,,30330.0,1.18,37.1,242.0,,286.8,104.7,20.1,162.1,246.9,25.3,37.3,5.4,28.9,38.9,22.6,15.6,60.1,12.7,,,,,,,,,,,,,,,,,,,79.8
40,1968JJ00,674.0,10077.0,1154.0,45164.0,11174.0,6432.0,4742.0,324.0,6990.0,55.0,,,,,3084.0,1520.0,,1138.0,190.0,236.0,26256.0,1.32,35.4,207.0,,356.1,136.4,21.3,198.4,311.9,27.9,42.9,6.1,36.1,47.2,26.1,24.5,78.5,22.7,,,,,,,,,,,,,,,,,,,91.4
41,1969JJ00,684.0,10995.0,1293.0,51024.0,11214.0,6377.0,4837.0,339.0,7656.0,60.0,,,,,3004.0,1420.0,,1147.0,170.0,267.0,23999.0,1.41,35.1,188.0,,441.3,161.5,26.6,253.3,385.8,35.2,50.5,7.2,38.4,65.9,29.7,26.4,101.7,30.9,,,,,,,,,,,,,,,,,,,120.9
42,1970JJ00,716.0,12476.0,1497.0,58681.0,11159.0,6594.0,4565.0,328.0,7695.0,59.0,,18.0,,,2997.0,1437.0,,1145.0,168.0,247.0,24138.0,1.45,35.2,186.0,,521.6,183.7,30.7,307.1,448.2,38.6,57.9,10.2,45.8,87.0,33.4,28.5,114.9,31.8,,,,,,,,,,,,,,,,,,,139.2
43,1971JJ00,745.0,14415.0,1803.0,65642.0,10827.0,6233.0,4594.0,333.0,8577.0,65.0,,19.0,,,2799.0,1199.0,,1234.0,152.0,214.0,25703.0,1.54,40.2,196.0,,628.2,211.2,34.0,383.0,541.5,45.6,71.5,12.0,55.4,108.9,38.7,32.1,144.2,33.1,,,,,,,,,,,,,,,,,,,152.9
44,1972JJ00,761.0,15390.0,1973.0,77273.0,11800.0,6834.0,4966.0,349.0,9429.0,71.0,,19.0,,,2711.0,1070.0,92.0,1193.0,150.0,206.0,24977.0,1.68,41.9,188.0,,756.6,240.6,38.5,477.6,657.5,54.5,83.3,13.0,52.6,157.6,45.2,37.8,178.1,35.4,,,,,,,,,,,,,,,,,,,155.1
