ID,RegioS,Perioden,TotaalZelfGeproduceerdWater_1,TotaalDrinkwater_2,EigenlijkGrondwater_3,Duinwater_4,OppervlaktewaterDirectVerwerkt_5,Infiltratiewater_6,OppervlaktewaterHalfFiltraat_7,DoorAnderenGeproduceerd_8,Verbruik_9
0,NL00,2000MM01,102.68,97.179,61.413,1.795,17.991,15.98,5.501,0.847,103.527
1,NL00,2000MM02,97.208,91.698,58.118,1.025,15.851,16.704,5.51,0.785,97.993
2,NL00,2000MM03,105.291,99.335,62.703,1.703,18.057,16.872,5.956,1.013,106.304
3,NL00,2000MM04,104.528,98.917,63.309,1.593,17.282,16.733,5.611,0.849,105.377
4,NL00,2000MM05,111.278,105.328,66.58,1.383,18.281,19.084,5.95,0.937,112.215
5,NL00,2000MM06,110.113,103.755,65.121,1.224,18.963,18.447,6.358,0.923,111.036
6,NL00,2000MM07,104.969,98.397,60.603,0.971,18.701,18.122,6.572,0.732,105.701
7,NL00,2000MM08,108.018,101.427,62.938,1.234,19.473,17.782,6.591,0.931,108.949
8,NL00,2000MM09,103.875,97.737,61.181,1.501,18.6,16.455,6.138,0.755,104.63
9,NL00,2000MM10,105.357,99.15,61.32,1.345,19.066,17.419,6.207,1.019,106.376
10,NL00,2000MM11,102.659,96.919,60.64,2.822,18.969,14.488,5.74,0.914,103.573
11,NL00,2000MM12,102.893,97.395,61.195,1.82,18.554,15.826,5.498,0.878,103.771
12,NL00,2000JJ00,1258.869,1187.237,745.121,18.416,219.788,203.912,71.632,10.583,1269.452
13,NL00,2001MM01,103.548,97.664,61.152,2.46,18.389,15.663,5.884,0.972,104.52
14,NL00,2001MM02,94.093,88.693,55.416,1.988,16.586,14.703,5.4,0.939,95.032
15,NL00,2001MM03,104.319,98.562,62.098,2.076,18.066,16.322,5.757,1.011,105.33
16,NL00,2001MM04,103.432,97.696,61.054,1.441,18.101,17.1,5.736,1.003,104.435
17,NL00,2001MM05,112.957,107.098,67.72,1.438,19.582,18.358,5.859,0.961,113.918
18,NL00,2001MM06,110.203,103.837,64.699,1.161,19.346,18.631,6.366,0.826,111.029
19,NL00,2001MM07,110.282,103.157,63.634,1.264,19.668,18.591,7.125,0.972,111.254
20,NL00,2001MM08,107.534,100.511,63.019,1.227,18.464,17.801,7.023,0.957,108.491
21,NL00,2001MM09,101.956,95.793,59.967,1.64,17.981,16.205,6.163,0.936,102.892
22,NL00,2001MM10,105.413,99.254,61.832,1.597,18.732,17.093,6.159,1.016,106.429
23,NL00,2001MM11,101.625,95.672,59.906,2.682,17.865,15.219,5.953,1.193,102.818
