ID,Persoonskenmerken,PersonenMetThuisBeschikkingOverPc_1,InAfgelopen3Jaar_2,k_46JaarGeleden_3,k_79JaarGeleden_4,k_10JaarOfLangerGeleden_5,GeenInteressePcNietZinvol_6,TeDuur_7,GeenKennisOfVaardigheden_8,VoeltZichTeOud_9,OverigeRedenen_10,JaZeker_11,JaMisschien_12,PersonenMetThuisInternettoegang_13,PersonalComputer_14,Laptop_15,MobieleTelefoon_16,Anders_17,AnaloogModem_18,ISDN_19,Kabel_20,Breedband_21,Anders_22,GeenInteresseNietZinvol_23,InternetgebruikTeDuur_24,GeenKennisVaardigheden_25,GeenPcGeenGeschiktePcVoorInternet_26,OverigeRedenen_27,JaZeker_28,JaMisschien_29,BezitMobieleTelefoon_30,HeeftEenPersonalComputerGebruikt_31,VanAlleInwonersNederlandVanaf12Jr_32,VanDePersonalComputerGebruikers_33,GebruikTekstverwerkingsprogrammaS_34,GebruikSpreadsheetsprogrammaS_35,SpelenVanSpelletjes_36,RaadplegenNaslagwerkenOpCdrom_37,RaadplegenReisplannerOfCdfoongids_38,Telebankieren_39,VanAlleInwonersNederlandVanaf12Jr_40,VanDegenenDieThuisEenPcBezitten_41,VoorPriveDoeleinden_42,VoorHetWerk_43,ZowelVoorPriveEnWerkDoeleinden_44,Dagelijks_45,EenKeerPerWeek_46,EenKeerPerMaand_47,HeeftEldersPersonalComputerGebruikt_48,HeeftPcOpHetWerkGebruikt_49,IedereWerkdag_50,EenKeerPerWeek_51,EenKeerPerMaand_52,HeeftPcBijOpleidingsinstGebruikt_53,Dagelijks_54,EenKeerPerWeek_55,EenKeerPerMaand_56,HeeftPcErgensAndersGebruikt_57,TekstverwerkingsprogrammaS_58,SpreadsheetsprogrammaS_59,BesturingsprogrammaS_60,PresentatieprogrammaS_61,HeeftOoitZelfProgrammaGeinstalleerd_62,HeeftOoitGeinternetEnOfGeeMaild_63,HeeftInternetInAfg4WekenGebruikt_64,VanAlleInwonersNederlandVanaf12Jr_65,VanDeInternetGebruikers_66,VanAlleInwonersNederlandVanaf12Jr_67,VanDegenenDieThuisInternetBezitten_68,VoorPriveDoeleinden_69,VoorHetWerk_70,ZowelVoorPriveEnWerkDoeleinden_71,Dagelijks_72,EenKeerPerWeek_73,EenKeerPerMaand_74,HeeftEldersInternetGebruikt_75,HeeftInternetOpHetWerkGebruikt_76,IedereWerkdag_77,EenKeerPerWeek_78,EenKeerPerMaand_79,HeeftInternetBijOplInstGebruikt_80,Dagelijks_81,EenKeerPerWeek_82,EenKeerPerMaand_83,HeeftInternetErgensAndersGebruikt_84,Chatten_85,ZomaarWatSurfen_86,HeeftSiteSVanDeOverheidBezocht_87,GratisSpelletjes_88,GratisMuziek_89,GratisAndereSoftware_90,HeeftInformatieGezochtInAfg4Wkn_91,OnderwijsOnderwijsinstellingen_92,ActualiteitNieuwsgroepen_93,Gezondheid_94,CommercieleProductenEnDiensten_95,IetsAnders_96,KanMakkelijkInformatieVinden_97,HeeftOoitGeeMaild_98,HeeftInAfg4WekenGeeMaild_99,NieuweVriendenOpgedaanViaEMailen_100,NieuweContactenMetDezelfdeInteresses_101,BezitPriveEMailadres_102,EigenWoonplaats_103,WoonplaatsEldersInNederland_104,WonplaatsInHetBuitenland_105,KanMappenMakenOmBerichtenTeBewaren_106,KanVerzendlijstOpstellen_107,KanAttachementsOfBijlagenMeesturen_108,KanGeenVanDezeHandelingen_109,HeeftOoitViaInternetGekochtBesteld_110,HeeftInDeAfg3MndGekochtBesteld_111,HeeftInDeAfg4WknGekochtBesteld_112,GeenBehoefte_113,WilHetProductZelfZien_114,VanwegeVeiligheid_115,GeenVertrouwenInLeveringProduct_116,GeenSpecialeReden_117,HeeftErGeenErvaringMee_118,Anders_119,Eens_120,NochMeeEensNochMeeOneens_121,Oneens_122,Eens_123,NochMeeEensNochMeeOneens_124,Oneens_125,Eens_126,NochMeeEensNochMeeOneens_127,Oneens_128,Eens_129,NochMeeEensNochMeeOneens_130,Oneens_131,Eens_132,NochMeeEensNochMeeOneens_133,Oneens_134,Eens_135,NochMeeEensNochMeeOneens_136,Oneens_137,Eens_138,NochMeeEensNochMeeOneens_139,Oneens_140
0,10,74,32,29,14,25,58,13,11,10,17,18,11,61,95,10,9,2,62,15,19,4,1,36,6,5,37,24,26,16,85,68,10,15,71,29,31,25,26,25,59,80,57,8,35,47,47,6,50,56,84,14,2,37,21,60,19,7,92,59,89,44,61,65,57,3,5,47,88,65,4,31,35,57,8,6,36,67,28,4,28,18,65,18,35,16,40,24,6,15,14,77,23,40,20,46,61,86,59,73,11,16,88,54,80,41,84,82,83,7,23,15,9,31,24,15,11,8,6,12,47,28,25,47,19,34,26,9,65,86,4,9,26,8,66,39,18,43,21,7,72
1,11,77,29,28,16,27,60,8,13,11,21,20,10,65,96,10,10,2,62,15,18,5,1,37,7,5,33,26,29,15,87,76,14,18,72,37,33,29,29,30,67,87,53,6,40,55,42,3,58,60,88,10,2,35,24,61,15,8,94,71,93,54,77,72,67,4,6,57,93,60,4,36,40,55,5,8,42,71,25,4,28,21,64,16,44,14,43,26,8,20,21,79,22,46,17,52,62,87,67,72,9,18,88,54,81,40,88,87,89,5,28,20,12,30,23,17,12,7,7,10,51,26,23,47,16,36,22,9,69,87,4,9,20,8,72,49,18,33,16,6,78
2,12,70,35,29,12,24,58,17,10,10,14,16,12,56,95,11,6,2,62,16,19,2,2,35,5,5,40,22,23,17,82,61,7,12,70,19,27,21,22,18,51,73,62,9,29,36,53,10,42,51,76,21,3,39,19,59,22,6,89,45,84,32,42,58,48,2,4,39,82,72,4,24,28,60,11,5,27,58,35,6,29,14,66,20,26,19,36,20,3,8,6,75,23,33,24,36,60,84,51,74,12,13,88,53,79,43,80,77,77,9,17,11,6,32,25,13,9,8,6,13,43,29,27,48,21,32,31,9,60,86,5,10,31,9,60,29,19,53,26,8,66
3,14,94,27,40,14,19,0,0,0,0,0,0,0,80,97,8,16,2,46,18,33,3,2,15,11,0,23,45,47,28,95,96,7,7,73,11,59,22,6,2,86,91,65,6,29,53,44,3,76,6,0,0,0,62,17,59,24,22,97,59,92,47,74,96,86,4,5,70,89,76,4,21,39,55,5,15,4,0,0,0,46,17,59,24,57,56,55,10,14,33,13,69,36,36,10,26,61,93,83,70,32,36,91,73,73,23,83,87,82,5,18,10,5,34,14,10,10,7,6,14,69,21,9,43,33,24,7,10,82,78,12,10,9,10,81,54,23,23,5,6,88
4,15,89,32,24,14,30,0,0,0,0,0,0,0,75,95,12,19,3,53,15,26,7,3,19,8,1,39,40,43,27,96,94,15,16,75,23,38,21,27,17,82,93,53,7,40,51,40,8,78,42,77,19,5,45,30,58,12,17,99,70,95,65,63,98,89,5,5,69,92,61,5,35,44,49,7,17,24,0,0,0,40,20,73,7,62,24,51,21,8,23,20,77,31,46,19,50,55,90,89,81,17,18,93,62,86,41,88,88,90,2,42,33,18,33,25,13,15,10,2,10,57,28,15,37,27,36,11,7,82,88,3,9,9,11,80,51,27,22,5,5,90
5,16,82,41,29,15,14,49,18,5,0,26,55,14,71,94,11,9,2,67,13,17,4,1,24,4,2,45,30,53,17,93,86,16,19,70,32,25,23,28,31,70,85,54,8,38,42,51,6,69,69,84,15,2,10,0,0,0,7,93,60,92,51,67,84,74,4,6,62,90,64,4,32,34,57,9,10,43,69,24,6,8,0,0,0,47,13,47,21,7,15,17,80,17,44,18,52,69,89,76,76,8,14,87,52,83,45,89,86,88,5,36,23,14,25,22,23,10,9,4,14,53,30,17,41,23,36,17,12,71,87,5,8,19,8,73,47,23,30,12,7,80
6,17,88,26,33,15,26,43,23,5,0,35,36,28,75,95,12,5,2,65,18,17,2,1,23,11,1,44,28,46,26,94,81,13,17,70,37,24,30,31,32,72,82,50,8,42,43,51,6,58,61,85,13,2,10,0,0,0,4,92,62,90,41,65,78,68,3,5,58,86,56,4,39,33,59,8,4,40,68,28,4,2,0,0,0,39,6,33,31,5,12,14,81,22,39,24,50,59,84,71,68,6,14,86,50,83,42,87,82,86,5,31,20,12,29,22,16,11,6,7,13,45,31,23,45,18,37,22,12,66,90,3,7,15,10,74,44,22,34,16,9,75
7,18,82,25,24,16,34,55,11,19,1,21,16,16,68,96,12,6,2,61,18,18,4,0,40,10,7,30,23,30,19,90,69,12,17,73,38,23,28,30,29,58,71,55,9,36,46,48,6,50,59,86,13,1,3,0,0,0,3,90,59,85,36,53,63,55,2,4,47,85,65,5,30,28,65,7,3,38,66,31,2,0,0,0,0,32,4,29,31,3,7,9,79,19,36,23,43,60,79,57,71,3,9,89,44,78,45,79,78,78,12,19,13,7,32,29,13,8,7,12,9,45,27,28,50,16,34,28,10,61,88,3,8,30,9,61,36,16,48,24,9,67
8,19,61,34,25,10,31,69,10,9,10,14,12,11,43,96,8,2,0,71,12,11,2,1,43,4,7,35,17,16,16,81,46,5,11,70,26,25,28,26,26,40,65,70,7,23,56,38,6,25,43,79,20,1,0,0,0,0,6,81,46,81,30,44,38,32,1,3,26,87,75,4,21,46,51,3,3,29,0,0,0,0,0,0,0,15,4,26,27,0,3,11,74,19,38,25,44,56,84,35,72,3,11,81,47,73,48,77,74,78,13,11,7,5,32,33,11,19,12,4,7,42,26,32,55,12,33,40,5,55,88,3,8,37,8,55,31,11,58,39,5,55
9,20,25,55,18,7,20,66,8,15,19,8,2,6,17,93,1,2,1,79,4,5,3,1,47,3,8,37,18,3,6,47,16,1,6,55,10,39,18,18,21,14,57,90,5,5,40,49,11,3,0,0,0,0,0,0,0,0,2,72,22,70,9,27,13,9,0,0,8,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,16,1,0,0,5,60,0,0,0,0,0,0,11,69,3,11,84,43,76,48,57,57,43,22,2,2,1,45,29,9,1,2,7,12,34,23,44,61,10,29,47,5,47,77,4,19,49,5,46,19,8,73,36,5,58
