ID,KenmerkenInstallaties,Perioden,Productie_1,VerbruikGasmotorenWKKInstallatie_2,VerbruikGasmotorenDirecteAandrijving_3,VerbruikVoorOpwarmingSlibgistingstank_4,VerbruikVoorSlibontwatering_5,Afgefakkeld_6,Afgeblazen_7,VerbruikOfToepassingOnbekend_8,Aflevering_9,Aankoop_10,ProductieInWKKInstallaties_11,TotaalVerbruik_12,Warmteproductie_13,Aardgasverbruik_14,HuisbrandolieVerbruik_15,VerbruikPerKgVerwijdBZVGemiddelde_16,VerbruikPerKgVerwijdBZVLandelijk_17,AandeelBeluchtingInTotaalverbruik_18
0,NL0000         ,1981JJ00,34560.0,6158.0,,6859.0,0.0,8852.0,,12692.0,0.0,266.0,10.0,276.0,,7368.0,6572.0,4.8,3.1,70.0
1,NL0000         ,1985JJ00,49010.0,25968.0,,12995.0,0.0,7293.0,,2754.0,0.0,305.0,42.0,347.0,,11790.0,2043.0,4.8,3.5,72.0
2,NL0000         ,1990JJ00,74008.0,49086.0,,13437.0,0.0,8961.0,,2524.0,0.0,403.0,91.0,494.0,,10441.0,1149.0,4.8,4.2,71.0
3,NL0000         ,1991JJ00,83617.0,50799.0,,9185.0,0.0,10667.0,,12966.0,0.0,400.0,107.0,506.0,,12142.0,1649.0,4.8,4.2,69.0
4,NL0000         ,1992JJ00,77253.0,52510.0,,11352.0,0.0,8232.0,,5160.0,0.0,294.0,105.0,398.0,,6756.0,4563.0,4.9,4.2,77.0
5,NL0000         ,1993JJ00,84497.0,56294.0,,8461.0,0.0,6069.0,,13673.0,0.0,427.0,100.0,527.0,,10935.0,846.0,5.0,4.4,68.0
6,NL0000         ,1995JJ00,85170.0,62482.0,,16041.0,0.0,6465.0,,181.0,0.0,446.0,108.0,554.0,,6810.0,339.0,5.5,4.8,66.0
7,NL0000         ,1996JJ00,83567.0,59642.0,,18530.0,0.0,5172.0,,223.0,0.0,474.0,108.0,582.0,,12240.0,387.0,5.3,5.3,67.0
8,NL0000         ,1997JJ00,87239.0,61625.0,,12657.0,7320.0,5522.0,,115.0,0.0,482.0,151.0,615.0,,31034.0,333.0,5.3,4.9,67.0
9,NL0000         ,1998JJ00,82545.0,62781.0,,10347.0,3800.0,5426.0,,192.0,0.0,511.0,140.0,629.0,,29563.0,250.0,5.7,5.2,63.0
10,NL0000         ,1999JJ00,86412.0,66082.0,,8907.0,4645.0,5303.0,,1475.0,0.0,477.0,151.0,606.0,,29967.0,791.0,5.5,5.1,58.0
11,NL0000         ,2000JJ00,87931.0,65890.0,,7805.0,7679.0,6150.0,,407.0,0.0,529.0,154.0,663.0,,30267.0,86.0,5.6,5.3,66.0
